Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.163	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz		E029	1.00e+00
-0.242	6.86e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E032	1.00e+00
-0.027	5.95e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E033	1.00e+00
-0.228	6.73e-01	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E034	1.00e+00
-1.093	8.79e-01	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964	E046	1.00e+00
-0.185	6.63e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E050	1.00e+00
-0.049	6.06e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E051	1.00e+00
-1.112	8.93e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964	E028	1.00e+00
-0.423	7.51e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E003	1.00e+00
-0.428	7.47e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E004	1.00e+00
0.352	4.32e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E005	1.00e+00
-1.184	9.06e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964	E006	1.00e+00
-0.470	7.65e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E007	1.00e+00
-0.586	8.02e-01	E008 H9 Cells	ES Cell	DHS	E008-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E008	1.00e+00
