Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.631	9.77e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg12136608	E029	1.00e+00
-1.193	9.12e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg12136608	E029	1.00e+00
0.377	3.74e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg02161503,cg07295964	E029	1.00e+00
0.697	3.55e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg07295964,cg10872490,cg12136608	E029	1.00e+00
-0.782	7.10e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg10375300	E029	1.00e+00
-0.443	7.87e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E032	1.00e+00
-0.544	7.90e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E032	1.00e+00
1.439	9.48e-02	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg02161503,cg12136608	E032	1.00e+00
0.184	5.60e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg07295964,cg12136608,cg19880901	E032	1.00e+00
0.198	4.86e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg10375300,cg12136608	E032	1.00e+00
-0.387	7.33e-01	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg10375300,cg12136608	E033	1.00e+00
-0.724	8.40e-01	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg10872490,cg12136608	E033	1.00e+00
-0.243	1.46e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg02161503	E033	1.00e+00
0.071	5.30e-01	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg07295964,cg10872490	E033	1.00e+00
-2.123	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz		E033	1.00e+00
-1.114	9.24e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E034	1.00e+00
-1.611	9.70e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg12136608	E034	1.00e+00
-2.123	1.00e+00	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz		E034	1.00e+00
0.073	6.22e-01	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg02161503,cg07295964,cg12136608,cg19880901	E034	1.00e+00
-0.991	8.40e-01	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg10375300	E034	1.00e+00
-0.652	8.38e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E046	1.00e+00
-0.467	7.64e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg10872490,cg12136608	E046	1.00e+00
0.119	4.84e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg02161503,cg07295964	E046	1.00e+00
0.772	3.41e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg07295964,cg10872490,cg12136608	E046	1.00e+00
0.648	3.10e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg10375300,cg10872490	E046	1.00e+00
-0.878	8.84e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E050	1.00e+00
-1.131	9.15e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E050	1.00e+00
-0.717	6.64e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg02161503	E050	1.00e+00
