Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-5.362	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00042341,cg01066357,cg01226811,cg01703736,cg01943874,cg03247567,cg03615207,cg03709091,cg04077199,cg04754076,cg05708550,cg07529657,cg08024887,cg08284371,cg08515841,cg08860546,cg09631472,cg09850442,cg09915500,cg10062049,cg10506212,cg11839355,cg13244998,cg13289561,cg13680016,cg14062002,cg14237158,cg14383586,cg14892538,cg15092219,cg15258847,cg15320001,cg15387132,cg16800028,cg16868895,cg17516160,cg17517865,cg18108695,cg18527899,cg18785414,cg19123882,cg20114528,cg20754634,cg21418052,cg22311458,cg23411735,cg27386614,ch.8.2835922R	E063	1.00e+00
1.133	4.08e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00081975,cg00294572,cg00817502,cg01005439,cg01128480,cg01171360,cg01228636,cg01422243,cg01488378,cg01556017,cg01752462,cg01885635,cg02200207,cg02248037,cg02324432,cg02405476,cg02479211,cg02685016,cg02734661,cg02835848,cg02886408,cg02905198,cg02909793,cg03213967,cg03215868,cg03418659,cg03511957,cg03527086,cg03724882,cg03940966,cg04064028,cg04124352,cg04200938,cg04346572,cg04482948,cg04548463,cg04872610,cg05064078,cg05734973,cg05921579,cg05955210,cg06148685,cg06186150,cg06205432,cg06243400,cg06298519,cg06382303,cg06618866,cg06967828,cg06998765,cg07185695,cg07264522,cg07578772,cg07789559,cg08276739,cg08738600,cg09221932,cg09535119,cg09657173,cg09704415,cg09723088,cg09746279,cg09983216,cg10039988,cg10105237,cg10144493,cg10359230,cg10461547,cg10686550,cg10738368,cg11466094,cg12080254,cg12351433,cg12593223,cg12788108,cg12880200,cg13182713,cg13443893,cg13626863,cg13694400,cg13706066,cg13726843,cg14151259,cg14337134,cg14428252,cg14912728,cg15093194,cg15174393,cg15305511,cg15313320,cg15338449,cg15369512,cg15428653,cg15537254,cg15844374,cg16549694,cg16827475,cg17087669,cg17205324,cg17517453,cg17825384,cg17852791,cg17935811,cg18568843,cg18584424,cg18629615,cg18963307,cg19103770,cg19248982,cg19398115,cg19795980,cg20390515,cg20510745,cg20617957,cg20653009,cg20665774,cg20771870,cg20803910,cg21557180,cg21718660,cg21745287,cg22064451,cg22370005,cg22475693,cg22922242,cg23116115,cg23509272,cg24324628,cg24421668,cg24798603,cg24900869,cg25016544,cg26078793,cg26434988,cg26474124,cg26908328,cg27304020,cg27539247	E063	1.00e+00
-1.191	9.20e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg09841704	E063	1.00e+00
-5.283	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg01165177,cg01837533,cg04066686,cg05603944,cg06667178,cg11904978,cg12426776,cg16635863,cg16763574,cg17292229,cg17855595,cg17998346,cg18300285,cg19776793,cg21042673,cg23169784,cg26687173	E063	1.00e+00
-1.520	9.89e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00132208,cg00324438,cg00553833,cg01022859,cg01244468,cg01903702,cg02053092,cg02304751,cg03152037,cg04831870,cg05381475,cg05629781,cg06356838,cg06429138,cg07279631,cg07281125,cg08521178,cg08871010,cg09198138,cg09707253,cg09729030,cg10662047,cg10674293,cg11067412,cg11145632,cg11189268,cg12052340,cg12438598,cg14119201,cg14780446,cg15569451,cg16513932,cg16726039,cg17696434,cg18014109,cg18278694,cg18999185,cg19180235,cg19613624,cg20396436,cg20406033,cg20814813,cg20889826,cg21319310,cg21514871,cg21864942,cg22964346,cg22995904,cg23158862,cg23325413,cg23829395,cg24008901,cg24506767,cg24834751,cg24962827,cg25575984,cg25792593,cg26117398,cg26251098,cg26364947,cg26545584,cg26611359,cg27109006,cg27514874,ch.13.76200044F	E063	1.00e+00
-0.981	9.17e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00466492,cg03023891,cg06779253,cg13312174,cg14014731,cg15601452,cg16178855	E063	1.00e+00
-0.977	9.50e-01	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00102093,cg00754426,cg00839132,cg00959749,cg01056242,cg02415231,cg02711163,cg02859129,cg02881430,cg03069736,cg03487276,cg04835995,cg05044994,cg05117638,cg06634886,cg06693505,cg07220939,cg07328635,cg07911953,cg08016336,cg08568649,cg09064314,cg09655329,cg10401362,cg11046030,cg12293340,cg12441928,cg12608643,cg13301582,cg13413996,cg13424302,cg13801271,cg14736210,cg14910175,cg15001131,cg15118447,cg15120220,cg15225325,cg16496269,cg16603012,cg16682329,cg17490089,cg17809377,cg17939401,cg19319393,cg19630689,cg19968946,cg21217270,cg22467052,cg23462772,cg23523755,cg23526087,cg23723818,cg23963229,cg24775963,cg26364809,ch.10.1486890F	E063	1.00e+00
1.018	2.56e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg00465883,cg00899350,cg05864627,cg09643544,cg26171114,cg26518745	E063	1.00e+00
1.442	1.75e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg00808721,cg01234563,cg05071823,cg05421651,cg05973132,cg13526520,cg13840174,cg13988440,cg17574798,cg21557146,cg24307601,cg24828167,cg25312970,cg25354206	E063	1.00e+00
1.849	9.67e-02	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg07646731,cg10347335,cg12807794,cg18755616,cg19042459,cg19217692,cg20116199,cg22723818,cg22970435,cg24697184,cg25125652	E063	1.00e+00
