Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.252	2.44e-03	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg02650017,cg03128029,cg03957124,cg05316065,cg05575921,cg06126421,cg06192883,cg07094298,cg07573872,cg09182678,cg12269535,cg13585930,cg15551881,cg18181703,cg19821297,cg21429551,cg27023597,cg27050612	GSM816644	2.29e-02
4.983	7.64e-06	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03128029,cg03957124,cg05575921,cg06192883,cg07094298,cg09182678,cg10636246,cg12053291,cg12269535,cg13585930,cg15020801,cg15551881,cg17980786,cg18181703,cg18608055,cg18663307,cg21429551,cg23761815,cg25325512,cg26470501,cg27023597,cg27050612,cg27184903,cg27469606	Lookup	1.84e-04
8.032	6.17e-11	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03128029,cg03957124,cg04523589,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg09182678,cg10636246,cg12269535,cg13585930,cg15020801,cg15551881,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg23761815,cg25392060,cg26804423,cg27050612,cg27184903	Lookup	4.17e-08
2.278	2.95e-02	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg00851028,cg01409343,cg02003183,cg02650017,cg03957124,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg18181703,cg18608055,cg25325512,cg26470501,cg27050612	Lookup	2.17e-01
5.398	2.50e-06	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01409343,cg02341197,cg02481950,cg02650017,cg02734358,cg03128029,cg03957124,cg04523589,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg12992827,cg13585930,cg15551881,cg17501210,cg18608055,cg19769147,cg19821297,cg20995564,cg21429551,cg25325512,cg25392060	Lookup	8.89e-05
3.057	3.91e-03	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01409343,cg02003183,cg02650017,cg03957124,cg04523589,cg05575921,cg06192883,cg07094298,cg09182678,cg10636246,cg12269535,cg13585930,cg15551881,cg17980786,cg18608055,cg25392060,cg26470501,cg27050612	GSM816664	3.44e-02
4.792	2.02e-05	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01059398,cg01409343,cg02341197,cg03128029,cg03957124,cg04523589,cg05575921,cg06192883,cg06690548,cg07094298,cg09182678,cg10636246,cg12269535,cg12992827,cg19769147,cg19821297,cg21429551,cg25325512,cg25392060,cg26804423,cg27050612	GSM736607	3.90e-04
4.881	2.18e-05	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg01409343,cg02003183,cg02341197,cg02481950,cg02650017,cg03957124,cg04523589,cg05575921,cg06192883,cg06690548,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg13585930,cg15551881,cg18608055,cg18663307,cg19821297,cg21429551,cg27050612	"GSM736558,GSM736635"	4.09e-04
4.299	1.19e-04	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg01409343,cg02003183,cg02481950,cg02650017,cg03957124,cg06192883,cg06690548,cg07094298,cg08548559,cg10636246,cg12269535,cg15551881,cg18608055,cg18663307,cg19769147,cg19821297,cg21429551,cg24174557,cg27023597,cg27050612	GSM736525	1.58e-03
4.065	2.05e-04	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01409343,cg02341197,cg02650017,cg03957124,cg05575921,cg06192883,cg06690548,cg07094298,cg10636246,cg12269535,cg15020801,cg15551881,cg18608055,cg18663307,cg19821297,cg21429551,cg24174557,cg27023597,cg27050612	"GSM736512,GSM736561"	2.52e-03
5.043	5.27e-06	GM12878	Blood	DHS	GM12878-all.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01409343,cg02003183,cg02481950,cg02650017,cg03128029,cg03957124,cg04523589,cg05575921,cg06192883,cg07094298,cg09182678,cg10636246,cg12053291,cg12269535,cg12992827,cg15020801,cg15551881,cg18608055,cg18663307,cg19821297,cg21429551,cg24174557,cg26470501,cg26804423,cg27023597,cg27050612,cg27184903,cg27469606	"GSM816665,GSM736496,GSM736620"	1.43e-04
0.421	3.94e-01	GM12891	Blood	DHS	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02003183,cg02341197,cg02650017,cg03957124,cg04523589,cg05575921,cg06192883,cg07094298,cg09182678,cg10636246,cg12269535,cg15551881,cg18608055,cg20995564,cg26846781,cg27050612,cg27184903	GSM816656	1.00e+00
1.306	1.36e-01	GM12892	Blood	DHS	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg01059398,cg01409343,cg02003183,cg02341197,cg02650017,cg03957124,cg05575921,cg06192883,cg07094298,cg10636246,cg12269535,cg13585930,cg15551881,cg18608055,cg18663307,cg19821297,cg21429551,cg25392060,cg26846781,cg27050612,cg27469606	GSM816657	9.09e-01
0.961	2.19e-01	GM18507	Blood	DHS	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg01409343,cg02003183,cg02650017,cg05575921,cg06192883,cg07094298,cg10636246,cg12269535,cg15551881,cg18608055,cg18663307,cg21429551,cg27050612	GSM816653	1.00e+00
2.288	2.40e-02	GM19238	Blood	DHS	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02003183,cg02341197,cg02481950,cg02650017,cg03957124,cg04523589,cg05575921,cg06192883,cg07094298,cg09182678,cg10636246,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg20995564,cg21429551,cg27050612	GSM816658	1.82e-01
0.398	4.09e-01	GM19239	Blood	DHS	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02003183,cg02650017,cg03957124,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg18608055,cg18663307,cg27023597,cg27050612	GSM816659	1.00e+00
1.805	5.81e-02	GM19240	Blood	DHS	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg01409343,cg02341197,cg02650017,cg03957124,cg06192883,cg07094298,cg09182678,cg10636246,cg12269535,cg13585930,cg15551881,cg18608055,cg18663307,cg21429551,cg24174557,cg25392060,cg26470501,cg26846781,cg27050612	GSM816648	4.13e-01
5.511	1.12e-06	HL-60	Blood	DHS	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03128029,cg04523589,cg05575921,cg06192883,cg06690548,cg07094298,cg08548559,cg10636246,cg12269535,cg13585930,cg15310871,cg15551881,cg18663307,cg19769147,cg20995564,cg21429551,cg23761815,cg25392060,cg27050612	"GSM736626,GSM736595"	5.05e-05
1.858	5.67e-02	Jurkat	Blood	DHS	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg00812761,cg01059398,cg02003183,cg02650017,cg06192883,cg06690548,cg10636246,cg12269535,cg15020801,cg21429551,cg25392060,cg27050612	"GSM736501,GSM736492"	4.08e-01
5.132	3.27e-06	K562	Blood	DHS	K562-all.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01059398,cg01409343,cg02481950,cg02650017,cg03128029,cg03957124,cg04523589,cg05575921,cg06192883,cg06690548,cg07094298,cg10636246,cg12053291,cg12269535,cg13585930,cg15020801,cg15551881,cg18608055,cg19769147,cg19821297,cg21429551,cg23761815,cg25325512,cg25392060,cg26804423,cg27023597,cg27050612,cg27184903,cg27469606	"GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566"	1.00e-04
5.545	2.40e-06	NB4	Blood	DHS	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02481950,cg02734358,cg03128029,cg04523589,cg05575921,cg06192883,cg06690548,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg13585930,cg15551881,cg19769147,cg20995564,cg21429551,cg27050612,cg27184903	"GSM736604,GSM736529"	8.89e-05
6.483	1.10e-08	Th1	Blood	DHS	hTH1-all.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03128029,cg03957124,cg04523589,cg05575921,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12053291,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg20995564,cg21429551,cg24174557,cg25325512,cg25392060,cg27023597,cg27050612,cg27184903,cg27469606	"GSM736592,GSM1024760"	3.73e-06
5.215	1.08e-05	Th2	Blood	DHS	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03128029,cg03957124,cg05575921,cg06192883,cg06690548,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg18181703,cg18608055,cg18663307,cg20995564,cg24174557,cg27023597	"GSM736502,GSM1024792"	2.14e-04
5.586	3.79e-06	AoAF	Blood vessel	DHS	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg00812761,cg01409343,cg03128029,cg03957124,cg05316065,cg06126421,cg06192883,cg06690548,cg07094298,cg10636246,cg12269535,cg12992827,cg13585930,cg15551881,cg17501210,cg18181703,cg19821297,cg20995564,cg21429551,cg27023597,cg27050612,cg27184903	"GSM736583,GSM736505"	1.11e-04
2.254	2.95e-02	AoSMC	Blood vessel	DHS	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg03128029,cg03957124,cg05316065,cg06126421,cg06192883,cg12269535,cg12992827,cg13585930,cg17501210,cg19821297,cg20995564,cg21429551,cg27050612,cg27184903	GSM816638	2.17e-01
4.196	1.92e-04	HBMEC	Blood vessel	DHS	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg00812761,cg01409343,cg02734358,cg03128029,cg03957124,cg05316065,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg12269535,cg12992827,cg13585930,cg15551881,cg19821297,cg20995564,cg21429551,cg26804423,cg27023597,cg27050612	"GSM736509,GSM736554"	2.41e-03
3.588	7.65e-04	HMVEC-dAd	Blood vessel	DHS	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	cg01409343,cg02734358,cg03128029,cg03957124,cg05316065,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg12269535,cg13585930,cg15551881,cg17501210,cg19821297,cg21429551,cg26470501,cg27023597,cg27050612,cg27469606	"GSM1024745,GSM1024747"	7.84e-03
5.965	7.55e-07	HMVEC-dBl-Ad	Blood vessel	DHS	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01409343,cg02734358,cg03128029,cg03957124,cg05316065,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg12269535,cg12992827,cg13585930,cg15551881,cg17501210,cg18608055,cg19821297,cg21429551,cg25392060,cg26470501,cg26804423,cg27023597	"GSM736609,GSM736523"	4.29e-05
4.372	1.08e-04	HMVEC-dBl-Neo	Blood vessel	DHS	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg00812761,cg01409343,cg02341197,cg02650017,cg02734358,cg03128029,cg05316065,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg12992827,cg13585930,cg15551881,cg17501210,cg19821297,cg21429551,cg26470501,cg26804423,cg27023597	"GSM736571,GSM736521"	1.46e-03
3.108	5.71e-03	HMVEC-dLy-Ad	Blood vessel	DHS	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	cg01409343,cg03128029,cg06192883,cg06690548,cg07094298,cg07573872,cg09182678,cg12269535,cg13585930,cg15551881,cg17501210,cg19821297,cg21429551,cg27023597,cg27050612	"GSM736599,GSM736591"	4.90e-02
4.924	2.25e-05	HMVEC-dLy-Neo	Blood vessel	DHS	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01409343,cg03128029,cg03957124,cg05316065,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg09182678,cg12269535,cg13585930,cg15551881,cg17501210,cg18181703,cg19821297,cg21429551,cg26804423,cg27023597,cg27050612	"GSM736577,GSM736573"	4.11e-04
3.793	6.98e-04	HMVEC-dNeo	Blood vessel	DHS	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	cg00159243,cg01409343,cg02734358,cg03128029,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg12269535,cg15551881,cg17501210,cg18181703,cg18608055,cg19769147,cg19821297,cg21429551,cg26804423,cg27023597	"GSM736611,GSM736624"	7.37e-03
