Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.616	3.35e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg01940273,cg03329539,cg03636183,cg03873392,cg04172771,cg05575921,cg18804920,cg25189904,cg25602603,cg25648203,cg27252467	E029	1.00e+00
-0.464	7.36e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg18804920,cg25602603,cg27252467	E032	1.00e+00
-0.700	6.50e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg18804920	E033	1.00e+00
0.186	4.88e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg04172771,cg04885881,cg11207515,cg21161138,cg21322436,cg23161492,cg24838345,cg25602603,cg27252467	E034	1.00e+00
1.344	1.34e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg01940273,cg03329539,cg03450842,cg04172771,cg05284742,cg05575921,cg11207515,cg16611234,cg18804920,cg21322436,cg23161492,cg25189904,cg25602603,cg25648203,cg27252467	E046	1.00e+00
0.582	3.42e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg03873392,cg04172771,cg04492193,cg10293293,cg11207515,cg18804920,cg25602603,cg26271591,cg27252467	E050	1.00e+00
-0.987	8.94e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg01940273,cg03873392,cg25602603	E051	1.00e+00
-0.010	5.71e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg11207515,cg18804920,cg21322436,cg25602603,cg27252467	E028	1.00e+00
-1.599	9.68e-01	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg01940273,cg03873392,cg09935388,cg14580211,cg23161492,cg25602603,cg27252467	E003	1.00e+00
1.814	7.82e-02	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg01940273,cg03873392,cg21322436,cg25189904,cg25602603,cg27252467	E004	1.00e+00
0.246	4.63e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K9me3	E005-H3K9me3.broadPeak.gz	cg01940273,cg03329539,cg03364381,cg03636183,cg03873392,cg03991871,cg04172771,cg04492193,cg05575921,cg09935388,cg11660018,cg14462402,cg14580211,cg15474579,cg16611234,cg19254163,cg20059012,cg21161138,cg23161492,cg24838345,cg25189904,cg25602603,cg26703534,cg27252467	E005	1.00e+00
0.135	5.06e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K9me3	E006-H3K9me3.broadPeak.gz	cg01940273,cg03873392,cg03991871,cg04885881,cg09935388,cg12075928,cg16611234,cg19254163,cg25602603,cg27252467	E006	1.00e+00
1.070	1.75e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K9me3	E007-H3K9me3.broadPeak.gz	cg01940273,cg03636183,cg03873392,cg03991871,cg04492193,cg05575921,cg06635952,cg07986378,cg09935388,cg14462402,cg14580211,cg15474579,cg16611234,cg19254163,cg19572487,cg21161138,cg23161492,cg24838345,cg25189904,cg25602603,cg26703534,cg27252467	E007	1.00e+00
1.219	1.33e-01	E008 H9 Cells	ES Cell	H3K9me3	E008-H3K9me3.broadPeak.gz	cg01127300,cg01940273,cg03329539,cg03450842,cg03991871,cg04492193,cg04885881,cg05284742,cg05575921,cg06126421,cg07251887,cg09935388,cg10691866,cg14462402,cg14817490,cg15474579,cg19254163,cg20059012,cg21161138,cg21197336,cg21322436,cg23161492,cg24123432,cg25189904,cg25602603,cg25648203,cg26361535,cg26703534,cg27252467	E008	1.00e+00
1.152	1.60e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K9me3	E085-H3K9me3.broadPeak.gz	cg01940273,cg03873392,cg03991871,cg04492193,cg05284742,cg05575921,cg06126421,cg09935388,cg14817490,cg16611234,cg20059012,cg20303561,cg21161138,cg21197336,cg21322436,cg23161492,cg24090911,cg25602603,cg27252467	E085	1.00e+00
0.139	5.06e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K9me3	E080-H3K9me3.broadPeak.gz	cg01940273,cg03364381,cg03636183,cg03991871,cg05575921,cg14817490,cg20059012,cg21161138,cg21197336,cg25189904,cg25602603,cg25648203,cg27252467	E080	1.00e+00
-0.486	7.39e-01	E081 Fetal Brain Male	Fetal Brain	H3K9me3	E081-H3K9me3.broadPeak.gz	cg03873392,cg09935388,cg10293293,cg20059012,cg21322436,cg25189904,cg25602603,cg27252467	E081	1.00e+00
0.562	3.41e-01	E082 Fetal Brain Female	Fetal Brain	H3K9me3	E082-H3K9me3.broadPeak.gz	cg03873392,cg10293293,cg25602603,cg27252467	E082	1.00e+00
-2.057	9.92e-01	E083 Fetal Heart	Fetal Heart	H3K9me3	E083-H3K9me3.broadPeak.gz	cg03873392,cg14580211,cg19254163,cg20303561,cg24090911,cg24838345,cg25602603	E083	1.00e+00
0.728	2.94e-01	E084 Fetal Intestine Large	Fetal Intestine Large	H3K9me3	E084-H3K9me3.broadPeak.gz	cg01127300,cg01940273,cg03329539,cg03636183,cg03991871,cg04492193,cg05284742,cg05575921,cg09935388,cg10293293,cg11207515,cg14817490,cg21161138,cg21197336,cg21322436,cg23161492,cg24090911,cg25602603,cg25648203,cg26361535,cg26703534,cg27252467	E084	1.00e+00
-0.262	6.64e-01	E086 Fetal Kidney	Fetal Kidney	H3K9me3	E086-H3K9me3.broadPeak.gz	cg11207515,cg19254163,cg24090911,cg24838345	E086	1.00e+00
-0.588	7.85e-01	E088 Fetal Lung	Fetal Lung	H3K9me3	E088-H3K9me3.broadPeak.gz	cg03873392,cg25602603,cg27252467	E088	1.00e+00
0.764	2.81e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K9me3	E090-H3K9me3.broadPeak.gz	cg03873392,cg18804920,cg21197336,cg25602603,cg27252467	E090	1.00e+00
1.379	1.32e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K9me3	E089-H3K9me3.broadPeak.gz	cg03873392,cg11207515,cg16611234,cg25602603,cg27252467	E089	1.00e+00
-0.182	6.32e-01	E092 Fetal Stomach	Fetal Stomach	H3K9me3	E092-H3K9me3.broadPeak.gz	cg01940273,cg03329539,cg03364381,cg03873392,cg03991871,cg04172771,cg04492193,cg05575921,cg06126421,cg09935388,cg10293293,cg14462402,cg14817490,cg16611234,cg19254163,cg20059012,cg21161138,cg21197336,cg23161492,cg25189904,cg25602603,cg25648203,cg26703534,cg27252467	E092	1.00e+00
0.957	2.08e-01	E093 Fetal Thymus	Fetal Thymus	H3K9me3	E093-H3K9me3.broadPeak.gz	cg01127300,cg01940273,cg03329539,cg03364381,cg03450842,cg03873392,cg03991871,cg04172771,cg04492193,cg05284742,cg06126421,cg07251887,cg09935388,cg10293293,cg10691866,cg11660018,cg14462402,cg14580211,cg14817490,cg15474579,cg16611234,cg18804920,cg19254163,cg19572487,cg20059012,cg21161138,cg21197336,cg21322436,cg23161492,cg24123432,cg25189904,cg25602603,cg25648203,cg26361535,cg26703534,cg27252467	E093	1.00e+00
-1.037	8.85e-01	E094 Gastric	Gastric	H3K9me3	E094-H3K9me3.broadPeak.gz	cg01940273,cg03329539,cg03873392,cg03991871,cg04172771,cg04492193,cg14817490,cg20059012,cg21197336,cg21322436,cg25189904,cg25602603,cg25648203,cg26703534	E094	1.00e+00
0.773	2.72e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K9me3	E021-H3K9me3.broadPeak.gz	cg01940273,cg05284742,cg06635952,cg07251887,cg25602603,cg27252467	E021	1.00e+00
1.799	5.40e-02	E022 iPS DF 19.11 Cells	IPS cell	H3K9me3	E022-H3K9me3.broadPeak.gz	cg01127300,cg01940273,cg03329539,cg03364381,cg03450842,cg03636183,cg03991871,cg04172771,cg04492193,cg04885881,cg05284742,cg05575921,cg06126421,cg06635952,cg09935388,cg10293293,cg11660018,cg14462402,cg14817490,cg16611234,cg19254163,cg20059012,cg21161138,cg21197336,cg23161492,cg24838345,cg25602603,cg25648203,cg26361535,cg27252467	E022	1.00e+00
-0.351	6.89e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K9me3	E017-H3K9me3.broadPeak.gz	cg01940273,cg03329539,cg04172771,cg09935388,cg14817490,cg18804920,cg20303561,cg21322436,cg25602603,cg27252467	E017	1.00e+00
-1.069	8.87e-01	E097 Ovary	Ovary	H3K9me3	E097-H3K9me3.broadPeak.gz	cg01940273,cg03873392,cg04172771,cg04492193,cg04885881,cg05575921,cg07251887,cg19254163,cg25602603,cg25648203,cg27252467	E097	1.00e+00
0.306	4.34e-01	E098 Pancreas	Pancreas	H3K9me3	E098-H3K9me3.broadPeak.gz	cg01127300,cg01940273,cg03329539,cg03636183,cg03873392,cg03991871,cg04172771,cg05575921,cg09935388,cg12075928,cg14462402,cg14817490,cg19254163,cg20059012,cg21161138,cg21322436,cg24838345,cg25189904,cg25602603,cg25648203,cg26361535,cg26703534,cg27252467	E098	1.00e+00
1.870	4.58e-02	E091 Placenta	Placenta	H3K9me3	E091-H3K9me3.broadPeak.gz	cg01127300,cg01940273,cg03329539,cg03364381,cg03450842,cg03991871,cg04172771,cg04492193,cg09935388,cg10293293,cg10691866,cg16611234,cg18804920,cg19254163,cg21161138,cg21197336,cg21322436,cg25602603,cg25648203,cg26361535,cg27252467	E091	1.00e+00
0.698	3.11e-01	E100 Psoas Muscle	Psoas Muscle	H3K9me3	E100-H3K9me3.broadPeak.gz	cg03873392,cg04172771,cg11207515,cg18804920,cg25602603	E100	1.00e+00
1.346	1.17e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K9me3	E055-H3K9me3.broadPeak.gz	cg01127300,cg01940273,cg03364381,cg03636183,cg04172771,cg04492193,cg11207515,cg14817490,cg18804920,cg20303561,cg21197336,cg21322436,cg25602603,cg25648203,cg26703534,cg27252467	E055	1.00e+00
0.622	3.15e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K9me3	E056-H3K9me3.broadPeak.gz	cg01940273,cg03364381,cg03636183,cg03873392,cg04172771,cg05284742,cg09935388,cg18804920,cg21322436,cg25602603,cg25648203,cg26703534,cg27252467	E056	1.00e+00
-0.714	8.16e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K9me3	E057-H3K9me3.broadPeak.gz	cg03636183,cg03991871,cg04172771,cg10293293,cg14817490,cg20303561,cg21322436,cg24090911,cg25602603,cg27252467	E057	1.00e+00
1.633	8.22e-02	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K9me3	E059-H3K9me3.broadPeak.gz	cg01899089,cg01940273,cg03329539,cg03364381,cg03636183,cg03991871,cg04172771,cg04492193,cg05575921,cg06126421,cg14462402,cg14817490,cg18804920,cg19254163,cg19572487,cg21161138,cg21197336,cg21322436,cg23161492,cg25602603,cg26361535,cg27252467	E059	1.00e+00
-0.586	7.73e-01	E109 Small Intestine	Small Intestine	H3K9me3	E109-H3K9me3.broadPeak.gz	cg03329539,cg04885881,cg11660018,cg18804920,cg21322436,cg23161492,cg25602603,cg26271591,cg27252467	E109	1.00e+00
