Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.783	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00359030,cg00381391,cg00381516,cg00638845,cg00714531,cg00758214,cg02170785,cg02402423,cg02420943,cg03210018,cg03492094,cg04765589,cg04933530,cg04997452,cg05316492,cg06794913,cg07056602,cg07718085,cg07730263,cg07879720,cg08061334,cg09339568,cg09532994,cg09863265,cg10054763,cg11000869,cg12667152,cg13197551,cg13726456,cg13732043,cg14025883,cg14879823,cg16270995,cg16508714,cg16714237,cg16950658,cg17040893,cg17338225,cg17384357,cg17519037,cg18455616,cg18783781,cg18830042,cg19296400,cg19791780,cg19998289,cg21237481,cg21640749,cg21672758,cg22027879,cg22069559,cg22883080,cg23911543,cg23990557,cg25852061,cg27094581,cg27131881,cg27143027,cg27481141	E029	1.00e+00
-6.709	1.00e+00	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00114012,cg00460843,cg00638845,cg00823480,cg01310029,cg01437709,cg01482779,cg01978458,cg02212711,cg02402423,cg02436083,cg02543556,cg02930951,cg03329755,cg03666966,cg03695871,cg03812149,cg04385523,cg04933530,cg05042038,cg05056419,cg05194248,cg05879394,cg06608224,cg07056602,cg07177867,cg08061334,cg08439122,cg08652605,cg08778580,cg08969102,cg09194810,cg09247945,cg11558387,cg11939550,cg12383160,cg13205244,cg13221796,cg13279458,cg13531735,cg13726456,cg13732043,cg14362073,cg15123849,cg15998596,cg16270995,cg16438366,cg17116500,cg17519037,cg17542165,cg18783781,cg21640749,cg23475294,cg23557612,cg24028828,cg24343524,cg25003924,cg25308597,cg26461944,cg26529864,cg27481141	E032	1.00e+00
-7.966	1.00e+00	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00114012,cg01191788,cg02543556,cg03492094,cg04217850,cg04290133,cg04385523,cg04404773,cg05056419,cg05879394,cg06608224,cg07056602,cg08423755,cg08439122,cg08969102,cg11558387,cg11939550,cg12383160,cg13135255,cg13205244,cg13726456,cg13732043,cg16160637,cg16438366,cg17519037,cg17532497,cg18783781,cg19375767,cg20182202,cg25003924,cg25308597,cg25475273,cg26461944,cg27481141	E033	1.00e+00
-6.808	1.00e+00	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00114012,cg00764582,cg00823480,cg01310029,cg01437709,cg01482779,cg02068052,cg02402423,cg02436083,cg02543556,cg03035271,cg03092343,cg03210018,cg03492094,cg04217850,cg04883329,cg05042038,cg06608224,cg07056602,cg07177867,cg08439122,cg08969102,cg09247945,cg10704177,cg11606229,cg12383160,cg12492850,cg12614529,cg12773397,cg13135255,cg13531735,cg13726456,cg13732043,cg14362073,cg14879823,cg15244874,cg15988632,cg16122287,cg16160637,cg16349667,cg16438366,cg18783781,cg20493175,cg23149707,cg23434083,cg23475294,cg23871276,cg23875532,cg24028828,cg24323626,cg24343524,cg25003924,cg26461944,cg26529864,cg27143027,cg27481141	E034	1.00e+00
-7.788	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00114012,cg00634542,cg00823480,cg01310029,cg02543556,cg03210018,cg03492094,cg06304167,cg06608224,cg07056602,cg07410597,cg08439122,cg08886771,cg08969102,cg10142874,cg11238327,cg11296110,cg13221796,cg13531735,cg13726456,cg13732043,cg16270995,cg16349667,cg16438366,cg17040893,cg17338225,cg18455616,cg18783781,cg21640749,cg22027879,cg22775585,cg23475294,cg24028828,cg25003924,cg25308597,cg27131881,cg27481141	E046	1.00e+00
-2.078	9.89e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00427854,cg00638845,cg00714531,cg00746666,cg00764582,cg00978517,cg01200145,cg01330991,cg01450133,cg01998785,cg02212711,cg02243624,cg02290349,cg02543556,cg02589986,cg02979987,cg03492094,cg03653158,cg03666966,cg03784596,cg04100865,cg04377912,cg04385523,cg04983687,cg04997452,cg05072637,cg05473599,cg05480350,cg05555563,cg06592575,cg06863152,cg07056602,cg07361747,cg07465458,cg07718085,cg08481694,cg09080248,cg09194810,cg10011040,cg10054763,cg10120159,cg10521603,cg10650214,cg11205545,cg11558387,cg11606229,cg11791710,cg11929042,cg12003079,cg12077754,cg12119581,cg12667152,cg13279458,cg13531735,cg13576217,cg13672080,cg13726456,cg13732043,cg14012059,cg14025883,cg14378743,cg14697045,cg14999724,cg15053244,cg16191278,cg16438366,cg16660617,cg16950658,cg16953142,cg17022365,cg17040893,cg17078207,cg17245251,cg17256681,cg17784922,cg17946525,cg17982734,cg18182820,cg18783781,cg19069027,cg19260922,cg19375767,cg19376906,cg19396390,cg19456763,cg19696679,cg20387860,cg20649656,cg20831584,cg20885063,cg20893283,cg21640749,cg21723861,cg21992676,cg22027879,cg22080845,cg22775585,cg23076894,cg23149707,cg23464586,cg23871276,cg24108508,cg24447018,cg24541864,cg25003924,cg25308597,cg25348163,cg25466522,cg25479097,cg25926955,cg26235490,cg26337091,cg26365969,cg27308490,cg27335233,cg27341747,cg27481141,cg27508623	E050	1.00e+00
-6.133	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00714531,cg00978517,cg01450133,cg01499988,cg01998785,cg02212711,cg02543556,cg02589986,cg03722757,cg03784596,cg04100865,cg04377912,cg04983687,cg05480350,cg06592575,cg06608224,cg07056602,cg07465458,cg08348441,cg09080248,cg10142874,cg11205545,cg11558387,cg12003079,cg12077754,cg12119581,cg12667152,cg13279458,cg13726456,cg13732043,cg14140403,cg14378743,cg17040893,cg17245251,cg17718238,cg18182820,cg18715410,cg18783781,cg19069027,cg19375767,cg19376906,cg19396390,cg19456763,cg20493175,cg20649656,cg21640749,cg23076894,cg23464586,cg23871276,cg24028828,cg24447018,cg25003924,cg25926955,cg26337091,cg27308490,cg27341747,cg27481141	E051	1.00e+00
-4.074	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00006459,cg00381391,cg00742276,cg00766820,cg01224965,cg01325448,cg02133716,cg02420943,cg02436083,cg02856510,cg02874537,cg03079679,cg03131767,cg03210018,cg03369382,cg03651219,cg03722757,cg03812149,cg04170495,cg04308301,cg04399631,cg04564998,cg04765589,cg04933530,cg04992471,cg04997452,cg05306459,cg05316492,cg05555563,cg05934594,cg05981968,cg06070625,cg06223015,cg06996254,cg07428892,cg07589211,cg07718085,cg07879720,cg07906050,cg08256839,cg08538069,cg08553585,cg08652605,cg09040200,cg09458420,cg09486450,cg09684929,cg09863265,cg10054763,cg10815420,cg11202380,cg11230866,cg11495812,cg11522179,cg11770323,cg12154164,cg12396412,cg12402318,cg12450789,cg12548730,cg12667152,cg12734151,cg13628444,cg13726456,cg13789639,cg14025883,cg14179258,cg14265474,cg14362073,cg14378743,cg14390854,cg14617280,cg14769121,cg15314908,cg15331937,cg15402265,cg15881027,cg16122287,cg16270995,cg16427256,cg16660617,cg17939602,cg17971251,cg18456722,cg19475270,cg20037145,cg20813763,cg20831584,cg21568193,cg21664942,cg21723861,cg22069559,cg22146772,cg23414568,cg23464586,cg23825347,cg23856600,cg23871276,cg23911543,cg23985372,cg24541864,cg25877465,cg26252077,cg26997652,cg27481141,cg27508623,cg27653134	E028	1.00e+00
-8.297	1.00e+00	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00381516,cg01284182,cg01310029,cg01978458,cg01998785,cg02133716,cg02170785,cg03329755,cg03501393,cg03666966,cg03837359,cg04308301,cg04931493,cg05159759,cg05219423,cg05541460,cg06144471,cg06315149,cg06794913,cg07361747,cg09040200,cg09486450,cg09565310,cg11014921,cg11115840,cg12213680,cg12383160,cg13064897,cg13118684,cg13360526,cg13726456,cg13732043,cg14190451,cg14362073,cg14697045,cg16147002,cg16438366,cg16450797,cg17784922,cg17879351,cg18715410,cg18783781,cg20267283,cg21723861,cg22503106,cg23475294,cg23825347,cg23871276,cg24028828,cg24304533,cg24517604,cg24536162,cg24872571,cg25003924,cg26102082,cg26382374,cg26461944,cg26529864,cg26703587,cg26804299,cg26985528,cg26997652,cg27481141	E003	1.00e+00
0.295	4.06e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00006459,cg00123090,cg00823480,cg00990977,cg01137366,cg01191788,cg01284182,cg01291780,cg01310029,cg01998785,cg02068052,cg02133716,cg02170785,cg02233915,cg02423065,cg02436083,cg02864713,cg02930951,cg03092343,cg03119191,cg03210018,cg03501393,cg03502211,cg03653158,cg03784596,cg03812149,cg04031158,cg04308301,cg04377912,cg04459751,cg04564998,cg04765589,cg04997452,cg05159759,cg05261121,cg05358754,cg05480350,cg05541460,cg05981968,cg06127160,cg06144471,cg06566952,cg06592918,cg06651549,cg06755692,cg06794913,cg07410597,cg07459967,cg07579327,cg07589211,cg07778428,cg07879720,cg08061334,cg08256839,cg08538069,cg08553585,cg08652605,cg08761605,cg09012511,cg09040200,cg09458420,cg09486450,cg10279452,cg10521603,cg10704177,cg11014921,cg11081261,cg11115840,cg11422446,cg11514604,cg11770323,cg12213680,cg12383160,cg12402318,cg12450789,cg12614529,cg12667152,cg12773397,cg13064897,cg13118684,cg13174688,cg13298043,cg13353793,cg13360526,cg13458609,cg13459606,cg13726456,cg13732043,cg13792581,cg14655553,cg14783123,cg15075897,cg15314908,cg15331937,cg15579574,cg15634144,cg15767361,cg15988632,cg16064932,cg16107105,cg16147002,cg16160637,cg16263722,cg16270995,cg16438366,cg16450797,cg16606719,cg16660617,cg16677621,cg17022365,cg17040893,cg17116500,cg17245251,cg17256681,cg17338225,cg17784922,cg17879351,cg17939602,cg17971251,cg18099556,cg18135530,cg18190876,cg18367488,cg18455414,cg18455616,cg18715410,cg18783781,cg18805734,cg19260922,cg19375767,cg19376906,cg19434937,cg19475270,cg19851810,cg20178107,cg20216313,cg20263733,cg20387860,cg20493175,cg20813763,cg20885063,cg20893283,cg21723861,cg22027879,cg22146772,cg22503106,cg22905973,cg23054654,cg23149707,cg23205629,cg23260901,cg23414568,cg23464586,cg23475294,cg23856600,cg23871276,cg23911543,cg23975326,cg24028828,cg24039962,cg24304533,cg24323626,cg24343524,cg24358891,cg24380653,cg24517604,cg24536162,cg24829718,cg24872571,cg25003924,cg25308597,cg25368824,cg26197665,cg26382374,cg26425190,cg26461944,cg26529864,cg26633168,cg26703587,cg26804299,cg26985528,cg27143027,cg27341747,cg27481141,cg27653134	E004	1.00e+00
2.443	8.78e-03	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg00006459,cg00114012,cg00123090,cg00329570,cg00527937,cg00742276,cg01009225,cg01284182,cg01439230,cg01998785,cg02133716,cg02233915,cg02864713,cg02874537,cg03695871,cg03812149,cg04170495,cg04308301,cg04497992,cg04564998,cg04765589,cg04933530,cg04992471,cg04997452,cg05316492,cg05480350,cg05541460,cg05555563,cg06127160,cg06144471,cg06290138,cg06608224,cg06612119,cg06651549,cg06996254,cg07428892,cg07459967,cg07589211,cg07778428,cg07879720,cg08256839,cg08538069,cg08559734,cg08652605,cg09040200,cg09486450,cg09908050,cg10051213,cg10054763,cg10105512,cg10704177,cg11014921,cg11115840,cg11202380,cg11422446,cg11770323,cg11939550,cg12077460,cg12154164,cg12213680,cg12450789,cg12614529,cg12667152,cg12734151,cg13064897,cg13072730,cg13118684,cg13298043,cg13360526,cg13458609,cg13672080,cg13726456,cg13789639,cg14179258,cg14769121,cg15075897,cg15314908,cg15402265,cg15532312,cg16064932,cg16107105,cg16160637,cg16191278,cg16263722,cg16270995,cg16306670,cg16660617,cg17040893,cg17218818,cg17936236,cg17941143,cg17971251,cg18135530,cg18190876,cg18278420,cg18337287,cg18367488,cg18455414,cg18783781,cg19198938,cg19375767,cg19434937,cg20178107,cg20385913,cg20804243,cg20813763,cg21664942,cg21723861,cg22252112,cg22418084,cg22905973,cg22972893,cg23054654,cg23149707,cg23575099,cg23825347,cg23856600,cg23911543,cg23948955,cg23975326,cg23990557,cg24108508,cg24323626,cg24343524,cg24358891,cg24380653,cg24541864,cg24872571,cg25877465,cg26396322,cg26425190,cg26633168,cg27131881,cg27341747,cg27481141,cg27653134	E005	3.64e-01
-1.972	9.87e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	cg00006459,cg00114012,cg00123090,cg00359030,cg00766820,cg00851361,cg00961073,cg00990977,cg01119571,cg01437709,cg01450133,cg01998785,cg02133716,cg02290349,cg02324015,cg02436083,cg02874537,cg03119191,cg03210018,cg03369382,cg03722757,cg03812149,cg04170495,cg04308301,cg04399631,cg04484304,cg04564998,cg04765589,cg04933530,cg04997452,cg05045380,cg05159759,cg05879394,cg05981968,cg06794913,cg07299810,cg07332540,cg07465458,cg07589211,cg07827820,cg07879720,cg07906050,cg08256839,cg08439122,cg08538069,cg08761605,cg08922108,cg09040200,cg09080248,cg09194810,cg09444226,cg09458420,cg09565310,cg09980470,cg10054763,cg10142874,cg10466699,cg10590350,cg10794399,cg11202380,cg11770323,cg11799283,cg11841710,cg12074090,cg12450789,cg12548730,cg12667152,cg13174688,cg13197551,cg13298043,cg13458609,cg13576217,cg13628444,cg13726456,cg13953978,cg14179258,cg14184646,cg14226212,cg14378743,cg14697045,cg15123849,cg15203376,cg16107105,cg16122287,cg16147002,cg16160637,cg16182457,cg16270995,cg16677621,cg17040893,cg17384357,cg17542165,cg17844602,cg17971251,cg18099556,cg18135530,cg18367488,cg18455414,cg18456722,cg19198938,cg19434937,cg19475270,cg19998289,cg20813763,cg21237481,cg21568193,cg21723861,cg21931263,cg22022320,cg22027879,cg22252112,cg22883080,cg23149707,cg23472776,cg23475294,cg23557612,cg23871276,cg23911543,cg23975326,cg23985372,cg23990557,cg24014587,cg24278615,cg24323626,cg24541864,cg24818699,cg24829718,cg24872571,cg25602071,cg25799589,cg25877465,cg26145152,cg26461944,cg26592446,cg27046434,cg27143027,cg27341747,cg27481141	E006	1.00e+00
-8.620	1.00e+00	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg00123090,cg01437709,cg01439230,cg01998785,cg02171825,cg02202133,cg03695871,cg03722757,cg05541460,cg06794913,cg06839111,cg07459967,cg07589211,cg08061334,cg08538069,cg08652605,cg08969102,cg09040200,cg09980470,cg10120159,cg11014921,cg12383160,cg13064897,cg13459606,cg13726456,cg13732043,cg14783123,cg16182457,cg16438366,cg17040893,cg17718238,cg17934955,cg17941143,cg18455414,cg18783781,cg23054654,cg23475294,cg23871276,cg23990557,cg24823679,cg24872571,cg25003924,cg26382374,cg26461944,cg26529864,cg26804299,cg27481141	E007	1.00e+00
-7.768	1.00e+00	E008 H9 Cells	ES Cell	DHS	E008-DNase.hotspot.fdr0.01.broad.bed.gz	cg00123090,cg00924612,cg01137366,cg01200145,cg01284182,cg01978458,cg01998785,cg02133716,cg02170785,cg02436083,cg02543556,cg03329755,cg03475216,cg03666966,cg03695871,cg04308301,cg04385523,cg04931493,cg05219423,cg05541460,cg06144471,cg06794913,cg06996254,cg07879720,cg08061334,cg08439122,cg08652605,cg08922698,cg09040200,cg09194810,cg09245115,cg09486450,cg11115840,cg11215870,cg11988722,cg12060026,cg12213680,cg12383160,cg12450789,cg13064897,cg13118684,cg13360526,cg13459606,cg13531735,cg13726456,cg13732043,cg14190451,cg14362073,cg14697045,cg15075897,cg15634144,cg16107105,cg16147002,cg16438366,cg17879351,cg18161208,cg18715410,cg18783781,cg21045547,cg21234134,cg22221575,cg23054654,cg23414568,cg23475294,cg23948955,cg23975326,cg24028828,cg24039962,cg24254196,cg24358891,cg24517604,cg24536162,cg24872571,cg25003924,cg26382374,cg26461944,cg26529864,cg26703587,cg26804299,cg26985528,cg26997652,cg27481141	E008	1.00e+00
