Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.326	6.45e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00427086,cg01496720,cg01692968,cg01993413,cg02249930,cg02505871,cg02641675,cg02734358,cg03019460,cg03143849,cg03411579,cg03640051,cg03725309,cg03912013,cg04073039,cg04080353,cg04184836,cg04882003,cg04952446,cg05654980,cg05845319,cg06096336,cg06294803,cg06422693,cg07979752,cg08098457,cg08879470,cg09138671,cg09351636,cg10970776,cg11680158,cg11877577,cg11975718,cg14387360,cg14795047,cg15208284,cg15666066,cg15814508,cg16362983,cg16656852,cg17197981,cg17443080,cg17737835,cg17877220,cg18696027,cg18931895,cg19478983,cg20554312,cg20560182,cg20728685,cg20908993,cg20988565,cg21643860,cg22435785,cg22508615,cg22949637,cg23655939,cg24965617,cg25138854,cg25539011,cg26082174,cg26257082,cg27287791	E063	1.00e+00
12.073	1.22e-27	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00008629,cg00134210,cg00135056,cg00187375,cg00207731,cg00252813,cg00285394,cg00400028,cg00463562,cg00472277,cg00574958,cg00657871,cg00901982,cg00907204,cg00937359,cg01020987,cg01170099,cg01414882,cg01428071,cg01456243,cg01464985,cg01881062,cg01932734,cg02010481,cg02232751,cg02336827,cg02345399,cg02359132,cg02484776,cg02560388,cg02716826,cg02743070,cg02905900,cg02932780,cg03014427,cg03043406,cg03068497,cg03198203,cg03333737,cg03354554,cg03395898,cg03450635,cg03484180,cg03560879,cg03655330,cg03698343,cg03721978,cg03770138,cg03929796,cg03945538,cg04009456,cg04017672,cg04285956,cg04291124,cg04424621,cg04456029,cg04608933,cg04713358,cg04746917,cg04949225,cg05068428,cg05151185,cg05316627,cg05429445,cg05559445,cg05603985,cg05616472,cg05760053,cg05779272,cg06088069,cg06211255,cg06285727,cg06321376,cg06361161,cg06372654,cg06630241,cg06647068,cg06705435,cg06778853,cg06826457,cg06933384,cg06983052,cg07026107,cg07092212,cg07156249,cg07199619,cg07422880,cg07452306,cg07507251,cg07820214,cg07995927,cg08003402,cg08099136,cg08864105,cg08876103,cg08880817,cg08889930,cg08899105,cg09041527,cg09091424,cg09182189,cg09249494,cg09284772,cg09588020,cg09703123,cg09762242,cg09837977,cg10106091,cg10255761,cg10381071,cg10418289,cg10421247,cg10468373,cg10670430,cg10919522,cg11002698,cg11213898,cg11366934,cg11489251,cg11494773,cg11649376,cg11660018,cg11870042,cg12133952,cg12269535,cg12336777,cg12526474,cg12627844,cg12773030,cg12848614,cg13028930,cg13202877,cg13505393,cg13519902,cg13630493,cg13642791,cg13709639,cg13758054,cg14044057,cg14093936,cg14097568,cg14223444,cg14254419,cg14290576,cg14326315,cg14428590,cg14476101,cg14580211,cg14616353,cg14741228,cg14853734,cg14970975,cg15033269,cg15298486,cg15387943,cg15474579,cg15717558,cg15829114,cg16041806,cg16129132,cg16315329,cg16595484,cg16631539,cg16948145,cg17066943,cg17214023,cg17215278,cg17217654,cg17298279,cg17327067,cg17329534,cg17339776,cg17386185,cg17567838,cg17724175,cg17901584,cg17916418,cg17971578,cg18262201,cg18262993,cg18316386,cg18642234,cg18668382,cg19120513,cg19266329,cg19501423,cg19713429,cg19755007,cg19799178,cg19965693,cg20014974,cg20248822,cg20384542,cg20594304,cg20698421,cg20813374,cg20842915,cg21372200,cg21691367,cg21990700,cg22017309,cg22178392,cg22370057,cg22407942,cg22479546,cg22706883,cg22800273,cg22940798,cg23090046,cg23090529,cg23359742,cg23683012,cg23756264,cg23919111,cg24046474,cg24109116,cg24230340,cg24263283,cg24332710,cg24461171,cg24663255,cg24711224,cg24733384,cg24760467,cg24935121,cg25139649,cg25296103,cg25375916,cg25900943,cg26189283,cg26221105,cg26467528,cg26615176,cg26692003,cg26723847,cg26829189,cg27315497,cg27610250	E063	2.27e-25
4.107	1.85e-03	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg01180628,cg02583484,cg04444771,cg16290996,cg19693031,cg25325512,cg26034658,cg26953232,cg27545615	E063	7.47e-02
-5.740	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00220721,cg00683922,cg01199327,cg02988775,cg03366574,cg03986322,cg05399785,cg05560873,cg05778549,cg07134632,cg07631309,cg09310636,cg10025586,cg11183227,cg12590902,cg13246468,cg13727957,cg13802316,cg13876222,cg14334350,cg14617280,cg15357118,cg16263722,cg18578954,cg19240637,cg19750657,cg21703988,cg22858308,cg23236366,cg23449274,cg23761815,cg26949393,cg27175380,cg27530807	E063	1.00e+00
-4.351	1.00e+00	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00094412,cg00780810,cg01419713,cg01936839,cg01973676,cg02504211,cg02508743,cg02794990,cg02839202,cg02917536,cg03241816,cg03286609,cg03619256,cg03940776,cg04011474,cg04075184,cg04847110,cg05200313,cg05242244,cg05856556,cg06012428,cg06568490,cg07217499,cg07469815,cg07828169,cg07901253,cg07943780,cg08280341,cg09130674,cg09489470,cg10167235,cg10520790,cg10670376,cg11036672,cg11376147,cg11432943,cg11556164,cg12465805,cg12587954,cg12903094,cg13185218,cg13277254,cg13300580,cg13595556,cg14262884,cg15357821,cg15798873,cg15934140,cg16362140,cg18763536,cg19448816,cg19572574,cg19574915,cg20489946,cg20558112,cg21052932,cg21346154,cg21376004,cg21836122,cg22850925,cg23227726,cg23510415,cg23646614,cg23875532,cg24496021,cg24691964,cg25215049,cg25817701,cg26361533,cg27216853	E063	1.00e+00
1.070	1.71e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00741986,cg02003183,cg02079413,cg02297838,cg04735908,cg04816311,cg06528816,cg10732016,cg11344744,cg12644285,cg13553147,cg14605396,cg14977938,cg16734637,cg19543782,cg20283107,cg21932231,cg25221975,cg27178772	E063	1.00e+00
12.737	6.67e-30	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00058291,cg00061031,cg00156232,cg00159243,cg00210249,cg00244001,cg00259742,cg00611192,cg00701951,cg01015663,cg01104306,cg01178099,cg01198738,cg01400822,cg01437204,cg01661284,cg01983725,cg02009648,cg02268851,cg02291556,cg02893429,cg02946885,cg03008584,cg03162492,cg03183540,cg03257930,cg03450842,cg03514843,cg03594078,cg03774935,cg04084354,cg04100595,cg04389058,cg04486886,cg04804748,cg04913803,cg04973995,cg05014727,cg05045380,cg05078091,cg05155595,cg05201300,cg05207583,cg05246110,cg05284742,cg05438378,cg05557266,cg05568549,cg05673882,cg05991009,cg06192883,cg06372475,cg06442723,cg06466940,cg06690548,cg06933525,cg07037944,cg07266431,cg07330742,cg07698196,cg07742396,cg07814318,cg07862235,cg07960624,cg08116915,cg08167085,cg08176258,cg08187814,cg08355863,cg08423142,cg08549335,cg08580308,cg08877322,cg09022230,cg09129536,cg09261072,cg09273683,cg09340403,cg09415366,cg09449988,cg09754197,cg09760098,cg10287970,cg10439456,cg10553969,cg10575219,cg10691866,cg10753966,cg10864794,cg10938393,cg11084718,cg11481582,cg11650298,cg11717880,cg11752250,cg11753018,cg12018809,cg12147622,cg12364074,cg12571570,cg12674975,cg12770539,cg12992827,cg13167816,cg13221796,cg13413819,cg13518625,cg13770461,cg13784607,cg13948857,cg14127947,cg14264316,cg14277403,cg14520947,cg14780276,cg15318853,cg15334909,cg15618758,cg15672022,cg15696506,cg15697257,cg15851905,cg15989436,cg16001689,cg16252905,cg16263152,cg16292768,cg16306654,cg16398761,cg16432835,cg16522412,cg16694480,cg16969872,cg17084044,cg17088014,cg17253709,cg17343196,cg17351927,cg17501210,cg17551891,cg17602444,cg17877600,cg18110140,cg18826637,cg19213703,cg19220272,cg19405329,cg19554257,cg19589396,cg19914919,cg20146909,cg20155035,cg20184330,cg20660989,cg20732076,cg20782117,cg20788426,cg20802826,cg21322436,cg21913886,cg22045288,cg22396498,cg22594214,cg22792367,cg23002590,cg23172671,cg23327334,cg23542902,cg23547429,cg23573227,cg23645210,cg23831876,cg23900712,cg23916896,cg24304210,cg24859433,cg25114611,cg25139636,cg25165932,cg25368647,cg25491122,cg25594736,cg25747190,cg25832796,cg25983901,cg26140475,cg26161057,cg26170244,cg26253134,cg26315985,cg26361436,cg26361535,cg26686150,cg27049094,cg27262041,cg27431877,cg27494897	E063	1.54e-27
-0.975	8.94e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg01169021,cg13428066	E063	1.00e+00
-2.671	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg14447710	E063	1.00e+00
-1.676	9.85e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg17849569	E063	1.00e+00
