Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
13.260	1.73e-31	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00033450,cg00112952,cg00698382,cg00949332,cg00989806,cg01201279,cg01239499,cg01297684,cg01384410,cg01521397,cg01863006,cg01889448,cg01942558,cg02109585,cg02190353,cg02243157,cg02353916,cg02485174,cg02498886,cg02763933,cg02874930,cg03181300,cg03211711,cg03418002,cg03445932,cg03706086,cg03964681,cg04107129,cg04165922,cg04204465,cg04283041,cg04403684,cg04645556,cg04739200,cg04781916,cg05059108,cg05141485,cg05206633,cg05247190,cg05442797,cg05475858,cg05636896,cg05874443,cg05986449,cg06331585,cg06524923,cg06570358,cg06645335,cg07149033,cg07305485,cg07322196,cg07349477,cg07372938,cg07569918,cg07721756,cg07861448,cg07935482,cg08279189,cg08287940,cg08303418,cg08482536,cg08853920,cg08998950,cg09025741,cg09245350,cg09366951,cg09417038,cg09467433,cg09659072,cg10056106,cg10277044,cg10456459,cg10507445,cg10703154,cg10834070,cg10997258,cg11340328,cg11601463,cg12228627,cg12331776,cg12866960,cg12870052,cg13051245,cg13217238,cg13256716,cg13448633,cg13574411,cg13691353,cg13929323,cg13962111,cg14095963,cg14306650,cg14339738,cg14509133,cg14541992,cg14690837,cg14730017,cg14856222,cg15137734,cg15233651,cg15263617,cg15612945,cg15715903,cg15734589,cg15980656,cg16125725,cg16152137,cg16280551,cg16354404,cg16422316,cg16972032,cg17090611,cg17301248,cg17520907,cg17566325,cg17714232,cg17828921,cg17970043,cg18537222,cg18586585,cg18893685,cg18958185,cg19097407,cg19743666,cg19787543,cg19806151,cg20083297,cg20130571,cg20385971,cg20588986,cg20786422,cg20877250,cg20896049,cg21250898,cg21379113,cg21603178,cg21814550,cg21854538,cg21887193,cg21964148,cg22412298,cg22455501,cg22697477,cg22846250,cg23137881,cg23372523,cg23625388,cg23745290,cg23965049,cg24312537,cg24496021,cg24880665,cg25053141,cg25569341,cg26010015,cg26173962,cg26237810,cg26300092,cg26413855,cg26434859,cg26649551,cg26849382,cg27256074,cg27596169,cg27605677	NA	1.29e-30
-2.527	9.97e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00928596,cg01201279,cg01229787,cg01889448,cg02243157,cg03181300,cg05059108,cg07033722,cg07721756,cg09417038,cg09574909,cg14286363,cg14509133,cg14614789,cg15884546,cg15955909,cg17107388,cg17566325,cg19039140,cg19070118,cg20022454,cg26585354,cg27256074	NA	1.00e+00
16.887	6.43e-41	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00033450,cg00923880,cg00989806,cg01201279,cg01239499,cg01297684,cg01384410,cg01863006,cg01942558,cg02109585,cg02243157,cg02353916,cg02453013,cg02485174,cg02763933,cg02874930,cg03211711,cg03418002,cg03580065,cg03706086,cg03751915,cg03964681,cg04107129,cg04165922,cg04283041,cg04403684,cg04489053,cg04781916,cg04790775,cg04864877,cg04936213,cg05141485,cg05196796,cg05442797,cg05636896,cg05874443,cg06331585,cg06524923,cg06577638,cg07125981,cg07149033,cg07305485,cg07322196,cg07721756,cg07861448,cg08247564,cg08279189,cg08287940,cg08298852,cg08482536,cg08853920,cg08998950,cg09025741,cg09245350,cg09366951,cg09417038,cg09467433,cg09659072,cg10056106,cg10277044,cg10456459,cg10507445,cg10703154,cg10785929,cg10834070,cg10997258,cg11340328,cg11462267,cg12013451,cg12228627,cg12866960,cg12870052,cg13051245,cg13217238,cg13448633,cg13574411,cg13691353,cg13962111,cg14419159,cg14426688,cg14541992,cg14573371,cg14690837,cg15612945,cg15725873,cg15955909,cg15980656,cg16125725,cg16152137,cg16280551,cg16423305,cg16733809,cg16972032,cg17419815,cg17520907,cg17566325,cg17714232,cg17828921,cg18537222,cg18586585,cg18893685,cg18958185,cg19097407,cg19237150,cg19429405,cg19707454,cg19743666,cg19787543,cg19806151,cg19927678,cg20130571,cg20385971,cg20588986,cg20877250,cg20896049,cg21250898,cg21814550,cg21887193,cg22412298,cg22443212,cg22697477,cg22846250,cg23097878,cg23137881,cg23372523,cg23745290,cg23965049,cg24312537,cg24496021,cg24880665,cg25053141,cg25824218,cg26173962,cg26434859,cg26816476,cg26849382,cg27256074,cg27596169,cg27605677	NA	8.56e-40
10.536	5.99e-19	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00033450,cg00989806,cg01201279,cg01863006,cg01942558,cg02109585,cg02190353,cg02353916,cg02763933,cg02874930,cg02919082,cg03181300,cg03418002,cg03751915,cg03964681,cg04107129,cg04165922,cg04283041,cg04403684,cg05196796,cg05206633,cg05442797,cg05874443,cg05986449,cg06331585,cg06577638,cg07149033,cg07305485,cg07322196,cg07721756,cg08287940,cg08482536,cg08853920,cg08998950,cg09025741,cg09366951,cg09417038,cg09467433,cg09659072,cg10456459,cg10507445,cg10703154,cg11462267,cg12013451,cg12866960,cg12870052,cg13051245,cg13217238,cg13448633,cg13574411,cg13691353,cg13962111,cg14339738,cg14426688,cg14690837,cg15137734,cg15612945,cg15980656,cg16152137,cg16280551,cg16733809,cg16972032,cg17160906,cg17301248,cg17520907,cg17828921,cg18537222,cg18586585,cg18893685,cg18958185,cg19097407,cg19787543,cg19806151,cg19927678,cg20385971,cg20588986,cg20896049,cg21250898,cg21814550,cg21854538,cg21887193,cg22412298,cg22443212,cg22455501,cg23097878,cg23137881,cg24312537,cg25053141,cg26300092,cg26434859,cg26849382,cg27256074,cg27596169	NA	3.26e-18
-2.503	9.97e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00789427,cg00928596,cg01229787,cg01889448,cg02243157,cg02498886,cg02874930,cg02902672,cg03181300,cg06577638,cg07721756,cg09147516,cg09417038,cg09574909,cg10934870,cg12451061,cg14426688,cg14614789,cg15263617,cg15734589,cg15884546,cg17107388,cg17566325,cg18263335,cg25279747,cg26237810,cg27256074	NA	1.00e+00
-1.350	9.27e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00817464,cg00923880,cg00928596,cg01201279,cg01229787,cg01609691,cg01761703,cg01889448,cg02498886,cg02874930,cg02902672,cg03181300,cg03418002,cg03751915,cg05059108,cg05500904,cg06636551,cg07721756,cg08382737,cg08446860,cg08815306,cg09147516,cg09166556,cg09574909,cg10379517,cg11216153,cg12866960,cg13448633,cg13574411,cg13691353,cg14061069,cg14286363,cg14426688,cg14509133,cg14540162,cg14541992,cg14614789,cg14799809,cg15421338,cg15884546,cg16523850,cg17107388,cg17884069,cg18030306,cg18263335,cg18586585,cg19039140,cg19707454,cg19806151,cg20896049,cg22176018,cg22481695,cg23372523,cg23730027,cg24496021,cg25053141,cg25279747,cg26237810,cg27256074	NA	1.00e+00
19.813	3.25e-73	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00033450,cg00112952,cg00212275,cg00305108,cg00789427,cg00789535,cg00817464,cg00923880,cg00949332,cg00989806,cg01073521,cg01132696,cg01201279,cg01229787,cg01239499,cg01297684,cg01384410,cg01521397,cg01741372,cg01863006,cg01878805,cg01893721,cg01942558,cg02109585,cg02111865,cg02190353,cg02243157,cg02290262,cg02302574,cg02353916,cg02485174,cg02498886,cg02630646,cg02636380,cg02662417,cg02763933,cg02874930,cg03090145,cg03181300,cg03211711,cg03418002,cg03445932,cg03465320,cg03511624,cg03580065,cg03706086,cg03751915,cg03964681,cg03974400,cg04107129,cg04165922,cg04204465,cg04259027,cg04283041,cg04403684,cg04489053,cg04736673,cg04739200,cg04781916,cg04790775,cg04864877,cg04936213,cg05000446,cg05059108,cg05141485,cg05196796,cg05206633,cg05442797,cg05475858,cg05500904,cg05537706,cg05636896,cg05750782,cg05874443,cg05986449,cg06203243,cg06394653,cg06411521,cg06418013,cg06524923,cg06570358,cg06577638,cg06645335,cg06726406,cg06815311,cg06824443,cg07033722,cg07125981,cg07149033,cg07305485,cg07322196,cg07347128,cg07349477,cg07372938,cg07397757,cg07564261,cg07569918,cg07704771,cg07721756,cg07861448,cg07935482,cg08042254,cg08279189,cg08287940,cg08298852,cg08382737,cg08446860,cg08482536,cg08853920,cg08859787,cg08998950,cg09025741,cg09147516,cg09245350,cg09366951,cg09417038,cg09467433,cg09659072,cg10028625,cg10056106,cg10277044,cg10283362,cg10456459,cg10507445,cg10548102,cg10557174,cg10703154,cg10834070,cg10934870,cg10997258,cg11047325,cg11111643,cg11123440,cg11182146,cg11260662,cg11340328,cg11462267,cg11601463,cg12013451,cg12172984,cg12228627,cg12331776,cg12439472,cg12866960,cg12870052,cg13051245,cg13217238,cg13256716,cg13448633,cg13574411,cg13691353,cg13846195,cg13929323,cg13962111,cg13996193,cg14068721,cg14155265,cg14187466,cg14286363,cg14306650,cg14339738,cg14419159,cg14426688,cg14509133,cg14541992,cg14573371,cg14614789,cg14690837,cg14730017,cg14856222,cg14864966,cg14931884,cg15137734,cg15233651,cg15263617,cg15276228,cg15612945,cg15725873,cg15955909,cg15980656,cg16125725,cg16152137,cg16280551,cg16354404,cg16422316,cg16423305,cg16733809,cg16810724,cg16972032,cg17090611,cg17107388,cg17160906,cg17301248,cg17520907,cg17566325,cg17828921,cg17941843,cg18030306,cg18157364,cg18263335,cg18537222,cg18586585,cg18608151,cg18848366,cg18893685,cg18926797,cg18958185,cg19097407,cg19237150,cg19429405,cg19707454,cg19743666,cg19787543,cg19803593,cg19806151,cg19927678,cg20022454,cg20092399,cg20130571,cg20385971,cg20518446,cg20588986,cg20698781,cg20708537,cg20786422,cg20877250,cg20896049,cg21004565,cg21232401,cg21250898,cg21379113,cg21485602,cg21515958,cg21603178,cg21769463,cg21814550,cg21829166,cg21854538,cg21860329,cg21887193,cg21941547,cg21964148,cg22062450,cg22108311,cg22412298,cg22455501,cg22481695,cg22697477,cg22774340,cg22846250,cg23097878,cg23137881,cg23289236,cg23538648,cg23625388,cg23730027,cg23745290,cg23965049,cg24012708,cg24265600,cg24312537,cg24392753,cg24496021,cg24833027,cg24880665,cg25053141,cg25084479,cg25104558,cg25407979,cg25569341,cg25634041,cg25757820,cg25824218,cg26006714,cg26010015,cg26173962,cg26237810,cg26300092,cg26413855,cg26434859,cg26521143,cg26649551,cg26816476,cg26849382,cg27083089,cg27256074,cg27272679,cg27596169,cg27605677,cg27611767	NA	3.90e-71
18.459	2.96e-62	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00033450,cg00112952,cg00212275,cg00305108,cg00923880,cg00949332,cg00989806,cg01073521,cg01201279,cg01239499,cg01297684,cg01384410,cg01521397,cg01863006,cg01889448,cg01942558,cg02109585,cg02190353,cg02243157,cg02302574,cg02353916,cg02485174,cg02498886,cg02630646,cg02636380,cg02763933,cg02874930,cg03181300,cg03211711,cg03418002,cg03465320,cg03511624,cg03580065,cg03706086,cg03751915,cg03964681,cg03974400,cg04107129,cg04165922,cg04204465,cg04259027,cg04283041,cg04403684,cg04489053,cg04736673,cg04739200,cg04781916,cg04790775,cg04864877,cg04936213,cg05059108,cg05141485,cg05196796,cg05206633,cg05247190,cg05442797,cg05475858,cg05537706,cg05636896,cg05750782,cg05874443,cg05986449,cg06203243,cg06331585,cg06418013,cg06441457,cg06524923,cg06570358,cg06577638,cg06636551,cg06645335,cg06726406,cg06815311,cg06824443,cg07033722,cg07125981,cg07149033,cg07305485,cg07322196,cg07349477,cg07372938,cg07564261,cg07569918,cg07721756,cg07861448,cg07935482,cg08247564,cg08279189,cg08287940,cg08298852,cg08382737,cg08446860,cg08482536,cg08853920,cg08998950,cg09025741,cg09147516,cg09245350,cg09366951,cg09417038,cg09467433,cg09659072,cg10056106,cg10277044,cg10283362,cg10456459,cg10507445,cg10548102,cg10557174,cg10703154,cg10827754,cg10834070,cg10934870,cg10997258,cg11260662,cg11340328,cg11462267,cg11557478,cg12013451,cg12228627,cg12331776,cg12866960,cg12870052,cg13051245,cg13217238,cg13256716,cg13338814,cg13448633,cg13574411,cg13691353,cg13846195,cg13962111,cg14068721,cg14095963,cg14155265,cg14306650,cg14339738,cg14419159,cg14426688,cg14509133,cg14541992,cg14573371,cg14690837,cg14730017,cg14856222,cg14864966,cg14966648,cg15044453,cg15137734,cg15233651,cg15263617,cg15276228,cg15612945,cg15955909,cg15980656,cg16125725,cg16152137,cg16280551,cg16354404,cg16422316,cg16423305,cg16733809,cg16972032,cg17090611,cg17160906,cg17301248,cg17520907,cg17714232,cg17884069,cg18030306,cg18157364,cg18537222,cg18848366,cg18893685,cg18958185,cg19023589,cg19097407,cg19237150,cg19429405,cg19689387,cg19707454,cg19743666,cg19787543,cg19806151,cg19927678,cg20092399,cg20130571,cg20385971,cg20518446,cg20588986,cg20698781,cg20708537,cg20786422,cg20877250,cg20896049,cg21250898,cg21379113,cg21603178,cg21814550,cg21829166,cg21854538,cg21860329,cg21887193,cg21941547,cg21964148,cg22062450,cg22108311,cg22190299,cg22412298,cg22443212,cg22455501,cg22697477,cg22846250,cg23097878,cg23137881,cg23220897,cg23289236,cg23372523,cg23403192,cg23538648,cg23625388,cg23745290,cg23965049,cg24265600,cg24312537,cg24496021,cg24833027,cg24880665,cg25053141,cg25084479,cg25104558,cg25407979,cg25569341,cg25634041,cg25757820,cg25824218,cg26006714,cg26010015,cg26173962,cg26237810,cg26300092,cg26413855,cg26434859,cg26521143,cg26816476,cg26849382,cg27083089,cg27256074,cg27596169,cg27605677	NA	1.18e-60
15.249	2.11e-32	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00033450,cg00212275,cg00989806,cg01239499,cg01297684,cg01384410,cg01521397,cg01863006,cg01942558,cg02109585,cg02243157,cg02353916,cg02485174,cg02630646,cg02874930,cg03211711,cg03418002,cg03706086,cg03964681,cg03974400,cg04403684,cg04489053,cg04790775,cg04936213,cg05141485,cg05442797,cg05537706,cg06411521,cg06570358,cg07125981,cg07305485,cg07322196,cg07935482,cg08247564,cg08279189,cg08298852,cg08446860,cg08998950,cg09025741,cg09417038,cg09467433,cg09659072,cg10056106,cg10997258,cg11340328,cg11462267,cg12013451,cg12228627,cg12866960,cg12870052,cg13051245,cg13448633,cg13574411,cg13691353,cg14419159,cg14573371,cg14690837,cg15276228,cg15725873,cg15980656,cg16125725,cg16152137,cg16280551,cg16422316,cg16733809,cg16972032,cg17520907,cg17828921,cg18157364,cg18537222,cg18893685,cg18958185,cg19097407,cg19429405,cg19787543,cg19806151,cg19927678,cg20363450,cg20385971,cg20588986,cg20896049,cg21250898,cg21814550,cg21887193,cg21941547,cg22443212,cg22455501,cg22697477,cg23097878,cg23137881,cg23745290,cg24312537,cg24496021,cg25053141,cg25757820,cg26173962,cg26237810,cg26300092,cg26434859,cg26816476,cg26849382,cg27256074,cg27596169,cg27605677	NA	1.81e-31
17.819	3.21e-51	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00033450,cg00112952,cg00212275,cg00305108,cg00923880,cg00949332,cg00989806,cg01132696,cg01201279,cg01239499,cg01297684,cg01384410,cg01741372,cg01863006,cg01889448,cg01942558,cg02109585,cg02111865,cg02190353,cg02243157,cg02353916,cg02453013,cg02485174,cg02636380,cg02763933,cg02874930,cg03181300,cg03211711,cg03418002,cg03428193,cg03445932,cg03580065,cg03706086,cg03751915,cg03964681,cg04107129,cg04165922,cg04204465,cg04403684,cg04489053,cg04781916,cg04790775,cg05059108,cg05141485,cg05196796,cg05206633,cg05247190,cg05442797,cg05636896,cg05874443,cg05986449,cg06203243,cg06331585,cg06524923,cg06570358,cg06577638,cg06815311,cg06824443,cg07149033,cg07305485,cg07322196,cg07349477,cg07569918,cg07721756,cg07861448,cg07935482,cg08279189,cg08287940,cg08298852,cg08446860,cg08482536,cg08853920,cg08998950,cg09025741,cg09245350,cg09366951,cg09417038,cg09467433,cg09659072,cg10056106,cg10277044,cg10456459,cg10557174,cg10703154,cg10785929,cg10834070,cg10997258,cg11340328,cg11462267,cg11601463,cg12013451,cg12228627,cg12331776,cg12866960,cg12870052,cg13051245,cg13217238,cg13256716,cg13448633,cg13574411,cg13691353,cg13962111,cg13996193,cg14155265,cg14339738,cg14419159,cg14509133,cg14541992,cg14573371,cg14690837,cg14966648,cg15081825,cg15137734,cg15233651,cg15612945,cg15725873,cg15980656,cg16125725,cg16152137,cg16280551,cg16422316,cg16423305,cg16733809,cg16972032,cg17160906,cg17301248,cg17419815,cg17520907,cg17566325,cg17714232,cg17828921,cg18263335,cg18537222,cg18586585,cg18958185,cg19023589,cg19097407,cg19142181,cg19743666,cg19787543,cg19806151,cg19927678,cg20130571,cg20385971,cg20588986,cg20708537,cg20786422,cg20877250,cg20896049,cg21250898,cg21379113,cg21603178,cg21814550,cg21854538,cg21887193,cg21941547,cg21964148,cg22412298,cg22455501,cg22697477,cg22846250,cg23097878,cg23137881,cg23220897,cg23372523,cg23403192,cg23445957,cg23538648,cg23625388,cg23730027,cg23745290,cg23965049,cg24312537,cg24496021,cg24833027,cg24880665,cg25053141,cg25104558,cg25279747,cg25407979,cg25569341,cg25634041,cg26006714,cg26010015,cg26173962,cg26300092,cg26434859,cg26521143,cg26849382,cg27083089,cg27256074,cg27596169,cg27605677	NA	6.40e-50
