Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.411	9.07e-03	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00228984,cg00297950,cg00373499,cg00448895,cg00490406,cg00523604,cg00572387,cg00606841,cg00797651,cg00923880,cg00944502,cg01074767,cg01248878,cg01313622,cg01444578,cg01581037,cg01597480,cg01811187,cg02108620,cg02206980,cg02295216,cg02461011,cg02469604,cg02532700,cg02673002,cg02873098,cg02922035,cg02945192,cg03188948,cg03237218,cg03335624,cg03349819,cg03368358,cg03448915,cg03575939,cg03607951,cg03625911,cg03666441,cg03753191,cg03763873,cg03800939,cg03885664,cg03998606,cg04225104,cg04548483,cg05082466,cg05084827,cg05129572,cg05280698,cg05552874,cg05575058,cg05668853,cg06027949,cg06484123,cg06540747,cg06908474,cg06932256,cg06941159,cg06960562,cg07056138,cg07306190,cg07399417,cg07549924,cg07858613,cg07911663,cg08033130,cg08109568,cg08175413,cg08212685,cg08223534,cg08393937,cg08580836,cg08808571,cg08823359,cg08979515,cg09133511,cg09468832,cg09506600,cg09539908,cg09586646,cg09619347,cg09729624,cg09800633,cg09976051,cg10047753,cg10196532,cg10608948,cg10760299,cg10779718,cg10886225,cg10959651,cg11250194,cg11261958,cg11278727,cg11467506,cg11566244,cg11680055,cg11716795,cg11811621,cg11871910,cg11940495,cg12117660,cg12311346,cg12350822,cg12423493,cg12555086,cg12655416,cg12715979,cg12799265,cg13011109,cg13019553,cg13052034,cg13275603,cg13285319,cg13368983,cg13435137,cg13456106,cg13469425,cg13630239,cg13645300,cg13761724,cg13762704,cg13939204,cg13990351,cg14240646,cg14259717,cg14345882,cg14378564,cg14729962,cg14913610,cg15244290,cg15544633,cg15732149,cg15947283,cg16022279,cg16101574,cg16260126,cg16398628,cg16450200,cg16472896,cg16506815,cg16553272,cg16585132,cg16625770,cg16670573,cg16783186,cg17063962,cg17066531,cg17113008,cg17163760,cg17326313,cg17465336,cg17479956,cg17498841,cg17516160,cg17607231,cg17809365,cg18110333,cg18125510,cg18210365,cg18336825,cg18872420,cg18879300,cg18973101,cg18992848,cg18995788,cg19388776,cg19610905,cg19805943,cg19855227,cg19903196,cg20016023,cg20401567,cg20406979,cg20773800,cg21438527,cg21482265,cg21709803,cg21832243,cg22326553,cg22472290,cg22480459,cg22605641,cg22748452,cg23071186,cg23252815,cg23278060,cg23316161,cg23436779,cg23517279,cg23732024,cg23754390,cg23933602,cg23985995,cg24006662,cg24012925,cg24112733,cg24147838,cg24214260,cg24249248,cg24320673,cg24438145,cg24682551,cg24704211,cg24794857,cg24848973,cg24964103,cg25032094,cg25045942,cg25229172,cg25282410,cg25687894,cg25831233,cg25954441,cg26087117,cg26151999,cg26203879,cg26414841,cg26441372,cg26579653,cg26685557,cg26908356,cg26944245,cg27413430	NA	6.39e-02
1.639	7.30e-02	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00299286,cg00448895,cg00490406,cg00523604,cg00797651,cg00944502,cg01248878,cg01313622,cg01460202,cg01482313,cg01561092,cg01577529,cg01581037,cg02264943,cg02532700,cg02945192,cg03354707,cg03448915,cg03575939,cg03748243,cg03885664,cg04053776,cg04548483,cg04910228,cg05043794,cg05082466,cg05084827,cg05129572,cg05493094,cg05575058,cg06027949,cg06121808,cg06377543,cg06540747,cg06908474,cg06932256,cg06941159,cg06951627,cg06960562,cg07306190,cg07399417,cg07858613,cg08212685,cg08223534,cg08479294,cg08808571,cg08823359,cg08933467,cg08979515,cg09385632,cg09539908,cg09619347,cg09976051,cg10047753,cg10067737,cg10779718,cg10886225,cg11250194,cg11358199,cg11716795,cg11811621,cg11871910,cg12117660,cg12311346,cg12423493,cg12694142,cg12715979,cg13019553,cg13275603,cg13285319,cg13435137,cg13456106,cg13630239,cg13925686,cg14240646,cg14378564,cg14729962,cg15177604,cg15244290,cg15544633,cg15647617,cg15732149,cg15947283,cg16101574,cg16398628,cg16399664,cg16450200,cg16506815,cg16585132,cg16625770,cg16670573,cg17063962,cg17113008,cg17479956,cg17498841,cg17516160,cg17607231,cg17765387,cg17809365,cg17991206,cg18110333,cg18125510,cg18336825,cg18973101,cg18992848,cg19797896,cg20016023,cg20773800,cg21341645,cg21438527,cg21596498,cg21832243,cg22326553,cg23252815,cg23278060,cg23316161,cg23436779,cg23517279,cg23732024,cg23933602,cg23985995,cg24006662,cg24012925,cg24112733,cg24214260,cg24704211,cg25124966,cg25282410,cg25831233,cg25909396,cg25954441,cg26203879,cg26414841,cg26441372,cg26579653,cg26685557,cg26908356,cg27220934,cg27574817	NA	3.81e-01
1.489	9.91e-02	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00299286,cg00373499,cg00448895,cg00452199,cg00523604,cg00797651,cg00934037,cg00944502,cg00959259,cg01248878,cg01313622,cg01482313,cg01811187,cg02176678,cg02532700,cg02673002,cg02945192,cg03607951,cg03748243,cg03753191,cg03763873,cg03787837,cg04282206,cg04910228,cg05082466,cg05084827,cg05129572,cg05575058,cg06027949,cg06575572,cg06908474,cg06932256,cg06941159,cg07306190,cg07399417,cg07813265,cg07839457,cg07858613,cg08109568,cg08212685,cg08223534,cg08808571,cg08823359,cg08933467,cg09195098,cg09586646,cg09619347,cg09976051,cg10047753,cg10067737,cg10779718,cg11250194,cg11261958,cg11358199,cg11716795,cg11811621,cg11871910,cg11940495,cg12311346,cg12423493,cg12715979,cg13019553,cg13285319,cg13456106,cg14240646,cg14345882,cg14378564,cg14729962,cg15244290,cg15329133,cg15544633,cg15647617,cg15732149,cg15947283,cg16101574,cg16302655,cg16398628,cg16450200,cg16506815,cg16670573,cg17134153,cg17479956,cg17498841,cg17516160,cg17607231,cg17765387,cg17809365,cg18110333,cg18336825,cg18356799,cg18872420,cg18973101,cg18992848,cg19689876,cg19797896,cg19903927,cg20773800,cg20894963,cg21596498,cg21645268,cg22480459,cg23252815,cg23278060,cg23316161,cg23436779,cg23517279,cg23933602,cg24006662,cg24112733,cg24214260,cg24704211,cg25096107,cg25282410,cg25680145,cg25687894,cg25740925,cg25831233,cg25954441,cg26097711,cg26203879,cg26579653,cg27220934,cg27574817	NA	4.95e-01
1.315	1.16e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00448895,cg00452199,cg00490406,cg00523604,cg00606841,cg00944502,cg00959259,cg00994649,cg01309328,cg01313622,cg01561092,cg01581037,cg02461011,cg02673002,cg02873098,cg02945192,cg03009030,cg03216697,cg03354707,cg03448915,cg03666441,cg03748243,cg03753191,cg03763873,cg03787837,cg03885664,cg04053776,cg04282206,cg04548483,cg04910228,cg05043794,cg05082466,cg05129572,cg05575058,cg06027949,cg06121808,cg06498468,cg06575572,cg06896770,cg06908474,cg06932256,cg06941159,cg06951627,cg06961122,cg07306190,cg07399417,cg07858613,cg07911663,cg08175413,cg08212685,cg08223534,cg08393937,cg08823359,cg08933467,cg09195098,cg09506600,cg09586646,cg09976051,cg10047753,cg10738648,cg10779718,cg10886225,cg11716795,cg11811621,cg11871910,cg11940495,cg12117660,cg12311346,cg12423493,cg12694142,cg12715979,cg13019553,cg13285319,cg13456106,cg13529314,cg13925686,cg13939204,cg14240646,cg14378564,cg14729962,cg15177604,cg15244290,cg15329133,cg15544633,cg15568074,cg15647617,cg16101574,cg16398628,cg16506815,cg16670573,cg17134153,cg17326313,cg17498841,cg17516160,cg17607231,cg17765387,cg17809365,cg18110333,cg18125510,cg18336825,cg18872420,cg18973101,cg19689876,cg19797896,cg20016023,cg20715218,cg20773800,cg20894963,cg20995835,cg21341645,cg21438527,cg21596498,cg21645268,cg21832243,cg22060735,cg22326553,cg22605641,cg22741595,cg23252815,cg23278060,cg23316161,cg23436779,cg23517279,cg23732024,cg23933602,cg24006662,cg24214260,cg24682551,cg24704211,cg24794857,cg25229172,cg25282410,cg25687894,cg25831233,cg25909396,cg25954441,cg26087117,cg26097711,cg26105649,cg26201213,cg26203879,cg26414841,cg26441372,cg26579653,cg26685557,cg26908356,cg26944245,cg27220934,cg27386326,cg27574817	NA	5.56e-01
3.903	8.45e-05	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00006626,cg00052932,cg00239353,cg00299286,cg00373499,cg00448895,cg00490406,cg00523604,cg00598235,cg00797651,cg00944502,cg01074767,cg01152025,cg01248878,cg01309328,cg01313622,cg01324343,cg01397325,cg01529207,cg01561092,cg01581037,cg02176678,cg02206980,cg02447462,cg02461011,cg02513556,cg02673002,cg02717117,cg02873098,cg02945192,cg02965178,cg03009030,cg03326410,cg03368358,cg03575939,cg03607951,cg03748243,cg03753191,cg03787837,cg03809021,cg03885664,cg03998606,cg04033559,cg04053776,cg04062040,cg04206284,cg04282206,cg04910228,cg04951822,cg05043794,cg05082466,cg05084827,cg05129572,cg05493094,cg05575058,cg05668853,cg05740763,cg06027949,cg06121808,cg06188083,cg06377543,cg06540747,cg06636551,cg06896770,cg06908474,cg06932256,cg06937882,cg06941159,cg06951627,cg06960562,cg07056138,cg07306190,cg07318398,cg07399417,cg07720865,cg07813265,cg07858613,cg07911663,cg08008286,cg08017634,cg08109568,cg08223534,cg08580836,cg08808571,cg08818207,cg08823359,cg08926253,cg08933467,cg08960815,cg08979515,cg09468832,cg09506600,cg09586646,cg09624923,cg09837977,cg09965939,cg09976051,cg10047753,cg10067737,cg10407847,cg10775576,cg10779718,cg10886225,cg10909506,cg11250194,cg11261958,cg11278727,cg11358199,cg11566244,cg11716795,cg11784243,cg11792786,cg11811621,cg11871910,cg11924638,cg11940495,cg12117660,cg12311346,cg12350822,cg12423493,cg12454169,cg12537337,cg12555334,cg12694142,cg12715979,cg12799265,cg13019553,cg13105904,cg13285319,cg13435137,cg13456106,cg13523713,cg13529314,cg13593090,cg13761724,cg13925686,cg14192029,cg14240646,cg14378564,cg14429526,cg14870271,cg15177604,cg15244290,cg15329133,cg15544633,cg15732149,cg15921436,cg15947283,cg16101574,cg16302655,cg16398628,cg16450200,cg16506815,cg16625770,cg16670573,cg17063962,cg17113008,cg17163760,cg17326313,cg17479956,cg17498841,cg17516160,cg17607231,cg17765387,cg17809365,cg17991206,cg18110333,cg18125510,cg18336825,cg18705301,cg18973101,cg18992848,cg19371652,cg19610905,cg19689876,cg19797896,cg19903927,cg20016023,cg20302342,cg20773800,cg21341645,cg21438527,cg21596498,cg21709803,cg21832243,cg22060735,cg22326553,cg22480459,cg22605641,cg22741595,cg22748452,cg22772235,cg23252815,cg23278060,cg23316161,cg23436779,cg23486701,cg23517279,cg23732024,cg23933602,cg24006662,cg24012925,cg24112733,cg24147838,cg24214260,cg24249248,cg24438145,cg24704211,cg25124966,cg25229172,cg25282410,cg25651505,cg25680145,cg25687894,cg25740925,cg25831233,cg25939861,cg25954441,cg26087117,cg26201213,cg26312951,cg26414841,cg26441372,cg26579653,cg26624097,cg26685557,cg26763362,cg26908356,cg26944245,cg27219399,cg27220934,cg27574817	NA	7.79e-04
3.314	6.79e-04	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00299286,cg00373499,cg00448895,cg00481159,cg00490406,cg00523604,cg00797651,cg00923880,cg00944502,cg00955451,cg01074767,cg01309328,cg01313622,cg01561092,cg01581037,cg01597480,cg01811187,cg02212339,cg02295216,cg02461011,cg02513556,cg02532700,cg02673002,cg02945192,cg03009030,cg03120558,cg03179496,cg03188948,cg03216697,cg03320827,cg03335624,cg03354707,cg03368358,cg03575939,cg03610280,cg03748243,cg03753191,cg03763873,cg03787837,cg03809021,cg03885664,cg04033559,cg04282206,cg04314261,cg04548483,cg04647790,cg04738552,cg04910228,cg04951822,cg05043794,cg05082466,cg05084827,cg05129572,cg05280698,cg05575058,cg05740763,cg06027949,cg06121808,cg06188083,cg06377543,cg06498468,cg06500161,cg06540747,cg06575572,cg06636551,cg06896770,cg06908474,cg06932256,cg06941159,cg06951627,cg06960562,cg07306190,cg07399417,cg07813265,cg07858613,cg07911663,cg08175413,cg08212685,cg08223534,cg08393937,cg08808571,cg08823359,cg08933467,cg08979515,cg09468832,cg09506600,cg09539908,cg09586646,cg09619347,cg09624923,cg09965939,cg09976051,cg10047753,cg10067737,cg10441789,cg10779718,cg10886225,cg10909506,cg11250194,cg11261958,cg11358199,cg11467506,cg11716795,cg11811621,cg11871910,cg11940495,cg12117660,cg12311346,cg12350822,cg12423493,cg12454169,cg12694142,cg13019553,cg13105904,cg13275603,cg13285319,cg13435137,cg13456106,cg13523713,cg13529314,cg13593090,cg13765621,cg13823257,cg13925686,cg14192029,cg14240646,cg14345882,cg14378564,cg14729962,cg14870271,cg15177604,cg15244290,cg15329133,cg15544633,cg15647617,cg15732149,cg15947283,cg16101574,cg16260126,cg16398628,cg16450200,cg16625770,cg16670573,cg16733676,cg17113008,cg17134153,cg17326313,cg17479956,cg17498841,cg17516160,cg17607231,cg17765387,cg17809365,cg18110333,cg18125510,cg18336825,cg18879300,cg18945744,cg18960324,cg18973101,cg18992848,cg19042435,cg19371652,cg19610905,cg19797896,cg19805943,cg19903196,cg20016023,cg20370184,cg20715218,cg20734569,cg20773800,cg20894963,cg21341645,cg21438527,cg21482265,cg21549285,cg21596498,cg21709803,cg21832243,cg22194129,cg22326553,cg22472290,cg22480459,cg22605641,cg23024343,cg23252815,cg23278060,cg23316161,cg23436779,cg23486701,cg23517279,cg23732024,cg23933602,cg23985995,cg24006662,cg24012925,cg24112733,cg24147838,cg24214260,cg24438145,cg24704211,cg24794857,cg25096107,cg25282410,cg25687894,cg25740925,cg25831233,cg25954441,cg26087117,cg26151999,cg26201213,cg26312951,cg26414841,cg26441372,cg26624097,cg26685557,cg26763362,cg26908356,cg27220934,cg27574817	NA	5.81e-03
1.778	5.24e-02	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00297950,cg00448895,cg00452199,cg00490406,cg00797651,cg00944502,cg01074767,cg01581037,cg01811187,cg02206980,cg02461011,cg02532700,cg02945192,cg03188948,cg03368358,cg03575939,cg03753191,cg03800939,cg03809021,cg03885664,cg03998606,cg04225104,cg05082466,cg05575058,cg06027949,cg06498468,cg06540747,cg06575572,cg06908474,cg06941159,cg06960562,cg07306190,cg07399417,cg07858613,cg08212685,cg08223534,cg08580836,cg08823359,cg09133511,cg09468832,cg09539908,cg09586646,cg09619347,cg09976051,cg10047753,cg10779718,cg11566244,cg11716795,cg11811621,cg11871910,cg11940495,cg12061649,cg12117660,cg12350822,cg12423493,cg12555086,cg12636435,cg12715979,cg13019553,cg13052034,cg13105904,cg13275603,cg13285319,cg13368983,cg13435137,cg13529314,cg13762704,cg13962846,cg13990947,cg14228460,cg14378564,cg14729962,cg14913610,cg15309910,cg15544633,cg15568074,cg15591803,cg15732149,cg15947283,cg16101574,cg16260126,cg16303562,cg16398628,cg16450200,cg16670573,cg16805553,cg17063962,cg17163760,cg17326313,cg17479956,cg17498841,cg17516160,cg17607231,cg17765387,cg17809365,cg18110333,cg18125510,cg18336825,cg18992848,cg18995788,cg19805943,cg19855227,cg19903196,cg20016023,cg20332503,cg20773800,cg21438527,cg21709803,cg22326553,cg22480459,cg23252815,cg23278060,cg23316161,cg23517279,cg23560388,cg23732024,cg23907051,cg23933602,cg24006662,cg24112733,cg24147838,cg24214260,cg24438145,cg24704211,cg24964103,cg25083732,cg25282410,cg25831233,cg25954441,cg26414841,cg26441372,cg26514552,cg26579653,cg26955290	NA	2.99e-01
0.447	3.55e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00448895,cg00452199,cg00797651,cg00944502,cg01313622,cg01581037,cg02206980,cg02774632,cg02945192,cg03009030,cg03188948,cg03368358,cg03575939,cg03669949,cg03885664,cg03998606,cg04225104,cg04282206,cg05082466,cg05280698,cg05493094,cg05575058,cg05740763,cg06027949,cg06377543,cg06575572,cg06908474,cg06941159,cg06951627,cg06960562,cg07100532,cg07306190,cg07399417,cg07549924,cg07858613,cg08109568,cg08212685,cg08580836,cg08808571,cg08823359,cg09133511,cg09195098,cg09385632,cg09539908,cg09586646,cg09619347,cg10047753,cg11250194,cg11278727,cg11566244,cg11645453,cg11716795,cg11811621,cg11871910,cg11940495,cg12117660,cg12350822,cg12423493,cg12636435,cg12715979,cg13011109,cg13285319,cg13361023,cg13368983,cg13456106,cg13469425,cg13630239,cg13990351,cg14345882,cg14729962,cg15537850,cg15544633,cg15647617,cg15947283,cg16398628,cg17063962,cg17113008,cg17479956,cg17498841,cg17516160,cg17765387,cg17809365,cg18110333,cg18125510,cg18336825,cg18973101,cg18992848,cg19610905,cg20016023,cg20773800,cg21438527,cg21507807,cg21709803,cg22480459,cg22513455,cg22687873,cg23252815,cg23278060,cg23316161,cg23436779,cg23517279,cg23754390,cg23933602,cg24006662,cg24112733,cg24214260,cg24249248,cg24310667,cg24320673,cg24704211,cg24964103,cg25032094,cg25045942,cg25282410,cg25687894,cg25954441,cg26414841,cg26441372,cg26579653,cg26685557,cg26908356,cg27220934	NA	1.00e+00
5.807	2.12e-08	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00006626,cg00373499,cg00448895,cg00452199,cg00490406,cg00523604,cg00572387,cg00606841,cg00797651,cg00847857,cg00923880,cg00944502,cg01074767,cg01248878,cg01264639,cg01309328,cg01581037,cg01597480,cg01788910,cg01811187,cg02206980,cg02253142,cg02461011,cg02532700,cg02779913,cg02945192,cg03188948,cg03216697,cg03320827,cg03368358,cg03539765,cg03575939,cg03666441,cg03748243,cg03753191,cg03787837,cg03809021,cg03849834,cg03885664,cg03998606,cg04053776,cg04225104,cg04612566,cg04647790,cg04910228,cg05060607,cg05084827,cg05129572,cg05280698,cg05493094,cg05575058,cg05740763,cg05914442,cg06027949,cg06377543,cg06498468,cg06540747,cg06575572,cg06746829,cg06896770,cg06908474,cg06932256,cg06937882,cg06941159,cg06960562,cg06961122,cg06981309,cg07056138,cg07306190,cg07399417,cg07549924,cg07858613,cg07911663,cg08008286,cg08109568,cg08175413,cg08212685,cg08223534,cg08393937,cg08580836,cg08808571,cg08818207,cg08823359,cg08979515,cg09070378,cg09133511,cg09195098,cg09468832,cg09539908,cg09586646,cg09619347,cg09976051,cg09977703,cg10047753,cg10779718,cg10886225,cg10959651,cg11250194,cg11469594,cg11566244,cg11716795,cg11752275,cg11811621,cg11871910,cg11940495,cg11947712,cg12061649,cg12117660,cg12311346,cg12423493,cg12555086,cg12636435,cg12655416,cg12715979,cg12894711,cg13019553,cg13052034,cg13105904,cg13275603,cg13285319,cg13435137,cg13456106,cg13630239,cg13762704,cg13925686,cg13939204,cg13990947,cg14240646,cg14259717,cg14378564,cg14729962,cg14913610,cg15177604,cg15244290,cg15309910,cg15544633,cg15568074,cg15591803,cg15647617,cg15732149,cg15947283,cg16022279,cg16101574,cg16260126,cg16303562,cg16398628,cg16450200,cg16490209,cg16506815,cg16625770,cg16670573,cg16783186,cg16805553,cg17063962,cg17113008,cg17163760,cg17326313,cg17479956,cg17498841,cg17508302,cg17516160,cg17607231,cg17809365,cg18106582,cg18110333,cg18125510,cg18336825,cg18879300,cg18960324,cg18973101,cg18992848,cg18995788,cg19204859,cg19388776,cg19610905,cg19805943,cg19855227,cg19903196,cg20016023,cg20332503,cg20773800,cg20995835,cg21341645,cg21438527,cg21507807,cg21709803,cg22326553,cg22472290,cg22480459,cg22513455,cg22605641,cg22731440,cg22741595,cg23071186,cg23252815,cg23278060,cg23316161,cg23436779,cg23517279,cg23560388,cg23732024,cg23754390,cg23907051,cg23933602,cg23963071,cg24006662,cg24012925,cg24112733,cg24147838,cg24214260,cg24249248,cg24682551,cg24704211,cg24794857,cg24917065,cg24964103,cg25032094,cg25083732,cg25124966,cg25282410,cg25831233,cg25954441,cg26087117,cg26414841,cg26441372,cg26514552,cg26579653,cg26624097,cg26908356,cg26955290,cg27220934,cg27413430	NA	2.83e-07
5.485	7.52e-08	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00228984,cg00373499,cg00448895,cg00452199,cg00490406,cg00523604,cg00797651,cg00847857,cg00944502,cg01248878,cg01444578,cg01581037,cg01597480,cg01788910,cg01811187,cg02176678,cg02206980,cg02253142,cg02264943,cg02295216,cg02461011,cg02532700,cg02673002,cg02779913,cg02868254,cg02945192,cg03009030,cg03188948,cg03216697,cg03237218,cg03320827,cg03349819,cg03368358,cg03539765,cg03607951,cg03625911,cg03666441,cg03669949,cg03753191,cg03800939,cg03809021,cg03885664,cg03998606,cg04053776,cg04225104,cg04548483,cg04612566,cg04910228,cg04951822,cg05043794,cg05082466,cg05084827,cg05129572,cg05280698,cg05493094,cg05552874,cg05575058,cg05740763,cg06027949,cg06540747,cg06575572,cg06908474,cg06932256,cg06937882,cg06941159,cg06960562,cg06981309,cg07306190,cg07399417,cg07549924,cg07698196,cg08109568,cg08175413,cg08212685,cg08223534,cg08580836,cg08808571,cg08823359,cg08979515,cg09070378,cg09133511,cg09195098,cg09468832,cg09539908,cg09619347,cg09976051,cg10047753,cg10608948,cg10779718,cg10886225,cg10959651,cg11058576,cg11250194,cg11268190,cg11358199,cg11566244,cg11589536,cg11716795,cg11805027,cg11811621,cg11871910,cg11940495,cg12117660,cg12311346,cg12423493,cg12454169,cg12636435,cg12715979,cg12894711,cg13019553,cg13052034,cg13105904,cg13275603,cg13285319,cg13368983,cg13435137,cg13456106,cg13630239,cg13762704,cg13765621,cg13939204,cg13990351,cg13990947,cg14228460,cg14345882,cg14378564,cg14729962,cg14913610,cg15244290,cg15309910,cg15368872,cg15537850,cg15544633,cg15591803,cg15647617,cg15732149,cg15947283,cg16022279,cg16101574,cg16260126,cg16303562,cg16398628,cg16450200,cg16625770,cg16670573,cg16805553,cg17063962,cg17113008,cg17326313,cg17479956,cg17498841,cg17516160,cg17607231,cg17809365,cg18106582,cg18110333,cg18125510,cg18336825,cg18808777,cg18872420,cg18973101,cg18995788,cg19371652,cg19388776,cg19805943,cg19903196,cg20016023,cg20302342,cg20406979,cg20715218,cg20773800,cg20894963,cg21341645,cg21438527,cg21709803,cg22326553,cg22480459,cg22605641,cg22741595,cg22748452,cg23071186,cg23278060,cg23316161,cg23436779,cg23517279,cg23560388,cg23691781,cg23732024,cg23933602,cg23963071,cg24006662,cg24112733,cg24147838,cg24214260,cg24249248,cg24438145,cg24682551,cg24704211,cg24794857,cg24917065,cg24964103,cg25032094,cg25083732,cg25282410,cg25651505,cg25687894,cg25831233,cg25954441,cg26087117,cg26203879,cg26414841,cg26441372,cg26514552,cg26579653,cg26955290,cg27220934,cg27413430	NA	9.01e-07
