Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.919	1.13e-07	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00501876,cg00548098,cg00741986,cg00911776,cg01016119,cg01059398,cg01127300,cg01971407,cg02532700,cg02583484,cg02716826,cg02734358,cg03038262,cg03358636,cg03393996,cg03707168,cg03957124,cg03972838,cg04046980,cg04232972,cg04517079,cg04551776,cg04552852,cg04813697,cg05673882,cg06012804,cg06433467,cg07992484,cg08549335,cg08822075,cg09419102,cg09931909,cg10108250,cg10919522,cg11152412,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12873476,cg13126206,cg13127741,cg13518625,cg13579752,cg14120703,cg15344028,cg16071219,cg16389209,cg16969872,cg17265693,cg17812664,cg19180602,cg19268652,cg19372602,cg19572487,cg21121843,cg21140898,cg21393163,cg21747070,cg21990700,cg22103219,cg22160883,cg22787977,cg22974837,cg23205886,cg24139443,cg24497361,cg25143652,cg25953130,cg26477856,cg26788216,cg26937798,cg27023597,cg27537125	GSM701525	9.91e-07
2.327	1.81e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00501876,cg00527825,cg00741986,cg00788170,cg01016119,cg01127300,cg01860693,cg02532700,cg03358636,cg03707168,cg03957124,cg03972838,cg04046980,cg04232972,cg04552852,cg04813697,cg05232694,cg05673882,cg06012804,cg06433467,cg07177756,cg07402062,cg07954423,cg08549335,cg08822075,cg09419102,cg10108250,cg10255761,cg10919522,cg11152412,cg11902777,cg12075928,cg12547807,cg13127741,cg13832201,cg16969872,cg17265693,cg17467525,cg18125510,cg18446336,cg18826637,cg19268652,cg19572487,cg19940644,cg20059928,cg21161138,cg21393163,cg21990700,cg22103219,cg22787977,cg22955595,cg22974837,cg23205886,cg24497361,cg24996979,cg25143652,cg26477856,cg26937798,cg27537125	GSM701526	1.19e-01
6.457	1.77e-08	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00501876,cg00741986,cg00788170,cg01016119,cg01059398,cg01127300,cg02336104,cg02532700,cg02583484,cg02716826,cg02734358,cg03038262,cg03547355,cg03707168,cg03957124,cg04046980,cg04232972,cg04551776,cg04552852,cg04813697,cg04885881,cg05503062,cg05673882,cg06012804,cg06433467,cg07177756,cg07992484,cg08549335,cg08822075,cg08884752,cg09419102,cg09502149,cg09701700,cg09931909,cg10108250,cg10919522,cg11152412,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12873476,cg13126206,cg13127741,cg13518625,cg13579752,cg13832201,cg15344028,cg15474579,cg16047567,cg16071219,cg16389209,cg16969872,cg17265693,cg17467525,cg19180602,cg19268652,cg19372602,cg19572487,cg20349598,cg21121843,cg21140898,cg21393163,cg21747070,cg22103219,cg22160883,cg22787977,cg22974837,cg23034799,cg23205886,cg24090911,cg24139443,cg24497361,cg25325512,cg25953130,cg26477856,cg26788216,cg26937798,cg27023597,cg27537125	GSM665837	1.65e-07
6.318	4.60e-09	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00501876,cg00741986,cg00788170,cg01015663,cg01016119,cg01059398,cg01127300,cg01731783,cg01744331,cg02532700,cg02583484,cg02716826,cg02734358,cg02743070,cg03038262,cg03149958,cg03208245,cg03345232,cg03358636,cg03393996,cg03547355,cg03707168,cg03957124,cg04046980,cg04232972,cg04535902,cg04551776,cg04813697,cg04885881,cg05232694,cg05673882,cg06012804,cg06433467,cg07177756,cg07402062,cg07954423,cg07992484,cg08549335,cg08822075,cg08884752,cg09419102,cg09502149,cg09701700,cg09931909,cg10108250,cg10255761,cg10919522,cg10980495,cg11152412,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13127741,cg13518625,cg13579752,cg13787850,cg13832201,cg14209784,cg14580211,cg15159987,cg15344028,cg15474579,cg16047567,cg16071219,cg16389209,cg16969872,cg17265693,cg17467525,cg18125510,cg19180602,cg19268652,cg19372602,cg19572487,cg20289911,cg21121843,cg21140898,cg21393163,cg21747070,cg22103219,cg22160883,cg22787977,cg22974837,cg23034799,cg23205886,cg24139443,cg24497361,cg24996979,cg25143652,cg25325512,cg25953130,cg26477856,cg26788216,cg26937798,cg27023597,cg27161340,cg27537125	GSM701516	4.99e-08
6.303	5.19e-09	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00501876,cg00548098,cg00741986,cg00788170,cg00911776,cg01016119,cg01059398,cg01127300,cg01731783,cg01744331,cg01971407,cg02532700,cg02583484,cg02716826,cg02734358,cg03038262,cg03149958,cg03393996,cg03547355,cg03707168,cg03957124,cg03972838,cg04046980,cg04232972,cg04535902,cg04551776,cg04552852,cg04813697,cg04885881,cg05232694,cg05673882,cg05785554,cg06012804,cg06433467,cg07177756,cg07402062,cg07954423,cg07992484,cg08324925,cg08549335,cg08822075,cg08884752,cg09419102,cg09701700,cg09740554,cg09931909,cg10108250,cg10255761,cg10919522,cg10980495,cg11152412,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13126206,cg13127741,cg13518625,cg13579752,cg13787850,cg14209784,cg14580211,cg15344028,cg15474579,cg15892280,cg16047567,cg16071219,cg16389209,cg16969872,cg17265693,cg17467525,cg17812664,cg18125510,cg19180602,cg19268652,cg19572487,cg20289911,cg21121843,cg21140898,cg21393163,cg21747070,cg21990700,cg22103219,cg22160883,cg22787977,cg22974837,cg23034799,cg23161492,cg23205886,cg24139443,cg24497361,cg24996979,cg25143652,cg25325512,cg25953130,cg26477856,cg26788216,cg26937798,cg27023597,cg27537125	GSM701489	5.51e-08
6.571	5.67e-09	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00501876,cg00548098,cg00741986,cg00911776,cg01015663,cg01016119,cg01059398,cg01127300,cg01419914,cg01971407,cg02532700,cg02583484,cg02716826,cg02734358,cg03038262,cg03393996,cg03547355,cg03707168,cg03957124,cg04046980,cg04232972,cg04813697,cg05503062,cg05673882,cg06433467,cg07177756,cg07402062,cg07986378,cg07992484,cg08549335,cg08822075,cg09740554,cg09931909,cg10108250,cg10919522,cg11152412,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12873476,cg13126206,cg13127741,cg13518625,cg13579752,cg13787850,cg14120703,cg14209784,cg15159987,cg15344028,cg15474579,cg16047567,cg16071219,cg16389209,cg16969872,cg17265693,cg17467525,cg17812664,cg18125510,cg19180602,cg19268652,cg19372602,cg19572487,cg20184247,cg20289911,cg20295214,cg21121843,cg21140898,cg21393163,cg21990700,cg22103219,cg22160883,cg22787977,cg22950598,cg22974837,cg23034799,cg23205886,cg24497361,cg24996979,cg25143652,cg25325512,cg25953130,cg26271591,cg26477856,cg26788216,cg26937798,cg27023597,cg27537125	GSM701491	5.89e-08
5.728	1.30e-07	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00501876,cg00548098,cg00741986,cg01016119,cg01059398,cg01127300,cg01419914,cg01731783,cg01860693,cg02532700,cg02583484,cg02716826,cg02734358,cg03038262,cg03393996,cg03707168,cg03957124,cg04046980,cg04551776,cg04813697,cg05232694,cg05673882,cg06012804,cg06433467,cg07177756,cg07992484,cg08549335,cg08822075,cg08884752,cg09502149,cg10108250,cg10919522,cg11152412,cg11868595,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13126206,cg13127741,cg13518625,cg13579752,cg13787850,cg13832201,cg14120703,cg14209784,cg14753356,cg15344028,cg15474579,cg16047567,cg16071219,cg16389209,cg16969872,cg17467525,cg17812664,cg18125510,cg19180602,cg19268652,cg19372602,cg19572487,cg20349598,cg21121843,cg21140898,cg21393163,cg21747070,cg21990700,cg22103219,cg22160883,cg22787977,cg22805381,cg22974837,cg23034799,cg23205886,cg24090911,cg24497361,cg25953130,cg26271591,cg26477856,cg26788216,cg26937798,cg27023597,cg27537125	GSM665812	1.12e-06
6.690	7.60e-10	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00501876,cg00548098,cg00741986,cg00911776,cg01015663,cg01016119,cg01059398,cg01127300,cg01731783,cg02532700,cg02583484,cg02716826,cg02734358,cg03038262,cg03393996,cg03547355,cg03707168,cg03957124,cg04046980,cg04232972,cg04551776,cg04552852,cg04813697,cg04885881,cg05503062,cg05673882,cg06012804,cg06433467,cg07177756,cg07251887,cg07954423,cg07992484,cg08549335,cg08822075,cg08884752,cg09502149,cg09701700,cg09740554,cg09931909,cg10108250,cg10919522,cg11152412,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12800803,cg13126206,cg13127741,cg13518625,cg13579752,cg13787850,cg14120703,cg14580211,cg14753356,cg15344028,cg15474579,cg16071219,cg16389209,cg16969872,cg17265693,cg17467525,cg17812664,cg18125510,cg18826637,cg19180602,cg19268652,cg19572487,cg21121843,cg21140898,cg21393163,cg21990700,cg22103219,cg22160883,cg22787977,cg22974837,cg23034799,cg23205886,cg24090911,cg24139443,cg24497361,cg24996979,cg25143652,cg25953130,cg26477856,cg26788216,cg26844633,cg26937798,cg27023597,cg27537125	GSM665839	9.64e-09
7.137	1.77e-10	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00501876,cg00741986,cg00788170,cg01016119,cg01059398,cg01127300,cg01419914,cg01731783,cg01971407,cg02336104,cg02532700,cg02583484,cg02716826,cg02734358,cg03038262,cg03149958,cg03393996,cg03547355,cg03636183,cg03707168,cg03957124,cg03972838,cg04046980,cg04232972,cg04535902,cg04551776,cg04813697,cg05232694,cg05575921,cg05673882,cg06012804,cg06433467,cg07177756,cg07954423,cg07992484,cg08549335,cg08822075,cg08884752,cg09419102,cg09701700,cg09931909,cg10108250,cg10750182,cg10919522,cg11152412,cg11660018,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13126206,cg13127741,cg13218688,cg13518625,cg13579752,cg13787850,cg13832201,cg14209784,cg14580211,cg14753356,cg15159987,cg15344028,cg15474579,cg16047567,cg16071219,cg16389209,cg16466652,cg16969872,cg17265693,cg17467525,cg17812664,cg19268652,cg19372602,cg19572487,cg19634573,cg20289911,cg20349598,cg21121843,cg21140898,cg21161138,cg21393163,cg21747070,cg21990700,cg22103219,cg22160883,cg22787977,cg22911462,cg22974837,cg23034799,cg23205886,cg24139443,cg24497361,cg24996979,cg25112191,cg25143652,cg25325512,cg25953130,cg26477856,cg26788216,cg26937798,cg27023597,cg27537125	GSM817166	2.69e-09
7.598	2.07e-11	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00501876,cg00527825,cg00548098,cg00741986,cg01015663,cg01016119,cg01059398,cg01127300,cg01419914,cg01971407,cg02336104,cg02532700,cg02583484,cg02716826,cg02734358,cg03038262,cg03345232,cg03393996,cg03547355,cg03636183,cg03707168,cg03957124,cg04046980,cg04232972,cg04535902,cg04551776,cg04813697,cg04885881,cg05232694,cg05575921,cg05673882,cg06338710,cg06433467,cg07402062,cg07954423,cg07992484,cg08149865,cg08549335,cg08822075,cg08884752,cg09419102,cg09502149,cg09931909,cg10108250,cg10177197,cg10919522,cg11152412,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12873476,cg13126206,cg13127741,cg13518625,cg13579752,cg13787850,cg13832201,cg14120703,cg14209784,cg14753356,cg15344028,cg16071219,cg16389209,cg16466652,cg16969872,cg17265693,cg17467525,cg17812664,cg18826637,cg19268652,cg19572487,cg20059928,cg20184247,cg20349598,cg21121843,cg21161138,cg21393163,cg21747070,cg21990700,cg22103219,cg22160883,cg22787977,cg22911462,cg22950598,cg22974837,cg23034799,cg23205886,cg24139443,cg24497361,cg24996979,cg25143652,cg25953130,cg26477856,cg26788216,cg26844633,cg26937798,cg27023597,cg27537125	GSM701539	4.22e-10
