Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.366	9.95e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00795535,cg02844688,cg04099543,cg04395593,cg07611887,cg14242936,cg16545105,cg27347104	E063	1.00e+00
1.991	3.85e-02	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00663686,cg01248878,cg01614759,cg02024241,cg02190078,cg02835421,cg03554335,cg04954249,cg05186879,cg05516004,cg05567377,cg07952576,cg08177041,cg08408668,cg09584899,cg09668022,cg10298741,cg10487714,cg12190341,cg12315900,cg12985905,cg14009632,cg14131038,cg14260530,cg14261336,cg15157945,cg15535138,cg16299559,cg16775629,cg17430986,cg17679548,cg17786894,cg17820448,cg19284277,cg19296671,cg19579160,cg20626587,cg21145387,cg21166775,cg21450154,cg22123711,cg22748479,cg23057699,cg23299484,cg23575099,cg23661721,cg24238409,cg26350671,cg26529864,cg26819611	E063	1.00e+00
2.669	2.60e-02	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg15338098,cg20337696,cg22503106,cg26472183	E063	1.00e+00
-0.849	8.17e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00477633,cg01499988,cg01555198,cg01923915,cg02305757,cg03116466,cg04353863,cg04701118,cg05122026,cg06807926,cg07456972,cg07532960,cg07565042,cg08154963,cg08621659,cg10113951,cg10220988,cg10966235,cg11015284,cg11112605,cg11625476,cg11968273,cg12258670,cg12380988,cg12998731,cg13147461,cg13346427,cg14084609,cg14352263,cg15106081,cg15698538,cg15931859,cg16263722,cg16499536,cg16572910,cg16617564,cg16710434,cg17116500,cg17194668,cg18731680,cg18812843,cg19254378,cg19791728,cg21045547,cg21664942,cg23091723,cg23338316,cg25322146,cg26802802,cg26964704,cg27646484	E063	1.00e+00
1.636	4.99e-02	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00893849,cg01014987,cg01247459,cg01469583,cg01887834,cg01901579,cg02342367,cg02455383,cg02543556,cg02589986,cg02974089,cg03392077,cg03881379,cg03914277,cg04052546,cg04349839,cg04962865,cg05026674,cg05121010,cg05219896,cg05232481,cg05499338,cg05676915,cg05853552,cg05962003,cg06308882,cg06592575,cg06984345,cg07137115,cg07325407,cg07834490,cg08028384,cg08091497,cg08427005,cg08790890,cg09468422,cg09597192,cg09912228,cg10336036,cg10741887,cg11199798,cg11271052,cg11554295,cg11715991,cg11759930,cg11902347,cg12604858,cg12674840,cg13047724,cg13578165,cg13617202,cg13792581,cg13953978,cg14169284,cg14321269,cg14390854,cg14612966,cg14934396,cg14977769,cg15034807,cg15186355,cg15791719,cg16032884,cg16672147,cg16948651,cg17105176,cg17477733,cg17988187,cg18118893,cg18521725,cg18581916,cg18650626,cg18852698,cg20350272,cg20378408,cg20675152,cg20875821,cg21167563,cg21876760,cg22106221,cg22406869,cg22788906,cg23522962,cg24517604,cg24684972,cg25008015,cg25348163,cg25372176,cg25493477,cg26667462,cg27623075	E063	1.00e+00
3.542	1.50e-03	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00127788,cg01418188,cg04304036,cg05699320,cg07970948,cg09098714,cg09849688,cg12182708,cg13197551,cg13728275,cg13947225,cg14060758,cg18410271,cg18787963,cg21953058,cg23215701,cg24699150,cg25117333,cg26025224,cg27543741	E063	1.03e-01
12.035	1.08e-26	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00005461,cg00280111,cg00780501,cg00847453,cg00849335,cg00921350,cg01171954,cg01953813,cg02006119,cg02041484,cg02432022,cg02961280,cg03125875,cg03381616,cg03634089,cg03666966,cg04046364,cg04084348,cg04161328,cg04316096,cg04497992,cg04765471,cg04804748,cg04814136,cg04905364,cg04920032,cg04924375,cg05150185,cg05642098,cg05820066,cg05873271,cg05918326,cg06095753,cg06127160,cg06169291,cg06289919,cg06445384,cg06449385,cg06569561,cg07014573,cg07479786,cg07616376,cg07636225,cg07638500,cg07786412,cg07828833,cg07908654,cg08794018,cg08884974,cg09277749,cg09719750,cg09763039,cg10132304,cg10220104,cg10291951,cg10426838,cg11810303,cg11966720,cg12077754,cg12165656,cg12402318,cg12784307,cg12856590,cg12967579,cg13054523,cg13117318,cg13250178,cg13254847,cg13410614,cg14282386,cg14287557,cg14306688,cg14569513,cg14613901,cg14769121,cg14919455,cg15022400,cg15030712,cg15072057,cg15074047,cg15123849,cg15159044,cg15442959,cg15818306,cg15834151,cg16257804,cg16381477,cg16464329,cg16834953,cg16945415,cg17141163,cg17546493,cg17555715,cg17577640,cg17753773,cg17936236,cg18401534,cg18976159,cg19114543,cg19210893,cg19459094,cg19785826,cg19967449,cg19980260,cg20090759,cg20712856,cg20833901,cg20893838,cg21130221,cg21211039,cg21279677,cg22066020,cg22747707,cg22940815,cg22948672,cg23218859,cg23499392,cg23511239,cg23575688,cg23720822,cg23938511,cg24099727,cg24171689,cg24211388,cg24279017,cg24315421,cg24374476,cg24376793,cg24395217,cg24407546,cg24442367,cg24598141,cg24936095,cg25136646,cg25465557,cg25887955,cg25967384,cg26069291,cg26272008,cg26311703,cg26603047,cg26744554,cg26873486,cg26978762,cg27341747	E063	1.40e-23
-1.105	9.11e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg22150440	E063	1.00e+00
-2.488	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-0.779	7.32e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg09698506	E063	1.00e+00
