Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.411	1.96e-04	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00079023,cg00082939,cg00091633,cg00156995,cg00424169,cg00492070,cg00594129,cg00615592,cg00944421,cg00964751,cg01066472,cg01135546,cg01205935,cg01209984,cg01226614,cg01251360,cg01293485,cg01466133,cg01520588,cg01693598,cg01708636,cg01795955,cg01946191,cg02153814,cg02294302,cg02329835,cg02566861,cg02623200,cg02803819,cg02931685,cg02947450,cg02992639,cg03146625,cg03162823,cg03222066,cg03287111,cg03325667,cg03416628,cg03704673,cg03760191,cg03840467,cg03871267,cg04015962,cg04236334,cg04259752,cg04270401,cg04279801,cg04312620,cg04337944,cg04359418,cg04664126,cg04959634,cg05050592,cg05134847,cg05168015,cg05310240,cg05349837,cg05487507,cg05499367,cg05527113,cg05766948,cg05837435,cg05985317,cg06114987,cg06137072,cg06223926,cg06260709,cg06602723,cg06626847,cg06640630,cg06717905,cg06769918,cg06893273,cg06925984,cg07223180,cg07249684,cg07312357,cg07464674,cg07515565,cg07567308,cg07864647,cg07943780,cg08012287,cg08106887,cg08234689,cg08620329,cg08781728,cg08840551,cg09113483,cg09337852,cg09386376,cg09484541,cg09584358,cg09692695,cg09898695,cg10163955,cg10198479,cg10401489,cg10456121,cg10502244,cg10554624,cg10613381,cg10962524,cg11106117,cg11117637,cg11200656,cg11291003,cg11327659,cg11580525,cg11914795,cg11960677,cg11985480,cg12582654,cg12664119,cg13181164,cg13318241,cg13422804,cg13451356,cg13518442,cg13754720,cg13833596,cg14016875,cg14301024,cg14389669,cg14485744,cg14553765,cg14621323,cg14846292,cg14858616,cg14992524,cg15006681,cg15134801,cg15302379,cg15645660,cg15789095,cg16116203,cg16137147,cg16182479,cg16537292,cg16537676,cg16779251,cg16820616,cg16854876,cg16893614,cg16912563,cg16990174,cg17527422,cg17641566,cg17930194,cg17976121,cg18136963,cg18149394,cg18183624,cg18209323,cg18342462,cg18346398,cg18786420,cg19051015,cg19197440,cg19264571,cg19401033,cg19478539,cg19481355,cg19741660,cg19828220,cg19894382,cg20025238,cg20201270,cg20265748,cg20286956,cg20364512,cg20595752,cg21048168,cg21193577,cg21212881,cg21363811,cg21581504,cg21692620,cg21811021,cg21903286,cg22277296,cg22778981,cg22833618,cg22957360,cg22965943,cg23102632,cg23109344,cg23210521,cg23225147,cg23261715,cg23948843,cg24030449,cg24119717,cg24123198,cg24148304,cg24185628,cg24220031,cg24330456,cg24378227,cg24392955,cg24439713,cg24569831,cg24574963,cg24861859,cg24903893,cg25001102,cg25042226,cg25254074,cg25292638,cg25464265,cg25822369,cg26175343,cg26242687,cg26773791,cg27098804,cg27140633,cg27331665,cg27478242,cg27508620	E029	1.08e-02
-1.480	9.50e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00082939,cg00259472,cg00361017,cg01066472,cg01209984,cg01827781,cg01946191,cg02623200,cg03098721,cg03146625,cg03228449,cg03416628,cg03760191,cg04013159,cg04066265,cg04664126,cg04959634,cg05050592,cg05134847,cg05499367,cg06396119,cg06602723,cg06626847,cg06925984,cg07604700,cg08077071,cg08106887,cg08234689,cg09584358,cg10593400,cg11200656,cg11327857,cg12664119,cg13181164,cg13422804,cg13422817,cg13754720,cg13924715,cg14519997,cg16854876,cg16912563,cg17516571,cg17930194,cg18346398,cg19127638,cg19414967,cg19481355,cg20265748,cg20951444,cg23102632,cg24119717,cg24123198,cg24280832,cg24841257,cg26010218,cg26291519,cg27438980	E032	1.00e+00
-1.844	9.84e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg03289906,cg04359753,cg04664126,cg06626847,cg11182874,cg13305444,cg16701167,cg16820616,cg17867420,cg19127638	E033	1.00e+00
1.779	3.22e-02	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg00031973,cg00054210,cg00361017,cg00405069,cg00428382,cg00741945,cg00756943,cg00868766,cg00964751,cg00970752,cg01001533,cg01066472,cg01209984,cg01251360,cg01342115,cg01447828,cg01466133,cg01693598,cg01708636,cg01775897,cg01803461,cg01827781,cg02018681,cg02228675,cg02294302,cg02329835,cg02345146,cg02483701,cg02623200,cg02649698,cg02703145,cg02723291,cg02803819,cg02947450,cg02952809,cg03228449,cg03289906,cg03329019,cg03416628,cg03520644,cg03760191,cg03840467,cg03879180,cg04149978,cg04259752,cg04270401,cg04289036,cg04334496,cg04337944,cg04359418,cg04359753,cg04664126,cg04859826,cg04981619,cg05050592,cg05134847,cg05168015,cg05487507,cg05589489,cg05593411,cg05837435,cg06396119,cg06489606,cg06602723,cg06744585,cg06769918,cg06925984,cg07051221,cg07223180,cg07262247,cg07312357,cg07379741,cg07567308,cg07571337,cg07571928,cg08005165,cg08106887,cg08217910,cg08234689,cg08571918,cg08781728,cg08820801,cg08840551,cg09337852,cg09386376,cg09584358,cg09692695,cg10401489,cg10456121,cg10502244,cg10593400,cg10717869,cg10816169,cg10866062,cg10962524,cg11182874,cg11878045,cg11914795,cg11985480,cg12065616,cg12150256,cg12664119,cg12845268,cg13030332,cg13181164,cg13204699,cg13308964,cg13318241,cg13422804,cg13451356,cg13468961,cg13518442,cg13646480,cg13943068,cg14389669,cg14424963,cg14553765,cg14858616,cg15006681,cg15127250,cg15302379,cg15789095,cg16137147,cg16246545,cg16442587,cg16537292,cg16701167,cg16779251,cg16820616,cg16854876,cg17149103,cg17223809,cg17296589,cg17900689,cg18183624,cg18346398,cg19127638,cg19197440,cg19264571,cg19272540,cg19512582,cg19695978,cg19851563,cg20165545,cg20201270,cg20265748,cg20430773,cg20653375,cg20806427,cg21109038,cg21117965,cg21139046,cg21212881,cg22113926,cg22957360,cg23210521,cg23373640,cg23669081,cg23733845,cg24119717,cg24280832,cg24522254,cg25001102,cg25042226,cg25292638,cg25449315,cg25607643,cg26160218,cg26291519,cg26942432,cg27438980,cg27475169,cg27565650	E034	1.00e+00
0.824	1.96e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00054210,cg00079023,cg00222799,cg00361017,cg00492070,cg00594129,cg00756943,cg00964751,cg01066472,cg01135546,cg01209984,cg01251360,cg01394847,cg01447828,cg01693598,cg01708636,cg01713950,cg01795955,cg01817364,cg01827781,cg01946191,cg02153814,cg02329835,cg02452639,cg02486415,cg02566861,cg02623200,cg02803819,cg02931685,cg02947450,cg03146625,cg03329019,cg03416628,cg03520644,cg03760191,cg03800939,cg03840467,cg04015962,cg04017036,cg04236334,cg04259752,cg04312620,cg04334496,cg04337944,cg04500896,cg04664126,cg04715503,cg04959634,cg05050592,cg05134847,cg05232215,cg05349837,cg05487507,cg05499367,cg05593411,cg05644462,cg05812266,cg05837435,cg06114987,cg06117153,cg06241901,cg06396119,cg06602723,cg06626847,cg06717905,cg06744585,cg06766541,cg07037725,cg07118895,cg07223180,cg07262247,cg07292773,cg07312357,cg07429038,cg07943780,cg08005165,cg08106887,cg08217910,cg08224569,cg08234689,cg08571918,cg08620329,cg08731696,cg08781728,cg08855938,cg09113483,cg09386376,cg09501959,cg09584358,cg10456541,cg10613381,cg10708898,cg10816169,cg10843343,cg10885338,cg10962524,cg11412129,cg11580525,cg11631063,cg11669516,cg11914795,cg11985480,cg12664119,cg12899423,cg13030332,cg13058819,cg13181164,cg13204699,cg13308964,cg13318241,cg13422804,cg13422817,cg13497903,cg13518442,cg13583664,cg13754720,cg13833596,cg13847322,cg14134256,cg14192542,cg14301024,cg14389669,cg14992524,cg15006681,cg15134801,cg15302379,cg15657704,cg15789095,cg16063162,cg16137147,cg16182479,cg16442587,cg16652937,cg16701167,cg16820616,cg16854876,cg16876823,cg17149103,cg17186388,cg17220161,cg17223809,cg17461600,cg17641566,cg17768691,cg17802213,cg17986992,cg18168310,cg18183624,cg18280057,cg18342462,cg19137107,cg19197440,cg19264571,cg19401033,cg19425295,cg19478539,cg19481355,cg19717060,cg19795793,cg19828220,cg19851563,cg20118840,cg20201270,cg20265748,cg20286956,cg20430773,cg20505728,cg20722590,cg20951444,cg20982735,cg21193577,cg21212881,cg21581504,cg21644740,cg22113926,cg22128896,cg22277296,cg22374525,cg22874989,cg22952142,cg22957360,cg22965943,cg23058037,cg23102632,cg23109344,cg23210521,cg23629935,cg23948843,cg24030449,cg24119717,cg24220031,cg24330456,cg24404630,cg24601030,cg24779381,cg24861859,cg24903893,cg25001102,cg25042226,cg25162533,cg25607643,cg26138978,cg26160218,cg26242687,cg26291519,cg26853787,cg27098804,cg27475169,cg27508620,cg27646484	E046	1.00e+00
-3.682	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg00082939,cg00424169,cg00594129,cg00615592,cg01066472,cg01209984,cg01471372,cg01527307,cg02018681,cg02276831,cg02329835,cg03146625,cg03295417,cg03325667,cg03416628,cg03679544,cg03704673,cg03760191,cg03871267,cg04259752,cg05050592,cg05499367,cg06626847,cg07223180,cg07264048,cg07429038,cg07515565,cg07864647,cg07943780,cg08005165,cg08077071,cg08106887,cg09168805,cg09512548,cg09584358,cg10613381,cg10885338,cg11106117,cg11631063,cg11914795,cg12664119,cg13030332,cg13181164,cg13318241,cg13583664,cg13754720,cg14016875,cg14354168,cg14485744,cg14560430,cg14621323,cg14883961,cg15657704,cg16137147,cg16263848,cg16442587,cg16820616,cg16990174,cg17223809,cg17802213,cg18136963,cg18342462,cg18346398,cg18449062,cg19264571,cg20201270,cg20415486,cg20524889,cg21048168,cg21363811,cg21581504,cg21811021,cg23102632,cg23109344,cg24148304,cg24330456,cg24392955,cg24439713,cg25001102,cg25254074,cg25305703,cg25822369,cg27478242,cg27508620	E050	1.00e+00
-3.185	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg00594129,cg00630991,cg01066472,cg01209984,cg01466133,cg01708636,cg01795955,cg02018681,cg02329835,cg03760191,cg04334496,cg04664126,cg05050592,cg06117153,cg06717905,cg07223180,cg07249684,cg07515565,cg07864647,cg08005165,cg08077071,cg08234689,cg08620329,cg08840551,cg09501959,cg10613381,cg10885338,cg11914795,cg12559119,cg12836958,cg12899423,cg13030332,cg13181164,cg13451356,cg13754720,cg13833596,cg16137147,cg16442587,cg16779251,cg16990174,cg17205324,cg17223809,cg17930194,cg18183624,cg18342462,cg18346398,cg20265748,cg21581504,cg23948843,cg24330456,cg24439713,cg25464265,cg25581090,cg25607643,cg26010218,cg26291519,cg27478242,cg27508620	E051	1.00e+00
-5.872	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg00054210,cg01066472,cg01817364,cg02449166,cg02903680,cg03510528,cg03871267,cg05050592,cg05460571,cg06717905,cg06913600,cg08005165,cg08090164,cg08571918,cg08915171,cg13204699,cg14485744,cg16442587,cg17149103,cg17284119,cg17507667,cg19821872,cg22874989,cg23058037,cg23218354,cg24439713,cg25001102,cg25464265	E028	1.00e+00
-2.978	1.00e+00	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg00031973,cg00082939,cg00091633,cg00239563,cg00361017,cg00492070,cg00567854,cg00582562,cg00594129,cg00756943,cg01001533,cg01066472,cg01209984,cg01251360,cg01394847,cg01466133,cg01775897,cg01795955,cg01817364,cg01952185,cg02254407,cg02294302,cg02452639,cg02483701,cg02566861,cg02903680,cg02947450,cg03146625,cg03162823,cg03416628,cg03510528,cg03534375,cg03704673,cg03760191,cg03785076,cg03822639,cg03962527,cg04013159,cg04017036,cg04236334,cg04259752,cg04337944,cg04959634,cg04968127,cg05050592,cg05134847,cg05232215,cg05310240,cg05349837,cg05593411,cg05644462,cg05746014,cg05766948,cg06026545,cg06114987,cg06396119,cg06602723,cg06626847,cg06744585,cg06769918,cg07223180,cg07249684,cg07412254,cg07421287,cg07567308,cg08005165,cg08090164,cg08224569,cg08620329,cg08657654,cg08781728,cg08784911,cg08840551,cg09083345,cg09113483,cg09265392,cg09501959,cg09687907,cg09747445,cg09898695,cg10163955,cg10213875,cg10928544,cg11526630,cg11580525,cg11631063,cg11878045,cg11914795,cg12233232,cg12405265,cg13030332,cg13204699,cg13422804,cg13468961,cg13523576,cg13558810,cg13622265,cg13916835,cg13934236,cg14016875,cg14301024,cg14354168,cg14485097,cg15302379,cg15467577,cg16063162,cg16137147,cg16261676,cg16302655,cg16467811,cg16641055,cg16912563,cg16990174,cg17149103,cg17223809,cg17231677,cg17802213,cg17930194,cg17986992,cg18346398,cg18449062,cg18534077,cg19390244,cg19821872,cg19828220,cg19894382,cg20415486,cg20505728,cg21363811,cg21519058,cg21577356,cg21581504,cg21811021,cg22000727,cg22784595,cg22952142,cg22965943,cg23218354,cg23225147,cg23669081,cg23907108,cg24185628,cg24378227,cg24439713,cg24841257,cg25800753,cg26010218,cg27098804,cg27203184,cg27207079,cg27331665	E003	1.00e+00
-2.971	9.99e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg00996847,cg01946191,cg03822639,cg04013159,cg04259752,cg04959634,cg05050592,cg06769918,cg08077071,cg09265392,cg10163955,cg10554624,cg10904740,cg13518442,cg14348967,cg15478483,cg17058475,cg17385483,cg19473656,cg20653375,cg21903286,cg22784595,cg24123198,cg27300028,cg27565650	E004	1.00e+00
