Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.476	1.00e+00	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00320288,cg00479240,cg00675133,cg01101380,cg02196294,cg02343823,cg02532700,cg02763617,cg03338220,cg03906115,cg04358214,cg04561804,cg04979435,cg05927068,cg06391982,cg06981386,cg07964538,cg08265933,cg08311343,cg08464824,cg09837361,cg09860781,cg10312186,cg10387769,cg10599571,cg10830889,cg11642681,cg11902777,cg12630461,cg13431464,cg14485097,cg15091747,cg15271616,cg15809578,cg17140307,cg17745339,cg20059928,cg20065768,cg21574675,cg22488352,cg24435571,cg24449302,cg24500683,cg24626003,cg25311764,cg26783428,cg26889659,cg27454064	NA	1.00e+00
-4.514	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00213123,cg00675133,cg02185666,cg02532700,cg02763617,cg03338220,cg04561804,cg05927068,cg06981386,cg08464824,cg09721659,cg09837361,cg10830889,cg11898431,cg11902777,cg12630461,cg15809578,cg17140307,cg20059928,cg20441135,cg24435571,cg24449302,cg24626003,cg25311764	NA	1.00e+00
-4.596	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00675133,cg02532700,cg03338220,cg04358214,cg04561804,cg04979435,cg05927068,cg06981386,cg08464824,cg09837361,cg10387769,cg10704395,cg11898431,cg13431464,cg17140307,cg20059928,cg22703520,cg24449302,cg24626003,cg24657523,cg24915511	NA	1.00e+00
-5.835	1.00e+00	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00123478,cg00675133,cg02763617,cg03338220,cg04561804,cg05927068,cg06981386,cg07250758,cg08463485,cg09837361,cg10830889,cg12125332,cg12630461,cg17140307,cg17165695,cg20059928,cg22703520,cg24449302,cg24626003,cg24915511	NA	1.00e+00
-3.649	1.00e+00	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00123478,cg00675133,cg00994804,cg02185666,cg02227813,cg02343823,cg02463253,cg02763617,cg03152121,cg03278643,cg03338220,cg03906115,cg04561804,cg04979435,cg05065239,cg05697249,cg05927068,cg06981386,cg07964538,cg08464824,cg09721659,cg09837361,cg10599571,cg10830889,cg11144555,cg11898431,cg11902777,cg12125332,cg12630461,cg14179389,cg14485097,cg15726169,cg17140307,cg20059928,cg20441135,cg20708516,cg21120678,cg22488352,cg23790219,cg24449302,cg24500683,cg24626003,cg24915511,cg25311764,cg26262573,cg26889659	NA	1.00e+00
-4.835	1.00e+00	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00675133,cg02532700,cg02611770,cg02763617,cg03152121,cg03338220,cg03354508,cg04358214,cg04561804,cg04979435,cg05065239,cg05531482,cg06981386,cg07250758,cg07964538,cg08464824,cg09721659,cg10830889,cg11637005,cg11898431,cg11902777,cg13431464,cg15809578,cg17140307,cg20059928,cg20708516,cg21574675,cg24435571,cg24449302,cg24500683,cg24626003,cg24915511,cg25311764,cg25955817,cg26783428,cg26876647	NA	1.00e+00
-4.320	1.00e+00	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00675133,cg02196294,cg02532700,cg02763617,cg02938205,cg03338220,cg03662049,cg04979435,cg06981386,cg08464824,cg10078511,cg10136560,cg11637005,cg11898431,cg11902777,cg12630461,cg13431464,cg14157435,cg15809578,cg17140307,cg24435571,cg24449302,cg24500683,cg24626003,cg25311764	NA	1.00e+00
-4.426	1.00e+00	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg02196294,cg03338220,cg03906115,cg04979435,cg05575921,cg05927068,cg06391982,cg06981386,cg07964538,cg08464824,cg10830889,cg11025974,cg11205636,cg11902777,cg14157435,cg14485097,cg17140307,cg20065768,cg23790219,cg24435571,cg24449302,cg24626003,cg25311764,cg26889659	NA	1.00e+00
-3.036	9.99e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00213123,cg00320288,cg00675133,cg00994804,cg02019125,cg02196294,cg02343823,cg02463253,cg02532700,cg02763617,cg03338220,cg04979435,cg05621259,cg05697249,cg05927068,cg06179765,cg06981386,cg08311343,cg08464824,cg09837361,cg10078511,cg10136560,cg10234985,cg10312186,cg10599571,cg11898431,cg11902777,cg12630461,cg13431464,cg14157435,cg14485097,cg15091747,cg15271616,cg15726169,cg15809578,cg16548362,cg17140307,cg20065768,cg23277376,cg24435571,cg24449302,cg24500683,cg24626003,cg24915511,cg25311764,cg25602536	NA	1.00e+00
-3.720	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00320288,cg00675133,cg00994804,cg02019125,cg02196294,cg02532700,cg02763617,cg03338220,cg04561804,cg05927068,cg06179765,cg06391982,cg06981386,cg08311343,cg08464824,cg09837361,cg10234985,cg10830889,cg11637005,cg11672277,cg11902777,cg12630461,cg13431464,cg14179389,cg14485097,cg15271616,cg15809578,cg20708516,cg20785560,cg23277376,cg24435571,cg24449302,cg24500683,cg24626003,cg24915511,cg25311764,cg25602536,cg26783428	NA	1.00e+00
