Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-3.228	1.00e+00	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00336912,cg00359030,cg00381391,cg00634542,cg00638845,cg00714531,cg00758214,cg01116541,cg01998785,cg02142455,cg02212711,cg02420943,cg03278639,cg03492094,cg03757043,cg03837359,cg04170495,cg04385523,cg04765589,cg04933530,cg05555563,cg05981968,cg06794913,cg07056602,cg07066120,cg07579327,cg07718085,cg08061334,cg08559734,cg09031958,cg09194810,cg09458420,cg09863265,cg12077460,cg12402318,cg12667152,cg13726456,cg13732043,cg14025883,cg14108285,cg14140403,cg14362073,cg15881027,cg15964898,cg16160637,cg16191278,cg16270995,cg16349667,cg16508714,cg16660617,cg17040893,cg17338225,cg17772438,cg18099556,cg18341600,cg18455616,cg18830042,cg19375767,cg19791780,cg21237481,cg21640749,cg21664942,cg21672758,cg22252112,cg22503106,cg22883080,cg23911543,cg24014587,cg24517604,cg25003924,cg25159046,cg25348163,cg25368824,cg25466522,cg25852061,cg26058544,cg27094581,cg27131881,cg27143027,cg27481141	NA	1.00e+00
-4.498	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg01137366,cg01437709,cg01978458,cg02233915,cg02436083,cg04806741,cg05056419,cg05358754,cg07589211,cg12077460,cg12614529,cg13726456,cg13732043,cg14329961,cg14697045,cg15998596,cg16438366,cg16597993,cg17532497,cg17542165,cg18783781,cg19696679,cg20758387,cg21234134,cg22027879,cg22069559,cg23475294,cg23871276,cg24028828,cg24872571,cg27481141	NA	1.00e+00
-5.978	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00714531,cg00823480,cg00851361,cg03492094,cg04385523,cg05056419,cg08884974,cg13726456,cg16270995,cg16950658,cg17040893,cg17718238,cg21640749,cg22252112,cg22503106,cg25003924,cg25852061,cg27131881,cg27481141	NA	1.00e+00
-5.833	1.00e+00	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00714531,cg01998785,cg03492094,cg04650104,cg07056602,cg07718085,cg08061334,cg13726456,cg17040893,cg18455616,cg22883080,cg24014587,cg25852061,cg27131881,cg27481141	NA	1.00e+00
-5.300	1.00e+00	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00851361,cg02402423,cg02543556,cg03210018,cg03501393,cg04385523,cg05194248,cg05447875,cg07589211,cg08969102,cg09458420,cg12077460,cg12077754,cg12614529,cg13726456,cg13732043,cg14108285,cg14131691,cg14184646,cg14209284,cg17532497,cg17542165,cg17718238,cg19696679,cg20758387,cg23475294,cg24062598,cg25003924,cg25368824,cg25960268,cg26472183,cg26529864	NA	1.00e+00
-5.403	1.00e+00	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00114012,cg00460843,cg00851361,cg01614759,cg01978458,cg02233915,cg02503303,cg03502211,cg03666966,cg04806741,cg05056419,cg05879394,cg06315149,cg06475513,cg06483820,cg07361747,cg07589211,cg08334830,cg08423755,cg08969102,cg10650214,cg11238327,cg11422446,cg11939550,cg12380988,cg12383160,cg12402318,cg12614529,cg13135255,cg13531735,cg13726456,cg13732043,cg14140403,cg14209284,cg14354244,cg14617280,cg14697045,cg15434896,cg15737719,cg15998596,cg16064932,cg16438366,cg17519037,cg17532497,cg17542165,cg17936236,cg18783781,cg19260922,cg19344749,cg19582046,cg19696679,cg20758387,cg22027879,cg23434083,cg23475294,cg23871276,cg24028828,cg24872571,cg25003924,cg25308597,cg25475273,cg25518040,cg25960268,cg26472183,cg26703587,cg27481141	NA	1.00e+00
-1.405	9.41e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00336912,cg00359030,cg00381391,cg00638845,cg00673191,cg00714531,cg00758214,cg00851361,cg01051200,cg01978458,cg01998785,cg02170785,cg02202133,cg02212711,cg02374401,cg02402423,cg02420943,cg02436083,cg02930951,cg02951831,cg03035271,cg03119191,cg03131767,cg03189469,cg03210018,cg03369382,cg03492094,cg03722757,cg03757043,cg04148640,cg04170495,cg04202435,cg04308301,cg04385523,cg04399631,cg04806741,cg04933530,cg05045380,cg05056419,cg05786348,cg05934594,cg06019933,cg06304167,cg06418837,cg06608224,cg06794913,cg06984345,cg07056602,cg07456972,cg07718085,cg07879720,cg08061334,cg08302053,cg08423755,cg08698681,cg08884974,cg09031958,cg09040200,cg09194810,cg09532994,cg09778927,cg09863265,cg10100117,cg10194884,cg10590350,cg10644885,cg10815420,cg11606229,cg12075669,cg12077460,cg12402318,cg12492850,cg12629001,cg12667152,cg12736613,cg13197551,cg13458609,cg13531735,cg13726456,cg13732043,cg13863638,cg14025883,cg14108285,cg14140403,cg14190451,cg14321269,cg14697045,cg14879885,cg14930775,cg15158069,cg15434896,cg15881027,cg16107105,cg16122287,cg16145720,cg16147002,cg16160637,cg16191278,cg16270995,cg16330225,cg16660617,cg16714237,cg16950658,cg17040893,cg17074037,cg17218818,cg17338225,cg17384357,cg17519037,cg17936236,cg17982734,cg18455414,cg18455616,cg18655410,cg18830042,cg18991231,cg19198938,cg19434937,cg19475270,cg19791262,cg19791780,cg19998289,cg20216313,cg20758387,cg21142557,cg21237481,cg21640749,cg21672758,cg22027879,cg22059413,cg22146772,cg22252112,cg22503106,cg22508829,cg22775585,cg22883080,cg23087931,cg23205629,cg23260901,cg23475294,cg23855365,cg23911543,cg23990557,cg24014587,cg24278615,cg24541864,cg24712122,cg25003924,cg25159046,cg25466522,cg25470919,cg25738218,cg25852061,cg25960268,cg26592446,cg26985528,cg27094581,cg27131881,cg27143027,cg27308490,cg27335233,cg27481141	NA	1.00e+00
-2.537	9.97e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00114012,cg00336912,cg00359030,cg00381391,cg00638845,cg00673191,cg00714531,cg00758214,cg00823480,cg00851361,cg01137366,cg01998785,cg02170785,cg02202133,cg02212711,cg02374401,cg02436083,cg02683853,cg02930951,cg03119191,cg03131767,cg03189469,cg03210018,cg03492094,cg03722757,cg03757043,cg04148640,cg04308301,cg04385523,cg04399631,cg04524109,cg04806741,cg04933530,cg05045380,cg05056419,cg05316492,cg06019933,cg06794913,cg06984345,cg07056602,cg07718085,cg08058756,cg08061334,cg08584457,cg08698681,cg08884974,cg09031958,cg09040200,cg09778927,cg10120159,cg10220104,cg11606229,cg12077460,cg13197551,cg13205244,cg13562011,cg13726456,cg13732043,cg14131691,cg14190451,cg15123849,cg15434896,cg15881027,cg15964898,cg15988632,cg16160637,cg16270995,cg16330225,cg16714237,cg16950658,cg17040893,cg17074037,cg17338225,cg17384357,cg17459348,cg17519037,cg17718238,cg17936236,cg17982734,cg18455414,cg18455616,cg18655410,cg18830042,cg18991231,cg19198938,cg19456763,cg19791780,cg19998289,cg20216313,cg21067343,cg21142557,cg21237481,cg21640749,cg22027879,cg22146772,cg22252112,cg22503106,cg22508829,cg22883080,cg23205629,cg23260901,cg23855365,cg23990557,cg24541864,cg24712122,cg25003924,cg25221180,cg25466522,cg25470919,cg25602071,cg25852061,cg25877465,cg25960268,cg26058544,cg26569937,cg26817086,cg26955963,cg27094581,cg27131881,cg27143027,cg27308490,cg27481141	NA	1.00e+00
-3.570	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00359030,cg00714531,cg02374401,cg04806741,cg06794913,cg07056602,cg08652605,cg12359648,cg13726456,cg16270995,cg16438366,cg16950658,cg18455414,cg18455616,cg18456722,cg18655410,cg19998289,cg23855365,cg24541864,cg27131881,cg27143027,cg27481141	NA	1.00e+00
-5.784	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00359030,cg00381391,cg00638845,cg00714531,cg00758214,cg01051200,cg01998785,cg02212711,cg03210018,cg03492094,cg03757043,cg04997452,cg07056602,cg07718085,cg08061334,cg08820720,cg08884974,cg09532994,cg12075669,cg13197551,cg13205244,cg13726456,cg13732043,cg14140403,cg16064932,cg16438366,cg16714237,cg16950658,cg17040893,cg17338225,cg17519037,cg17532497,cg18455616,cg18655410,cg18830042,cg19791780,cg21237481,cg22027879,cg22883080,cg23990557,cg25003924,cg25852061,cg25877465,cg26569937,cg27094581,cg27131881,cg27143027,cg27481141	NA	1.00e+00
-5.739	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00359030,cg00714531,cg01978458,cg02170785,cg02212711,cg02243624,cg02487088,cg02683853,cg04933530,cg04997452,cg07056602,cg07636225,cg12605076,cg13197551,cg13726456,cg13732043,cg14140403,cg16714237,cg17040893,cg18830042,cg19791780,cg21640749,cg23911543,cg23990557,cg24014587,cg25877465,cg27131881,cg27143027,cg27481141	NA	1.00e+00
-1.875	9.81e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00114012,cg00336912,cg00359030,cg00381391,cg00638845,cg00673191,cg00714531,cg00823480,cg00851361,cg01116541,cg01437709,cg01614759,cg01927901,cg01978458,cg01998785,cg02170785,cg02202133,cg02212711,cg02374401,cg02402423,cg02420943,cg02930951,cg03119191,cg03131767,cg03189469,cg03210018,cg03492094,cg03695871,cg03722757,cg03757043,cg04148640,cg04308301,cg04385523,cg04399631,cg04806741,cg04933530,cg05045380,cg05300717,cg05786348,cg06608224,cg06794913,cg06984345,cg07056602,cg07299810,cg07459967,cg07718085,cg08058756,cg08061334,cg08302053,cg08423755,cg08584457,cg08884974,cg08969102,cg09040200,cg09778927,cg10100117,cg10120159,cg10194884,cg10590350,cg10644885,cg11619782,cg12077460,cg12402318,cg12492850,cg12736613,cg13197551,cg13205244,cg13221796,cg13726456,cg13732043,cg14108285,cg14131691,cg14140403,cg14190451,cg14362073,cg14511746,cg15203376,cg15881027,cg15988632,cg16122287,cg16145720,cg16160637,cg16191278,cg16270995,cg16660617,cg16714237,cg16950658,cg17040893,cg17074037,cg17338225,cg17384357,cg17459348,cg17718238,cg17936236,cg17982734,cg18455414,cg18455616,cg18655410,cg18830042,cg19198938,cg19296400,cg19475270,cg19791262,cg19791780,cg19998289,cg20317437,cg21067343,cg21142557,cg21237481,cg21505451,cg21672758,cg22027879,cg22146772,cg22252112,cg22503106,cg22508829,cg22883080,cg23076894,cg23205629,cg23260901,cg23855365,cg23990557,cg24014587,cg24541864,cg24712122,cg25003924,cg25470919,cg25852061,cg26058544,cg26569937,cg26817086,cg26985528,cg27094581,cg27131881,cg27143027,cg27308490,cg27481141	NA	1.00e+00
-5.717	1.00e+00	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg00714531,cg00758214,cg02212711,cg03492094,cg04765589,cg07056602,cg07718085,cg08061334,cg08820720,cg12402318,cg13205244,cg13726456,cg17040893,cg18455414,cg18455616,cg18830042,cg19791780,cg22503106,cg27131881,cg27481141	NA	1.00e+00
-4.025	1.00e+00	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg00359030,cg00638845,cg00758214,cg04765589,cg07056602,cg07718085,cg12402318,cg13726456,cg16270995,cg16508714,cg17040893,cg17338225,cg18099556,cg18341600,cg18455616,cg19791780,cg21664942,cg25348163,cg27131881,cg27143027,cg27481141	NA	1.00e+00
-4.000	1.00e+00	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00CTZ41.DNase.hotspot_v3.20141014.bed.gz	cg00336912,cg00359030,cg00381391,cg00381516,cg00714531,cg00758214,cg00823480,cg01051200,cg01116541,cg01998785,cg02212711,cg03092343,cg03210018,cg03369382,cg03492094,cg03757043,cg04385523,cg04399631,cg04765589,cg04997452,cg05316492,cg06794913,cg07056602,cg07718085,cg07730263,cg07879720,cg08061334,cg08256839,cg08584457,cg09339568,cg09532994,cg09863265,cg10120159,cg10590350,cg12075669,cg12667152,cg13054523,cg13197551,cg13205244,cg13726456,cg13732043,cg14025883,cg14140403,cg16160637,cg16270995,cg16438366,cg16714237,cg17040893,cg17338225,cg17519037,cg17718238,cg18455414,cg18455616,cg18655410,cg18783781,cg18830042,cg18991231,cg19791780,cg19998289,cg21237481,cg21576315,cg21640749,cg22027879,cg22883080,cg23149707,cg23990557,cg24014587,cg24323626,cg25003924,cg25852061,cg25960268,cg27094581,cg27131881,cg27143027,cg27481141	NA	1.00e+00
-4.917	1.00e+00	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00C0J41.DNase.hotspot_v3.20141014.bed.gz	cg02233915,cg03035271,cg04385523,cg05194248,cg07056602,cg07589211,cg08061334,cg12614529,cg13726456,cg13732043,cg15158069,cg17532497,cg17542165,cg18783781,cg19696679,cg22027879,cg23414568,cg23475294,cg25960268,cg26529864	NA	1.00e+00
-6.078	1.00e+00	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00HTF41.DNase.hotspot_v3.20141014.bed.gz	cg00114012,cg00381391,cg00714531,cg00793181,cg00823480,cg00978517,cg02170785,cg02589986,cg03131767,cg03492094,cg03666966,cg04983687,cg05159759,cg05473599,cg07056602,cg07299810,cg07718085,cg08061334,cg08439122,cg08778580,cg09339568,cg10142874,cg11205545,cg11296110,cg11558387,cg12077460,cg12383160,cg12450789,cg12561552,cg12667152,cg13726456,cg13732043,cg14012059,cg14025883,cg14329961,cg15964898,cg16191278,cg17040893,cg17519037,cg17542165,cg17982734,cg18455414,cg18830042,cg19247032,cg19456763,cg20560376,cg20649656,cg21067343,cg21576315,cg21640749,cg22775585,cg23149707,cg25308597,cg25348163,cg25479097,cg25877465,cg26365969,cg27308490,cg27481141	NA	1.00e+00
-5.309	1.00e+00	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00JS941.DNase.hotspot_v3.20141014.bed.gz	cg02874537,cg03492094,cg07056602,cg13726456,cg17040893,cg22027879,cg25852061,cg27131881	NA	1.00e+00
-5.693	1.00e+00	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00BYT41.DNase.hotspot_v3.20141014.bed.gz	cg00714531,cg00823480,cg01901579,cg01998785,cg02212711,cg02420943,cg03757043,cg04385523,cg04399631,cg06794913,cg07056602,cg08061334,cg09031958,cg13726456,cg15434896,cg16064932,cg16270995,cg16950658,cg17040893,cg17718238,cg18455414,cg18455616,cg19198938,cg19791780,cg21237481,cg21640749,cg21672758,cg22252112,cg22883080,cg24541864,cg25852061,cg25877465,cg26472183,cg27131881,cg27143027,cg27481141	NA	1.00e+00
-5.595	1.00e+00	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00CS041.DNase.hotspot_v3.20141014.bed.gz	cg00286717,cg00359030,cg00638845,cg00714531,cg00758214,cg01051200,cg01978458,cg01998785,cg03210018,cg03757043,cg04997452,cg07056602,cg07718085,cg08061334,cg08778580,cg08820720,cg08884974,cg09335712,cg09532994,cg09863265,cg12402318,cg13197551,cg13726456,cg13732043,cg16160637,cg16714237,cg17040893,cg17338225,cg18455414,cg18455616,cg18830042,cg18991231,cg19456763,cg19791780,cg21142557,cg21237481,cg21640749,cg22146772,cg23149707,cg23990557,cg24014587,cg25003924,cg25852061,cg27094581,cg27131881,cg27143027,cg27308490,cg27481141	NA	1.00e+00
