Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.913	4.18e-02	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01809639,cg02112168,cg02890250,cg03047995,cg03732020,cg03801691,cg03877174,cg04016660,cg04180046,cg04445427,cg04815334,cg05304393,cg06357748,cg06361984,cg06635952,cg06724236,cg06819357,cg07349663,cg07723258,cg07807219,cg08473752,cg09929238,cg10696445,cg10722267,cg12290779,cg13165240,cg14030402,cg14977938,cg15020801,cg15108699,cg15143938,cg15251319,cg15963913,cg16379999,cg16649298,cg17485141,cg17884674,cg17953136,cg19557110,cg19619585,cg19956914,cg23055276,cg23236366,cg23661483,cg23729283,cg23842572,cg23855901,cg25469868,cg26728282,cg26821542,cg27118035,cg27470978	E029	2.57e-01
1.591	7.50e-02	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01809639,cg01824412,cg02003183,cg02112168,cg02158978,cg02186444,cg02890250,cg03047995,cg03801691,cg03877174,cg04016660,cg04180046,cg04815334,cg05304393,cg05570258,cg06357748,cg06361984,cg06635952,cg06724236,cg06819357,cg07349663,cg07723258,cg09929238,cg09981914,cg10696445,cg10722267,cg10811485,cg11699257,cg11953794,cg12290779,cg13165240,cg14030402,cg14977938,cg15020801,cg15108699,cg15143938,cg15251319,cg15963913,cg16379999,cg16649298,cg17485141,cg17884674,cg17953136,cg18954479,cg19327213,cg19557110,cg19619585,cg19637821,cg19736654,cg19925780,cg19956914,cg21927365,cg23236366,cg23661483,cg23840027,cg23842572,cg23855901,cg25469868,cg25491122,cg26728282,cg26821542,cg27118035,cg27470978	E032	3.89e-01
3.227	1.44e-03	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01809639,cg02112168,cg02158978,cg02890250,cg03051880,cg03182584,cg03801691,cg03877174,cg04016660,cg04180046,cg04445427,cg04815334,cg05304393,cg06357748,cg06361984,cg06724236,cg06819357,cg07349663,cg07723258,cg08473752,cg08551027,cg09906382,cg09929238,cg10696445,cg10722267,cg10811485,cg11699257,cg11953794,cg12290779,cg13165240,cg14030402,cg14977938,cg15020801,cg15108699,cg15143938,cg15251319,cg15261712,cg15963913,cg16379999,cg16649298,cg17485141,cg17953136,cg18954479,cg19327213,cg19557110,cg19619585,cg19637821,cg19736654,cg19925780,cg19956914,cg21758126,cg21927365,cg22539182,cg23236366,cg23661483,cg23855901,cg25200151,cg25349939,cg25469868,cg25809905,cg26728282,cg26821542,cg27118035,cg27470978	E033	2.99e-02
2.926	3.32e-03	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01233571,cg01809639,cg01824412,cg02112168,cg02186444,cg02890250,cg03047995,cg03051880,cg03182584,cg03801691,cg03877174,cg04016660,cg04180046,cg04445427,cg04815334,cg05304393,cg05987787,cg06357748,cg06361984,cg06710464,cg06724236,cg06819357,cg07349663,cg07723258,cg07807219,cg08473752,cg09906382,cg09929238,cg09981914,cg10696445,cg10722267,cg10811485,cg11699257,cg11953794,cg12290779,cg13165240,cg13264840,cg13980609,cg14030402,cg14269109,cg14977938,cg15020801,cg15108699,cg15143938,cg15251319,cg15963913,cg16379999,cg16649298,cg16805291,cg17485141,cg17884674,cg17953136,cg19327213,cg19557110,cg19619585,cg19736654,cg19925780,cg19956914,cg21758126,cg22635096,cg23236366,cg23661483,cg23840027,cg23842572,cg23855901,cg24690314,cg25200151,cg25469868,cg26728282,cg26821542,cg27118035,cg27312979,cg27470978	E034	3.94e-02
2.645	8.30e-03	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01809639,cg02112168,cg02186444,cg02782510,cg02890250,cg03047995,cg03051880,cg03732020,cg03801691,cg03864128,cg03877174,cg04180046,cg04445427,cg04815334,cg05304393,cg06357748,cg06361984,cg06724236,cg06819357,cg07349663,cg07723258,cg08473752,cg09906382,cg10696445,cg10722267,cg11699257,cg11953794,cg12290779,cg13165240,cg14030402,cg15020801,cg15108699,cg15261712,cg15963913,cg16379999,cg16649298,cg17485141,cg17884674,cg17953136,cg19327213,cg19557110,cg19619585,cg19736654,cg19758448,cg19925780,cg19956914,cg21758126,cg22635096,cg23055276,cg23661483,cg23842572,cg23855901,cg25197194,cg26728282,cg26821542,cg27118035,cg27470978	E046	8.09e-02
2.540	1.09e-02	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00290355,cg00826902,cg00992207,cg01012082,cg01809639,cg02003183,cg02112168,cg02782510,cg02890250,cg03047995,cg03051880,cg03182584,cg03732020,cg03801691,cg04135110,cg04180046,cg04815334,cg05304393,cg06357748,cg06361984,cg06724236,cg06819357,cg07349663,cg07723258,cg08972170,cg09109520,cg10696445,cg10722267,cg11699257,cg11953794,cg12290779,cg13165240,cg14030402,cg14977938,cg15020801,cg15108699,cg15251319,cg15261712,cg15963913,cg16379999,cg16649298,cg17063143,cg17884674,cg17953136,cg19327213,cg19557110,cg19619585,cg19637821,cg19736654,cg19956914,cg21927365,cg23055276,cg23102129,cg23236366,cg23661483,cg23842572,cg23855901,cg25197194,cg25469868,cg25491122,cg26126879,cg26728282,cg26804423,cg26821542,cg27118035,cg27470978	E050	9.50e-02
1.932	4.55e-02	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01809639,cg02003183,cg02112168,cg02782510,cg02890250,cg03047995,cg03051880,cg03182584,cg03732020,cg03801691,cg04180046,cg04815334,cg05304393,cg06357748,cg06361984,cg06724236,cg07349663,cg07723258,cg08972170,cg09109520,cg09906382,cg10696445,cg10722267,cg11699257,cg11953794,cg12290779,cg13165240,cg14030402,cg14977938,cg15020801,cg15108699,cg15143938,cg15261712,cg15963913,cg16379999,cg16649298,cg17063143,cg17485141,cg17884674,cg17953136,cg19327213,cg19557110,cg19619585,cg19736654,cg19925780,cg19956914,cg23055276,cg23236366,cg23661483,cg23842572,cg23855901,cg25197194,cg25469868,cg25491122,cg26728282,cg26821542,cg27118035,cg27470978	E051	2.62e-01
2.148	2.63e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00281776,cg00826902,cg00992207,cg01012082,cg01765077,cg01809639,cg02003183,cg02030454,cg02112168,cg02782510,cg02890250,cg03182584,cg03877174,cg04036920,cg04815334,cg06357748,cg06361984,cg06635952,cg06724236,cg06819357,cg07349663,cg07807219,cg08473752,cg08947774,cg08972170,cg10722267,cg12290779,cg13165240,cg14030402,cg15020801,cg15251319,cg15261712,cg15777335,cg15963913,cg16379999,cg16649298,cg17063143,cg17953136,cg19327213,cg19557110,cg19619585,cg19736654,cg19925780,cg19956914,cg23102129,cg23236366,cg23840027,cg23842572,cg24690314,cg25349939,cg25469868,cg26728282,cg26821542,cg27118035,cg27470978	E028	1.82e-01
0.936	1.88e-01	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg00130342,cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01233571,cg01435643,cg01809639,cg02003183,cg02112168,cg02186444,cg02782510,cg02890250,cg03047995,cg03732020,cg03801691,cg03877174,cg04180046,cg04815334,cg05304393,cg05570258,cg06357748,cg06361984,cg06724236,cg06819357,cg07349663,cg07723258,cg08240778,cg09981914,cg10696445,cg11699257,cg11953794,cg12290779,cg12647970,cg13165240,cg13619623,cg14030402,cg15020801,cg15108699,cg15417641,cg15777335,cg15963913,cg16200531,cg16649298,cg17063143,cg17884674,cg17953136,cg18513357,cg18954479,cg19327213,cg19557110,cg19619585,cg19736654,cg19816930,cg19956914,cg20141108,cg21127580,cg21927365,cg23236366,cg23661483,cg23842572,cg23855901,cg24690314,cg25469868,cg25809905,cg26728282,cg26804423,cg26821542,cg27118035,cg27312979,cg27470978	E003	8.68e-01
0.434	3.67e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg00013899,cg02112168,cg02686357,cg02890250,cg03051880,cg06724236,cg07298772,cg07349663,cg07807219,cg08947774,cg10417386,cg13039251,cg13165240,cg17953136,cg23840027,cg25200151,cg25421530,cg26126879,cg26728282,cg26821542,cg27118035	E004	1.00e+00
