Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.253	9.17e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00310412,cg00976097,cg01208318,cg01940273,cg01970407,cg03329539,cg03636183,cg05575921,cg05886626,cg07178945,cg09578155,cg09662411,cg10717312,cg11554391,cg11824827,cg12803068,cg12828729,cg12919119,cg13184736,cg13985437,cg14712058,cg16092017,cg17024919,cg17372101,cg21747070,cg25648203,cg27241845,cg27526649	E029	1.00e+00
-2.773	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg04325591,cg12919119,cg25491122,cg27241845	E032	1.00e+00
-0.593	7.76e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg06394460,cg18956562,cg25949550	E033	1.00e+00
-0.644	7.70e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg00210249,cg00871610,cg01062937,cg02226079,cg04517079,cg04885881,cg05886626,cg08038054,cg09338136,cg11207515,cg11557553,cg12828729,cg12919119,cg14210872,cg15159987,cg15693572,cg16983588,cg17024919,cg17372101,cg18582010,cg18956562,cg19956914,cg21161138,cg21322436,cg23161492,cg24838345,cg25809905,cg25949550,cg27241845	E034	1.00e+00
0.397	3.79e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00310412,cg00976097,cg01208318,cg01901332,cg01940273,cg02226079,cg03329539,cg03450842,cg04956244,cg05284742,cg05575921,cg05886626,cg09256832,cg10619342,cg10717312,cg11207515,cg11554391,cg12803068,cg12828729,cg13038618,cg13184736,cg14210872,cg14712058,cg15159987,cg15410835,cg15693572,cg16092017,cg16417374,cg16611234,cg17024919,cg17372101,cg18369990,cg19406367,cg20244340,cg20505728,cg21322436,cg21747070,cg21913886,cg23161492,cg24540678,cg25491122,cg25648203,cg26337070,cg27241845,cg27646484	E046	1.00e+00
-2.418	9.97e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg01208318,cg01970407,cg06235438,cg09662411,cg11207515,cg11412468,cg12547807,cg14712058,cg15417641,cg16503724,cg17372101,cg19089328,cg19514721,cg20543544,cg23079012,cg25305703,cg26271591	E050	1.00e+00
-3.238	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg01940273,cg01970407,cg06394460,cg07178945,cg15417641,cg18956562	E051	1.00e+00
-2.854	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg01208318,cg11207515,cg12423733,cg15410835,cg17372101,cg18582010,cg21322436,cg23090529	E028	1.00e+00
-0.948	8.60e-01	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg00310412,cg00871610,cg01208318,cg01901332,cg01940273,cg01952185,cg01970407,cg03227037,cg04325591,cg05673882,cg05886626,cg06394460,cg08035323,cg08709672,cg09578155,cg09662411,cg10841124,cg11554391,cg11824827,cg12828729,cg12919119,cg14580211,cg14818621,cg15159987,cg16503724,cg16547579,cg17372101,cg18956562,cg19089328,cg19859270,cg19956914,cg20295214,cg20505728,cg21473814,cg21747070,cg22891595,cg23079012,cg23161492,cg27526649	E003	1.00e+00
-0.514	7.43e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg00295485,cg00871610,cg01208318,cg01940273,cg11412468,cg13184736,cg13985437,cg19344626,cg21322436,cg27526649	E004	1.00e+00
