Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.019	1.94e-04	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00474696,cg00501876,cg01692968,cg01936839,cg01937809,cg01971407,cg02583484,cg02657160,cg02679745,cg03033176,cg03358636,cg03707168,cg03877174,cg04273763,cg04340595,cg04545963,cg04772644,cg05603985,cg05616969,cg05673882,cg05875421,cg05898907,cg06188083,cg06285727,cg07483304,cg07996594,cg08170787,cg08956463,cg10025200,cg10749994,cg11902777,cg12075928,cg12639429,cg13579607,cg13709639,cg14099685,cg14264316,cg14480046,cg16174106,cg17287155,cg18337963,cg18625627,cg19314352,cg19572487,cg19614811,cg20059012,cg20692268,cg21393163,cg21411490,cg21586223,cg22801799,cg24480695,cg24637035,cg24999105,cg25500196,cg25749254,cg26856289,cg27537125,cg27637521	GSM701525	3.31e-03
4.019	1.51e-04	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00501876,cg01937809,cg02679745,cg03033176,cg03358636,cg03707168,cg03877174,cg04545963,cg04772644,cg05460226,cg05488681,cg05603985,cg05616969,cg05673882,cg05875421,cg06285727,cg07007621,cg07599366,cg07996594,cg08170787,cg08271031,cg08956463,cg10025200,cg11390978,cg11902777,cg12075928,cg12639429,cg12929983,cg13038618,cg13203394,cg13579607,cg13709639,cg14316231,cg14480046,cg16535752,cg16794579,cg16880946,cg18625627,cg18826637,cg19137417,cg19314352,cg19572487,cg19614811,cg20059012,cg20059928,cg20692268,cg21393163,cg21411490,cg21604136,cg21611682,cg22801799,cg22851561,cg23949925,cg24480695,cg24610790,cg24637035,cg24996979,cg24999105,cg25500196,cg25512107,cg25749254,cg26856289,cg27537125	GSM701526	2.76e-03
2.900	3.96e-03	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00501876,cg01936839,cg01937809,cg02583484,cg02679745,cg03707168,cg03877174,cg04273763,cg04340595,cg04772644,cg04885881,cg05362168,cg05460226,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg06545367,cg07037944,cg07483304,cg07996594,cg08170787,cg08534147,cg09502149,cg10025200,cg10749994,cg11902777,cg12075928,cg12639429,cg13579607,cg13709639,cg14099685,cg14264316,cg14480046,cg17287155,cg18337963,cg18625627,cg19137417,cg19314352,cg19572487,cg19614811,cg20059012,cg20692268,cg21393163,cg21411490,cg22801799,cg22851561,cg24480695,cg24637035,cg24999105,cg25500196,cg25748521,cg25749254,cg26856289,cg27537125,cg27637521	GSM665837	3.81e-02
5.169	2.16e-06	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00460916,cg00474696,cg00501876,cg00762738,cg00831247,cg01936839,cg01937809,cg02583484,cg02679745,cg03149958,cg03358636,cg03707168,cg04273763,cg04340595,cg04545963,cg04716530,cg04772644,cg04885881,cg05460226,cg05488681,cg05546863,cg05603985,cg05616969,cg05673882,cg05875421,cg05898907,cg06188083,cg06285727,cg06545367,cg06972908,cg07007621,cg07483304,cg07996594,cg08170787,cg08396193,cg08956463,cg09502149,cg09935388,cg10025200,cg10139742,cg10720997,cg10749994,cg11390978,cg11630411,cg11800635,cg11902777,cg12075928,cg12333160,cg12639429,cg12929983,cg13579607,cg13709639,cg14099685,cg14264316,cg14316231,cg14480046,cg14580211,cg15159987,cg16174106,cg16880946,cg17287155,cg18337963,cg18625627,cg19314352,cg19572487,cg19614811,cg20059012,cg20692268,cg21393163,cg21586223,cg21604136,cg21674153,cg22801799,cg23098195,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25749254,cg26510500,cg26740249,cg26856289,cg27537125,cg27637521	GSM701516	1.20e-04
4.706	9.06e-06	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00300637,cg00474696,cg00501876,cg00762738,cg00831247,cg01692968,cg01937809,cg01971407,cg02104648,cg02583484,cg02679745,cg03033176,cg03149958,cg03630596,cg03707168,cg03877174,cg04273763,cg04340595,cg04545963,cg04772644,cg04885881,cg05603985,cg05616969,cg05673882,cg05875421,cg05898907,cg06188083,cg06285727,cg06545367,cg07007621,cg07037944,cg07483304,cg07996594,cg08118908,cg08170787,cg08534147,cg08896387,cg08956463,cg10025200,cg10139742,cg10749994,cg11147309,cg11324953,cg11630411,cg12075928,cg12639429,cg12929983,cg13579607,cg13709639,cg13909076,cg14099685,cg14264316,cg14316231,cg14480046,cg14580211,cg15228441,cg16329896,cg17287155,cg18337963,cg18625627,cg19137417,cg19314352,cg19572487,cg19614811,cg20059012,cg20692268,cg21393163,cg21411490,cg21586223,cg21604136,cg21674153,cg22801799,cg23161492,cg24480695,cg24637035,cg24807547,cg24996979,cg24999105,cg25500196,cg25512107,cg25748521,cg25749254,cg26856289,cg27537125,cg27637521	GSM701489	3.21e-04
3.400	1.18e-03	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00310412,cg00501876,cg01936839,cg01937809,cg01971407,cg02583484,cg02679745,cg03033176,cg03707168,cg03877174,cg04340595,cg04545963,cg04772644,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg07007621,cg07483304,cg07599366,cg07986378,cg07996594,cg08170787,cg08534147,cg08956463,cg10025200,cg10139742,cg11147309,cg11324953,cg11630411,cg11902777,cg12075928,cg12639429,cg12929983,cg13579607,cg13709639,cg14099685,cg14316231,cg14454127,cg15159987,cg15228441,cg18625627,cg19314352,cg19572487,cg19614811,cg20059012,cg20295214,cg20692268,cg21393163,cg21411490,cg21586223,cg21604136,cg21674153,cg22801799,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25748521,cg25749254,cg26856289,cg27537125,cg27637521	GSM701491	1.40e-02
2.895	4.99e-03	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00474696,cg00501876,cg01936839,cg01937809,cg02583484,cg02679745,cg03707168,cg03877174,cg04273763,cg04340595,cg04545963,cg04772644,cg05460226,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg07007621,cg07996594,cg08170787,cg08956463,cg09502149,cg09935388,cg10025200,cg10749994,cg11630411,cg11902777,cg12075928,cg12333160,cg12639429,cg12929983,cg13579607,cg13709639,cg14099685,cg14316231,cg14480046,cg14753356,cg16329896,cg17287155,cg18337963,cg18625627,cg19137417,cg19314352,cg19572487,cg19614811,cg20059012,cg20692268,cg21393163,cg21411490,cg22801799,cg24480695,cg24637035,cg24999105,cg25500196,cg25648203,cg25749254,cg26740249,cg26856289,cg27537125,cg27637521	GSM665812	4.57e-02
5.800	2.00e-07	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00474696,cg00501876,cg00831247,cg01936839,cg01937809,cg02583484,cg02679745,cg03707168,cg03877174,cg04273763,cg04340595,cg04545963,cg04716530,cg04772644,cg04885881,cg05460226,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg06545367,cg07037944,cg07251887,cg07483304,cg07996594,cg08170787,cg08271031,cg08396193,cg08534147,cg08956463,cg09502149,cg10025200,cg10139742,cg11324953,cg12075928,cg12333160,cg12639429,cg12929983,cg13203394,cg13579607,cg13709639,cg14099685,cg14264316,cg14316231,cg14480046,cg14580211,cg14753356,cg15228441,cg16794579,cg17287155,cg18337963,cg18625627,cg18826637,cg19314352,cg19572487,cg19614811,cg20059012,cg20692268,cg21393163,cg21411490,cg21586223,cg21604136,cg21674153,cg22801799,cg22851561,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25748521,cg25749254,cg26856289,cg27537125,cg27637521	GSM665839	1.88e-05
4.367	2.58e-05	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00300637,cg00310412,cg00501876,cg00762738,cg00831247,cg01936839,cg01937809,cg01971407,cg02583484,cg02679745,cg03149958,cg03611151,cg03630596,cg03636183,cg03707168,cg03877174,cg04273763,cg04340595,cg04545963,cg04772644,cg05460226,cg05546863,cg05575921,cg05603985,cg05673882,cg05875421,cg05898907,cg06188083,cg06285727,cg07007621,cg07037944,cg07483304,cg07599366,cg08170787,cg08896387,cg08956463,cg09022230,cg10025200,cg10139742,cg10720997,cg10749994,cg10750182,cg11324953,cg11390978,cg11630411,cg11660018,cg11800635,cg12075928,cg12639429,cg12929983,cg13579607,cg13709639,cg14099685,cg14264316,cg14316231,cg14480046,cg14580211,cg14753356,cg15159987,cg16174106,cg16329896,cg16535752,cg17287155,cg18337963,cg18625627,cg19314352,cg19572487,cg20059012,cg20692268,cg21393163,cg21411490,cg21604136,cg22801799,cg23098195,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25749254,cg26856289,cg27537125,cg27637521	GSM817166	6.56e-04
4.387	2.76e-05	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00073090,cg00460916,cg00501876,cg01937809,cg01971407,cg02583484,cg02679745,cg03033176,cg03636183,cg03707168,cg03877174,cg04273763,cg04340595,cg04398171,cg04545963,cg04772644,cg04885881,cg05460226,cg05546863,cg05575921,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg06672250,cg07007621,cg07037944,cg07483304,cg07996594,cg08170787,cg08956463,cg09502149,cg09662411,cg09935388,cg09996284,cg10025200,cg10139742,cg10749994,cg11630411,cg11800635,cg11902777,cg12075928,cg12639429,cg12929983,cg13579607,cg13709639,cg14099685,cg14480046,cg14753356,cg16329896,cg17287155,cg18337963,cg18625627,cg18826637,cg19314352,cg19572487,cg19614811,cg20059012,cg20059928,cg20692268,cg21393163,cg21411490,cg21586223,cg21604136,cg22801799,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25512107,cg25748521,cg25749254,cg26856289,cg27537125,cg27637521	GSM701539	6.92e-04
