Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
10.495	1.12e-24	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00046744,cg00073090,cg00210249,cg00357551,cg00407537,cg00496272,cg00501876,cg00638210,cg00808555,cg00808648,cg00833777,cg00911794,cg00921574,cg01017464,cg01127300,cg01207684,cg01229865,cg01288337,cg01305745,cg01553231,cg01712428,cg01715088,cg01972009,cg02039404,cg02186444,cg02211741,cg02310296,cg02388253,cg02499139,cg02532700,cg02592133,cg02639359,cg02654940,cg02673417,cg02930866,cg02976588,cg03044513,cg03045323,cg03131366,cg03234777,cg03254067,cg03446062,cg03519879,cg03597491,cg03715305,cg03725573,cg03814093,cg03835987,cg03848483,cg03929796,cg03957124,cg03959186,cg04226002,cg04236137,cg04268813,cg04307083,cg04347477,cg04494800,cg04545963,cg04628369,cg04642300,cg04674060,cg04726013,cg04770751,cg04772644,cg04813697,cg04862556,cg04872689,cg04885881,cg04907244,cg04929759,cg04956244,cg04970434,cg05194346,cg05206276,cg05255351,cg05284742,cg05298628,cg05363534,cg05371506,cg05460226,cg05616969,cg05673882,cg05875421,cg05969150,cg05978306,cg06106428,cg06112654,cg06142740,cg06294803,cg06560379,cg06649191,cg06762457,cg06784563,cg06826457,cg06861736,cg06880612,cg07029024,cg07035320,cg07090714,cg07196571,cg07202214,cg07251887,cg07339236,cg07381806,cg07435331,cg07512814,cg07626482,cg07635132,cg07748854,cg07757252,cg07793148,cg07824422,cg07870237,cg07905054,cg08035323,cg08039560,cg08052292,cg08120831,cg08129583,cg08243524,cg08737116,cg08827454,cg08866634,cg08881175,cg08885142,cg08944236,cg08949974,cg09012001,cg09162537,cg09701700,cg09735851,cg09762515,cg10295552,cg10403394,cg10521852,cg10814005,cg10843343,cg10909080,cg10951873,cg11014740,cg11122944,cg11152384,cg11152412,cg11405655,cg11668844,cg11769400,cg11854227,cg11902728,cg11930955,cg12075928,cg12077460,cg12140977,cg12147622,cg12303084,cg12465678,cg12486287,cg12547807,cg12689529,cg12741639,cg12836863,cg12971694,cg13184736,cg13193840,cg13334949,cg13383814,cg13399261,cg13418576,cg13518625,cg13561409,cg13668129,cg13692972,cg13787850,cg13832290,cg13956924,cg13985198,cg14010720,cg14074174,cg14117392,cg14209730,cg14235811,cg14359680,cg14431165,cg14439572,cg14510299,cg14712058,cg14766620,cg14817490,cg14868222,cg14897188,cg15074033,cg15159987,cg15309361,cg15352315,cg15542713,cg15564619,cg15705175,cg15995265,cg16061668,cg16139316,cg16151960,cg16324409,cg16417374,cg16547186,cg16568681,cg16588163,cg16604566,cg16792613,cg16904330,cg16969872,cg16983588,cg17038235,cg17296078,cg17472111,cg17478979,cg17566735,cg17668731,cg17825400,cg18548864,cg18642234,cg18704527,cg18745507,cg18814344,cg18926409,cg19325791,cg19369955,cg19421584,cg19589060,cg19670883,cg19719391,cg19940644,cg19982684,cg20003368,cg20181887,cg20607293,cg20697025,cg21088259,cg21483922,cg21937128,cg21990700,cg22001211,cg22049321,cg22078805,cg22103736,cg22214889,cg22324981,cg22566906,cg22571654,cg22635096,cg23008718,cg23036452,cg23079012,cg23279756,cg23378033,cg23575275,cg23599820,cg23681440,cg24049050,cg24051242,cg24091474,cg24124443,cg24304617,cg24313303,cg24540678,cg24556382,cg24687805,cg24714606,cg24715680,cg24996979,cg25020550,cg25305703,cg25537245,cg25801976,cg25809905,cg25953130,cg26282236,cg26468891,cg26486070,cg26664457,cg26687579,cg26701785,cg26856289,cg26908328,cg26923863,cg26937868,cg26971042,cg27262850,cg27312979,cg27332104,cg27537125	NA	2.78e-23
3.476	4.10e-04	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00007076,cg00073090,cg00324097,cg00496272,cg00505318,cg00591868,cg00911794,cg00921574,cg00937359,cg01208318,cg01229865,cg01741041,cg01839993,cg01860774,cg01972009,cg01979157,cg02039404,cg02249390,cg02328930,cg02388253,cg02532700,cg02578070,cg02583484,cg02592133,cg02639359,cg02673417,cg03234777,cg03835987,cg04211179,cg04236137,cg04326499,cg04332373,cg04545963,cg04872689,cg04907244,cg05206276,cg05208178,cg05673882,cg05875421,cg05940122,cg06142740,cg06294803,cg06516865,cg06677021,cg06784563,cg06861736,cg07512814,cg07626482,cg07635132,cg07757252,cg07826859,cg08039560,cg08120831,cg08243524,cg08737116,cg08763102,cg08783514,cg08866634,cg08944236,cg08949974,cg09636313,cg10814005,cg11152412,cg11201447,cg11222065,cg11405655,cg11430077,cg11854227,cg11930955,cg12077460,cg12140977,cg12276019,cg12303084,cg12465678,cg12486287,cg12547807,cg12600843,cg12623364,cg12689529,cg12800105,cg12971694,cg13127741,cg13370427,cg13418576,cg13518625,cg13522882,cg13668129,cg14010720,cg14069088,cg14074174,cg14178364,cg14817490,cg15013801,cg16151960,cg16290996,cg16568681,cg16611234,cg16904330,cg16969872,cg16983588,cg17150898,cg17333042,cg17825400,cg18704527,cg19593285,cg19719391,cg19906672,cg20124610,cg20335735,cg20889322,cg21140898,cg21826784,cg21937128,cg22001211,cg22078805,cg22103219,cg22214889,cg22324981,cg22442430,cg23205886,cg23599820,cg24304617,cg24507955,cg24687805,cg25068347,cg25909396,cg26217402,cg26564117,cg26856289,cg27449150,cg27583010	NA	1.97e-03
0.713	2.53e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00324097,cg00357551,cg00407537,cg00496272,cg00741986,cg00911794,cg01138448,cg01208318,cg01741041,cg01839993,cg01860774,cg01972009,cg02039404,cg02532700,cg02592133,cg02673417,cg03234777,cg03280235,cg03899229,cg03929796,cg04158018,cg04236137,cg04326499,cg04332373,cg04726013,cg04770751,cg04872689,cg05824218,cg05875421,cg06538684,cg06762457,cg06861736,cg07196571,cg07626482,cg07635132,cg07793148,cg07826859,cg08243524,cg08548559,cg08944236,cg10521852,cg10911980,cg11130692,cg11152412,cg11201447,cg11435441,cg11621113,cg11701312,cg11854227,cg11930955,cg12140977,cg12303084,cg12971694,cg13003054,cg13038618,cg13127741,cg13518625,cg14010720,cg14069088,cg14074174,cg14099685,cg14439572,cg14868222,cg15903956,cg16151960,cg16792613,cg16904330,cg16969872,cg17333042,cg17825400,cg18548864,cg19593285,cg19719391,cg20124610,cg20864568,cg20889322,cg21140898,cg21611682,cg21826784,cg22001211,cg22103219,cg22214889,cg22442430,cg22876908,cg24507955,cg24540678,cg24556382,cg25537245,cg26217402,cg26504467,cg26664457,cg26908328	NA	1.00e+00
4.181	2.21e-05	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00007076,cg00071265,cg00310412,cg00407537,cg00496272,cg00501876,cg00505318,cg00741986,cg00921574,cg01005506,cg01208318,cg01305745,cg01839993,cg01860774,cg01937809,cg01956154,cg01972009,cg02003272,cg02039404,cg02578070,cg02592133,cg02639359,cg02673417,cg02892367,cg03233656,cg03234777,cg03295554,cg03957124,cg04232972,cg04236137,cg04326499,cg04332373,cg04726013,cg04772644,cg04862556,cg04872689,cg04907244,cg05208178,cg05673882,cg05875421,cg06012804,cg06142740,cg06294803,cg06516865,cg06538684,cg06560379,cg06762457,cg06784563,cg06826457,cg06857094,cg06861736,cg06901890,cg06949933,cg07035320,cg07202214,cg07626482,cg07635132,cg07793148,cg07826859,cg08039560,cg08052292,cg08548559,cg08737116,cg08783514,cg08822075,cg08866634,cg08944236,cg09735851,cg10145196,cg11152384,cg11152412,cg11201447,cg11435441,cg11621113,cg11701312,cg11854227,cg11930955,cg12077460,cg12140977,cg12147622,cg12276019,cg12303084,cg12406027,cg12465678,cg12547807,cg12836863,cg12971694,cg13003054,cg13009654,cg13127741,cg13418576,cg13668129,cg13910681,cg14010720,cg14074174,cg14099685,cg14235811,cg14439572,cg14897188,cg15013801,cg15474579,cg15564619,cg15903956,cg15995265,cg16611234,cg16792613,cg16969872,cg17150898,cg17567838,cg17740822,cg17825400,cg18405341,cg18704527,cg19030554,cg19528654,cg19593285,cg19719391,cg20335735,cg20864568,cg20886049,cg20889322,cg21140898,cg21393163,cg21826784,cg21960364,cg22001211,cg22103219,cg22324981,cg22335340,cg22442430,cg22571654,cg22876908,cg22930549,cg23205886,cg23599820,cg24088496,cg24304617,cg24313303,cg24507955,cg24540678,cg24556382,cg24996979,cg25068347,cg25537245,cg25909396,cg26217402,cg26276120,cg26468891,cg26504467,cg26664457,cg26837477,cg26856289,cg26878655,cg27537125	NA	1.20e-04
7.147	4.63e-13	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00007076,cg00071265,cg00291478,cg00463367,cg00496272,cg00501876,cg00505318,cg00591868,cg00741986,cg00808555,cg00808648,cg00921574,cg00937359,cg01005506,cg01017464,cg01229865,cg01419713,cg01435643,cg01692968,cg01693305,cg01712428,cg01715088,cg01741041,cg01744331,cg01839993,cg01860774,cg01937809,cg01956154,cg01972009,cg01979157,cg02003272,cg02039404,cg02328930,cg02370832,cg02388253,cg02578070,cg02583484,cg02592133,cg02639359,cg02654940,cg02673417,cg02740606,cg02892367,cg02976588,cg03045323,cg03233656,cg03234777,cg03444838,cg03519879,cg03641640,cg03929796,cg03957124,cg03959186,cg04211179,cg04232972,cg04236137,cg04326499,cg04332373,cg04641860,cg04642300,cg04726013,cg04770751,cg04772644,cg04776231,cg04862556,cg04885881,cg04907244,cg05206276,cg05208178,cg05323251,cg05363534,cg05789250,cg05875421,cg06012804,cg06112654,cg06142740,cg06177555,cg06240690,cg06294803,cg06516865,cg06538684,cg06560379,cg06635952,cg06826457,cg06857094,cg06861736,cg06949933,cg07035320,cg07251887,cg07435331,cg07512814,cg07626482,cg07632771,cg07697428,cg07757252,cg07826859,cg07905054,cg08035323,cg08039560,cg08243524,cg08331398,cg08486903,cg08737116,cg08822075,cg08827454,cg08866634,cg08944236,cg08949974,cg08951271,cg09069072,cg09084200,cg09465703,cg09636313,cg09735851,cg09820519,cg09837977,cg10244976,cg10814005,cg11122944,cg11130692,cg11152384,cg11152412,cg11201447,cg11222065,cg11405655,cg11701312,cg11719157,cg11854227,cg11930955,cg12140977,cg12147622,cg12276019,cg12303084,cg12547807,cg12600843,cg12689529,cg12971694,cg13127741,cg13370427,cg13518625,cg13645530,cg13651908,cg13668129,cg13692972,cg13985198,cg14010720,cg14069088,cg14108380,cg14117392,cg14178364,cg14359680,cg14712058,cg14766620,cg14817490,cg14897188,cg15055101,cg15542713,cg15903956,cg16290996,cg16417374,cg16459265,cg16568681,cg16611234,cg16792613,cg16904330,cg16983588,cg17150898,cg17163404,cg17333042,cg17567838,cg17651625,cg17825400,cg18405341,cg18548864,cg18704527,cg18926409,cg19030554,cg19375644,cg19528654,cg19572487,cg19593285,cg19719391,cg19726711,cg19827923,cg19940644,cg20003368,cg20124610,cg20303561,cg20335735,cg20338276,cg20607293,cg20886049,cg20889322,cg21140898,cg21322436,cg21611682,cg21649604,cg21826784,cg21937128,cg21960364,cg21990700,cg22001211,cg22103219,cg22214889,cg22324981,cg22335340,cg22429121,cg22442430,cg22539182,cg22876908,cg23008718,cg23205886,cg23279756,cg23599820,cg23616212,cg23977888,cg24088496,cg24142464,cg24313303,cg24507955,cg24556382,cg24711224,cg24715680,cg24908166,cg24996979,cg25068347,cg25421530,cg25537245,cg25557175,cg25722983,cg26217402,cg26271591,cg26276120,cg26486070,cg26687579,cg26837477,cg26856289,cg26908328,cg26971042,cg27262054,cg27449150,cg27457191,cg27537125,cg27583010	NA	4.63e-12
6.586	2.47e-11	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00007076,cg00046744,cg00071265,cg00073090,cg00210249,cg00324097,cg00407537,cg00496272,cg00505318,cg00591868,cg00741986,cg00808555,cg00871371,cg00871610,cg00911794,cg00921574,cg00937359,cg01017464,cg01208318,cg01305745,cg01693305,cg01712428,cg01715088,cg01741041,cg01744331,cg01839993,cg01860774,cg01972009,cg01979157,cg02003272,cg02211741,cg02249390,cg02310296,cg02328930,cg02370832,cg02388253,cg02532700,cg02578070,cg02583484,cg02592133,cg02639359,cg02654940,cg02673417,cg02892367,cg02976588,cg03045323,cg03131366,cg03399898,cg03519879,cg03835987,cg03899229,cg03929796,cg03957124,cg03959186,cg04211179,cg04236137,cg04326499,cg04332373,cg04545963,cg04641860,cg04772644,cg04862556,cg04872689,cg04907244,cg04956244,cg05206276,cg05298628,cg05363534,cg05376738,cg05673882,cg05875421,cg05877104,cg06012804,cg06142740,cg06193328,cg06294803,cg06516865,cg06538684,cg06560379,cg06635952,cg06648759,cg06649191,cg06762457,cg06826457,cg06857094,cg06861736,cg06949933,cg07141504,cg07626482,cg07757252,cg07793148,cg07824422,cg07826859,cg07870237,cg07905054,cg08331398,cg08737116,cg08763102,cg08783514,cg08822075,cg08866634,cg08944236,cg08949974,cg09069072,cg09636313,cg09820519,cg09858022,cg10244976,cg10951873,cg11122944,cg11130692,cg11152384,cg11152412,cg11201447,cg11222065,cg11405655,cg11621113,cg11701312,cg11719157,cg11848483,cg11854227,cg11930955,cg12075928,cg12147622,cg12303084,cg12406027,cg12465678,cg12486287,cg12496975,cg12547807,cg12600843,cg12623364,cg12689529,cg12800105,cg12836863,cg12971694,cg13003054,cg13009654,cg13039251,cg13127741,cg13334949,cg13370427,cg13522882,cg13651908,cg13668129,cg13832290,cg13985198,cg14010720,cg14074174,cg14099685,cg14117392,cg14235811,cg14439572,cg14510299,cg14766620,cg14817490,cg15055101,cg15159987,cg15408080,cg15474579,cg15903956,cg15995265,cg16290996,cg16417374,cg16568681,cg16792613,cg16904330,cg16969872,cg17333042,cg17472111,cg17825400,cg18405341,cg18548864,cg18642234,cg18704527,cg19030554,cg19589396,cg19593285,cg19719391,cg20003368,cg20335735,cg20338276,cg20607293,cg20697025,cg20819617,cg20864568,cg20886049,cg20889322,cg21088259,cg21140898,cg21524538,cg21611682,cg21649604,cg21873567,cg21960364,cg21990700,cg22001211,cg22103219,cg22324981,cg22442430,cg22566906,cg22635096,cg23205886,cg23599820,cg23616212,cg23977888,cg24088496,cg24142464,cg24313303,cg24507955,cg24540678,cg24556382,cg24996979,cg25020550,cg25068347,cg25197194,cg25198847,cg25421530,cg25537245,cg26217402,cg26276120,cg26486070,cg26504467,cg26664457,cg26687579,cg26856289,cg26878655,cg26908328,cg27449150,cg27514333,cg27537125,cg27583010	NA	1.97e-10
4.588	1.34e-05	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00407537,cg00501876,cg00741986,cg00911794,cg00921574,cg01138448,cg01207684,cg01492538,cg01972009,cg02039404,cg02310296,cg02370832,cg02532700,cg02639359,cg02673417,cg02930866,cg02976588,cg03214420,cg03234777,cg03929796,cg03957124,cg03959186,cg04642300,cg04726013,cg04770751,cg04776231,cg04872689,cg04929759,cg05206276,cg05255351,cg05376738,cg05673882,cg05875421,cg06112654,cg06177555,cg06496803,cg06560379,cg06762457,cg06861736,cg06901890,cg07090714,cg07512814,cg07626482,cg07631309,cg07826859,cg08035323,cg08052292,cg08129583,cg08243524,cg08548559,cg08783514,cg08866634,cg08944236,cg08949974,cg10521852,cg10588135,cg10909080,cg10951873,cg11122944,cg11152412,cg11405655,cg11854227,cg12140977,cg12303084,cg12836863,cg13074203,cg13518625,cg13668129,cg13787850,cg14010720,cg14359680,cg14439572,cg14766620,cg14817490,cg15188623,cg15352315,cg15542713,cg15564619,cg16139316,cg16324409,cg16792613,cg16904330,cg17296078,cg17333042,cg17472111,cg17566735,cg17668731,cg17825400,cg18478531,cg18548864,cg18814344,cg18926409,cg19572487,cg19589060,cg19670883,cg20003368,cg20607293,cg20697025,cg21088259,cg21121843,cg21393163,cg21826784,cg22103736,cg22442430,cg22566906,cg22635096,cg23279756,cg23575275,cg24088496,cg24090911,cg24124443,cg24507955,cg24540678,cg24556382,cg24687805,cg24996979,cg25020550,cg25722983,cg25801976,cg25953130,cg26314722,cg26486070,cg26664457,cg26687579,cg26856289,cg26878655,cg26908328,cg27009448,cg27262850,cg27537125,cg27583010	NA	7.67e-05
5.444	1.97e-07	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00007076,cg00046744,cg00073090,cg00336149,cg00357551,cg00496272,cg00505318,cg00867472,cg00921574,cg01288337,cg01492538,cg01692968,cg01741041,cg01972009,cg02499139,cg02673417,cg02856420,cg02976588,cg03045323,cg03254067,cg03446062,cg03509898,cg03715305,cg03814093,cg03835987,cg03929796,cg03999941,cg04226002,cg04361126,cg04642300,cg04726013,cg04770751,cg04772644,cg04776231,cg04813697,cg04862556,cg04872689,cg04929759,cg05206276,cg05329352,cg05363534,cg05673882,cg06142740,cg06762457,cg06826457,cg06861736,cg07090714,cg07127410,cg07196571,cg07339236,cg07626482,cg07635132,cg07870237,cg08052292,cg08120831,cg08129583,cg08243524,cg08606254,cg08737116,cg08866634,cg08881175,cg08885142,cg08944236,cg08972170,cg09012001,cg09636313,cg09701700,cg10317175,cg10588135,cg10909080,cg11152384,cg11152412,cg11405655,cg11963365,cg12303084,cg12971694,cg13038618,cg13399261,cg13518625,cg13582028,cg13668129,cg13787850,cg14074174,cg14117392,cg14439572,cg14712058,cg14766620,cg14817490,cg15188623,cg15309361,cg16568681,cg16588163,cg16604566,cg16611234,cg17038235,cg17333042,cg17372101,cg17472111,cg17566735,cg17668731,cg17740822,cg17825400,cg18188717,cg18926409,cg19030554,cg19369955,cg19589060,cg19726711,cg19982684,cg20003368,cg20244340,cg20335735,cg20357538,cg20607293,cg20697025,cg20889322,cg21322436,cg21356710,cg21483922,cg21826784,cg21937128,cg22001211,cg22566906,cg23008718,cg23079012,cg24051242,cg24091474,cg24540678,cg24556382,cg24714606,cg24996979,cg25537245,cg25809905,cg26486070,cg26687579,cg26856289,cg26908328,cg27170268,cg27262850,cg27312979,cg27537125	NA	1.31e-06
8.817	1.67e-17	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00073090,cg00291478,cg00357551,cg00407537,cg00483217,cg00501876,cg00741986,cg00833777,cg00911794,cg00921574,cg01097768,cg01127300,cg01207684,cg01229865,cg01288337,cg01492538,cg01712428,cg01741041,cg01839993,cg01972009,cg01979157,cg02039404,cg02268192,cg02310296,cg02370832,cg02532700,cg02639359,cg02673417,cg02930866,cg02976588,cg03044513,cg03045323,cg03234777,cg03295554,cg03519879,cg03597491,cg03646329,cg03814093,cg03848483,cg03929796,cg03957124,cg03959186,cg04545963,cg04642300,cg04726013,cg04772644,cg04776231,cg04872689,cg04929759,cg04956244,cg04991639,cg05206276,cg05255351,cg05284742,cg05323251,cg05371506,cg05376738,cg05673882,cg05875421,cg05877104,cg06112654,cg06142740,cg06177555,cg06193328,cg06294803,cg06459104,cg06560379,cg06762457,cg06857094,cg06861736,cg06880612,cg07035320,cg07339236,cg07381806,cg07408456,cg07512814,cg07626482,cg07635132,cg07824422,cg07826859,cg07905054,cg08035323,cg08052292,cg08120831,cg08129583,cg08243524,cg08737116,cg08783514,cg08822075,cg08827454,cg08866634,cg08944236,cg08949974,cg09012001,cg09465703,cg09820519,cg09858022,cg10521852,cg10588135,cg10909080,cg10951873,cg11122944,cg11130692,cg11152384,cg11152412,cg11405655,cg11621113,cg11769400,cg11854227,cg11902728,cg11963365,cg12075928,cg12140977,cg12147622,cg12192749,cg12303084,cg12486287,cg12741639,cg12836863,cg12971694,cg13003054,cg13074203,cg13127741,cg13334949,cg13399261,cg13518625,cg13582028,cg13668129,cg13692972,cg13787850,cg13985198,cg14010720,cg14069088,cg14074174,cg14099685,cg14117392,cg14235811,cg14359680,cg14580211,cg14753356,cg14766620,cg14817490,cg14868222,cg14897188,cg15188623,cg15408080,cg15542713,cg15564619,cg16139316,cg16151960,cg16324409,cg16568681,cg16588163,cg16904330,cg16983588,cg17296078,cg17333042,cg17472111,cg17478979,cg17566735,cg17668731,cg17740822,cg17819085,cg17825400,cg18059369,cg18188717,cg18478531,cg18548864,cg18642234,cg18704527,cg18814344,cg18926409,cg19369955,cg19572487,cg19589060,cg19589396,cg19670883,cg19719391,cg19940644,cg20003368,cg20161791,cg20180364,cg20338276,cg20357538,cg20483374,cg20607293,cg20697025,cg20864568,cg20889322,cg21088259,cg21115433,cg21121843,cg21393163,cg21611682,cg21826784,cg21937128,cg21949830,cg22103736,cg22214889,cg22442430,cg22566906,cg22635096,cg23008718,cg23036452,cg23166773,cg23575275,cg23599820,cg24088496,cg24091474,cg24142464,cg24313303,cg24497361,cg24540678,cg24556382,cg24687805,cg24715680,cg24996979,cg25020550,cg25305703,cg25648203,cg25722983,cg25801976,cg25941354,cg25953130,cg26314722,cg26486070,cg26504467,cg26564117,cg26664457,cg26687579,cg26856289,cg26878655,cg27262850,cg27537125,cg27583010	NA	2.86e-16
7.091	1.68e-11	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00073090,cg00407537,cg00496272,cg00741986,cg00833777,cg00871610,cg00911794,cg00921574,cg01127300,cg01305745,cg01492538,cg01712428,cg01741041,cg01882991,cg01972009,cg01979157,cg02039404,cg02268192,cg02310296,cg02370832,cg02532700,cg02592133,cg02639359,cg02673417,cg02930866,cg02976588,cg03234777,cg03280235,cg03814093,cg03929796,cg03957124,cg03959186,cg04361126,cg04545963,cg04642300,cg04726013,cg04772644,cg04776231,cg04813697,cg04862556,cg04872689,cg04907244,cg04929759,cg04956244,cg05255351,cg05284742,cg05363534,cg05371506,cg05376738,cg05673882,cg05824218,cg05875421,cg06112654,cg06142740,cg06177555,cg06294803,cg06459104,cg06496803,cg06538684,cg06560379,cg06762457,cg06826457,cg06861736,cg06880612,cg06901890,cg07035320,cg07090714,cg07339236,cg07381806,cg07408456,cg07512814,cg07626482,cg07757252,cg07824422,cg07826859,cg07905054,cg08035323,cg08052292,cg08129583,cg08548559,cg08737116,cg08783514,cg08822075,cg08866634,cg08944236,cg08949974,cg09012001,cg09858022,cg10521852,cg10588135,cg10814005,cg10909080,cg10951873,cg11122944,cg11130692,cg11152412,cg11405655,cg11621113,cg11769400,cg11854227,cg11963365,cg12140977,cg12192749,cg12303084,cg12486287,cg12741639,cg12836863,cg12971694,cg13003054,cg13074203,cg13127741,cg13334949,cg13518625,cg13582028,cg13668129,cg13692972,cg13787850,cg13985198,cg14074174,cg14099685,cg14235811,cg14359680,cg14580211,cg14712058,cg14753356,cg14766620,cg14817490,cg14868222,cg15013801,cg15188623,cg15309361,cg15564619,cg16139316,cg16151960,cg16324409,cg16568681,cg16588163,cg16792613,cg16904330,cg16969872,cg17296078,cg17333042,cg17472111,cg17478979,cg17566735,cg17668731,cg17740822,cg17825400,cg18059369,cg18188717,cg18478531,cg18548864,cg18814344,cg18926409,cg19589060,cg19589396,cg19670883,cg19906672,cg20003368,cg20180364,cg20335735,cg20357538,cg20607293,cg20697025,cg21088259,cg21115433,cg21393163,cg21611682,cg21826784,cg21937128,cg21960364,cg22103736,cg22214889,cg22442430,cg22566906,cg22635096,cg22876908,cg23036452,cg23166773,cg23599820,cg24088496,cg24091474,cg24304617,cg24313303,cg24497361,cg24540678,cg24687805,cg24996979,cg25722983,cg25801976,cg25941354,cg25953130,cg26314722,cg26486070,cg26564117,cg26664457,cg26687579,cg26908328,cg27009448,cg27262850,cg27537125	NA	1.44e-10
