Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.714	1.00e+00	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00002464,cg00052932,cg00311883,cg00337803,cg00613895,cg00731352,cg01049678,cg01164631,cg01229567,cg01658265,cg02135853,cg02170525,cg02322879,cg02565308,cg03238090,cg03293735,cg03327771,cg03519011,cg03705621,cg03746834,cg03772020,cg03906451,cg03948870,cg04038844,cg04360546,cg04476741,cg04518808,cg05237480,cg05251000,cg05600342,cg06665075,cg06795316,cg07807757,cg08049391,cg08372168,cg08407620,cg08692046,cg09018746,cg09134948,cg09414137,cg09492210,cg10042327,cg10276968,cg12426470,cg12674357,cg12689200,cg12929678,cg12969488,cg13471491,cg14039228,cg14465405,cg14714087,cg14740130,cg15054077,cg15158515,cg15343023,cg15352640,cg16079309,cg16190265,cg16490124,cg17127769,cg17734243,cg17754782,cg18821281,cg19008097,cg19123882,cg19145082,cg19166302,cg19698668,cg19991046,cg20294320,cg21074468,cg21191365,cg21224380,cg21839211,cg22191765,cg22224625,cg22347523,cg22437405,cg22540135,cg22990967,cg24048022,cg24677744,cg25818609,cg25962682,cg26072390,cg26631454,cg26759037,cg26856451,cg27173717,cg27317813,cg27405010,cg27492102	NA	1.00e+00
-5.782	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00009167,cg00311883,cg00337803,cg00731352,cg01164631,cg01331198,cg02565308,cg03238090,cg03290016,cg03746834,cg05276360,cg05555502,cg05600342,cg06795316,cg07175536,cg08372168,cg08935301,cg09986456,cg11433727,cg12426470,cg12674357,cg13471491,cg14639704,cg14714087,cg14740130,cg15158515,cg16079309,cg16490124,cg18821281,cg18986389,cg19698668,cg19991046,cg20294320,cg21191365,cg21717416,cg22191765,cg22224625,cg22540135,cg22947094,cg22990967,cg26157333,cg26759037,cg26856451,cg27173717,cg27492102	NA	1.00e+00
-5.511	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00002464,cg00311883,cg00337803,cg01049678,cg01164631,cg01229567,cg01496369,cg02565308,cg03238090,cg03746834,cg05600342,cg06795316,cg07607639,cg08049391,cg08372168,cg09414137,cg09876992,cg10042327,cg10276968,cg12674357,cg13471491,cg14465405,cg15158515,cg16079309,cg16490124,cg17127769,cg18821281,cg19008097,cg19145082,cg20294320,cg21074468,cg22347523,cg22437405,cg22540135,cg22990967,cg24677744,cg25268605,cg26072390,cg27173717,cg27317813	NA	1.00e+00
-5.379	1.00e+00	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00311883,cg01049678,cg01164631,cg01229567,cg01658265,cg01773368,cg03238090,cg04038844,cg05237480,cg05600342,cg08049391,cg08372168,cg08407620,cg09414137,cg10042327,cg10276968,cg12929678,cg13471491,cg14465405,cg14740130,cg15158515,cg16079309,cg16490124,cg17867295,cg18821281,cg19008097,cg19145082,cg20294320,cg21074468,cg22224625,cg22347523,cg22918741,cg22990967,cg25818609,cg25962682,cg26072390,cg27317813,cg27492102	NA	1.00e+00
-6.860	1.00e+00	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00311883,cg00337803,cg00709387,cg00731352,cg01164631,cg02565308,cg03238090,cg03290016,cg03746834,cg06214925,cg06795316,cg07116947,cg08170023,cg08363247,cg08576975,cg12689200,cg13471491,cg14373068,cg14383586,cg14740130,cg15158515,cg16079309,cg16490124,cg16578496,cg18458353,cg18721397,cg18821281,cg18986389,cg19145082,cg19166302,cg19614911,cg20294320,cg21461100,cg22224625,cg22540135,cg22947094,cg23286623,cg26072390,cg26759037,cg26856451,cg27173717,cg27405010	NA	1.00e+00
-5.108	1.00e+00	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00009167,cg00016841,cg00311883,cg00337803,cg00613895,cg00709387,cg00981170,cg01164631,cg01229567,cg01331198,cg01496369,cg01658265,cg01909850,cg01929699,cg02135853,cg02440268,cg02565308,cg02713599,cg02799643,cg03238090,cg03290016,cg03746834,cg03930097,cg04476741,cg04518808,cg04840600,cg05354481,cg05571369,cg05600342,cg05707985,cg06414816,cg07116947,cg07175536,cg08372168,cg08407620,cg08690515,cg08811750,cg09018746,cg09044785,cg09160361,cg09315614,cg09414137,cg09492210,cg09655309,cg10042327,cg10276968,cg10983398,cg11433727,cg11603759,cg12674357,cg12689200,cg12850473,cg14039228,cg14103335,cg14286612,cg14360014,cg14373068,cg14714087,cg14740130,cg14794655,cg15158515,cg15343023,cg15634083,cg15667296,cg16079309,cg16226020,cg16490124,cg16558432,cg17892825,cg18149539,cg18721397,cg18821281,cg18986389,cg19123882,cg19166302,cg19698668,cg19704683,cg19991046,cg20294320,cg20699333,cg21445383,cg21461100,cg21574423,cg21717416,cg21839211,cg22035278,cg22134139,cg22224625,cg22540135,cg22947094,cg22955306,cg22990967,cg24284838,cg25500027,cg25595005,cg26759037,cg26856451,cg27173717,cg27175123,cg27405010,cg27492102	NA	1.00e+00
-4.711	1.00e+00	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00311883,cg00337803,cg00455003,cg00613895,cg00731352,cg01049678,cg01164631,cg01229567,cg01658265,cg02135853,cg02170525,cg02322879,cg02565308,cg02713599,cg02925872,cg03238090,cg03293735,cg03519011,cg03614649,cg03705621,cg03746834,cg03772020,cg03808714,cg03906451,cg03948870,cg04038844,cg04179415,cg04360546,cg04476741,cg04885331,cg05220083,cg05251000,cg05354481,cg05600342,cg05916456,cg06414816,cg06441150,cg06665075,cg06795316,cg06817342,cg07175536,cg07312624,cg07375254,cg07607639,cg07807757,cg08049391,cg08170023,cg08340277,cg08346627,cg08363247,cg08372168,cg08407620,cg08692046,cg08889009,cg08935301,cg08941853,cg09044785,cg09264374,cg09352612,cg09414137,cg09492210,cg09655309,cg09865593,cg09876992,cg10042327,cg10119383,cg10276968,cg10678427,cg11433727,cg11603759,cg11708721,cg11867253,cg12689200,cg13372879,cg13471491,cg13806036,cg13852407,cg14360014,cg14465405,cg14607533,cg14639704,cg14740130,cg15054077,cg15107641,cg15158515,cg15343023,cg15352640,cg15634083,cg15667296,cg15684727,cg16079309,cg16152813,cg16190265,cg16490124,cg16788322,cg17127769,cg17284607,cg17457254,cg17734243,cg17754782,cg18279051,cg18821281,cg18986389,cg19008097,cg19123882,cg19145082,cg19166302,cg19461772,cg19698668,cg19876672,cg19991046,cg20294320,cg21074468,cg21191365,cg21224380,cg21461100,cg21574423,cg22035278,cg22162396,cg22191765,cg22224625,cg22347523,cg22437405,cg22540135,cg22693863,cg22799702,cg22864308,cg22949738,cg22990967,cg23486853,cg23768117,cg24002158,cg24048022,cg24677744,cg24915409,cg25589001,cg25595005,cg25672327,cg25818609,cg25962682,cg26072390,cg26500279,cg26669717,cg26697605,cg26759037,cg26856451,cg27173717,cg27253670,cg27317813,cg27405010,cg27492102,cg27593172	NA	1.00e+00
-4.084	1.00e+00	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00002464,cg00009167,cg00052932,cg00311883,cg00337803,cg00455003,cg00613895,cg00731352,cg01049678,cg01164631,cg01229567,cg01496369,cg01500087,cg01658265,cg02135853,cg02170525,cg02322879,cg02565308,cg02925872,cg03238090,cg03519011,cg03705621,cg03746834,cg03772020,cg03808714,cg03930097,cg03948870,cg04038844,cg04179415,cg04476741,cg05237480,cg05251000,cg05354481,cg05600342,cg06414816,cg06441150,cg06665075,cg06795316,cg06817342,cg07175536,cg07323676,cg07607639,cg07807757,cg08049391,cg08170023,cg08346627,cg08372168,cg08407620,cg08692046,cg08753647,cg08941853,cg09264374,cg09265385,cg09414137,cg09750469,cg09876992,cg10011479,cg10042327,cg10276968,cg10678427,cg11340498,cg11433727,cg11708721,cg12426470,cg12674357,cg12689200,cg12929678,cg13037201,cg13372879,cg13471491,cg13806036,cg13852407,cg14360014,cg14465405,cg14639704,cg14740130,cg15054077,cg15107641,cg15158515,cg15343023,cg15352640,cg15634083,cg16079309,cg16190265,cg16193557,cg16490124,cg17127769,cg17734243,cg17754782,cg17867295,cg18279051,cg18821281,cg18986389,cg19008097,cg19123882,cg19145082,cg19166302,cg19272984,cg19461772,cg19698668,cg19704683,cg19876672,cg19991046,cg20294320,cg21074468,cg21191365,cg21839211,cg22035278,cg22162396,cg22191765,cg22224625,cg22347523,cg22437405,cg22540135,cg22693863,cg22990967,cg23486853,cg23768117,cg24048022,cg24677744,cg25500027,cg25672327,cg25818609,cg25962682,cg26072390,cg26500279,cg26668430,cg26669717,cg26697605,cg26759037,cg27173717,cg27175123,cg27317813,cg27405010,cg27492102,cg27593172	NA	1.00e+00
-3.856	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00002464,cg00311883,cg01049678,cg01164631,cg01229567,cg03238090,cg03772020,cg04179415,cg05251000,cg06795316,cg08049391,cg08372168,cg10042327,cg10276968,cg13471491,cg13806036,cg14360014,cg14465405,cg14639704,cg16490124,cg19008097,cg19145082,cg21074468,cg22347523,cg22437405,cg22540135,cg22990967,cg24048022,cg26072390,cg27173717,cg27317813	NA	1.00e+00
-5.197	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00052932,cg00311883,cg00337803,cg00731352,cg01049678,cg01164631,cg01229567,cg01658265,cg02170525,cg02322879,cg02565308,cg03238090,cg03293735,cg03519011,cg03705621,cg03746834,cg03772020,cg03930097,cg03948870,cg04038844,cg04179415,cg04360546,cg04476741,cg05237480,cg05276360,cg05600342,cg06652484,cg06665075,cg06795316,cg06817342,cg07175536,cg07607639,cg07807757,cg08049391,cg08170023,cg08340277,cg08372168,cg08407620,cg09414137,cg10042327,cg10276968,cg11603759,cg12674357,cg12689200,cg13372879,cg13471491,cg14465405,cg14740130,cg15054077,cg15107641,cg15158515,cg15343023,cg15352640,cg16079309,cg16490124,cg17127769,cg17284607,cg18721397,cg18821281,cg19008097,cg19123882,cg19145082,cg19698668,cg19991046,cg20294320,cg21074468,cg21191365,cg21224380,cg21839211,cg22162396,cg22191765,cg22224625,cg22347523,cg22437405,cg22498676,cg22540135,cg22990967,cg24002158,cg24677744,cg25818609,cg25962682,cg26072390,cg27173717	NA	1.00e+00
