Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.011	2.20e-01	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg04704963,cg06192289,cg08244085,cg10486655,cg11093760,cg11497372,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15684962,cg16151977,cg16684811,cg16786712,cg17714703,cg18866599,cg19448935,cg20331322,cg25106322,cg25566730,cg25991122,cg26400275	GSM816644	1.00e+00
0.625	3.27e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00159953,cg00563932,cg02673453,cg02726930,cg02955940,cg04704963,cg06192289,cg06694012,cg08244085,cg09367126,cg09797337,cg10486655,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg16145216,cg16151977,cg16684811,cg16786712,cg17714703,cg18866599,cg19448935,cg20097219,cg24547885,cg25106322,cg25566730,cg25991122	Lookup	1.00e+00
0.297	4.46e-01	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00563932,cg02159643,cg04216117,cg04704963,cg06192289,cg08244085,cg10486655,cg11799172,cg13069247,cg13096260,cg14057772,cg15088539,cg16145216,cg16684811,cg16786712,cg17714703,cg18866599,cg19060550,cg19448935,cg25566730,cg25991122	Lookup	1.00e+00
1.685	9.71e-02	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00563932,cg02159643,cg02955940,cg03230711,cg04216117,cg04704963,cg06192289,cg07136054,cg08244085,cg11497372,cg11573219,cg11691341,cg11799172,cg12098228,cg13069247,cg14057772,cg15088539,cg15684962,cg16145216,cg16684811,cg16786712,cg17714703,cg18866599,cg19060550,cg19448935,cg24547885,cg25106322,cg25566730,cg25991122	Lookup	1.00e+00
2.254	3.89e-02	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00563932,cg02726930,cg02955940,cg03230711,cg04216117,cg04704963,cg06192289,cg07136054,cg08244085,cg09367126,cg09797337,cg10486655,cg11093760,cg11497372,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg24547885,cg25106322,cg25566730,cg25991122	Lookup	1.00e+00
0.615	3.35e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00248521,cg02726930,cg02955940,cg03230711,cg04704963,cg06192289,cg08244085,cg09797337,cg10486655,cg11691341,cg11799172,cg12098228,cg14057772,cg16145216,cg16684811,cg16786712,cg18866599,cg19448935,cg20097219,cg24547885,cg25566730,cg25991122	GSM816664	1.00e+00
0.109	5.09e-01	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg02159643,cg02726930,cg04216117,cg04704963,cg06192289,cg12098228,cg13069247,cg14057772,cg15088539,cg15684962,cg16145216,cg16786712,cg17453456,cg17714703,cg19448935,cg24547885,cg25566730,cg25991122	GSM736607	1.00e+00
2.151	4.63e-02	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00248521,cg02159643,cg02955940,cg03230711,cg03384419,cg04704963,cg06192289,cg07136054,cg08244085,cg10486655,cg11497372,cg11799172,cg13069247,cg14057772,cg15088539,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg19448935,cg24547885,cg25566730,cg25991122	"GSM736558,GSM736635"	1.00e+00
2.574	1.76e-02	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00159953,cg00248521,cg02159643,cg02955940,cg04704963,cg06192289,cg07136054,cg08244085,cg10486655,cg11497372,cg11799172,cg13069247,cg14057772,cg15088539,cg16145216,cg16684811,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg24547885,cg25566730,cg25991122	GSM736525	1.00e+00
2.370	3.30e-02	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg02159643,cg02955940,cg04216117,cg04704963,cg05780294,cg06192289,cg07136054,cg08244085,cg10486655,cg11497372,cg11799172,cg12098228,cg13069247,cg15088539,cg16145216,cg16684811,cg16786712,cg17453456,cg17714703,cg18659450,cg18866599,cg19448935,cg24547885,cg25566730,cg25991122	"GSM736512,GSM736561"	1.00e+00
