Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
6.223	4.17e-07	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg01243823,cg01798813,cg03725309,cg04927537,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg08548559,cg08857797,cg09182678,cg10919522,cg12593793,cg13708645,cg16611584,cg17738521,cg17782974,cg18098839,cg19017142,cg19750657,cg23172671,cg24531955,cg24678869,cg25392060,cg26894079,cg27115863,cg27470213	E029	3.45e-05
4.963	4.74e-05	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg01243823,cg01798813,cg02711608,cg03078551,cg03725309,cg04286697,cg04816311,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg08548559,cg09182678,cg09664445,cg10508317,cg10717869,cg10919522,cg12593793,cg13708645,cg14352682,cg17738521,cg17782974,cg17901584,cg19017142,cg21429551,cg24678869,cg26470501,cg27470213	E032	1.00e-03
4.854	5.51e-05	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg01243823,cg01798813,cg03078551,cg03500056,cg03725309,cg04286697,cg04816311,cg04927537,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg08548559,cg09664445,cg10508317,cg10919522,cg12593793,cg13708645,cg17738521,cg17782974,cg19017142,cg23172671,cg24678869,cg26894079,cg27470213	E033	1.01e-03
4.509	8.63e-05	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03725309,cg04816311,cg04927537,cg06192883,cg06500161,cg06946797,cg07094298,cg07504977,cg08548559,cg09664445,cg10508317,cg10919522,cg12593793,cg13708645,cg14352682,cg14476101,cg17738521,cg17782974,cg19017142,cg23172671,cg24678869,cg26403843,cg26470501,cg26894079,cg27470213	E034	1.30e-03
4.170	4.64e-04	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03725309,cg04286697,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg08548559,cg08857797,cg09182678,cg10919522,cg12593793,cg13708645,cg17738521,cg17782974,cg18098839,cg19017142,cg25392060,cg26894079,cg26955383,cg27470213	E046	4.53e-03
6.860	1.03e-08	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg01243823,cg01751802,cg01798813,cg02711608,cg03078551,cg03500056,cg03725309,cg04927537,cg06192883,cg06946797,cg07037944,cg07094298,cg07504977,cg07814318,cg08857797,cg09182678,cg10919522,cg12593793,cg13134297,cg13708645,cg14476101,cg16611584,cg17501210,cg17738521,cg17782974,cg18098839,cg19017142,cg19750657,cg21429551,cg23172671,cg24531955,cg24678869,cg25649826,cg26894079,cg27115863,cg27470213	E050	1.71e-06
3.529	1.68e-03	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03500056,cg04927537,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg08857797,cg09182678,cg10919522,cg12593793,cg13708645,cg17738521,cg17782974,cg18098839,cg19017142,cg19750657,cg24678869,cg26894079,cg27470213	E051	1.21e-02
3.647	8.97e-04	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg01243823,cg02711608,cg03078551,cg03725309,cg04927537,cg06192883,cg06690548,cg06876354,cg06946797,cg07094298,cg07504977,cg09664445,cg10508317,cg10919522,cg12593793,cg14476101,cg17501210,cg17738521,cg17901584,cg18098839,cg19017142,cg21429551,cg23172671,cg24531955,cg26894079,cg27115863	E028	7.44e-03
1.369	1.36e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg03078551,cg03500056,cg03725309,cg04286697,cg04927537,cg06192883,cg06946797,cg07504977,cg09182678,cg12458003,cg12484113,cg12593793,cg13123009,cg13708645,cg14017402,cg14476101,cg17901584,cg22875823,cg24145109,cg26955383,cg27470213	E003	6.10e-01
3.593	8.27e-04	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg01130991,cg01751802,cg02711608,cg03078551,cg03500056,cg03725309,cg04286697,cg04927537,cg06192883,cg06690548,cg06946797,cg07504977,cg10717869,cg10919522,cg12458003,cg12484113,cg12593793,cg13123009,cg13708645,cg14017402,cg14476101,cg17641710,cg17901584,cg19017142,cg21429551,cg22875823,cg23172671,cg26894079,cg26955383,cg27115863,cg27470213	E004	7.22e-03
3.285	2.03e-03	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg01751802,cg02711608,cg03078551,cg04286697,cg04816311,cg06192883,cg06690548,cg06946797,cg07094298,cg07504977,cg08857797,cg10919522,cg12484113,cg12593793,cg14017402,cg14476101,cg17901584,cg23172671,cg26894079,cg27115863	E005	1.40e-02
