Zscore	Pvalue	Cell	Tissue	File	Probe	Accession	Qvalue
0.431	4.37e-01	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02936872,cg04135543,cg09539408,cg11695266,cg11879480,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM701525	1.00e+00
0.509	4.15e-01	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02886284,cg02936872,cg04135543,cg09539408,cg11695266,cg11879480,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM701526	1.00e+00
0.986	2.54e-01	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02886284,cg02936872,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM665837	1.00e+00
0.079	6.01e-01	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02936872,cg03633120,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM701516	1.00e+00
0.595	4.01e-01	CD4_Mobilised	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02886284,cg02936872,cg03633120,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM701489	1.00e+00
0.664	3.63e-01	CD4_Mobilised	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02886284,cg02936872,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM701491	1.00e+00
0.064	5.95e-01	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02936872,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM665812	1.00e+00
0.254	5.17e-01	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02886284,cg02936872,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17823320,cg18440188,cg18533466,cg22920873,cg23681243,cg25513133	GSM665839	1.00e+00
-0.058	6.54e-01	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02886284,cg02936872,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM817166	1.00e+00
1.278	1.60e-01	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02886284,cg02936872,cg03633120,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17163751,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM701539	1.00e+00
0.790	3.22e-01	CD8_Mobilised	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	cg02558133,cg02620470,cg02886284,cg02936872,cg03633120,cg04135543,cg09539408,cg11695266,cg11879480,cg16933388,cg17823320,cg18440188,cg18533466,cg21576698,cg22920873,cg23681243,cg25513133	GSM817160	1.00e+00
