Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.652	9.77e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg05951221,cg25648203	E029	1.00e+00
-0.383	6.70e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00506299,cg18030943	E032	1.00e+00
-0.602	4.92e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg07457727	E033	1.00e+00
0.017	5.67e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg01668352,cg04402828,cg05337681,cg07650681,cg21418854	E034	1.00e+00
-1.229	9.32e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00738897,cg07457727,cg18030943,cg25648203	E046	1.00e+00
-0.876	8.69e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg05951221,cg07457727,cg18030943	E050	1.00e+00
1.048	2.16e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg01432692,cg04402828,cg05951221,cg07457727,cg25466245	E051	1.00e+00
-2.135	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz		E028	1.00e+00
-2.592	1.00e+00	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg07457727	E003	1.00e+00
0.532	3.48e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg02233197,cg07457727,cg25466245	E004	1.00e+00
1.123	1.71e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K9me3	E005-H3K9me3.broadPeak.gz	cg00506299,cg01668352,cg05317600,cg05951221,cg06634140,cg07650681,cg09127592,cg09374353,cg11254522,cg13610455,cg14223856,cg14310198,cg18030943,cg21418854,cg25466245,cg27229484	E005	1.00e+00
-0.533	7.74e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K9me3	E006-H3K9me3.broadPeak.gz	cg00506299,cg05317600,cg05951221,cg13458803,cg17576603	E006	1.00e+00
0.828	2.59e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K9me3	E007-H3K9me3.broadPeak.gz	cg00738897,cg04402828,cg05317600,cg05951221,cg06634140,cg07457727,cg09006487,cg09374353,cg13458803,cg14310198,cg17576603,cg18030943,cg27229484	E007	1.00e+00
-1.769	9.76e-01	E008 H9 Cells	ES Cell	H3K9me3	E008-H3K9me3.broadPeak.gz	cg01668352,cg05317600,cg05337681,cg07457727,cg09374353,cg13610455,cg14223856,cg21418854,cg25648203	E008	1.00e+00
-1.579	9.73e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K9me3	E085-H3K9me3.broadPeak.gz	cg00506299,cg04402828,cg05951221,cg06634140,cg07457727	E085	1.00e+00
-1.275	9.35e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K9me3	E080-H3K9me3.broadPeak.gz	cg05337681,cg05951221,cg14223856,cg25648203	E080	1.00e+00
-1.803	9.90e-01	E081 Fetal Brain Male	Fetal Brain	H3K9me3	E081-H3K9me3.broadPeak.gz	cg07650681	E081	1.00e+00
-1.928	1.00e+00	E082 Fetal Brain Female	Fetal Brain	H3K9me3	E082-H3K9me3.broadPeak.gz		E082	1.00e+00
0.147	5.15e-01	E083 Fetal Heart	Fetal Heart	H3K9me3	E083-H3K9me3.broadPeak.gz	cg01432692,cg02233197,cg05337681,cg07457727,cg09006487,cg13610455,cg17574812,cg17576603	E083	1.00e+00
-1.381	9.43e-01	E084 Fetal Intestine Large	Fetal Intestine Large	H3K9me3	E084-H3K9me3.broadPeak.gz	cg00506299,cg05951221,cg06634140,cg09374353,cg14223856,cg21418854,cg25648203	E084	1.00e+00
-0.081	5.87e-01	E086 Fetal Kidney	Fetal Kidney	H3K9me3	E086-H3K9me3.broadPeak.gz	cg01668352,cg05337681,cg06961313	E086	1.00e+00
-0.017	5.57e-01	E088 Fetal Lung	Fetal Lung	H3K9me3	E088-H3K9me3.broadPeak.gz	cg01668352,cg02233197,cg04402828	E088	1.00e+00
-0.410	6.83e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K9me3	E090-H3K9me3.broadPeak.gz	cg05951221,cg07457727	E090	1.00e+00
-1.934	1.00e+00	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K9me3	E089-H3K9me3.broadPeak.gz		E089	1.00e+00
1.356	1.14e-01	E092 Fetal Stomach	Fetal Stomach	H3K9me3	E092-H3K9me3.broadPeak.gz	cg00506299,cg00738897,cg04402828,cg05337681,cg05951221,cg06634140,cg07457727,cg07650681,cg09127592,cg11254522,cg13458803,cg13610455,cg14223856,cg14310198,cg17576603,cg21418854,cg25648203,cg27229484	E092	1.00e+00
0.623	3.43e-01	E093 Fetal Thymus	Fetal Thymus	H3K9me3	E093-H3K9me3.broadPeak.gz	cg00506299,cg00738897,cg01432692,cg01668352,cg02233197,cg05317600,cg05951221,cg06634140,cg07457727,cg07650681,cg09127592,cg09374353,cg11254522,cg13610455,cg14223856,cg14310198,cg17574812,cg18030943,cg21418854,cg25648203	E093	1.00e+00
0.959	2.21e-01	E094 Gastric	Gastric	H3K9me3	E094-H3K9me3.broadPeak.gz	cg00506299,cg00738897,cg05337681,cg05951221,cg07650681,cg13458803,cg13610455,cg14310198,cg17574812,cg17576603,cg25466245,cg25648203,cg27229484	E094	1.00e+00
-0.097	5.86e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K9me3	E021-H3K9me3.broadPeak.gz	cg05317600,cg06961313,cg07650681	E021	1.00e+00
-1.465	9.53e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K9me3	E022-H3K9me3.broadPeak.gz	cg00738897,cg05951221,cg11254522,cg13610455,cg14223856,cg18030943,cg21418854,cg25648203,cg27229484	E022	1.00e+00
-0.820	8.48e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K9me3	E017-H3K9me3.broadPeak.gz	cg04402828,cg05951221,cg07457727,cg11254522,cg13458803	E017	1.00e+00
-0.888	8.64e-01	E097 Ovary	Ovary	H3K9me3	E097-H3K9me3.broadPeak.gz	cg00506299,cg01668352,cg02233197,cg05951221,cg07650681,cg17574812,cg25648203	E097	1.00e+00
0.377	4.19e-01	E098 Pancreas	Pancreas	H3K9me3	E098-H3K9me3.broadPeak.gz	cg00506299,cg02233197,cg05337681,cg05951221,cg06961313,cg07457727,cg07650681,cg13458803,cg14310198,cg17574812,cg17576603,cg18030943,cg25466245,cg25648203	E098	1.00e+00
-0.208	6.52e-01	E091 Placenta	Placenta	H3K9me3	E091-H3K9me3.broadPeak.gz	cg05951221,cg06634140,cg14310198,cg17574812,cg18030943,cg21418854,cg25466245,cg25648203	E091	1.00e+00
-0.040	5.74e-01	E100 Psoas Muscle	Psoas Muscle	H3K9me3	E100-H3K9me3.broadPeak.gz	cg05317600,cg07457727,cg09006487	E100	1.00e+00
-1.487	9.61e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K9me3	E055-H3K9me3.broadPeak.gz	cg04402828,cg05951221,cg09374353,cg25648203	E055	1.00e+00
-1.210	9.29e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K9me3	E056-H3K9me3.broadPeak.gz	cg04402828,cg05337681,cg09127592,cg25648203	E056	1.00e+00
-1.778	9.84e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K9me3	E057-H3K9me3.broadPeak.gz	cg01668352,cg11254522,cg21418854	E057	1.00e+00
-1.476	9.58e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K9me3	E059-H3K9me3.broadPeak.gz	cg05951221,cg06961313,cg07650681,cg11254522,cg18030943,cg25466245	E059	1.00e+00
-1.650	9.78e-01	E109 Small Intestine	Small Intestine	H3K9me3	E109-H3K9me3.broadPeak.gz	cg04402828,cg06961313,cg25466245	E109	1.00e+00
