Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-6.148	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00055341,cg00756943,cg00994804,cg01708636,cg01817364,cg02623200,cg02757970,cg03123759,cg03274456,cg03610228,cg04889800,cg07839313,cg10799440,cg11327857,cg14992524,cg15555017,cg16912563,cg17445812,cg18280057,cg19272540,cg19401033,cg19473656,cg24807169	E063	1.00e+00
13.351	1.57e-27	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00003625,cg00049729,cg00054210,cg00056066,cg00091633,cg00205605,cg00222799,cg00239563,cg00492070,cg00594129,cg01001533,cg01105418,cg01205935,cg01293485,cg01342115,cg01456368,cg01471372,cg01681525,cg01693598,cg01827781,cg01874730,cg02153814,cg02273436,cg02449166,cg02486855,cg02566861,cg02705163,cg02772663,cg02799880,cg02803819,cg02903680,cg02956248,cg02984184,cg03070187,cg03098721,cg03123541,cg03162823,cg03258665,cg03287111,cg03289906,cg03329019,cg03520644,cg03534375,cg03575602,cg03704673,cg03755115,cg03800939,cg03822639,cg03879180,cg03945400,cg03962527,cg04064050,cg04259752,cg04359753,cg04500896,cg04558175,cg04605287,cg04869006,cg04959634,cg04968127,cg04981619,cg05050592,cg05168015,cg05232215,cg05308656,cg05487507,cg05499367,cg05527113,cg05589489,cg05593411,cg06026545,cg06117153,cg06143732,cg06223926,cg06430387,cg06489606,cg06744585,cg06766016,cg06913600,cg07037725,cg07138399,cg07262247,cg07264048,cg07310671,cg07312357,cg07571928,cg07604700,cg07733851,cg07827420,cg08077071,cg08106887,cg08217285,cg08217910,cg08240539,cg08571918,cg08657654,cg08784911,cg08820801,cg08855938,cg09113483,cg09168805,cg09337852,cg09593860,cg09687907,cg09692695,cg09747445,cg09871637,cg10095777,cg10163955,cg10213875,cg10456121,cg10554624,cg10593400,cg10636490,cg10717869,cg10775991,cg10816169,cg10825471,cg11064966,cg11200656,cg11354105,cg11380327,cg11412129,cg11631063,cg11709405,cg11914795,cg11960677,cg11980800,cg12125332,cg12131208,cg12150256,cg12233232,cg12234455,cg12405048,cg12559119,cg12731773,cg12836958,cg12845268,cg13030332,cg13305444,cg13318241,cg13491563,cg13497903,cg13708645,cg13833596,cg13882377,cg13916835,cg14134256,cg14192542,cg14485097,cg14485744,cg14519997,cg14623715,cg15091747,cg15127250,cg15175162,cg15302379,cg15895197,cg16116203,cg16182936,cg16246545,cg16263848,cg16302655,cg16508883,cg16537676,cg16641055,cg16701167,cg16854876,cg16990174,cg17058475,cg17166288,cg17205324,cg17220161,cg17231677,cg17296589,cg17362900,cg17665699,cg17768691,cg17976121,cg18136963,cg18149394,cg18209323,cg18449062,cg18869061,cg19127638,cg19264571,cg19414967,cg19506623,cg19628934,cg19795793,cg19828220,cg19873536,cg19894382,cg20012601,cg20025238,cg20265748,cg20286956,cg20430773,cg20441135,cg20722590,cg21109038,cg21212881,cg21481950,cg21577356,cg21581504,cg21869046,cg21903286,cg22216643,cg22547559,cg22795769,cg22952142,cg23225147,cg23373640,cg23579062,cg23629935,cg23790219,cg23948843,cg24030449,cg24119717,cg24280832,cg24361265,cg24404630,cg24522254,cg24569831,cg24574963,cg24601030,cg24779381,cg24841257,cg24859236,cg25292638,cg25299676,cg25835351,cg26117521,cg26132737,cg26773791,cg27203184	E063	6.22e-25
-1.855	1.00e+00	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed		E063	1.00e+00
-6.673	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg13985132,cg22128896,cg26627956,cg27646484	E063	1.00e+00
-4.316	1.00e+00	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00263619,cg00615592,cg00868766,cg01323777,cg01447828,cg01887374,cg02018681,cg02228675,cg02276831,cg02703145,cg03146625,cg04066265,cg04334496,cg05045598,cg05224659,cg07223180,cg07379741,cg07943780,cg12000995,cg14201634,cg14424963,cg14659930,cg18534077,cg19425295,cg20364512,cg20415486,cg22833618,cg23102632,cg23669081,cg23743554,cg26138978,cg27020362	E063	1.00e+00
-1.947	9.95e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg05797770,cg20653375,cg23522915	E063	1.00e+00
6.559	3.35e-08	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00040575,cg00079023,cg00082939,cg00116430,cg00129811,cg00156995,cg00424169,cg00567854,cg00944421,cg00963171,cg00996847,cg01209984,cg01466133,cg02452639,cg02849695,cg02952809,cg02996583,cg03217115,cg03222066,cg03785076,cg04017036,cg04140525,cg04459939,cg04498198,cg04859826,cg05272827,cg05389174,cg05644462,cg06634862,cg06814654,cg07348535,cg07412254,cg07429284,cg07871442,cg08090164,cg08234689,cg08498747,cg08915171,cg09187007,cg09265392,cg10198479,cg10397819,cg10401489,cg10708898,cg10843343,cg10904740,cg10928544,cg11106117,cg11945297,cg12067421,cg13078421,cg13422804,cg13428213,cg13621396,cg13622265,cg13646480,cg13691108,cg13847322,cg13924715,cg14230238,cg14699112,cg14858616,cg14883961,cg15006681,cg15789095,cg16044109,cg16049246,cg16063162,cg16442587,cg16467811,cg16652937,cg16820615,cg16876823,cg17295878,cg17551891,cg18342462,cg19137107,cg19478539,cg19495650,cg19512582,cg19513876,cg20505728,cg20595752,cg20899625,cg23652484,cg23895076,cg24220031,cg24603028,cg25783099,cg25966016,cg26257411,cg26376346,cg26410133,cg26927427,cg27140633,cg27219972,cg27475169,cg27565650	E063	2.08e-06
-2.055	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.405	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg03923640	E063	1.00e+00
-0.592	8.22e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg02345146,cg03228449,cg04236334,cg11580525	E063	1.00e+00
1.846	9.99e-02	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg00361017,cg01754713,cg01795955,cg02329835,cg02486415,cg03173827,cg03325667,cg03416628,cg03840467,cg04337944,cg06626847,cg06925984,cg07421287,cg08620329,cg08781728,cg10885338,cg11669516,cg12899423,cg13181164,cg13204699,cg13451356,cg13558810,cg13647973,cg14016875,cg15134801,cg15657704,cg17223809,cg20806427,cg20951444,cg22965943,cg25254074,cg25821785,cg27331665,cg27438980,cg27478242	E063	1.00e+00
5.564	6.93e-06	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg01066472,cg01226614,cg01251360,cg01394847,cg01520588,cg02254407,cg02483701,cg02630477,cg03760191,cg04149978,cg04848686,cg05134847,cg05310240,cg05349837,cg05837435,cg05965387,cg06000144,cg06241901,cg06260709,cg06396119,cg07249684,cg07464674,cg08224569,cg09386376,cg09584358,cg09898695,cg10613381,cg13518442,cg13555278,cg13583664,cg13934236,cg14181528,cg14621323,cg15645660,cg16182479,cg17930194,cg19197440,cg19805668,cg20125920,cg21117965,cg21644740,cg22957360,cg24330456,cg27098804	E063	3.12e-04
3.189	7.73e-03	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg00115747,cg00174500,cg00405069,cg00741945,cg00964751,cg00970752,cg01135546,cg01803461,cg01952185,cg02294302,cg02649698,cg02947450,cg04270401,cg04664126,cg04715503,cg04873098,cg05265607,cg05815196,cg05865340,cg06114987,cg06602723,cg06640630,cg06717905,cg06766541,cg06769918,cg06893273,cg07399928,cg07515565,cg08005165,cg08089567,cg09484541,cg09501959,cg10502244,cg10755899,cg10866062,cg10962524,cg13680337,cg14560430,cg14846292,cg15903837,cg16537292,cg16893614,cg17149103,cg17527422,cg17802213,cg18183624,cg18346398,cg18861753,cg19051015,cg19695978,cg20118840,cg20982735,cg21193577,cg21363811,cg23052055,cg23218354,cg23261715,cg23907108,cg24148304,cg24185628,cg24378227,cg25001102,cg25042226,cg25464265,cg25607643,cg26291519,cg26465389,cg26853787,cg27508620	E063	2.37e-01
