Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.322	1.88e-02	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00281977,cg00435273,cg00699601,cg01052103,cg01427108,cg01516881,cg01808030,cg01864468,cg02147364,cg02157155,cg02746014,cg03395511,cg03997626,cg04299067,cg04554929,cg05141217,cg05841700,cg05926928,cg06176221,cg06478886,cg06522412,cg06724776,cg06758350,cg07006249,cg07096305,cg07482220,cg07638320,cg08838158,cg09039782,cg09092052,cg10185505,cg10187029,cg10727654,cg11949518,cg12258998,cg12658972,cg12717203,cg12794224,cg13388618,cg13498216,cg14436939,cg14508358,cg14752068,cg15022609,cg15154249,cg15365744,cg15461618,cg15469871,cg16681597,cg17220055,cg17279147,cg17349054,cg18268631,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19985056,cg20064778,cg20130571,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg26000393,cg26010015,cg26579653,cg27010141,cg27205904	NA	4.51e-01
-1.250	8.92e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00281977,cg00435273,cg01052103,cg01516881,cg01864468,cg03395511,cg05729249,cg05926928,cg07310671,cg08422420,cg09039782,cg09092052,cg09592244,cg10185505,cg10187029,cg10727654,cg11102724,cg12658972,cg12717203,cg13388618,cg14508358,cg14614789,cg14752068,cg15022609,cg15469871,cg16340422,cg16681597,cg18268631,cg18322025,cg18428180,cg20596706,cg22055815,cg22905511,cg24334149,cg25026992,cg26579653	NA	1.00e+00
0.194	4.60e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00281977,cg00435273,cg00699601,cg01052103,cg01516881,cg01864468,cg02746014,cg04299067,cg04554929,cg05141217,cg05729249,cg05841700,cg05926928,cg06724776,cg09092052,cg09592244,cg10187029,cg10576280,cg12658972,cg12717203,cg13498216,cg14752068,cg15022609,cg16677969,cg16681597,cg17279147,cg18268631,cg18322025,cg18428180,cg19097407,cg19815010,cg20064778,cg20130571,cg20596706,cg22055815,cg24506221,cg25758034,cg26000393,cg26579653,cg27010141,cg27205904	NA	1.00e+00
0.007	5.27e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00281977,cg00435273,cg00699601,cg01052103,cg01516881,cg01864468,cg02147364,cg02746014,cg04299067,cg04554929,cg05729249,cg05841700,cg05926928,cg09092052,cg09592244,cg10187029,cg11949518,cg12658972,cg12717203,cg13388618,cg13498216,cg14752068,cg15022609,cg15469871,cg16677969,cg16681597,cg17349054,cg18402987,cg19097407,cg19815010,cg20064778,cg20596706,cg22055815,cg24334149,cg26000393,cg26579653,cg27205904	NA	1.00e+00
-0.727	7.69e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00281977,cg01052103,cg01516881,cg01808030,cg01864468,cg02147364,cg02746014,cg03395511,cg03582285,cg04385144,cg05141217,cg05729249,cg05926928,cg08291996,cg08408040,cg09039782,cg09092052,cg09592244,cg10187029,cg11102724,cg11787167,cg12258998,cg12658972,cg12717203,cg13935009,cg14614789,cg15022609,cg15469871,cg15782153,cg16681597,cg18268631,cg18428180,cg20293942,cg22055815,cg22905511,cg24334149,cg25929204,cg26000393,cg26579653,cg27010141,cg27312944,cg27597505	NA	1.00e+00
0.910	2.17e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00281977,cg01003448,cg01052103,cg01427108,cg01516881,cg01609658,cg01864468,cg02147364,cg02746014,cg03395511,cg03582285,cg03847932,cg03997626,cg04241623,cg04554929,cg05141217,cg05505459,cg05729249,cg05841700,cg05926928,cg06546677,cg06821841,cg07482220,cg07638320,cg08408040,cg08422420,cg08551532,cg09039782,cg09092052,cg09592244,cg10187029,cg10239804,cg11102724,cg11594731,cg12186997,cg12258998,cg12658972,cg12717203,cg13388618,cg13498216,cg13935009,cg14508358,cg14614789,cg14752068,cg15022609,cg15443223,cg15458017,cg16340422,cg16619994,cg16681597,cg17509989,cg17862288,cg18268631,cg18322025,cg18397450,cg18402987,cg18428180,cg18797653,cg19815010,cg19985056,cg20064778,cg20293942,cg20596706,cg22055815,cg22826409,cg24334149,cg25046953,cg26000393,cg27187704	NA	1.00e+00
2.922	3.30e-03	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00191853,cg00256231,cg00281977,cg00435273,cg00607058,cg00699601,cg01003448,cg01052103,cg01354046,cg01516881,cg01808030,cg01864468,cg01927686,cg02147364,cg02743650,cg02746014,cg02750262,cg03395511,cg04299067,cg04385144,cg04554929,cg04806653,cg05141217,cg05729249,cg05841700,cg05926928,cg06522412,cg06546677,cg06758350,cg06821841,cg07096305,cg07219506,cg07482220,cg07638320,cg08103988,cg08408040,cg08422420,cg08802841,cg09039782,cg09092052,cg09144455,cg09592244,cg10187029,cg10576280,cg10727654,cg11076954,cg11102724,cg11949518,cg12186997,cg12258998,cg12658972,cg12717203,cg12794224,cg13388618,cg13498216,cg14436939,cg14508358,cg14556701,cg14614789,cg14752068,cg15022609,cg15154249,cg15365744,cg15461618,cg15469871,cg16677969,cg16681597,cg17220055,cg17279147,cg17349054,cg17509989,cg17862288,cg18268631,cg18322025,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19214707,cg19815010,cg19985056,cg20064778,cg20130571,cg20293942,cg20596706,cg20611109,cg20707527,cg21544437,cg22055815,cg22826409,cg22905511,cg23577102,cg24334149,cg24506221,cg25731395,cg25758034,cg26000393,cg26010015,cg26052728,cg26114124,cg26579653,cg27010141,cg27205904	NA	1.98e-01
1.750	5.63e-02	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00191853,cg00281977,cg00435273,cg00699601,cg01052103,cg01354046,cg01427108,cg01516881,cg01808030,cg01864468,cg02147364,cg02743650,cg02746014,cg03395511,cg03847932,cg04299067,cg04554929,cg05141217,cg05729249,cg05926928,cg06176221,cg06478886,cg06522412,cg06724776,cg06758350,cg06821841,cg07096305,cg07482220,cg07638320,cg08408040,cg08422420,cg08802841,cg09039782,cg09092052,cg09592244,cg10187029,cg10576280,cg10727654,cg11102724,cg11949518,cg12258998,cg12658972,cg12717203,cg13388618,cg13498216,cg13967339,cg14508358,cg14752068,cg15022609,cg15154249,cg15365744,cg15458017,cg15469871,cg16053902,cg16677969,cg16681597,cg17220055,cg17279147,cg17349054,cg17509989,cg18200150,cg18268631,cg18402987,cg18405330,cg18428180,cg19097407,cg19214707,cg19985056,cg20130571,cg20596706,cg20611109,cg22055815,cg22905511,cg23577102,cg24334149,cg24675775,cg25758034,cg26000393,cg26010015,cg26114124,cg26579653,cg26647808,cg27010141,cg27205904	NA	6.74e-01
-0.015	5.38e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00435273,cg00699601,cg01052103,cg01864468,cg02147364,cg05926928,cg06522412,cg06821841,cg07638320,cg09092052,cg10187029,cg12258998,cg12717203,cg13498216,cg14752068,cg15022609,cg17220055,cg17349054,cg18402987,cg19097407,cg20596706,cg22055815,cg25758034,cg26000393,cg26579653,cg27010141	NA	1.00e+00
1.661	7.11e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00281977,cg00435273,cg00699601,cg01003448,cg01052103,cg01516881,cg01864468,cg02147364,cg02157155,cg02746014,cg03395511,cg03582285,cg03847932,cg04299067,cg04385144,cg04554929,cg05729249,cg05841700,cg05926928,cg06724776,cg07096305,cg07482220,cg07638320,cg08802841,cg09092052,cg09592244,cg10185505,cg10187029,cg10576280,cg10727654,cg11102724,cg11949518,cg12658972,cg12717203,cg13498216,cg14436939,cg14752068,cg15022609,cg15154249,cg15469871,cg16619994,cg16677969,cg16681597,cg17220055,cg17279147,cg17509989,cg18268631,cg18402987,cg18428180,cg19097407,cg19815010,cg19985056,cg20064778,cg20130571,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg24506221,cg25079981,cg26000393,cg26010015,cg26579653,cg26647808,cg27010141,cg27205904	NA	7.74e-01
1.220	1.47e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00281977,cg00435273,cg00699601,cg01052103,cg01516881,cg01864468,cg02147364,cg02299497,cg02746014,cg03395511,cg04554929,cg05141217,cg05841700,cg05926928,cg06478886,cg06724776,cg07638320,cg09039782,cg09092052,cg09592244,cg10187029,cg11102724,cg12258998,cg12658972,cg12717203,cg13498216,cg15022609,cg15365744,cg15469871,cg16677969,cg16681597,cg17220055,cg17279147,cg17349054,cg18268631,cg18402987,cg18428180,cg19097407,cg19815010,cg19985056,cg20064778,cg20130571,cg20596706,cg20611109,cg21544437,cg22055815,cg24506221,cg26000393,cg26579653,cg27010141,cg27205904	NA	1.00e+00
2.132	2.84e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00281977,cg00435273,cg00607058,cg00699601,cg01003448,cg01052103,cg01516881,cg01864468,cg01927686,cg02147364,cg02743650,cg02750262,cg03395511,cg03582285,cg03847932,cg04299067,cg04385144,cg04554929,cg05662444,cg05729249,cg05841700,cg05926928,cg06478886,cg06522412,cg06546677,cg06758350,cg06821841,cg07096305,cg07482220,cg07638320,cg08408040,cg08422420,cg08481075,cg09039782,cg09092052,cg09592244,cg10185505,cg10187029,cg10576280,cg10727654,cg11102724,cg11787167,cg12258998,cg12658972,cg12717203,cg12794224,cg13388618,cg13498216,cg13918754,cg14436939,cg14508358,cg14614789,cg14752068,cg15022609,cg15154249,cg15443223,cg15458017,cg15469871,cg15648058,cg15789211,cg16677969,cg16681597,cg17220055,cg17279147,cg17349054,cg17509989,cg18200150,cg18268631,cg18402987,cg18405330,cg18428180,cg19097407,cg19815010,cg19985056,cg20130571,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg24334149,cg24506221,cg25731395,cg25758034,cg26000393,cg26010015,cg26114124,cg26579653,cg27010141,cg27205904,cg27312944	NA	5.68e-01
-0.370	6.58e-01	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg00281977,cg00435273,cg00699601,cg01052103,cg01516881,cg01864468,cg04554929,cg05141217,cg05729249,cg05841700,cg05926928,cg06522412,cg09092052,cg09592244,cg10187029,cg10576280,cg11102724,cg11949518,cg12658972,cg12717203,cg13498216,cg14752068,cg15022609,cg15365744,cg16677969,cg16681597,cg17279147,cg17349054,cg18402987,cg19097407,cg19815010,cg20596706,cg22055815,cg24506221,cg26000393,cg26579653,cg27010141,cg27205904	NA	1.00e+00
0.553	3.37e-01	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg00281977,cg00435273,cg00699601,cg01052103,cg01864468,cg02147364,cg02746014,cg04299067,cg04554929,cg05841700,cg05926928,cg06724776,cg09092052,cg10187029,cg10727654,cg11949518,cg12258998,cg12717203,cg13498216,cg15022609,cg16681597,cg17279147,cg17349054,cg18402987,cg19097407,cg20064778,cg20596706,cg22055815,cg26000393,cg26579653,cg27010141,cg27205904	NA	1.00e+00
2.834	5.38e-03	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00CTZ41.DNase.hotspot_v3.20141014.bed.gz	cg00256231,cg00281977,cg00435273,cg00699601,cg01003448,cg01052103,cg01354046,cg01427108,cg01516881,cg01864468,cg01927686,cg02147364,cg02202923,cg02746014,cg03395511,cg03847932,cg03997626,cg04299067,cg04385144,cg04554929,cg05141217,cg05662444,cg05729249,cg05841700,cg05926928,cg06176221,cg06546677,cg06758350,cg07096305,cg07638320,cg08802841,cg09039782,cg09092052,cg09592244,cg10185505,cg10187029,cg10576280,cg10727654,cg11076954,cg11102724,cg12258998,cg12658972,cg12717203,cg13388618,cg13498216,cg14508358,cg14752068,cg15022609,cg15154249,cg15469871,cg16677969,cg16681597,cg17220055,cg17279147,cg17349054,cg17509989,cg18200150,cg18268631,cg18322025,cg18402987,cg18405330,cg18428180,cg18453576,cg19097407,cg19815010,cg20064778,cg20130571,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22509179,cg22905511,cg26000393,cg26114124,cg26579653,cg27010141,cg27205904	NA	2.15e-01
0.266	4.36e-01	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00C0J41.DNase.hotspot_v3.20141014.bed.gz	cg00281977,cg01516881,cg01864468,cg02746014,cg03395511,cg03582285,cg03997626,cg05729249,cg05841700,cg05926928,cg07482220,cg08408040,cg08422420,cg08551532,cg09039782,cg09092052,cg09592244,cg10185505,cg10187029,cg10727654,cg11102724,cg12258998,cg12717203,cg13918754,cg14298807,cg14508358,cg15022609,cg16681597,cg17509989,cg18268631,cg18505837,cg20293942,cg20596706,cg22055815,cg22905511,cg24334149,cg25026992,cg26579653,cg27597505	NA	1.00e+00
4.461	6.00e-05	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00HTF41.DNase.hotspot_v3.20141014.bed.gz	cg00106564,cg00256231,cg00281977,cg00435273,cg00699601,cg00795791,cg01052103,cg01354046,cg01516881,cg01808030,cg01864468,cg02147364,cg02197629,cg02743650,cg03395511,cg03582285,cg03847932,cg03940650,cg03997626,cg04241623,cg04385144,cg04554929,cg05141217,cg05406088,cg05505459,cg05841700,cg05926928,cg06419732,cg06522412,cg06546677,cg06618935,cg06758350,cg06821841,cg07096305,cg07310671,cg07482220,cg07638320,cg08422420,cg08551532,cg08838158,cg09039782,cg09092052,cg09592244,cg09787690,cg10187029,cg10576280,cg10829391,cg11076954,cg11102724,cg11787167,cg12258998,cg12621411,cg12658972,cg12717203,cg13498216,cg13598480,cg13918754,cg14554423,cg14556701,cg14614789,cg14752068,cg15022609,cg15154249,cg15443223,cg15458017,cg15469871,cg16340422,cg16677969,cg16681597,cg17349054,cg17509989,cg17862288,cg17888390,cg18200150,cg18268631,cg18322025,cg18397450,cg18428180,cg18797653,cg19097407,cg19214707,cg19985056,cg20293942,cg20596706,cg20611109,cg22055815,cg22905511,cg23577102,cg24506221,cg24666046,cg26000393,cg26114124,cg26370237,cg26579653,cg26647808,cg26725559,cg27010141,cg27205904,cg27312944	NA	7.20e-03
