Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.895	3.12e-04	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01368219,cg01798813,cg02711608,cg03078551,cg03725309,cg04286697,cg04927537,cg06192883,cg06946797,cg07094298,cg07504977,cg07573872,cg08857797,cg09182678,cg10508317,cg10919522,cg12458003,cg13123009,cg14017402,cg14352682,cg16611584,cg17738521,cg17901584,cg21429551,cg23172671,cg24531955,cg26361535,cg26894079,cg27115863	GSM816644	2.32e-03
4.694	9.20e-06	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01130991,cg01243823,cg01798813,cg02711608,cg03078551,cg03500056,cg03725309,cg04286697,cg04816311,cg04927537,cg06192883,cg06500161,cg06946797,cg07037944,cg07094298,cg07504977,cg07814318,cg09182678,cg09664445,cg10508317,cg10717869,cg10919522,cg11024682,cg12593793,cg13134297,cg13708645,cg14017402,cg14476101,cg16611584,cg17641710,cg17738521,cg17782974,cg17901584,cg19017142,cg21429551,cg23172671,cg24531955,cg26361535,cg26470501,cg26894079,cg26955383,cg27470213	Lookup	1.08e-04
7.184	1.10e-09	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01243823,cg01798813,cg02711608,cg03078551,cg03725309,cg04816311,cg04927537,cg06192883,cg06690548,cg06946797,cg07021906,cg07094298,cg07504977,cg07573872,cg07814318,cg08548559,cg08857797,cg09182678,cg10508317,cg10919522,cg12458003,cg12593793,cg13708645,cg14352682,cg16611584,cg17738521,cg17782974,cg18098839,cg19017142,cg19750657,cg21429551,cg23172671,cg24531955,cg24678869,cg25392060,cg25649826,cg26894079,cg26955383,cg27115863,cg27470213	Lookup	1.30e-07
5.018	1.20e-05	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00108715,cg00574958,cg01243823,cg01798813,cg02711608,cg03078551,cg03500056,cg03725309,cg04286697,cg04816311,cg04927537,cg06192883,cg06500161,cg06946797,cg07021906,cg07094298,cg07504977,cg08548559,cg09182678,cg09664445,cg10508317,cg10717869,cg10919522,cg12458003,cg12593793,cg13708645,cg14352682,cg14476101,cg17641710,cg17738521,cg17782974,cg19017142,cg19750657,cg23172671,cg24678869,cg26470501,cg27470213	Lookup	1.33e-04
9.139	6.53e-16	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01243823,cg01751802,cg01798813,cg02711608,cg03078551,cg03500056,cg03725309,cg04286697,cg04816311,cg04927537,cg06192883,cg06500161,cg06690548,cg06876354,cg06946797,cg07021906,cg07037944,cg07094298,cg07504977,cg07814318,cg08548559,cg08857797,cg09182678,cg09664445,cg10508317,cg10717869,cg10919522,cg11024682,cg12458003,cg12593793,cg13134297,cg13708645,cg16611584,cg17501210,cg17641710,cg17738521,cg17782974,cg17901584,cg18098839,cg19017142,cg19750657,cg21429551,cg22012981,cg22875823,cg23172671,cg24145109,cg24531955,cg25392060,cg25649826,cg26361535,cg26403843,cg26894079,cg26955383,cg27115863,cg27470213	Lookup	4.41e-13
5.205	4.43e-06	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01243823,cg01798813,cg02711608,cg03078551,cg03500056,cg03725309,cg04286697,cg04816311,cg04927537,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg09182678,cg09664445,cg10508317,cg10717869,cg10919522,cg12458003,cg12593793,cg13123009,cg13134297,cg13708645,cg19017142,cg22875823,cg23172671,cg24145109,cg24678869,cg25392060,cg26470501,cg26955383,cg27470213	GSM816664	6.42e-05
5.971	1.38e-07	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01243823,cg01368219,cg01798813,cg02711608,cg03500056,cg03725309,cg04927537,cg06192883,cg06690548,cg07037944,cg07094298,cg07504977,cg07814318,cg08857797,cg09182678,cg09664445,cg10717869,cg11024682,cg12484113,cg13123009,cg13134297,cg13274938,cg13708645,cg14352682,cg14476101,cg17782974,cg21429551,cg22875823,cg24531955,cg24678869,cg25392060,cg26403843,cg26894079,cg27470213	GSM736607	3.58e-06
5.030	7.93e-06	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01243823,cg02711608,cg03078551,cg03725309,cg04286697,cg04816311,cg06192883,cg06500161,cg06690548,cg06946797,cg07021906,cg07094298,cg07504977,cg07730360,cg07814318,cg08548559,cg09182678,cg09664445,cg10508317,cg10919522,cg13708645,cg14017402,cg17738521,cg17782974,cg19017142,cg21429551,cg24678869,cg25649826,cg26955383,cg27470213	"GSM736558,GSM736635"	9.57e-05
5.223	6.13e-06	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01243823,cg01798813,cg02711608,cg03078551,cg03725309,cg04286697,cg04816311,cg06192883,cg06690548,cg06946797,cg07037944,cg07094298,cg07504977,cg07814318,cg08548559,cg08857797,cg09664445,cg10508317,cg10919522,cg12593793,cg13708645,cg14476101,cg16611584,cg17641710,cg17782974,cg19017142,cg21429551,cg23172671,cg26894079,cg26955383	GSM736525	8.13e-05
4.796	1.56e-05	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg01243823,cg01798813,cg02711608,cg03078551,cg03725309,cg04286697,cg04816311,cg06192883,cg06690548,cg06946797,cg07021906,cg07037944,cg07094298,cg07504977,cg07814318,cg08857797,cg09664445,cg10508317,cg10919522,cg12593793,cg13708645,cg17641710,cg17782974,cg19017142,cg19750657,cg21429551,cg24678869,cg26403843,cg26955383,cg27470213	"GSM736512,GSM736561"	1.60e-04
