Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.505	7.70e-06	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00052684,cg01680062,cg02534167,cg03361294,cg03574890,cg04175911,cg05639088,cg07475825,cg09412707,cg09432792,cg12547959,cg12896170,cg15920942,cg17555274,cg22885409,cg27459630	GSM816644	3.25e-04
3.352	2.82e-03	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00052684,cg03574890,cg04175911,cg05639088,cg08552853,cg09412707,cg09432792,cg12896170,cg13132442,cg15002347,cg15135194,cg15920942,cg16222694,cg27459630	Lookup	2.65e-02
6.976	1.42e-08	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00052684,cg01680062,cg02534167,cg03489069,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09412707,cg09432792,cg15002347,cg15135194,cg15920942,cg17555274,cg20292908,cg20361768,cg22885409,cg27459630	Lookup	4.82e-06
-0.304	6.87e-01	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg07475825,cg09412707,cg09432792,cg15135194	Lookup	1.00e+00
2.468	2.14e-02	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00052684,cg01680062,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09432792,cg12896170,cg15002347,cg15920942	Lookup	1.62e-01
0.749	2.98e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg01680062,cg03574890,cg04175911,cg09432792,cg15920942,cg27167895	GSM816664	1.00e+00
0.058	5.41e-01	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00052684,cg09432792,cg12896170,cg20292908	GSM736607	1.00e+00
2.502	2.63e-02	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg03361294,cg04175911,cg05639088,cg09412707,cg09432792,cg15002347,cg15920942,cg22885409	"GSM736558,GSM736635"	1.96e-01
3.275	4.00e-03	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00052684,cg03574890,cg04175911,cg05639088,cg07475825,cg09412707,cg12896170,cg15002347,cg15135194,cg15920942,cg20361768	GSM736525	3.61e-02
2.572	1.72e-02	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg03361294,cg04175911,cg05639088,cg07475825,cg09412707,cg09432792,cg12896170,cg15002347,cg15920942,cg27459630	"GSM736512,GSM736561"	1.32e-01
