Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.262	3.19e-03	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg05284742,cg06126421,cg07986378,cg10293293,cg12075928,cg14817490,cg15474579,cg16611234,cg19572487,cg20059012,cg21197336,cg24090911,cg25648203	E029	6.61e-02
-0.530	7.48e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg06635952,cg10293293,cg12075928,cg14817490,cg15474579,cg16611234,cg20059012,cg21161138,cg24090911	E032	1.00e+00
-0.670	7.96e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg06635952,cg10293293,cg12075928,cg14817490,cg16611234,cg19572487	E033	1.00e+00
-0.429	7.12e-01	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg04885881,cg10293293,cg12075928,cg14817490,cg15474579,cg19572487,cg20059012,cg20303561	E034	1.00e+00
2.011	4.75e-02	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg04885881,cg06126421,cg06635952,cg10293293,cg11660018,cg12075928,cg14817490,cg15474579,cg16611234,cg19572487,cg20059012,cg20303561	E046	4.64e-01
2.710	1.03e-02	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03636183,cg04885881,cg05575921,cg06126421,cg06635952,cg07251887,cg07986378,cg10293293,cg11660018,cg12075928,cg14817490,cg16611234,cg21161138,cg21197336,cg21322436,cg24090911,cg25189904	E050	1.22e-01
2.963	6.92e-03	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg03636183,cg05284742,cg05575921,cg06126421,cg07251887,cg10293293,cg11660018,cg12075928,cg14817490,cg16611234,cg20059012,cg21161138,cg21322436,cg24090911,cg25189904	E051	1.04e-01
3.593	1.02e-03	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg04172771,cg04885881,cg06126421,cg06635952,cg07251887,cg10293293,cg10691866,cg12075928,cg14462402,cg14580211,cg14817490,cg15474579,cg20059012,cg21197336,cg24123432,cg25189904,cg26271591	E028	2.96e-02
0.675	3.12e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg01940273,cg03364381,cg09935388,cg10293293,cg10691866,cg14462402,cg14817490,cg16611234,cg18804920,cg20303561,cg21197336,cg21322436,cg24123432,cg25189904	E003	1.00e+00
1.043	1.98e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg05284742,cg06635952,cg07251887,cg09935388,cg10293293,cg11660018,cg12075928,cg14462402,cg14817490,cg15474579,cg20303561,cg21197336,cg21322436,cg24123432	E004	1.00e+00
2.787	8.13e-03	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg04172771,cg06126421,cg06635952,cg07251887,cg10691866,cg11660018,cg14462402,cg14817490,cg20303561,cg21197336,cg21322436,cg25648203	E005	1.12e-01
4.496	6.75e-05	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg05575921,cg06126421,cg06635952,cg07251887,cg09935388,cg10293293,cg10691866,cg11660018,cg12075928,cg14462402,cg14580211,cg14817490,cg15474579,cg19572487,cg20059012,cg21161138,cg21197336,cg24090911,cg25189904,cg25648203,cg26271591	E006	5.60e-03
0.470	3.89e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg01940273,cg03329539,cg03364381,cg05284742,cg09935388,cg11660018,cg14462402,cg15474579,cg20303561,cg21197336,cg21322436,cg24123432,cg25648203	E007	1.00e+00
2.331	2.33e-02	E008 H9 Cells	ES Cell	DHS	E008-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg01940273,cg03329539,cg03364381,cg05284742,cg09935388,cg10293293,cg10691866,cg11660018,cg12075928,cg14462402,cg14580211,cg15474579,cg16611234,cg18804920,cg20303561,cg21197336,cg21322436,cg24090911,cg25648203,cg26361535	E008	2.58e-01
2.785	1.03e-02	E085 Fetal Intestine Small	Feta Intestine Small	DHS	E085-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg06126421,cg06635952,cg07251887,cg09935388,cg10293293,cg11660018,cg12075928,cg14580211,cg15474579,cg19254163,cg20059012,cg20303561,cg21322436,cg24090911,cg24123432,cg25189904	E085	1.22e-01
-0.946	8.64e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	DHS	E080-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg06635952,cg10293293,cg10691866,cg11660018,cg21322436,cg24123432,cg25189904,cg26271591	E080	1.00e+00
-0.757	8.20e-01	E081 Fetal Brain Male	Fetal Brain	DHS	E081-DNase.hotspot.fdr0.01.broad.bed.gz	cg05284742,cg06126421,cg11660018,cg18804920,cg21322436,cg24123432,cg26361535	E081	1.00e+00
0.004	5.58e-01	E082 Fetal Brain Female	Fetal Brain	DHS	E082-DNase.hotspot.fdr0.01.broad.bed.gz	cg03364381,cg05284742,cg09935388,cg10691866,cg11660018,cg12075928,cg21322436,cg24123432,cg24838345	E082	1.00e+00
0.304	4.38e-01	E083 Fetal Heart	Fetal Heart	DHS	E083-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg06126421,cg06635952,cg09935388,cg10293293,cg11660018,cg14580211,cg20059012,cg21322436,cg24123432,cg24838345,cg25189904,cg26271591,cg26361535	E083	1.00e+00
0.952	2.28e-01	E084 Fetal Intestine Large	Fetal Intestine Large	DHS	E084-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg03364381,cg06635952,cg07251887,cg10293293,cg10691866,cg11660018,cg12075928,cg15474579,cg19254163,cg20303561,cg21197336,cg24123432	E084	1.00e+00
