Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.373	9.91e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00446925,cg00631329,cg00733150,cg00805867,cg01190171,cg04607235,cg05801989,cg06211459,cg06530960,cg06635797,cg06723057,cg07077476,cg07983955,cg08312369,cg09134682,cg09419670,cg09754948,cg09886946,cg10241462,cg10415685,cg10494282,cg14310975,cg15105969,cg17247190,cg17554194,cg17589175,cg20592836,cg23691642,cg23886495,cg26188818	E063	1.00e+00
3.970	1.16e-04	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00045753,cg00058708,cg00250711,cg00334056,cg00893242,cg01108370,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02197387,cg02841227,cg02936049,cg03212674,cg03224418,cg03264133,cg03289416,cg03587241,cg03669282,cg03808351,cg03987842,cg04340435,cg04405704,cg04657044,cg04964333,cg05180856,cg05490983,cg05508639,cg06035815,cg06253072,cg06366107,cg06751366,cg06793505,cg06826457,cg06891043,cg07250222,cg07441462,cg07452164,cg07645296,cg07716032,cg07884168,cg08086652,cg08347373,cg08772003,cg08841829,cg09191750,cg09397246,cg09444226,cg09484019,cg09626299,cg09915099,cg10121429,cg10183150,cg10653465,cg10833066,cg11216632,cg11569329,cg11753765,cg12120741,cg13084335,cg13127741,cg13367647,cg13729891,cg13863668,cg13866577,cg14069412,cg14218447,cg14251267,cg14823076,cg14921437,cg15146515,cg15273468,cg16264966,cg16450200,cg16586182,cg17030679,cg17329534,cg17342283,cg17908947,cg18180155,cg18183774,cg18334211,cg19875578,cg20737812,cg20814349,cg20856330,cg20985980,cg21235334,cg21300072,cg21589273,cg21717724,cg21864959,cg22157087,cg22278106,cg23259375,cg23744638,cg23762465,cg24648384,cg25044876,cg25143771,cg26339924,cg26899598,cg27204993,cg27326026,cg27386529	E063	1.42e-02
1.424	1.30e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg08507178,cg08946713,cg09326440,cg11801110	E063	1.00e+00
-0.376	6.70e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00106609,cg00137918,cg00601727,cg00688979,cg00811777,cg00852675,cg01187464,cg02585563,cg03235788,cg03303475,cg03479204,cg03578430,cg04162223,cg04188764,cg04870949,cg05008570,cg05246315,cg05867245,cg07056794,cg07278158,cg07718650,cg08123816,cg09523339,cg10737412,cg11716267,cg12057242,cg12281527,cg12459514,cg12640482,cg13136596,cg13318129,cg13523449,cg13614741,cg13644811,cg13741927,cg13758724,cg14019695,cg14186779,cg15092420,cg15155199,cg15665967,cg16327482,cg17393140,cg18399427,cg18783886,cg19023589,cg19296662,cg19471911,cg19502841,cg21438252,cg21549415,cg22923006,cg23160428,cg23722096,cg24670566,cg27092297	E063	1.00e+00
3.637	2.22e-04	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00004421,cg00200164,cg00240767,cg00375025,cg00425431,cg00628211,cg00663519,cg00713066,cg00767977,cg01086672,cg01108112,cg01203286,cg01203766,cg01358620,cg01743658,cg02164110,cg02527881,cg02556345,cg03033629,cg03162506,cg03310087,cg03719642,cg03887787,cg03935444,cg03983715,cg05149537,cg05392527,cg05508408,cg06067477,cg06069407,cg06294376,cg07178896,cg07235057,cg07414487,cg07437919,cg07686394,cg07764829,cg07876831,cg08133476,cg08394070,cg08586669,cg08629176,cg08724371,cg08957091,cg09247692,cg09381022,cg09490523,cg09769104,cg09978906,cg10378804,cg10898776,cg10902667,cg11308649,cg11876048,cg11976193,cg12241963,cg12347123,cg13474789,cg13557534,cg13563132,cg13990743,cg13996003,cg14100946,cg14350257,cg14609104,cg15673069,cg16066008,cg16546681,cg16576597,cg16691863,cg17248267,cg17862558,cg18032705,cg18060965,cg18875496,cg19236328,cg19863426,cg19925755,cg20068274,cg20287434,cg20294984,cg20503288,cg21243846,cg21497082,cg22016859,cg22142142,cg22170801,cg22255690,cg22581629,cg22587600,cg22735105,cg23202253,cg23483894,cg23829395,cg23833425,cg24051786,cg24484539,cg24900563,cg25457927,cg26623554,cg26663590,cg26757229,cg26871347,cg27347003	E063	2.31e-02
1.095	1.67e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg01140214,cg03266158,cg06653140,cg07033395,cg07807470,cg09612099,cg09761705,cg13137809,cg13983903,cg14076923,cg14758967,cg20992439,cg23079727,cg23093090	E063	1.00e+00
3.549	5.66e-04	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00022866,cg00277334,cg00310728,cg00632560,cg00813135,cg00817464,cg01213447,cg01378222,cg01548456,cg01670430,cg01697794,cg02053920,cg02246992,cg02412616,cg02516189,cg02732067,cg03003256,cg03084158,cg03127558,cg03295107,cg03653399,cg04173714,cg04270652,cg04849508,cg05343808,cg05636603,cg05840412,cg05888643,cg06201763,cg06371489,cg06474225,cg06894585,cg07078329,cg07356549,cg07416916,cg07866632,cg07991586,cg08005692,cg08403419,cg08525922,cg08672140,cg08849294,cg09230376,cg09803321,cg10061770,cg10473907,cg10794439,cg12399411,cg12738981,cg12743398,cg13313047,cg13374432,cg13578134,cg14255062,cg14418922,cg14853772,cg15029032,cg15035590,cg15543736,cg15696309,cg15911859,cg16009970,cg16322478,cg17072268,cg17116091,cg17652424,cg18265845,cg18461635,cg19799702,cg20962215,cg22716368,cg24105269,cg25023600,cg25542438,cg25764217,cg26658897	E063	4.59e-02
-1.885	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.377	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-1.312	9.42e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg14689537	E063	1.00e+00
-0.542	7.48e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg00655913,cg02909257,cg10962762,cg12271415,cg12685753,cg17265693,cg17765885,cg18612461,cg24134292,cg24221648,cg26841013	E063	1.00e+00
0.161	4.80e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg00571021,cg02870820,cg06512918,cg07751196,cg11731221,cg18064631,cg24032393,cg25240254,cg25423576,cg26690915,cg27656973	E063	1.00e+00
-0.957	8.58e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg00598758,cg00692279,cg01158161,cg01716084,cg02226672,cg02991924,cg03017264,cg03267220,cg03555881,cg04458368,cg05434312,cg05926586,cg06106103,cg06218344,cg07349136,cg09009770,cg09188763,cg13344095,cg13864473,cg14987431,cg15866977,cg16362592,cg18631330,cg24051234,cg25337691,cg27619646	E063	1.00e+00
