Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.034	5.14e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00108715,cg00153395,cg00214171,cg00263619,cg00533891,cg00542975,cg00607627,cg00628382,cg00753287,cg00863378,cg01079060,cg01252023,cg01394781,cg01506917,cg01744331,cg01782486,cg01890836,cg01911077,cg01966117,cg02046475,cg02097604,cg02355304,cg02379533,cg02412345,cg02586712,cg02597894,cg02727079,cg02767093,cg02870946,cg02988730,cg03031932,cg03164800,cg03259212,cg03271893,cg03443360,cg03509898,cg03561416,cg03605542,cg04242898,cg04324276,cg04550950,cg04847110,cg04956471,cg05227215,cg05473987,cg05504759,cg05699921,cg05721476,cg06242243,cg06372654,cg06376402,cg06458086,cg06495038,cg06763375,cg07052063,cg07064364,cg07175797,cg07178877,cg07285481,cg07573937,cg07621224,cg07651914,cg07658646,cg07730360,cg07856667,cg07944862,cg07952905,cg07954706,cg07969918,cg07990556,cg08394896,cg08420066,cg08443357,cg08462055,cg08633665,cg08643824,cg08726667,cg08970648,cg09022230,cg09109383,cg09113070,cg09263904,cg09291026,cg09315264,cg09354263,cg09725874,cg09728393,cg09747445,cg09749364,cg09768617,cg09776772,cg09814231,cg09938049,cg10259111,cg10427868,cg10754794,cg10901633,cg10909790,cg11190278,cg11274172,cg11414202,cg11751117,cg11844856,cg11950754,cg12076102,cg12188526,cg12374579,cg12570134,cg12573289,cg12577411,cg12604858,cg12687767,cg12716083,cg12727256,cg12729894,cg12798040,cg13276502,cg13419986,cg13641082,cg13729116,cg13788891,cg14099685,cg14310198,cg14349078,cg14422782,cg14601444,cg15007228,cg15251319,cg15269394,cg15408889,cg15430294,cg15488143,cg15659052,cg15773539,cg15892280,cg16417374,cg16505891,cg16634404,cg17327331,cg17390562,cg17457912,cg17652998,cg18643093,cg18796027,cg19361800,cg19577671,cg19638572,cg19998073,cg20016631,cg20277282,cg20289911,cg20303561,cg20372666,cg20379593,cg20494738,cg20792833,cg22451412,cg22494725,cg22510662,cg22851561,cg22907189,cg23009067,cg23058673,cg23478124,cg23661483,cg23895495,cg23919844,cg23999170,cg24171689,cg24247370,cg24400630,cg25008444,cg25105522,cg25157472,cg25484139,cg25580656,cg26002437,cg26090940,cg26426774,cg26625028,cg26757820,cg26878947,cg26897909,cg27144670,cg27269962,cg27646484	E029	1.00e+00
2.806	1.52e-03	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00153395,cg00214171,cg00285294,cg00395063,cg00423486,cg00501876,cg00542975,cg00607627,cg00628382,cg00646731,cg00821310,cg00839844,cg00863378,cg00871371,cg00911776,cg00933182,cg01079060,cg01196858,cg01243072,cg01252023,cg01340991,cg01385679,cg01394781,cg01560422,cg01593673,cg01729066,cg01782486,cg01801603,cg01824466,cg01856529,cg01890836,cg01911077,cg01924561,cg01966117,cg02029665,cg02046475,cg02046668,cg02097604,cg02311364,cg02355304,cg02379533,cg02412345,cg02416781,cg02453726,cg02569509,cg02586712,cg02597894,cg02767093,cg02870946,cg02923856,cg02988730,cg03031932,cg03156170,cg03164800,cg03443360,cg03509898,cg03586240,cg03653817,cg03718845,cg03724640,cg03729092,cg03787711,cg03857453,cg04035392,cg04070601,cg04242898,cg04276536,cg04419883,cg04486382,cg04550950,cg04561731,cg04774505,cg04786592,cg04847110,cg04956471,cg05106502,cg05227215,cg05288253,cg05381795,cg05473987,cg05504759,cg05557932,cg05699921,cg05721773,cg05727149,cg05886321,cg05957504,cg05957749,cg06242243,cg06372654,cg06458086,cg06526741,cg06763375,cg06783429,cg07052063,cg07064364,cg07175797,cg07178877,cg07207669,cg07209244,cg07285481,cg07465627,cg07621224,cg07651914,cg07658646,cg07730360,cg07856667,cg07944862,cg07952905,cg07954706,cg07969918,cg08037727,cg08196642,cg08394896,cg08420066,cg08443357,cg08640824,cg08643824,cg08726667,cg08849294,cg08970648,cg09012125,cg09085932,cg09109383,cg09113070,cg09263904,cg09315264,cg09325164,cg09461545,cg09581649,cg09725874,cg09728393,cg09747445,cg09749364,cg09768617,cg09776772,cg09814231,cg09938049,cg10179300,cg10259111,cg10603592,cg10717869,cg10754794,cg10773745,cg10901633,cg10909790,cg11093760,cg11146034,cg11190278,cg11274172,cg11405200,cg11414202,cg11601336,cg12013713,cg12076102,cg12082089,cg12188526,cg12256705,cg12374579,cg12417775,cg12430029,cg12449049,cg12573289,cg12577411,cg12581691,cg12699156,cg12716083,cg12727256,cg12729894,cg12798040,cg12866859,cg13089335,cg13277254,cg13442709,cg13442969,cg13443911,cg13541073,cg13606889,cg13641082,cg13654836,cg13788891,cg13867370,cg14037728,cg14085840,cg14099685,cg14161821,cg14310198,cg14422782,cg14468090,cg14526039,cg14541011,cg14601444,cg14611112,cg15007228,cg15251319,cg15269394,cg15408889,cg15488143,cg15659052,cg15697019,cg15705813,cg15871086,cg16027267,cg16225773,cg16335858,cg16505891,cg16598679,cg16634404,cg17222434,cg17260706,cg17327331,cg17330252,cg17390562,cg17423650,cg17457912,cg17460386,cg17652998,cg18389639,cg18643093,cg18645642,cg19039673,cg19230867,cg19361800,cg19368031,cg19374752,cg19577671,cg19638572,cg19689330,cg19695041,cg19869037,cg19903805,cg19998073,cg20071744,cg20277282,cg20303561,cg20372666,cg20494738,cg20505728,cg20792833,cg21160357,cg21387281,cg21829328,cg22246785,cg22494725,cg22496986,cg22510662,cg22851561,cg22907189,cg23009067,cg23058673,cg23336702,cg23516824,cg23661483,cg23722790,cg23839159,cg23895495,cg23919844,cg24127061,cg24150385,cg24171689,cg24217948,cg24400630,cg24572204,cg25008444,cg25105522,cg25157472,cg25481160,cg25484139,cg25580656,cg25634032,cg25966016,cg26090940,cg26204079,cg26426774,cg26625028,cg26753608,cg26757820,cg26878947,cg26897909,cg27054084,cg27064708,cg27144670,cg27155939,cg27433482,cg27646484	E032	6.28e-02
-1.422	9.47e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00153395,cg00214171,cg00285294,cg00443094,cg00533891,cg00542975,cg00605777,cg00933182,cg01218206,cg01252023,cg01394781,cg01521274,cg01560422,cg01729066,cg01890836,cg01911077,cg02046475,cg02097604,cg02311364,cg02379533,cg02412345,cg02586712,cg02597894,cg02767093,cg02870946,cg02923856,cg03031932,cg03156170,cg03164800,cg03271893,cg03443360,cg03509898,cg03561416,cg03693099,cg03779937,cg03857453,cg04070601,cg04419883,cg04486382,cg04561731,cg05288253,cg05473987,cg05699921,cg05721773,cg05727149,cg05957749,cg06372654,cg06376402,cg06466839,cg06688763,cg07064364,cg07175797,cg07178877,cg07465627,cg07536018,cg07573937,cg07621224,cg07651914,cg07658646,cg07730360,cg07969918,cg07990556,cg08037727,cg08196642,cg08394896,cg08420066,cg08443357,cg08640824,cg08643824,cg08726667,cg08865625,cg08970648,cg09085932,cg09109383,cg09263904,cg09315264,cg09354263,cg09581649,cg09768617,cg09776772,cg10259111,cg10427868,cg10773745,cg10901633,cg11217654,cg11274172,cg11414202,cg12013713,cg12076102,cg12374579,cg12449049,cg12573289,cg12577411,cg12604858,cg12716083,cg12727256,cg12729894,cg12798040,cg12866859,cg12902896,cg13089335,cg13277254,cg13606889,cg13654836,cg13729116,cg14004678,cg14161821,cg14310198,cg14349078,cg14422782,cg14507146,cg15007228,cg15251319,cg15269394,cg15659052,cg15697019,cg15705813,cg15773539,cg15892280,cg15919066,cg16027267,cg16047471,cg16225773,cg16326402,cg16419724,cg16630369,cg16639915,cg17327331,cg17330252,cg17423650,cg17652998,cg18085636,cg18412721,cg18643093,cg19126615,cg19135406,cg19230867,cg19361800,cg19368031,cg19374752,cg19638572,cg19689330,cg19998073,cg20303561,cg20372666,cg20494738,cg20910008,cg21097733,cg21436544,cg22494725,cg22496986,cg22510662,cg22851561,cg22907189,cg22964469,cg23009067,cg23058673,cg23434428,cg23661483,cg23722790,cg23839159,cg23919844,cg24171689,cg24212268,cg24247370,cg24572204,cg24586978,cg25008444,cg25105522,cg25113462,cg25157472,cg25305703,cg25481160,cg25484139,cg25580656,cg26090940,cg26426774,cg26625028,cg26753608,cg26878947,cg26897909,cg27144670,cg27646484	E033	1.00e+00
2.661	2.41e-03	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg00108715,cg00124095,cg00153395,cg00192882,cg00214171,cg00245454,cg00263619,cg00285294,cg00423486,cg00501876,cg00533891,cg00542975,cg00605777,cg00607627,cg00628382,cg00636737,cg00646731,cg00839844,cg00863378,cg00871371,cg00911776,cg00933182,cg01243072,cg01252023,cg01385679,cg01394781,cg01521274,cg01525376,cg01560422,cg01593673,cg01729066,cg01782486,cg01856529,cg01890836,cg01911077,cg01924561,cg01956154,cg01966117,cg02046475,cg02046668,cg02097604,cg02311364,cg02355304,cg02361903,cg02379533,cg02412345,cg02453726,cg02586712,cg02597894,cg02743070,cg02767093,cg02836478,cg02870946,cg02923856,cg02933228,cg02988730,cg03014427,cg03031932,cg03096954,cg03149958,cg03156170,cg03164800,cg03271893,cg03403093,cg03443360,cg03509898,cg03526142,cg03699074,cg03729092,cg03779937,cg03857453,cg04035392,cg04242898,cg04344749,cg04419883,cg04486382,cg04492228,cg04561731,cg04728789,cg04786592,cg04847110,cg05106502,cg05227215,cg05288253,cg05473987,cg05504759,cg05557932,cg05699921,cg05721773,cg05727149,cg05813673,cg05957749,cg06242243,cg06526741,cg06925984,cg06996423,cg07052063,cg07064364,cg07175797,cg07178877,cg07218081,cg07285481,cg07338715,cg07586285,cg07621224,cg07651914,cg07730360,cg07891911,cg07952905,cg07969918,cg07990556,cg08037727,cg08196642,cg08394896,cg08420066,cg08439276,cg08443357,cg08643824,cg08726667,cg08763102,cg08970648,cg09085932,cg09109383,cg09113070,cg09263904,cg09315264,cg09354263,cg09403559,cg09461545,cg09581649,cg09704401,cg09725874,cg09747445,cg09749364,cg09768617,cg09776772,cg09888330,cg10259111,cg10381440,cg10427868,cg10603592,cg10773745,cg10817916,cg10901633,cg11274172,cg11360546,cg11414202,cg11481968,cg11800117,cg11844856,cg11950754,cg12013713,cg12076102,cg12256705,cg12374579,cg12417775,cg12430029,cg12441066,cg12449049,cg12570134,cg12573289,cg12577411,cg12604858,cg12635790,cg12699156,cg12716083,cg12727256,cg12729894,cg12779520,cg12798040,cg12902896,cg13089335,cg13279476,cg13442969,cg13472584,cg13551754,cg13606889,cg13654836,cg13729116,cg14004678,cg14099685,cg14161821,cg14266156,cg14310198,cg14349078,cg14387452,cg14422782,cg14468090,cg14507146,cg14541011,cg14601444,cg15007228,cg15251319,cg15269394,cg15393490,cg15488143,cg15659052,cg15697019,cg15705813,cg15763258,cg15919066,cg15961693,cg16027267,cg16295156,cg16326402,cg16417374,cg16419724,cg16505891,cg16630369,cg16639915,cg16672637,cg16678564,cg17041511,cg17260706,cg17373759,cg17390562,cg17457912,cg17652998,cg18033671,cg18085636,cg18112681,cg18129282,cg18643093,cg18645642,cg18699466,cg19087971,cg19126615,cg19226017,cg19230867,cg19361800,cg19374752,cg19577671,cg19578183,cg19638572,cg19903805,cg19998073,cg20176142,cg20277282,cg20289911,cg20303561,cg20372666,cg20379593,cg20494738,cg20792833,cg21097733,cg21422605,cg22234419,cg22246785,cg22428027,cg22451412,cg22494725,cg22496986,cg22510662,cg22825202,cg22851561,cg22907189,cg23009067,cg23058673,cg23434428,cg23661483,cg23722790,cg23829395,cg23839159,cg23919844,cg24127061,cg24171689,cg24215776,cg24247370,cg24400630,cg24572204,cg24586978,cg25008444,cg25105522,cg25157472,cg25481160,cg25484139,cg25580656,cg26002437,cg26090940,cg26426774,cg26625028,cg26753608,cg26757820,cg26878947,cg26897909,cg27064708,cg27144670,cg27646484	E034	8.01e-02
-1.399	9.41e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00153395,cg00501876,cg00533891,cg00605777,cg00753287,cg00839844,cg00911776,cg00933182,cg01218206,cg01252023,cg01506917,cg01560422,cg01593673,cg01729066,cg01782486,cg01890836,cg01911077,cg01924561,cg02046475,cg02097604,cg02311364,cg02379533,cg02412345,cg02438545,cg02586712,cg02597894,cg02870946,cg02923856,cg02988730,cg03031932,cg03164800,cg03271893,cg03443360,cg03699074,cg03724640,cg04419883,cg04486382,cg04492228,cg04561731,cg04956471,cg05227215,cg05288253,cg05473987,cg05504759,cg05699921,cg05721773,cg05957749,cg06372654,cg06688763,cg06783429,cg07052063,cg07064364,cg07175797,cg07178877,cg07470570,cg07615364,cg07621224,cg07651914,cg07658646,cg07730360,cg07969918,cg07990556,cg08394896,cg08420066,cg08443357,cg08643824,cg08726667,cg08970648,cg09085932,cg09113070,cg09263904,cg09315264,cg09461545,cg09581649,cg09728393,cg09747445,cg09768617,cg09776772,cg09888330,cg10259111,cg10681525,cg10773745,cg10817916,cg10870160,cg10901633,cg11190278,cg11274172,cg11414202,cg11844856,cg11950754,cg11961495,cg12013713,cg12076102,cg12374579,cg12417775,cg12441066,cg12449049,cg12573289,cg12577411,cg12604858,cg12699156,cg12716083,cg12727256,cg12729894,cg12779520,cg12798040,cg13089335,cg13277254,cg13541073,cg13654836,cg13788891,cg14004678,cg14161821,cg14310198,cg14422782,cg14526039,cg14541011,cg14601444,cg15393490,cg15919066,cg16417374,cg16505891,cg16639915,cg16723994,cg17041511,cg17390562,cg17457912,cg17652998,cg18643093,cg18699466,cg19230867,cg19361800,cg19577671,cg19638572,cg19689330,cg19998073,cg20303561,cg20372666,cg20379593,cg21097733,cg21680729,cg22494725,cg22510662,cg22851561,cg22964469,cg23058673,cg23434428,cg23661483,cg23693485,cg23722790,cg24127061,cg24171689,cg24247370,cg24400630,cg24572204,cg24586978,cg25008444,cg25105522,cg25157472,cg25484139,cg25580656,cg25634032,cg26002437,cg26090940,cg26204079,cg26426774,cg26625028,cg26757820,cg26897909,cg27144670,cg27646484	E046	1.00e+00
-3.442	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg00108715,cg00153395,cg00285294,cg00411072,cg00494183,cg00533891,cg00628382,cg00646731,cg00753287,cg00933182,cg01102073,cg01252023,cg01534527,cg01593673,cg01729066,cg01890836,cg01911077,cg02046668,cg02097604,cg02379533,cg02412345,cg02538248,cg02597894,cg02836478,cg02870946,cg02923856,cg02988730,cg03125341,cg03156170,cg03164800,cg03430597,cg03443360,cg03509898,cg03718845,cg04419883,cg04486382,cg04492228,cg04847110,cg05227215,cg05288253,cg05386769,cg05504759,cg06688763,cg06763375,cg06925984,cg07064364,cg07178877,cg07536018,cg07621224,cg07651914,cg07705835,cg07730360,cg07856667,cg07952905,cg07969918,cg08037727,cg08196642,cg08420066,cg08443357,cg08462055,cg08545213,cg08640824,cg08679180,cg08726667,cg08849294,cg08865625,cg08970648,cg09022230,cg09109383,cg09263904,cg09315264,cg09461545,cg09581649,cg09725874,cg09728393,cg09747445,cg09776772,cg10427868,cg10501360,cg10717869,cg10773745,cg10817916,cg10870160,cg10901633,cg11190278,cg11950754,cg11961495,cg12055515,cg12076102,cg12374579,cg12417775,cg12449049,cg12570134,cg12573289,cg12716083,cg12727256,cg12729894,cg12798040,cg12902896,cg13276502,cg13456241,cg13654836,cg13788891,cg14004678,cg14037728,cg14099685,cg14387452,cg14422782,cg14468090,cg14507146,cg14526039,cg14541011,cg15038286,cg15251319,cg15659052,cg15705813,cg15892280,cg15919066,cg16294280,cg16630369,cg16639915,cg17041511,cg17254383,cg17390562,cg17439800,cg17652998,cg18643093,cg18699466,cg18796027,cg19126615,cg19135406,cg19230867,cg19577671,cg19998073,cg20152430,cg20277282,cg20303561,cg20372666,cg21680729,cg22053945,cg22494725,cg22510662,cg22825202,cg22851561,cg22907189,cg23058673,cg23371208,cg23434428,cg23507953,cg23661483,cg23693485,cg23722790,cg23895495,cg24171689,cg24400630,cg24572204,cg24590708,cg25008444,cg26002437,cg26426774,cg26625028,cg26878947,cg27144670,cg27269962,cg27547344,cg27615095,cg27646484	E050	1.00e+00
-5.456	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg00153395,cg00285294,cg00411072,cg00501876,cg00533891,cg00753287,cg00863378,cg01079060,cg01102073,cg01252023,cg01560422,cg01593673,cg01729066,cg01890836,cg01911077,cg02046668,cg02097604,cg02379533,cg02836478,cg02870946,cg03156170,cg03164800,cg03259212,cg03509898,cg03699074,cg04419883,cg04486382,cg04492228,cg04561731,cg04847110,cg05227215,cg05386769,cg05504759,cg05727149,cg05957504,cg05957749,cg06688763,cg06763375,cg06925984,cg07064364,cg07178877,cg07207669,cg07209244,cg07536018,cg07631435,cg07651914,cg07730360,cg07856667,cg07954706,cg07969918,cg08420066,cg08726667,cg08849294,cg08865625,cg08970648,cg09022230,cg09263904,cg09291026,cg09315264,cg09461545,cg09581649,cg09728393,cg10427868,cg10501360,cg11961495,cg12374579,cg12417775,cg12430029,cg12449049,cg12570134,cg12716083,cg12727256,cg12729894,cg13442969,cg13456241,cg13654836,cg13788891,cg13867370,cg14037728,cg14422782,cg15007228,cg15038286,cg15659052,cg15705813,cg15773539,cg15892280,cg15919066,cg16027267,cg17041511,cg17254383,cg17439800,cg17652998,cg18643093,cg18699466,cg18796027,cg19126615,cg19408882,cg19577671,cg19638572,cg19998073,cg20152430,cg20277282,cg20289911,cg20303561,cg20372666,cg20379593,cg21777154,cg22053945,cg22494725,cg22510662,cg22851561,cg22907189,cg23058673,cg23434428,cg23507953,cg23661483,cg23722790,cg23895495,cg23919844,cg24075175,cg24113496,cg24400630,cg24590708,cg25008444,cg25105522,cg25642234,cg26002437,cg26426774,cg26625028,cg26878947,cg27144670,cg27615095,cg27646484	E051	1.00e+00
-0.454	7.08e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00153395,cg00214171,cg00263619,cg00390784,cg00411072,cg00423486,cg00628382,cg00839844,cg01218206,cg01385679,cg01506917,cg01534527,cg01685893,cg01782486,cg01824466,cg01890836,cg01911077,cg01924561,cg02046475,cg02412345,cg02586712,cg02710860,cg02727079,cg02767093,cg03031932,cg03114845,cg03164800,cg03259212,cg03295852,cg03443360,cg03586240,cg03605542,cg03779937,cg03857453,cg04486382,cg04492228,cg04982488,cg04995717,cg05168368,cg05288253,cg05318210,cg05473987,cg05699921,cg05945608,cg05957504,cg05990080,cg06439889,cg06458086,cg06488536,cg06688763,cg07052063,cg07285481,cg07631435,cg07658646,cg07952905,cg07969918,cg07990556,cg08037727,cg08394896,cg08420066,cg08545213,cg08553950,cg08633665,cg08643824,cg08726667,cg08940075,cg09022230,cg09263904,cg09291026,cg09315264,cg09581649,cg09728393,cg09728487,cg09747445,cg09768617,cg10179300,cg10301695,cg10427868,cg10474597,cg10773745,cg10901633,cg11190278,cg11269166,cg11274172,cg11414202,cg11844856,cg12055515,cg12417775,cg12441066,cg12573289,cg12577411,cg12716083,cg13276502,cg13277254,cg13456241,cg13468041,cg13472584,cg13499923,cg13541073,cg13545717,cg13654836,cg14099685,cg14161821,cg14349078,cg14422782,cg14780255,cg15251319,cg15705813,cg15871086,cg15892280,cg15919066,cg16014060,cg16047471,cg16326402,cg17041511,cg17327331,cg17373759,cg17390562,cg17423650,cg17457912,cg17652998,cg18238908,cg18771737,cg18796027,cg19211880,cg19361800,cg19869037,cg19903805,cg19998073,cg20016631,cg20372666,cg20430909,cg20495009,cg21777154,cg21822187,cg22007809,cg22234419,cg22510662,cg22851561,cg22907189,cg23009067,cg23371208,cg23371680,cg23434428,cg23722790,cg23895495,cg23919844,cg24171689,cg24247370,cg24332002,cg24572204,cg24586978,cg25008444,cg25105522,cg25305703,cg25609878,cg25634032,cg25800753,cg26426774,cg26757820,cg26897909,cg27054084,cg27144670,cg27269962,cg27646484	E028	1.00e+00
-4.462	1.00e+00	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg00108715,cg00153395,cg00214171,cg00245454,cg00411072,cg00423486,cg00542975,cg00605777,cg00607627,cg00636737,cg00646731,cg00753287,cg00911776,cg01102073,cg01252023,cg01316378,cg01340991,cg01385679,cg01394781,cg01506917,cg01528492,cg01560422,cg01593673,cg01729066,cg01890836,cg01911077,cg01924561,cg01936839,cg02046475,cg02051228,cg02294302,cg02355304,cg02379533,cg02412345,cg02586712,cg02597894,cg02836478,cg02933228,cg03149958,cg03156170,cg03259212,cg03271893,cg03443360,cg03586240,cg03605542,cg03654166,cg03729092,cg03787711,cg04064963,cg04177945,cg04276536,cg04324276,cg04561731,cg04728789,cg04875062,cg05227215,cg05386769,cg05504759,cg05557932,cg05699921,cg05727149,cg05797770,cg05844798,cg05957504,cg05990080,cg05997793,cg06388350,cg06439889,cg06925984,cg07178877,cg07209244,cg07342322,cg07465627,cg07470570,cg07568588,cg07586285,cg07730360,cg07856667,cg07952905,cg07954706,cg08037727,cg08133584,cg08394896,cg08396193,cg08443357,cg08449164,cg08726667,cg08763102,cg08849294,cg08940075,cg09012125,cg09022230,cg09054960,cg09263904,cg09354263,cg09461545,cg09581649,cg09624551,cg09639152,cg09728393,cg09747445,cg10104487,cg10381440,cg10427868,cg10482356,cg10724867,cg10870160,cg10901633,cg11274172,cg11360546,cg11414202,cg11751117,cg11950754,cg11998307,cg12013713,cg12374579,cg12524640,cg12716083,cg12727256,cg12729894,cg12798040,cg12866859,cg13276502,cg13472584,cg13606889,cg13641082,cg13654836,cg13729116,cg13788891,cg13982037,cg14004678,cg14258501,cg14270346,cg14526039,cg14986357,cg15007228,cg15705813,cg15892280,cg15919066,cg16294280,cg17327331,cg17330252,cg17390562,cg17652998,cg17839959,cg18017908,cg18796027,cg18917643,cg19087971,cg19126615,cg19211880,cg19361800,cg19390244,cg19408882,cg19638572,cg19998073,cg20016631,cg20152430,cg20494738,cg20792833,cg20981219,cg21097733,cg22093121,cg22234419,cg22367264,cg22428027,cg22494725,cg22672060,cg23371208,cg23434428,cg23507953,cg23534245,cg23551720,cg23661483,cg23693485,cg23722790,cg23895495,cg24002003,cg24075175,cg24127061,cg24332002,cg25157472,cg25268718,cg25580656,cg25800753,cg25930644,cg26002437,cg26426774,cg26625028,cg26753608,cg26757820,cg26897909,cg26916621,cg27241845,cg27646484	E003	1.00e+00
-0.082	5.60e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg00245454,cg00390784,cg00542975,cg00839844,cg00863378,cg01204844,cg01206410,cg01340991,cg01911077,cg02646515,cg02727079,cg02805025,cg02870946,cg03014427,cg03164800,cg04039799,cg04427651,cg04561731,cg06785429,cg07568588,cg07623567,cg08196642,cg08477768,cg08606497,cg08865625,cg08940075,cg09624551,cg09728487,cg10474597,cg10590964,cg11474701,cg11915444,cg12577411,cg13456241,cg13641082,cg14780255,cg15359093,cg15919066,cg16201957,cg16225773,cg16234490,cg16239296,cg16294280,cg16639915,cg17254383,cg17423650,cg17907520,cg18214661,cg18238908,cg18282388,cg18771737,cg19211880,cg19542445,cg19825437,cg19998073,cg20131596,cg20372666,cg20379593,cg20627046,cg21822187,cg22234419,cg22246785,cg22367264,cg22510662,cg23251798,cg23336905,cg23534245,cg23722790,cg24150385,cg24217948,cg24586978,cg25684105,cg26426774,cg26878947,cg27054084,cg27144670,cg27262041,cg27646484	E004	1.00e+00
