Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.669	1.44e-04	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00108569,cg00243922,cg00342743,cg00477365,cg00514202,cg00687686,cg00900054,cg01180236,cg01244006,cg01348570,cg01872324,cg01903374,cg02006134,cg02027010,cg02064368,cg02211433,cg02262553,cg02283691,cg02548606,cg02898206,cg02900516,cg02930866,cg02951206,cg02981853,cg03044735,cg03098361,cg03173570,cg03173679,cg03294491,cg03354717,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg04035553,cg04088932,cg04166618,cg04190002,cg04203298,cg04227701,cg04334947,cg04347477,cg04400841,cg04571742,cg04752042,cg04822018,cg04898443,cg04989674,cg05308309,cg05314679,cg05328960,cg05340882,cg05439195,cg05598539,cg05840750,cg05872513,cg05916684,cg06032302,cg06112727,cg06479426,cg06587969,cg06650256,cg06740897,cg06745704,cg06762176,cg06776703,cg06902558,cg06935184,cg06939851,cg06954540,cg07091220,cg07243366,cg07430967,cg07458712,cg07482199,cg07546262,cg07556119,cg07690692,cg07691180,cg07736922,cg07740693,cg07782630,cg07837717,cg07845873,cg07868885,cg07961659,cg07962303,cg07989796,cg08092331,cg08167706,cg08322528,cg08431893,cg08436313,cg08482978,cg08492912,cg08502759,cg08656326,cg08713098,cg08861456,cg09033857,cg09065776,cg09102835,cg09108797,cg09220050,cg09258553,cg09263731,cg09296611,cg09308608,cg09578254,cg09769679,cg09776830,cg09801687,cg09897604,cg10069677,cg10182531,cg10338338,cg10508317,cg10566660,cg10706989,cg10717610,cg10721450,cg10920427,cg10985914,cg11239316,cg11286035,cg11337018,cg11508373,cg11697159,cg11809157,cg11811621,cg11856215,cg11942541,cg12081645,cg12213003,cg12478378,cg12508534,cg12564034,cg12576688,cg12664806,cg12850036,cg13041975,cg13050981,cg13232021,cg13428516,cg13519902,cg13771313,cg13848035,cg13863668,cg13900770,cg14000687,cg14131272,cg14230166,cg14260522,cg14442492,cg14676592,cg14733672,cg14743055,cg14868222,cg14878686,cg14937492,cg15048902,cg15054838,cg15139248,cg15269027,cg15377586,cg15446613,cg15692666,cg15766494,cg15822546,cg16127594,cg16157980,cg16246961,cg16284213,cg16315748,cg16479173,cg16569430,cg16573178,cg16631025,cg16654851,cg16693212,cg16857335,cg16998718,cg17009808,cg17024828,cg17809632,cg17866373,cg18086594,cg18102575,cg18134312,cg18191664,cg18196506,cg18246298,cg18260973,cg18261909,cg18271897,cg18729886,cg18807929,cg18846731,cg18878616,cg19074748,cg19226017,cg19280364,cg19285688,cg19432434,cg19524810,cg19676328,cg19948397,cg20291779,cg20455854,cg20488968,cg20543544,cg20635724,cg20641095,cg20696478,cg20793089,cg20837626,cg20917083,cg20926353,cg20967975,cg21639178,cg21656520,cg21845654,cg21917550,cg21934564,cg21962603,cg22235727,cg22472411,cg22500428,cg22501294,cg22723098,cg22778790,cg22999864,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg23843812,cg23846712,cg23930945,cg24494412,cg24599065,cg24631450,cg24699418,cg24965617,cg25119743,cg25195795,cg25211705,cg25699121,cg25772341,cg25817419,cg25998680,cg26047920,cg26061357,cg26180612,cg26227027,cg26397265,cg26456183,cg26697605,cg26702929,cg26853401,cg26892394,cg27325152,cg27408171,cg27462418,cg27492102,cg27576946,cg27583149,cg27592868,cg27658640	NA	1.72e-02
2.827	5.18e-03	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00108569,cg00243922,cg00342743,cg00477365,cg00514202,cg00900054,cg01180236,cg01348570,cg01872324,cg01903374,cg01911678,cg02027010,cg02211433,cg02250357,cg02262553,cg02283691,cg02505177,cg02548606,cg02898206,cg02900516,cg02951206,cg03098361,cg03173679,cg03294491,cg03433394,cg03581421,cg03640531,cg03700308,cg03727373,cg03768517,cg04203298,cg04227701,cg04334947,cg04571742,cg04989674,cg05308309,cg05328960,cg05439195,cg05598539,cg05872513,cg05916684,cg06032302,cg06112727,cg06479426,cg06587969,cg06745704,cg06762176,cg06776703,cg06935184,cg06954540,cg07028951,cg07430967,cg07482199,cg07546262,cg07782630,cg07837717,cg07845873,cg07868885,cg07962303,cg07989796,cg08092331,cg08167706,cg08322528,cg08482978,cg08502759,cg08608144,cg08713098,cg08861456,cg08975197,cg09033857,cg09065776,cg09102835,cg09108797,cg09220050,cg09263731,cg09308608,cg09578254,cg09769679,cg09776830,cg09897604,cg10069677,cg10182531,cg10335543,cg10706989,cg10721450,cg10920427,cg11035519,cg11239316,cg11286035,cg11337018,cg11508373,cg11525941,cg11697159,cg11811621,cg11856215,cg12213003,cg12478378,cg12508534,cg12576688,cg12881321,cg13041975,cg13050981,cg13232021,cg13368918,cg13428516,cg13563728,cg13771313,cg13848035,cg13863668,cg13900770,cg14000687,cg14131272,cg14260522,cg14523706,cg14733672,cg14878686,cg14937492,cg15054838,cg15269027,cg15692666,cg15822546,cg16157980,cg16246961,cg16284213,cg16315748,cg16479173,cg16569430,cg16654851,cg16693212,cg16857335,cg16998718,cg17636193,cg17809632,cg17866373,cg18086594,cg18102575,cg18191664,cg18196506,cg18260973,cg18261909,cg18755728,cg19074748,cg19226017,cg19432434,cg19676328,cg19948397,cg20291779,cg20455854,cg20488968,cg20543544,cg20635724,cg20641095,cg20917083,cg21639178,cg21656520,cg21917550,cg21934564,cg21962603,cg22397365,cg22472411,cg22482746,cg22723098,cg23288298,cg23393291,cg23412136,cg23715559,cg24494412,cg24631450,cg24699418,cg24965617,cg25087553,cg25699121,cg25772341,cg25817419,cg26047920,cg26180612,cg26397265,cg26456183,cg26892394,cg27492102,cg27658640	NA	7.58e-02
2.119	2.49e-02	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00243922,cg00342743,cg00514202,cg00687686,cg00900054,cg01180236,cg01348570,cg01903374,cg01984858,cg02027010,cg02211433,cg02283691,cg02548606,cg02898206,cg02900516,cg03098361,cg03173679,cg03294491,cg03581421,cg03640531,cg03700308,cg03768517,cg04203298,cg04227701,cg04334947,cg04571742,cg04898443,cg04989674,cg05308309,cg05328960,cg05340882,cg05439195,cg05598539,cg05916684,cg06032302,cg06112727,cg06587969,cg06745704,cg06762176,cg06935184,cg06954540,cg07028951,cg07482199,cg07546262,cg07556119,cg07690692,cg07691180,cg07736922,cg07782630,cg07837717,cg07845873,cg07868885,cg07989796,cg08092331,cg08167706,cg08322528,cg08482978,cg08502759,cg08797606,cg08861456,cg09033857,cg09065776,cg09102835,cg09108797,cg09220050,cg09308608,cg09769679,cg09776830,cg09897604,cg10182531,cg10338338,cg10706989,cg10721450,cg11239316,cg11286035,cg11337018,cg11525941,cg11697159,cg11811621,cg11856215,cg12213003,cg12478378,cg12508534,cg12576688,cg13041975,cg13050981,cg13232021,cg13368918,cg13428516,cg13771313,cg13848035,cg13900770,cg14000687,cg14131272,cg14260522,cg14743055,cg14868222,cg14878686,cg14937492,cg15054838,cg15139248,cg15269027,cg15446613,cg15822546,cg16246961,cg16284213,cg16315748,cg16479173,cg16654851,cg16693212,cg16857335,cg16998718,cg17636193,cg17809632,cg18086594,cg18102575,cg18134312,cg18191664,cg18196506,cg18260973,cg18846731,cg19074748,cg19226017,cg19432434,cg19676328,cg20488968,cg20543544,cg20635724,cg20696478,cg20917083,cg21639178,cg21656520,cg21908110,cg21917550,cg21934564,cg21962603,cg22472411,cg22482746,cg22723098,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg24494412,cg24631450,cg24699418,cg24965617,cg25087553,cg25195795,cg25699121,cg25772341,cg25817419,cg26047920,cg26180612,cg26397265,cg26892394,cg27576946,cg27583149,cg27658640	NA	1.76e-01
2.063	2.77e-02	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00108569,cg00342743,cg00514202,cg00900054,cg01180236,cg01348570,cg01872324,cg02027010,cg02064368,cg02211433,cg02250357,cg02283691,cg02505177,cg02548606,cg02898206,cg02900516,cg02951206,cg03098361,cg03173570,cg03173679,cg03294491,cg03354717,cg03410722,cg03433394,cg03581421,cg03640531,cg03768517,cg04203298,cg04334947,cg04571742,cg04822018,cg04898443,cg04989674,cg05439195,cg05598539,cg05840750,cg05872513,cg05916684,cg05954702,cg06112727,cg06587969,cg06740897,cg06745704,cg06935184,cg06954540,cg07028951,cg07321536,cg07482199,cg07546262,cg07691180,cg07782630,cg07837717,cg07845873,cg07868885,cg07989796,cg08092331,cg08167706,cg08322528,cg08482978,cg08502759,cg08608144,cg08713098,cg08730245,cg08797606,cg08861456,cg09033857,cg09065776,cg09102835,cg09108797,cg09263731,cg09308608,cg09769679,cg09776830,cg09897604,cg10069677,cg10182531,cg10335543,cg10338338,cg10706989,cg10721450,cg10920427,cg10985914,cg11035519,cg11239316,cg11286035,cg11337018,cg11508373,cg11525941,cg11697159,cg11809157,cg11811621,cg12213003,cg12478378,cg12508534,cg12576688,cg13041975,cg13050981,cg13232021,cg13368918,cg13428516,cg13563728,cg13771313,cg13848035,cg13863668,cg13900770,cg14000687,cg14131272,cg14230166,cg14260522,cg14733672,cg14743055,cg14878686,cg14937492,cg15054838,cg15137213,cg15269027,cg15692666,cg15822546,cg15894129,cg16246961,cg16284213,cg16315748,cg16479173,cg16563370,cg16569430,cg16631025,cg16654851,cg16693212,cg16857335,cg16998718,cg17636193,cg17809632,cg18086594,cg18102575,cg18191664,cg18260973,cg18755829,cg18846731,cg19074748,cg19226017,cg19280364,cg19389852,cg19432434,cg19676328,cg19730801,cg19948397,cg20291779,cg20488968,cg20543544,cg20635724,cg20641095,cg20696478,cg20917083,cg21639178,cg21656520,cg21917550,cg21934564,cg21962603,cg22472411,cg22482746,cg22501294,cg22723098,cg22778790,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg24494412,cg24631450,cg24699418,cg24965617,cg25087553,cg25195795,cg25211705,cg25699121,cg25817419,cg26180612,cg26397265,cg26853401,cg26892394,cg27576946,cg27583149,cg27658640	NA	1.84e-01
1.477	7.78e-02	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00108569,cg00243922,cg00342743,cg00477365,cg00514202,cg00741634,cg00900054,cg01073178,cg01180236,cg01181681,cg01244006,cg01348570,cg01932827,cg01984858,cg02006134,cg02027010,cg02064368,cg02211433,cg02250357,cg02262553,cg02283691,cg02548606,cg02900516,cg02981853,cg03098361,cg03173570,cg03173679,cg03294491,cg03335600,cg03354717,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg03768517,cg04203298,cg04227701,cg04334947,cg04571742,cg04822018,cg04898443,cg04989674,cg05308309,cg05328960,cg05406954,cg05439195,cg05598539,cg05651657,cg05840750,cg05872513,cg05916684,cg05954702,cg06032302,cg06112727,cg06479426,cg06587969,cg06740897,cg06745704,cg06762176,cg06776703,cg06935184,cg06939851,cg06954540,cg07028951,cg07091220,cg07430967,cg07482199,cg07546262,cg07556119,cg07690692,cg07736922,cg07782630,cg07837717,cg07845873,cg07868885,cg07989796,cg08092331,cg08167706,cg08322528,cg08482978,cg08492912,cg08502759,cg08608144,cg08713098,cg08730245,cg08797606,cg08861456,cg09033857,cg09065776,cg09102835,cg09108797,cg09263731,cg09308608,cg09578254,cg09776830,cg10069677,cg10182531,cg10335543,cg10706989,cg10717610,cg10721450,cg10920427,cg11035519,cg11239316,cg11286035,cg11337018,cg11508373,cg11697159,cg11809157,cg11811621,cg11826008,cg11856215,cg12213003,cg12478378,cg12508534,cg12576688,cg12850036,cg13041975,cg13050981,cg13232021,cg13368918,cg13428516,cg13519902,cg13563728,cg13771313,cg13848035,cg13863668,cg13900770,cg14000687,cg14131272,cg14230166,cg14260522,cg14442492,cg14525688,cg14743055,cg14878686,cg14937492,cg15048902,cg15054838,cg15137213,cg15269027,cg15446613,cg15692666,cg15766494,cg15822546,cg16246961,cg16284213,cg16315748,cg16479173,cg16563370,cg16569430,cg16573178,cg16631025,cg16654851,cg16693212,cg16857335,cg16998718,cg17009808,cg17412351,cg17636193,cg17809632,cg17866373,cg18086594,cg18102575,cg18191664,cg18260973,cg18271897,cg18393175,cg18846731,cg18878616,cg19074748,cg19089711,cg19389852,cg19432434,cg19503249,cg19676328,cg19948397,cg20291779,cg20543544,cg20641095,cg20696478,cg20793089,cg20837626,cg20917083,cg21563049,cg21639178,cg21656520,cg21917550,cg21934564,cg21962603,cg22235727,cg22397365,cg22472411,cg22482746,cg22501294,cg22723098,cg22778790,cg23288298,cg23393291,cg23412136,cg23715559,cg24494412,cg24631450,cg24699418,cg24965617,cg25087553,cg25119743,cg25195795,cg25211705,cg25632853,cg25699121,cg25772341,cg25817419,cg26047920,cg26180612,cg26397265,cg26456183,cg26518327,cg26853401,cg26892394,cg27576946,cg27583149,cg27658640	NA	3.58e-01
2.959	2.26e-03	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00108569,cg00243922,cg00342743,cg00477365,cg00514202,cg00580497,cg00900054,cg01073178,cg01180236,cg01181681,cg01348570,cg01932827,cg02006134,cg02027010,cg02064368,cg02211433,cg02250357,cg02283691,cg02505177,cg02548606,cg02898206,cg02900516,cg02981853,cg03163184,cg03173679,cg03294491,cg03354717,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg03727373,cg04088932,cg04203298,cg04227701,cg04334947,cg04571742,cg04822018,cg04898443,cg04989674,cg05308309,cg05328960,cg05340882,cg05439195,cg05598539,cg05651657,cg05840750,cg05872513,cg05916684,cg05954702,cg06032302,cg06112727,cg06114556,cg06479426,cg06587969,cg06740897,cg06745704,cg06762176,cg06776703,cg06935184,cg06939851,cg06954540,cg07028951,cg07091220,cg07321536,cg07430967,cg07458712,cg07482199,cg07546262,cg07690692,cg07736922,cg07782630,cg07837717,cg07845873,cg07868885,cg07961659,cg07989796,cg08092331,cg08167706,cg08322528,cg08482978,cg08492912,cg08502759,cg08608144,cg08656326,cg08713098,cg08730245,cg08861456,cg09033857,cg09065776,cg09102835,cg09108797,cg09220050,cg09263731,cg09296611,cg09308608,cg09578254,cg09769679,cg09776830,cg09897604,cg10069677,cg10182531,cg10338338,cg10706989,cg10717610,cg10721450,cg10920427,cg10985914,cg11035519,cg11239316,cg11265952,cg11286035,cg11337018,cg11508373,cg11525941,cg11697159,cg11809157,cg11811621,cg11856215,cg12213003,cg12478378,cg12508534,cg12576688,cg12664806,cg12850036,cg13041975,cg13050981,cg13232021,cg13236881,cg13368918,cg13428516,cg13519902,cg13563728,cg13848035,cg13863668,cg14000687,cg14028856,cg14131272,cg14230166,cg14260522,cg14442492,cg14733672,cg14743055,cg14878686,cg14937492,cg15004787,cg15054838,cg15139248,cg15269027,cg15446613,cg15692666,cg15822546,cg16127594,cg16157980,cg16246961,cg16284213,cg16315748,cg16359985,cg16479173,cg16563370,cg16573178,cg16654851,cg16693212,cg16857335,cg16998718,cg17491564,cg17636193,cg17809632,cg18086594,cg18102575,cg18134312,cg18191664,cg18196506,cg18260973,cg18807929,cg18846731,cg18878616,cg19074748,cg19089711,cg19226017,cg19285688,cg19389852,cg19432434,cg19524810,cg19676328,cg19948397,cg20291779,cg20488968,cg20635724,cg20641095,cg20696478,cg20917083,cg21639178,cg21656520,cg21845654,cg21917550,cg21934564,cg21962603,cg22235727,cg22397365,cg22472411,cg22482746,cg22501294,cg22723098,cg22778790,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg24451422,cg24494412,cg24631450,cg24699418,cg24965617,cg25087553,cg25119743,cg25195795,cg25211705,cg25699121,cg25772341,cg25817419,cg25914921,cg25998680,cg26047920,cg26061357,cg26180612,cg26397265,cg26456183,cg26853401,cg26892394,cg27462418,cg27492102,cg27576946,cg27583149,cg27592868,cg27614534,cg27658640	NA	7.58e-02
2.320	1.65e-02	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00243922,cg00342743,cg00514202,cg00900054,cg01180236,cg01348570,cg01903374,cg01932827,cg02027010,cg02211433,cg02262553,cg02283691,cg02341503,cg02548606,cg02898206,cg02900516,cg02930866,cg03173679,cg03294491,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg04166618,cg04203298,cg04227701,cg04334947,cg04571742,cg04822018,cg04898443,cg04989674,cg05314679,cg05328960,cg05340882,cg05439195,cg05872513,cg05954702,cg06032302,cg06112727,cg06587969,cg06650256,cg06740897,cg06745704,cg06762176,cg06902558,cg06935184,cg06954540,cg07028951,cg07168939,cg07321536,cg07482199,cg07546262,cg07690692,cg07691180,cg07736922,cg07782630,cg07837717,cg07868885,cg07989796,cg08092331,cg08322528,cg08431893,cg08482978,cg08502759,cg08656326,cg09033857,cg09065776,cg09102835,cg09108797,cg09258553,cg09776830,cg09897604,cg10069677,cg10182531,cg10335543,cg10338338,cg10539507,cg10706989,cg10721450,cg10985914,cg11239316,cg11697159,cg11809157,cg11811621,cg11856215,cg12213003,cg12478378,cg12508534,cg12564034,cg12576688,cg13041975,cg13232021,cg13368918,cg13428516,cg13771313,cg13848035,cg13863668,cg13900770,cg14131272,cg14230166,cg14733672,cg14743055,cg14878686,cg14937492,cg15054838,cg15139248,cg15269027,cg15377586,cg15692666,cg15822546,cg16284213,cg16315748,cg16479173,cg16569430,cg16654851,cg16693212,cg16857335,cg16998718,cg17215278,cg17636193,cg17809632,cg18086594,cg18134312,cg18191664,cg18260973,cg18261909,cg18729886,cg18846731,cg19074748,cg19432434,cg19524810,cg19676328,cg20455854,cg20488968,cg20543544,cg20635724,cg20696478,cg20917083,cg20967975,cg21639178,cg21656520,cg21934564,cg21962603,cg22472411,cg22482746,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg23843812,cg24178897,cg24494412,cg24631450,cg24699418,cg24965617,cg25087553,cg25699121,cg25772341,cg25817419,cg26047920,cg26061357,cg26180612,cg26397265,cg26456183,cg27249858,cg27408171,cg27658640	NA	1.32e-01
1.767	5.57e-02	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00243922,cg00477365,cg00514202,cg00900054,cg01180236,cg01348570,cg01903374,cg01932827,cg02006134,cg02027010,cg02211433,cg02283691,cg02505177,cg02548606,cg02898206,cg02900516,cg02951206,cg03173679,cg03294491,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg04166618,cg04203298,cg04227701,cg04316941,cg04334947,cg04571742,cg04989674,cg05328960,cg05340882,cg05439195,cg05872513,cg05954702,cg06032302,cg06112727,cg06587969,cg06745704,cg06762176,cg06776703,cg06935184,cg06954540,cg07243366,cg07430967,cg07482199,cg07546262,cg07694754,cg07782630,cg07837717,cg07845873,cg07868885,cg07989796,cg08092331,cg08167706,cg08322528,cg08436313,cg08482978,cg08502759,cg08656326,cg08861456,cg09033857,cg09065776,cg09102835,cg09108797,cg09263731,cg09308608,cg09578254,cg09776830,cg09897604,cg10182531,cg10335543,cg10338338,cg10508317,cg10706989,cg10717610,cg10721450,cg10920427,cg11239316,cg11697159,cg11809157,cg11811621,cg12081645,cg12213003,cg12478378,cg12508534,cg12576688,cg12850036,cg13041975,cg13050981,cg13368918,cg13428516,cg13848035,cg13863668,cg13900770,cg14131272,cg14230166,cg14743055,cg14878686,cg14937492,cg15054838,cg15139248,cg15269027,cg15446613,cg15692666,cg15822546,cg16246961,cg16315748,cg16479173,cg16563370,cg16654851,cg16693212,cg16857335,cg16998718,cg17024828,cg17636193,cg17809632,cg17866373,cg18086594,cg18102575,cg18134312,cg18191664,cg18196506,cg18260973,cg18729886,cg18846731,cg19285688,cg19374752,cg19432434,cg19676328,cg19948397,cg20291779,cg20455854,cg20635724,cg20641095,cg20696478,cg20917083,cg20967975,cg21639178,cg21656520,cg21845654,cg21934564,cg21962603,cg22235727,cg22472411,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg23846712,cg24494412,cg24699418,cg24965617,cg25087553,cg25699121,cg25817419,cg26047920,cg26397265,cg26853401,cg26892394,cg27249858,cg27658640	NA	2.78e-01
1.901	3.24e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00108569,cg00243922,cg00342743,cg00514202,cg00900054,cg01180236,cg01181681,cg01244006,cg01348570,cg01872324,cg01903374,cg01932827,cg02027010,cg02211433,cg02250357,cg02262553,cg02283691,cg02341503,cg02548606,cg02898206,cg02900516,cg02930866,cg03173679,cg03294491,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg03727373,cg03768517,cg04035553,cg04166618,cg04203298,cg04227701,cg04334947,cg04571742,cg04822018,cg04898443,cg04989674,cg05308309,cg05314679,cg05328960,cg05340882,cg05406954,cg05439195,cg05598539,cg05651657,cg05840750,cg05872513,cg05954702,cg06032302,cg06112727,cg06587969,cg06650256,cg06740897,cg06745704,cg06762176,cg06776703,cg06902558,cg06935184,cg06954540,cg07028951,cg07091220,cg07168939,cg07298473,cg07321536,cg07482199,cg07546262,cg07690692,cg07736922,cg07782630,cg07837717,cg07845873,cg07868885,cg07989796,cg08092331,cg08167706,cg08322528,cg08431893,cg08436313,cg08482978,cg08502759,cg08656326,cg08713098,cg08855361,cg09033857,cg09065776,cg09102835,cg09108797,cg09258553,cg09263731,cg09308608,cg09578254,cg09769679,cg09776830,cg09801687,cg09897604,cg10069677,cg10182531,cg10335543,cg10338338,cg10539507,cg10706989,cg10721450,cg10920427,cg11239316,cg11286035,cg11508373,cg11697159,cg11809157,cg11811621,cg11856215,cg12081645,cg12213003,cg12478378,cg12508534,cg12564034,cg12576688,cg12664806,cg12850036,cg13041975,cg13050981,cg13232021,cg13368918,cg13428516,cg13519902,cg13771313,cg13848035,cg13863668,cg13900770,cg14131272,cg14230166,cg14442492,cg14733672,cg14743055,cg14868222,cg14878686,cg14937492,cg15054838,cg15139248,cg15269027,cg15446613,cg15692666,cg15822546,cg16246961,cg16479173,cg16654851,cg16693212,cg16857335,cg16998718,cg17215278,cg17491564,cg17636193,cg17809632,cg18086594,cg18134312,cg18191664,cg18196506,cg18260973,cg18271897,cg18474239,cg18729886,cg18846731,cg19074748,cg19280364,cg19285688,cg19432434,cg19524810,cg19676328,cg19730801,cg19948397,cg20291779,cg20455854,cg20488968,cg20543544,cg20635724,cg20641095,cg20696478,cg20837626,cg20917083,cg21639178,cg21656520,cg21934564,cg21962603,cg22472411,cg22482746,cg22500428,cg22723098,cg23033748,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg24178897,cg24494412,cg24631450,cg24699418,cg24965617,cg25087553,cg25699121,cg25772341,cg25817419,cg26047920,cg26061357,cg26180612,cg26397265,cg26456183,cg26853401,cg27249858,cg27408171,cg27462418,cg27583149,cg27658640	NA	1.94e-01
1.359	1.01e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00108569,cg00243922,cg00342743,cg00514202,cg00900054,cg01180236,cg01244006,cg01348570,cg01903374,cg01932827,cg02006134,cg02027010,cg02250357,cg02262553,cg02283691,cg02341503,cg02548606,cg02556954,cg02900516,cg02930866,cg03173679,cg03294491,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg03727373,cg03768517,cg04166618,cg04203298,cg04227701,cg04334947,cg04571742,cg04898443,cg04989674,cg05308309,cg05314679,cg05328960,cg05340882,cg05406954,cg05439195,cg05598539,cg05840750,cg05872513,cg05954702,cg06032302,cg06587969,cg06650256,cg06745704,cg06762176,cg06776703,cg06935184,cg06954540,cg07091220,cg07168939,cg07321536,cg07430967,cg07482199,cg07546262,cg07556119,cg07690692,cg07736922,cg07782630,cg07837717,cg07868885,cg07961659,cg07989796,cg08092331,cg08167706,cg08322528,cg08436313,cg08482978,cg08502759,cg08656326,cg08713098,cg08797606,cg09033857,cg09065776,cg09102835,cg09108797,cg09220050,cg09258553,cg09263731,cg09578254,cg09745087,cg09769679,cg09776830,cg09897604,cg10069677,cg10182531,cg10335543,cg10338338,cg10706989,cg10721450,cg10920427,cg11239316,cg11508373,cg11697159,cg11809157,cg11811621,cg11856215,cg12213003,cg12478378,cg12508534,cg12576688,cg12664806,cg12850036,cg13050981,cg13232021,cg13368918,cg13428516,cg13519902,cg13848035,cg13863668,cg13900770,cg14000687,cg14131272,cg14230166,cg14442492,cg14733672,cg14743055,cg14868222,cg14878686,cg15048902,cg15054838,cg15139248,cg15269027,cg15377586,cg15446613,cg15692666,cg15822546,cg16246961,cg16284213,cg16315748,cg16479173,cg16563370,cg16631025,cg16654851,cg16693212,cg16857335,cg16998718,cg17215278,cg17491564,cg17636193,cg18086594,cg18134312,cg18191664,cg18196506,cg18260973,cg18271897,cg18474239,cg18729886,cg18846731,cg19074748,cg19285688,cg19432434,cg19676328,cg19730801,cg19948397,cg20291779,cg20455854,cg20488968,cg20543544,cg20641095,cg20696478,cg20917083,cg21639178,cg21656520,cg21908110,cg21934564,cg21962603,cg22235727,cg22472411,cg22501294,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg23843812,cg24178897,cg24494412,cg24631450,cg24965617,cg25087553,cg25699121,cg25817419,cg26047920,cg26061357,cg26180612,cg26397265,cg26456183,cg26853401,cg27249858,cg27408171,cg27658640	NA	4.34e-01
