Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.554	3.11e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00817464,cg00923880,cg00928596,cg01073521,cg01201279,cg01399826,cg01942558,cg02352685,cg02874930,cg03181300,cg03418002,cg03445932,cg03465320,cg04165922,cg04553038,cg05059108,cg05196796,cg05442797,cg05890727,cg06441457,cg06636551,cg07322196,cg07347128,cg07382347,cg07721756,cg08998950,cg09147516,cg09417038,cg09467433,cg11047325,cg12228627,cg12439472,cg12770425,cg13051245,cg13468144,cg14095963,cg14286363,cg14426688,cg14690837,cg14931884,cg14966648,cg15734589,cg15884546,cg16810724,cg16972032,cg17107388,cg17566325,cg17941843,cg18030306,cg18263335,cg18926797,cg19039140,cg19197556,cg19689387,cg19707454,cg19743666,cg19806151,cg19927678,cg20385971,cg20786422,cg20965748,cg21498161,cg21887193,cg23137881,cg23745290,cg24256039,cg24289952,cg25279747,cg26083180,cg26434859,cg27083089	GSM701525	1.00e+00
0.267	4.19e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00033450,cg00923880,cg00928596,cg01201279,cg01229787,cg01889448,cg02109585,cg02111865,cg02902672,cg03181300,cg03418002,cg03751915,cg04283041,cg04403684,cg04553038,cg04739200,cg04841583,cg05000446,cg05059108,cg05062694,cg05196796,cg06203243,cg07347128,cg07382347,cg07721756,cg08382737,cg09147516,cg09417038,cg09574909,cg10703154,cg10997258,cg11047325,cg12008478,cg12013451,cg12451061,cg13448633,cg13468144,cg13574411,cg13917614,cg14061069,cg14286363,cg14426688,cg14509133,cg14690837,cg14799809,cg14931884,cg14966648,cg15884546,cg15955909,cg16354404,cg16810724,cg17107388,cg17566325,cg18029737,cg18030306,cg18263335,cg19039140,cg19097407,cg19707454,cg19743666,cg20786422,cg21004565,cg21887193,cg21964148,cg22062450,cg23220897,cg23730027,cg24289952,cg24496021,cg25053141,cg25407979,cg25824218,cg26413855,cg27083089,cg27256074	GSM701526	1.00e+00
0.722	2.55e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00817464,cg00928596,cg01073521,cg01201279,cg01399826,cg02111865,cg02874930,cg03181300,cg03272903,cg03465320,cg03538296,cg03546163,cg04403684,cg05059108,cg06418013,cg06636551,cg07033722,cg07322196,cg07347128,cg07721756,cg08303418,cg08382737,cg08859787,cg09147516,cg09417038,cg09467433,cg10283362,cg10379517,cg11047325,cg12228627,cg12439472,cg12770425,cg13468144,cg14061069,cg14187466,cg14286363,cg14426688,cg14509133,cg14931884,cg15263617,cg15734589,cg15884546,cg16810724,cg17107388,cg17566325,cg17781418,cg17941843,cg18263335,cg18814941,cg18926797,cg19039140,cg19142181,cg19197556,cg19689387,cg19707454,cg19743666,cg19927678,cg20786422,cg21004565,cg21498161,cg21887193,cg22062450,cg22108311,cg22749642,cg23137881,cg23730027,cg23745290,cg24256039,cg24289952,cg24312537,cg25053141,cg25084479,cg25279747,cg25430089,cg26413855,cg26934362,cg27083089,cg27256074	GSM665837	1.00e+00
1.172	1.37e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00789427,cg00923880,cg00928596,cg01073521,cg01201279,cg01399826,cg01899759,cg02048733,cg02111865,cg02874930,cg03181300,cg03465320,cg03546163,cg04283041,cg05059108,cg05194426,cg05500904,cg05890727,cg06577638,cg06636551,cg07322196,cg07347128,cg07382347,cg07464716,cg07569918,cg07721756,cg08247564,cg08382737,cg08859787,cg09147516,cg09417038,cg09467433,cg09574909,cg09610020,cg10379517,cg10997258,cg11047325,cg12008478,cg12168509,cg12228627,cg12621411,cg12770425,cg13468144,cg14061069,cg14286363,cg14426688,cg14509133,cg14541992,cg14614789,cg14730017,cg14764203,cg14931884,cg14966648,cg15233651,cg15263617,cg15276228,cg15444831,cg15612945,cg15734589,cg15884546,cg16041412,cg16354404,cg16422316,cg16810724,cg16836311,cg17107388,cg17566325,cg17941843,cg18030306,cg18263335,cg18814941,cg18926797,cg18958185,cg19039140,cg19070118,cg19097407,cg19197556,cg19689387,cg19707454,cg19743666,cg19787543,cg19927678,cg20786422,cg21004565,cg21498161,cg21814550,cg21829166,cg21887193,cg22062450,cg22108311,cg22749642,cg23195763,cg23403192,cg23730027,cg23745290,cg24289952,cg24343007,cg25084479,cg25279747,cg25407979,cg25430089,cg26006714,cg26010015,cg26413855,cg26934362,cg27083089,cg27256074	GSM701516	1.00e+00
3.416	5.19e-04	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00212275,cg00789427,cg00817464,cg00923880,cg00928596,cg01073521,cg01132696,cg01201279,cg01239499,cg01399826,cg01863006,cg01889448,cg01942558,cg02109585,cg02111865,cg02353916,cg02874930,cg03181300,cg03279442,cg03418002,cg03511624,cg03580065,cg03706086,cg04283041,cg04403684,cg04664516,cg05059108,cg05442797,cg05500904,cg05636896,cg05890727,cg06501832,cg06636551,cg06645335,cg07033722,cg07305485,cg07322196,cg07347128,cg07382347,cg07569918,cg07721756,cg08382737,cg08859787,cg08998950,cg09147516,cg09417038,cg09659072,cg10277044,cg10283362,cg10557174,cg10997258,cg11047325,cg12013451,cg12172984,cg12228627,cg12439472,cg12621411,cg12770425,cg12870052,cg13448633,cg13468144,cg14061069,cg14187466,cg14286363,cg14426688,cg14509133,cg14541992,cg14690837,cg14764203,cg14931884,cg14966648,cg15233651,cg15263617,cg15276228,cg15612945,cg15734589,cg15884546,cg16152137,cg16280551,cg16733809,cg16810724,cg16836311,cg16972032,cg17107388,cg17520907,cg17566325,cg17714232,cg17941843,cg18030306,cg18263335,cg18814941,cg18926797,cg19039140,cg19097407,cg19142181,cg19197556,cg19689387,cg19707454,cg19787543,cg19927678,cg20385971,cg20588986,cg20708537,cg20786422,cg21004565,cg21498161,cg21814550,cg21887193,cg21941547,cg22108311,cg22481695,cg23097878,cg23137881,cg23625388,cg23730027,cg23745290,cg24012708,cg24256039,cg24289952,cg24496021,cg25069157,cg25279747,cg25407979,cg26010015,cg26173962,cg26413855,cg26434859,cg26849382,cg26934362,cg27083089,cg27256074	GSM701489	1.22e-02
7.094	3.21e-11	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00394026,cg00789427,cg00923880,cg00928596,cg00989806,cg01073521,cg01201279,cg01239499,cg01297684,cg01384410,cg01399826,cg01741372,cg01863006,cg01942558,cg02048733,cg02109585,cg02111865,cg02190353,cg02353916,cg02763933,cg02874930,cg03181300,cg03272903,cg03418002,cg03580065,cg03706086,cg04283041,cg04489053,cg04739200,cg04790775,cg05059108,cg05062694,cg05442797,cg05636896,cg05874443,cg06501832,cg06577638,cg06636551,cg07149033,cg07305485,cg07322196,cg07347128,cg07382347,cg07569918,cg07721756,cg07861448,cg08298852,cg08382737,cg09147516,cg09417038,cg09467433,cg09574909,cg09659072,cg10056106,cg10283362,cg10456459,cg10703154,cg10997258,cg11047325,cg11965692,cg12228627,cg12621411,cg13051245,cg13217238,cg13256716,cg13448633,cg13468144,cg13574411,cg14061069,cg14286363,cg14426688,cg14509133,cg14541992,cg14690837,cg14931884,cg15233651,cg15263617,cg15612945,cg15725873,cg15734589,cg15884546,cg15955909,cg15980656,cg16152137,cg16280551,cg16422316,cg16733809,cg16810724,cg16972032,cg17090611,cg17107388,cg17301248,cg17566325,cg17828921,cg17941843,cg18263335,cg18893685,cg18926797,cg18958185,cg19039140,cg19070118,cg19097407,cg19197556,cg19689387,cg19707454,cg19743666,cg19787543,cg19806151,cg19927678,cg20363450,cg20385971,cg20588986,cg20786422,cg20877250,cg21004565,cg21250898,cg21498161,cg21814550,cg21829166,cg21887193,cg22062450,cg22455501,cg23097878,cg23137881,cg23403192,cg23745290,cg23965049,cg24012708,cg24256039,cg24289952,cg24496021,cg25053141,cg25104558,cg25279747,cg25407979,cg25569341,cg26010015,cg26413855,cg26434859,cg26816476,cg26849382,cg26934362,cg27083089,cg27256074,cg27596169,cg27605677	GSM701491	4.31e-09
6.480	3.48e-10	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00817464,cg00923880,cg00928596,cg00989806,cg01073521,cg01201279,cg01239499,cg01399826,cg01899759,cg01942558,cg02109585,cg02111865,cg02190353,cg02353916,cg02874930,cg02942158,cg03181300,cg03377528,cg03418002,cg03465320,cg03511624,cg03546163,cg03964681,cg04165922,cg04283041,cg04664516,cg04781916,cg04790775,cg05059108,cg05062694,cg05141485,cg05196796,cg05442797,cg05636896,cg05750782,cg05874443,cg05890727,cg06645335,cg06824443,cg07305485,cg07322196,cg07569918,cg07721756,cg08298852,cg09025741,cg09147516,cg09417038,cg09659072,cg10006828,cg10056106,cg10283362,cg11047325,cg11111643,cg12228627,cg12439472,cg12621411,cg12770425,cg12866960,cg12870052,cg13051245,cg13217238,cg13468144,cg13574411,cg13691353,cg13917614,cg14061069,cg14286363,cg14426688,cg14509133,cg14541992,cg14573371,cg14614789,cg14690837,cg14931884,cg14966648,cg15233651,cg15263617,cg15734589,cg15884546,cg16125725,cg16152137,cg16280551,cg16422316,cg16733809,cg16810724,cg16836311,cg16846991,cg16972032,cg17107388,cg17566325,cg17941843,cg18030306,cg18263335,cg18814941,cg18958185,cg19039140,cg19070118,cg19097407,cg19197556,cg19689387,cg19707454,cg19743666,cg19787543,cg19806151,cg20363450,cg20385971,cg20588986,cg20698781,cg20786422,cg20896049,cg21004565,cg21814550,cg21887193,cg22481695,cg23097878,cg23137881,cg23220897,cg23625388,cg23730027,cg24256039,cg24289952,cg24333621,cg24496021,cg25053141,cg25279747,cg25705167,cg25824218,cg26173962,cg26300092,cg26413855,cg26434859,cg26849382,cg26934362,cg27083089,cg27256074,cg27596169,cg27605677	GSM665812	3.22e-08
7.214	1.77e-11	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00033450,cg00789427,cg00817464,cg00923880,cg00928596,cg00989806,cg01073521,cg01132696,cg01201279,cg01239499,cg01297684,cg01384410,cg01399826,cg01741372,cg01863006,cg01889448,cg01942558,cg02109585,cg02111865,cg02190353,cg02353916,cg02763933,cg02874930,cg03181300,cg03262473,cg03418002,cg03465320,cg03511624,cg03546163,cg03964681,cg04165922,cg04489053,cg04664516,cg04790775,cg05059108,cg05141485,cg05196796,cg05247190,cg05442797,cg05636896,cg05750782,cg05874443,cg06441457,cg06577638,cg07305485,cg07322196,cg07349477,cg07464716,cg07721756,cg07861448,cg08298852,cg08382737,cg08482536,cg08998950,cg09025741,cg09147516,cg09417038,cg09574909,cg09659072,cg10056106,cg10283362,cg10703154,cg10997258,cg11047325,cg11123440,cg12013451,cg12228627,cg12439472,cg12770425,cg12870052,cg13217238,cg13468144,cg13574411,cg14095963,cg14286363,cg14339738,cg14426688,cg14509133,cg14541992,cg14690837,cg14730017,cg14931884,cg15233651,cg15263617,cg15734589,cg15884546,cg16280551,cg16733809,cg16810724,cg16972032,cg17107388,cg17566325,cg17828921,cg18263335,cg18926797,cg18958185,cg19039140,cg19097407,cg19142181,cg19197556,cg19689387,cg19707454,cg19743666,cg19787543,cg19806151,cg19927678,cg20130571,cg20385971,cg20588986,cg20698781,cg20786422,cg20810558,cg21004565,cg21498161,cg21515958,cg21814550,cg21887193,cg22062450,cg22108311,cg22412298,cg22697477,cg22749642,cg23097878,cg23137881,cg23220897,cg23625388,cg23730027,cg23745290,cg24256039,cg24289952,cg24496021,cg25053141,cg25279747,cg25407979,cg25569341,cg26006714,cg26010015,cg26413855,cg26434859,cg27083089,cg27256074,cg27596169,cg27605677	GSM665839	2.56e-09
0.844	2.15e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00817464,cg00923880,cg00928596,cg01132696,cg01201279,cg01399826,cg01741372,cg01889448,cg01899759,cg01990863,cg02453013,cg02874930,cg03181300,cg03580065,cg04283041,cg04489053,cg05059108,cg05062694,cg05196796,cg05890727,cg06418013,cg06501832,cg06636551,cg07322196,cg07382347,cg07569918,cg07721756,cg08279189,cg08382737,cg08859787,cg09147516,cg09417038,cg09574909,cg09743906,cg10006828,cg10283362,cg10871684,cg10997258,cg11047325,cg12451061,cg12621411,cg13256716,cg13448633,cg13468144,cg13917614,cg14061069,cg14068721,cg14095963,cg14286363,cg14426688,cg14509133,cg14541992,cg14764203,cg14931884,cg14966648,cg15233651,cg15263617,cg15612945,cg15734589,cg15884546,cg16125725,cg16152137,cg16280551,cg16422316,cg16733809,cg16810724,cg16836311,cg16972032,cg17090611,cg17107388,cg17520907,cg17566325,cg17941843,cg18030306,cg18263335,cg18926797,cg19039140,cg19197556,cg19429405,cg19689387,cg19707454,cg19806151,cg19927678,cg20022454,cg20385971,cg20588986,cg20708537,cg20786422,cg21004565,cg21498161,cg21814550,cg21887193,cg22108311,cg23195763,cg23730027,cg24012708,cg24289952,cg24312537,cg25040934,cg25279747,cg26010015,cg26083180,cg26413855,cg27083089	GSM817166	1.00e+00
2.541	7.19e-03	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00033450,cg00789427,cg00923880,cg00928596,cg01073521,cg01132696,cg01201279,cg01239499,cg01297684,cg01399826,cg01863006,cg01942558,cg02109585,cg02111865,cg02353916,cg02874930,cg03181300,cg03418002,cg04781916,cg04936213,cg05059108,cg05141485,cg05442797,cg05636896,cg05874443,cg07305485,cg07322196,cg07382347,cg07569918,cg07721756,cg07861448,cg08122070,cg08298852,cg08382737,cg08998950,cg09147516,cg09417038,cg09574909,cg09659072,cg10056106,cg10703154,cg10871684,cg11047325,cg12228627,cg12439472,cg12870052,cg13051245,cg13468144,cg13574411,cg13622450,cg13917614,cg14061069,cg14286363,cg14426688,cg14509133,cg14690837,cg14931884,cg14966648,cg15137734,cg15263617,cg15734589,cg15884546,cg15980656,cg16280551,cg16422316,cg16733809,cg16810724,cg16836311,cg17566325,cg18263335,cg18926797,cg18958185,cg19039140,cg19097407,cg19197556,cg19689387,cg19743666,cg19787543,cg19806151,cg19927678,cg20363450,cg20385971,cg20588986,cg20786422,cg21498161,cg21814550,cg21887193,cg22062450,cg22697477,cg23097878,cg23137881,cg23220897,cg23730027,cg24256039,cg24289952,cg24496021,cg24527044,cg25053141,cg25279747,cg25824218,cg26083180,cg26434859,cg26849382,cg27083089,cg27256074,cg27596169,cg27605677	GSM701539	1.24e-01
