Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.855	7.77e-02	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22830707,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	GSM816644	5.77e-01
1.588	1.13e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22548088,cg22830707,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	Lookup	7.32e-01
2.361	2.45e-02	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg01952989,cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	Lookup	2.85e-01
2.593	1.34e-02	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg01952989,cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg25928819,cg26687565	Lookup	2.59e-01
1.157	2.25e-01	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22830707,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg25928819,cg26687565	Lookup	1.00e+00
2.752	1.09e-02	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22830707,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	GSM816664	2.58e-01
3.144	4.64e-03	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	GSM736607	2.58e-01
2.606	1.88e-02	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg25928819,cg26687565	"GSM736558,GSM736635"	2.67e-01
2.600	1.76e-02	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	GSM736525	2.67e-01
2.186	3.79e-02	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	"GSM736512,GSM736561"	3.75e-01
