Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
15.875	1.07e-42	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00033450,cg00212275,cg00923880,cg00949332,cg00989806,cg01201279,cg01239499,cg01297684,cg01384410,cg01521397,cg01741372,cg01863006,cg01942558,cg02109585,cg02111865,cg02190353,cg02243157,cg02353916,cg02453013,cg02485174,cg02763933,cg02874930,cg03181300,cg03211711,cg03418002,cg03580065,cg03706086,cg03964681,cg04165922,cg04283041,cg04403684,cg04489053,cg04736673,cg04739200,cg04781916,cg04790775,cg04864877,cg04936213,cg05059108,cg05141485,cg05196796,cg05206633,cg05247190,cg05442797,cg05537706,cg05636896,cg05874443,cg05986449,cg06331585,cg06418013,cg06570358,cg06577638,cg07125981,cg07149033,cg07305485,cg07322196,cg07349477,cg07564261,cg07569918,cg07704771,cg07721756,cg07861448,cg07935482,cg08279189,cg08287940,cg08298852,cg08303418,cg08446860,cg08482536,cg08853920,cg08998950,cg09025741,cg09147516,cg09245350,cg09366951,cg09417038,cg09467433,cg09659072,cg10056106,cg10277044,cg10456459,cg10507445,cg10703154,cg10834070,cg10997258,cg11123440,cg11340328,cg11462267,cg11601463,cg12013451,cg12228627,cg12866960,cg12870052,cg13051245,cg13217238,cg13256716,cg13338814,cg13448633,cg13574411,cg13691353,cg13929323,cg13962111,cg13996193,cg14095963,cg14155265,cg14339738,cg14509133,cg14541992,cg14573371,cg14690837,cg14730017,cg14856222,cg14864966,cg14966648,cg15137734,cg15233651,cg15980656,cg16125725,cg16152137,cg16280551,cg16354404,cg16422316,cg16423305,cg16733809,cg16972032,cg17419815,cg17520907,cg17566325,cg17714232,cg17828921,cg17941843,cg18263335,cg18537222,cg18958185,cg19023589,cg19097407,cg19743666,cg19787543,cg19806151,cg19927678,cg20130571,cg20363450,cg20385971,cg20588986,cg20708537,cg20786422,cg21250898,cg21379113,cg21814550,cg21887193,cg21941547,cg22412298,cg22455501,cg22697477,cg22846250,cg23097878,cg23137881,cg23220897,cg23445957,cg23625388,cg23745290,cg23965049,cg24312537,cg24496021,cg24833027,cg24880665,cg25053141,cg25104558,cg25407979,cg25569341,cg25757820,cg25824218,cg26006714,cg26010015,cg26173962,cg26300092,cg26434859,cg26521143,cg26849382,cg27083089,cg27256074,cg27596169,cg27605677	E029	1.78e-40
0.135	4.72e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00033450,cg00789427,cg00923880,cg00928596,cg01073521,cg01201279,cg01229787,cg01889448,cg02111865,cg02874930,cg02902672,cg02919082,cg03181300,cg03751915,cg04283041,cg04841583,cg05059108,cg05196796,cg06636551,cg07347128,cg07382347,cg07569918,cg07721756,cg08382737,cg08859787,cg09147516,cg09417038,cg09574909,cg10997258,cg11047325,cg12008478,cg12439472,cg12451061,cg12621411,cg13574411,cg14061069,cg14286363,cg14426688,cg14509133,cg14799809,cg14931884,cg14966648,cg15263617,cg15421338,cg15884546,cg15955909,cg16810724,cg17107388,cg17566325,cg18030306,cg18263335,cg18961703,cg19039140,cg19097407,cg19689387,cg19707454,cg20786422,cg21887193,cg21941547,cg21950155,cg21964148,cg22062450,cg23538648,cg23625388,cg23730027,cg24289952,cg24312537,cg24527044,cg25279747,cg25824218,cg26010015,cg26413855,cg26649551,cg27083089,cg27256074	E032	1.00e+00
-0.873	8.24e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00033450,cg00923880,cg00928596,cg01073521,cg01201279,cg01229787,cg02109585,cg02902672,cg03181300,cg03751915,cg04283041,cg05059108,cg05196796,cg05890727,cg06203243,cg06636551,cg07347128,cg07569918,cg07721756,cg08382737,cg09147516,cg09417038,cg09574909,cg10997258,cg12439472,cg12451061,cg12770425,cg13468144,cg13574411,cg14286363,cg14426688,cg14509133,cg14799809,cg14931884,cg14966648,cg15734589,cg15884546,cg15955909,cg16810724,cg16972032,cg17107388,cg17566325,cg18030306,cg18263335,cg19039140,cg19097407,cg19707454,cg19743666,cg20786422,cg21887193,cg22062450,cg24289952,cg24496021,cg26010015,cg26413855,cg26434859,cg27083089,cg27256074	E033	1.00e+00
-1.239	9.05e-01	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00789427,cg00817464,cg00928596,cg01073521,cg01201279,cg01399826,cg02111865,cg02874930,cg03181300,cg03272903,cg03465320,cg05059108,cg05194426,cg05500904,cg05890727,cg06636551,cg07347128,cg07569918,cg07721756,cg08382737,cg08859787,cg09147516,cg09417038,cg11047325,cg12439472,cg12621411,cg12770425,cg13468144,cg14061069,cg14286363,cg14426688,cg14614789,cg14931884,cg15263617,cg15734589,cg15884546,cg16422316,cg16810724,cg17107388,cg17566325,cg18263335,cg18814941,cg18926797,cg19039140,cg19197556,cg19689387,cg19707454,cg20786422,cg21004565,cg21887193,cg22062450,cg22749642,cg23730027,cg24256039,cg24289952,cg25279747,cg26010015,cg26413855,cg26934362,cg27083089,cg27256074	E034	1.00e+00
3.074	1.85e-03	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00033450,cg00817464,cg01201279,cg01229787,cg01239499,cg01942558,cg02109585,cg02111865,cg02190353,cg02874930,cg03181300,cg03272903,cg03418002,cg03538296,cg04283041,cg04781916,cg05059108,cg05141485,cg05196796,cg06636551,cg07305485,cg07322196,cg07347128,cg07382347,cg07569918,cg07721756,cg08382737,cg08859787,cg09147516,cg09417038,cg09574909,cg09659072,cg10056106,cg10379517,cg12228627,cg12621411,cg12770425,cg13574411,cg13917614,cg14286363,cg14426688,cg14509133,cg14690837,cg14931884,cg14966648,cg15233651,cg15263617,cg15734589,cg15884546,cg15980656,cg16733809,cg16972032,cg17520907,cg17566325,cg17828921,cg17941843,cg18263335,cg18958185,cg19039140,cg19097407,cg19142181,cg19197556,cg19707454,cg19743666,cg19806151,cg20385971,cg20588986,cg20786422,cg21887193,cg22062450,cg22176018,cg22749642,cg23097878,cg23137881,cg23344769,cg23403192,cg23625388,cg23730027,cg24289952,cg25279747,cg25824218,cg26010015,cg26413855,cg26434859,cg26849382,cg26934362,cg27083089,cg27256074,cg27596169,cg27605677	E046	2.78e-02
3.985	9.02e-05	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00394026,cg00698382,cg00928596,cg01201279,cg01741372,cg01942558,cg02048733,cg02109585,cg02111865,cg02630646,cg02699612,cg02874930,cg03181300,cg03706086,cg03751915,cg04283041,cg04553038,cg04664516,cg04739200,cg04781916,cg05059108,cg05194426,cg05442797,cg05890727,cg06113552,cg06203243,cg06394653,cg06636551,cg07104639,cg07305485,cg07322196,cg07347128,cg07382347,cg07569918,cg07721756,cg07959070,cg08247564,cg08287940,cg08303418,cg08382737,cg08998950,cg09147516,cg09417038,cg09574909,cg09659072,cg10056106,cg11047325,cg11123440,cg11557478,cg12228627,cg12770425,cg12992827,cg13338814,cg13574411,cg13622450,cg13691353,cg13929323,cg13962111,cg14426688,cg14509133,cg14547105,cg14614789,cg14966648,cg15137734,cg15233651,cg15263617,cg15734589,cg15955909,cg16354404,cg16810724,cg17107388,cg17301248,cg17566325,cg18263335,cg18784409,cg18958185,cg19097407,cg19142181,cg19429405,cg19707454,cg19743666,cg20130571,cg20363450,cg20385971,cg20588986,cg20786422,cg20810558,cg21854538,cg21887193,cg21941547,cg21964148,cg22108311,cg22443212,cg22774340,cg23372523,cg23730027,cg24312537,cg24343007,cg24496021,cg24880665,cg25053141,cg25084479,cg25279747,cg25407979,cg25430089,cg25824218,cg26010015,cg26237810,cg26413855,cg26434859,cg26849382,cg27083089,cg27256074,cg27272679	E050	1.50e-03
0.984	1.81e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00928596,cg01201279,cg01741372,cg01889448,cg01942558,cg02109585,cg02111865,cg02630646,cg03181300,cg03751915,cg04283041,cg04664516,cg04739200,cg05059108,cg06113552,cg07322196,cg07347128,cg07382347,cg07569918,cg07721756,cg08247564,cg08287940,cg08382737,cg08998950,cg09147516,cg09417038,cg09574909,cg09659072,cg10056106,cg12228627,cg12451061,cg13338814,cg13574411,cg13622450,cg13691353,cg14426688,cg14509133,cg14614789,cg14966648,cg15137734,cg16810724,cg17107388,cg17301248,cg17566325,cg18263335,cg18586585,cg18958185,cg19097407,cg19142181,cg19707454,cg19743666,cg20130571,cg20385971,cg20588986,cg20786422,cg21854538,cg21887193,cg21941547,cg21950155,cg21964148,cg22774340,cg23445957,cg23730027,cg24312537,cg24343007,cg24833027,cg24880665,cg25053141,cg25279747,cg25407979,cg25824218,cg26010015,cg26237810,cg26413855,cg26849382,cg27083089,cg27256074	E051	1.00e+00
2.610	5.19e-03	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00263425,cg00789427,cg00989806,cg01229787,cg01239499,cg01399826,cg01893721,cg01942558,cg02109585,cg02190353,cg02352685,cg02353916,cg02636380,cg02874930,cg03090145,cg03181300,cg03272903,cg03279442,cg03377528,cg03418002,cg03546163,cg03706086,cg03964681,cg03974400,cg04107129,cg04204465,cg04403684,cg04489053,cg04936213,cg05000446,cg05141485,cg05475858,cg05812200,cg05890727,cg05956380,cg06360841,cg06411521,cg06524923,cg06570358,cg06636551,cg07305485,cg07349477,cg07372938,cg07569918,cg07704771,cg07721756,cg07787637,cg07935482,cg08230059,cg08247564,cg08279189,cg08382737,cg09147516,cg09342997,cg09467433,cg10056106,cg10277044,cg10834070,cg11047325,cg11111643,cg11123440,cg11182146,cg11340328,cg11462267,cg11601463,cg12228627,cg12992827,cg13217238,cg13448633,cg13962111,cg14044685,cg14426688,cg14614789,cg14856222,cg14931884,cg16473184,cg16523850,cg17107388,cg17419815,cg17884069,cg18263335,cg18586585,cg18814941,cg18893685,cg18926797,cg19806151,cg20130571,cg20187011,cg20518446,cg20588986,cg21250898,cg21485602,cg21769463,cg21814550,cg21887193,cg21964148,cg22443212,cg22774340,cg23730027,cg24343007,cg24496021,cg24880665,cg25407979,cg25430089,cg25569341,cg25757820,cg26413855,cg26434859,cg26521143,cg26816476,cg26849382,cg27596169	E028	6.63e-02
-5.046	1.00e+00	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg01132696,cg01741372,cg01942558,cg02630646,cg02761839,cg03181300,cg04403684,cg04739200,cg05059108,cg05187965,cg05373962,cg05956380,cg07347128,cg07569918,cg07721756,cg07861448,cg07959070,cg08230059,cg08382737,cg09417038,cg10277044,cg11182146,cg13622450,cg14061069,cg14426688,cg14458563,cg14614789,cg14764203,cg16810724,cg16836311,cg17107388,cg17566325,cg18263335,cg18683292,cg18926797,cg19927678,cg21829166,cg21887193,cg22253960,cg23220897,cg23730027,cg25824218,cg26083180,cg26237810,cg26434859,cg27256074,cg27272679	E003	1.00e+00
-1.605	9.60e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00789427,cg00928596,cg01132696,cg01201279,cg01741372,cg01899759,cg02048733,cg02111865,cg02190353,cg02353916,cg02630646,cg02662417,cg02761839,cg03181300,cg03272903,cg03418002,cg03974400,cg04403684,cg05059108,cg05187965,cg05373962,cg05956380,cg06113552,cg06411521,cg06570358,cg06577638,cg06636551,cg07149121,cg07347128,cg07569918,cg07721756,cg07787637,cg07959070,cg08230059,cg08382737,cg08859787,cg08998950,cg09342997,cg09417038,cg10056106,cg10277044,cg10548102,cg11123440,cg11182146,cg13051245,cg13217238,cg13574411,cg13622450,cg13929323,cg14061069,cg14419159,cg14426688,cg14458563,cg14614789,cg14764203,cg15044533,cg16523850,cg16810724,cg16836311,cg17107388,cg17566325,cg18263335,cg18784409,cg18926797,cg19097407,cg19743666,cg19927678,cg20187011,cg20400045,cg20810558,cg21004565,cg21250898,cg21498161,cg21887193,cg22108311,cg22253960,cg23220897,cg23730027,cg24343007,cg24496021,cg24880665,cg25407979,cg25824218,cg26083180,cg26237810,cg26413855,cg26849382,cg27256074	E004	1.00e+00
