Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.475	7.38e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg01409343,cg02734358	E063	1.00e+00
0.708	3.65e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg08548559,cg09182678,cg12269535,cg18608055,cg21429551,cg26470501	E063	1.00e+00
5.568	1.02e-03	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg18181703,cg25325512,cg27023597	E063	2.17e-01
-1.357	9.63e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg07573872,cg15310871,cg23761815	E063	1.00e+00
-1.094	9.31e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg15551881,cg20995564,cg24174557,cg26804423	E063	1.00e+00
7.947	1.72e-05	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg01059398,cg02003183,cg02481950,cg03128029,cg12053291,cg15020801,cg19769147,cg27050612	E063	1.40e-02
2.135	5.46e-02	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00159243,cg03957124,cg06192883,cg06690548,cg12992827,cg17501210,cg19821297,cg25392060,cg27469606	E063	1.00e+00
-3.356	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.364	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-3.295	1.00e+00	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed		E063	1.00e+00
-2.085	1.00e+00	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed		E063	1.00e+00
0.947	1.92e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg02650017,cg18663307	E063	1.00e+00
-1.195	9.24e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg05575921	E063	1.00e+00
-0.889	8.94e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg10636246,cg13585930,cg26846781,cg27184903	E063	1.00e+00
-1.072	9.28e-01	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg00812761,cg00851028,cg04523589,cg05316065,cg15721584,cg17980786	E063	1.00e+00
-2.152	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed		E080	1.00e+00
2.966	1.86e-02	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg01409343,cg06690548,cg09182678,cg12269535,cg21429551,cg26470501	E080	1.00e+00
-3.249	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed		E080	1.00e+00
0.295	5.22e-01	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg02003183,cg02481950,cg07573872,cg15020801,cg15310871,cg19769147,cg25325512	E080	1.00e+00
-0.319	7.37e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg01059398,cg12992827,cg15551881,cg24174557	E080	1.00e+00
3.360	1.50e-02	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg03128029,cg12053291,cg20995564,cg27023597,cg27050612,cg27469606	E080	1.00e+00
1.892	8.18e-02	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg00159243,cg00812761,cg04523589,cg08548559,cg18608055,cg19821297,cg23761815,cg27184903	E080	1.00e+00
-2.585	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed		E080	1.00e+00
-2.099	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed		E080	1.00e+00
-2.659	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed		E080	1.00e+00
0.075	4.90e-01	E080 Fetal Adrenal Gland	Adrenal	BivFlnk	erc2-chromatin15state-all-files/E080_11_BivFlnk.bed	cg02650017,cg18181703	E080	1.00e+00
1.197	1.93e-01	E080 Fetal Adrenal Gland	Adrenal	EnhBiv	erc2-chromatin15state-all-files/E080_12_EnhBiv.bed	cg00851028,cg05575921,cg06192883,cg25392060	E080	1.00e+00
-1.570	9.81e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPC	erc2-chromatin15state-all-files/E080_13_ReprPC.bed	cg17980786,cg18663307,cg26846781	E080	1.00e+00
-1.601	9.84e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPCWk	erc2-chromatin15state-all-files/E080_14_ReprPCWk.bed	cg02734358,cg13585930	E080	1.00e+00
0.210	5.53e-01	E080 Fetal Adrenal Gland	Adrenal	Quies	erc2-chromatin15state-all-files/E080_15_Quies.bed	cg03957124,cg05316065,cg10636246,cg15721584,cg17501210,cg26804423	E080	1.00e+00
-1.168	9.07e-01	E029 Primary monocytes from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E029_1_TssA.bed	cg01409343	E029	1.00e+00
3.202	1.50e-02	E029 Primary monocytes from peripheral blood	Blood	TssAFlnk	erc2-chromatin15state-all-files/E029_2_TssAFlnk.bed	cg02481950,cg08548559,cg09182678,cg12269535,cg18663307,cg21429551,cg26470501	E029	1.00e+00
6.856	4.73e-03	E029 Primary monocytes from peripheral blood	Blood	TxFlnk	erc2-chromatin15state-all-files/E029_3_TxFlnk.bed	cg18608055,cg27023597	E029	6.43e-01
-0.940	9.03e-01	E029 Primary monocytes from peripheral blood	Blood	Tx	erc2-chromatin15state-all-files/E029_4_Tx.bed	cg03128029,cg07573872,cg23761815,cg24174557	E029	1.00e+00
-1.788	9.95e-01	E029 Primary monocytes from peripheral blood	Blood	TxWk	erc2-chromatin15state-all-files/E029_5_TxWk.bed	cg17980786	E029	1.00e+00
5.286	9.56e-04	E029 Primary monocytes from peripheral blood	Blood	EnhG	erc2-chromatin15state-all-files/E029_6_EnhG.bed	cg01059398,cg15310871,cg20995564,cg25325512,cg27050612	E029	2.08e-01
9.217	1.52e-10	E029 Primary monocytes from peripheral blood	Blood	Enh	erc2-chromatin15state-all-files/E029_7_Enh.bed	cg00159243,cg00851028,cg02003183,cg02734358,cg03957124,cg04523589,cg05316065,cg06192883,cg06690548,cg10636246,cg12053291,cg13585930,cg15020801,cg15551881,cg17501210,cg19769147,cg19821297,cg25392060,cg26804423,cg27184903,cg27469606	E029	2.35e-06
-2.810	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	ZNF-Rpts	erc2-chromatin15state-all-files/E029_8_ZNF-Rpts.bed		E029	1.00e+00
-1.886	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	Het	erc2-chromatin15state-all-files/E029_9_Het.bed		E029	1.00e+00
-6.000	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	TssBiv	erc2-chromatin15state-all-files/E029_10_TssBiv.bed		E029	1.00e+00
1.303	1.14e-01	E029 Primary monocytes from peripheral blood	Blood	BivFlnk	erc2-chromatin15state-all-files/E029_11_BivFlnk.bed	cg02650017,cg18181703	E029	1.00e+00
-0.848	7.46e-01	E029 Primary monocytes from peripheral blood	Blood	EnhBiv	erc2-chromatin15state-all-files/E029_12_EnhBiv.bed	cg05575921	E029	1.00e+00
-2.171	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	ReprPC	erc2-chromatin15state-all-files/E029_13_ReprPC.bed		E029	1.00e+00
-2.052	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	ReprPCWk	erc2-chromatin15state-all-files/E029_14_ReprPCWk.bed		E029	1.00e+00
-3.116	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	Quies	erc2-chromatin15state-all-files/E029_15_Quies.bed	cg00812761,cg12992827,cg15721584,cg26846781	E029	1.00e+00
-0.924	7.95e-01	E030 Primary neutrophils from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E030_1_TssA.bed	cg09182678	E030	1.00e+00
7.662	1.36e-07	E030 Primary neutrophils from peripheral blood	Blood	TssAFlnk	erc2-chromatin15state-all-files/E030_2_TssAFlnk.bed	cg00159243,cg02003183,cg02481950,cg04523589,cg05316065,cg06690548,cg08548559,cg10636246,cg12269535,cg15551881,cg18608055,cg18663307,cg19821297,cg20995564,cg21429551,cg26470501,cg27469606	E030	7.04e-04
12.737	1.23e-06	E030 Primary neutrophils from peripheral blood	Blood	TxFlnk	erc2-chromatin15state-all-files/E030_3_TxFlnk.bed	cg01059398,cg01409343,cg18181703,cg25325512,cg27023597	E030	4.77e-03
-1.632	9.83e-01	E030 Primary neutrophils from peripheral blood	Blood	Tx	erc2-chromatin15state-all-files/E030_4_Tx.bed	cg15310871,cg24174557	E030	1.00e+00
-0.697	8.59e-01	E030 Primary neutrophils from peripheral blood	Blood	TxWk	erc2-chromatin15state-all-files/E030_5_TxWk.bed	cg00851028,cg03128029,cg17501210	E030	1.00e+00
1.137	1.14e-01	E030 Primary neutrophils from peripheral blood	Blood	EnhG	erc2-chromatin15state-all-files/E030_6_EnhG.bed	cg07573872,cg27050612	E030	1.00e+00
2.260	5.12e-02	E030 Primary neutrophils from peripheral blood	Blood	Enh	erc2-chromatin15state-all-files/E030_7_Enh.bed	cg03957124,cg12053291,cg15721584,cg19769147,cg25392060,cg26804423	E030	1.00e+00
-3.925	1.00e+00	E030 Primary neutrophils from peripheral blood	Blood	ZNF-Rpts	erc2-chromatin15state-all-files/E030_8_ZNF-Rpts.bed		E030	1.00e+00
-2.039	1.00e+00	E030 Primary neutrophils from peripheral blood	Blood	Het	erc2-chromatin15state-all-files/E030_9_Het.bed		E030	1.00e+00
-4.566	1.00e+00	E030 Primary neutrophils from peripheral blood	Blood	TssBiv	erc2-chromatin15state-all-files/E030_10_TssBiv.bed		E030	1.00e+00
-0.541	4.61e-01	E030 Primary neutrophils from peripheral blood	Blood	BivFlnk	erc2-chromatin15state-all-files/E030_11_BivFlnk.bed	cg02650017	E030	1.00e+00
-2.044	1.00e+00	E030 Primary neutrophils from peripheral blood	Blood	EnhBiv	erc2-chromatin15state-all-files/E030_12_EnhBiv.bed		E030	1.00e+00
-1.191	9.41e-01	E030 Primary neutrophils from peripheral blood	Blood	ReprPC	erc2-chromatin15state-all-files/E030_13_ReprPC.bed	cg02734358,cg05575921	E030	1.00e+00
-2.127	9.98e-01	E030 Primary neutrophils from peripheral blood	Blood	ReprPCWk	erc2-chromatin15state-all-files/E030_14_ReprPCWk.bed	cg13585930	E030	1.00e+00
