Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.564	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00290355,cg14371731	E063	1.00e+00
-1.197	9.43e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg01281718,cg01435643,cg02686357,cg06635952,cg07890553,cg09762021,cg10811485,cg11827925,cg13039251,cg13782301,cg16145216,cg16260126,cg19719391,cg22635096,cg24134897,cg25200151	E063	1.00e+00
1.157	1.48e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg01765077,cg03051880	E063	1.00e+00
2.087	6.51e-02	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00202479,cg00826902,cg00992207,cg01012082,cg02112168,cg02890250,cg03801691,cg03877174,cg04815334,cg05304393,cg06357748,cg06361984,cg06819357,cg07349663,cg07723258,cg09906382,cg10696445,cg10722267,cg13165240,cg14030402,cg15108699,cg15777335,cg15963913,cg16649298,cg17953136,cg19557110,cg19619585,cg23236366,cg25469868,cg26728282,cg26821542	E063	1.00e+00
1.418	1.83e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg01809639,cg02158978,cg02610360,cg02782510,cg02793162,cg04016660,cg05168580,cg06710464,cg06724236,cg07807219,cg08419422,cg08473752,cg09107710,cg09929238,cg11953794,cg12647970,cg13980609,cg15143938,cg15251319,cg16062253,cg16805291,cg17063143,cg17485141,cg17884674,cg19327213,cg19637821,cg21758126,cg23055276,cg23729283,cg23855901,cg25421530,cg26126879,cg26804423	E063	1.00e+00
3.798	3.40e-03	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg02003183,cg03732020,cg11699257,cg14977938,cg15020801,cg19736654,cg19956914,cg23661483,cg23842572,cg27312979,cg27470978	E063	5.41e-01
3.756	1.63e-03	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00013899,cg00210249,cg00281776,cg02186444,cg03047995,cg03864128,cg05279866,cg05969150,cg05987787,cg06648759,cg08481002,cg08801479,cg08947774,cg08972170,cg09109520,cg09560590,cg11399640,cg12290779,cg12587087,cg13619623,cg14012925,cg15068180,cg15261712,cg16095551,cg16379999,cg16942327,cg20979737,cg22490254,cg22539182,cg22891595,cg23840027,cg24665265,cg24690314,cg25491122,cg27118035,cg27332104	E063	3.66e-01
-0.740	6.93e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg06405563	E063	1.00e+00
-1.855	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-2.048	1.00e+00	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed		E063	1.00e+00
-0.405	7.43e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg04180046,cg13264840,cg19406367	E063	1.00e+00
0.151	5.46e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg14269109,cg19758448,cg19816930,cg25197194	E063	1.00e+00
-0.757	8.71e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg01050266,cg02156870,cg05713794,cg07178945,cg10441522,cg11902728,cg13533424,cg20751345,cg21356710	E063	1.00e+00
1.484	1.61e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00130342,cg00834988,cg01560871,cg01824412,cg02030454,cg02787737,cg03227037,cg04036920,cg04135110,cg04445427,cg05194346,cg05529343,cg06541968,cg07427642,cg08240778,cg08462127,cg08530064,cg08551027,cg09001527,cg09696535,cg10417386,cg10619342,cg11054403,cg12229367,cg12458003,cg13641317,cg15417641,cg15688628,cg18394552,cg18642459,cg19325791,cg19696491,cg21127580,cg23102129,cg26371172,cg26955383	E063	1.00e+00
-2.629	9.99e-01	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg00045114,cg01233571,cg03182584,cg03906843,cg04514392,cg05570258,cg07028929,cg07298772,cg07712198,cg08035323,cg08428985,cg09981914,cg10368935,cg10874644,cg11106264,cg11674448,cg14620184,cg15895886,cg16200531,cg18513357,cg18954479,cg19925780,cg20141108,cg21681705,cg21927365,cg22495037,cg24902206,cg25349939,cg25570328,cg25809905	E063	1.00e+00
