Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.758	8.91e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg17061862	GSM701525	5.93e-01
0.768	3.19e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg08035323,cg17061862	GSM701526	1.00e+00
1.580	1.19e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg17061862	GSM665837	7.79e-01
2.511	2.86e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg14476101,cg17061862,cg23999170	GSM701516	2.05e-01
1.623	1.12e-01	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg17061862,cg23999170	GSM701489	7.36e-01
1.288	1.74e-01	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg08035323,cg17061862,cg23999170	GSM701491	1.00e+00
2.288	4.44e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg17061862,cg23999170	GSM665812	3.07e-01
3.958	1.61e-03	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg10601624,cg17061862,cg18120259,cg23999170	GSM665839	1.73e-02
0.929	2.61e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg17061862	GSM817166	1.00e+00
2.884	1.65e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg17061862,cg18120259,cg23999170	GSM701539	1.24e-01
2.004	7.48e-02	CD8_Mobilised;	Blood	DHS	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg18120259	GSM817160	5.05e-01
2.584	2.45e-02	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg14476101,cg18120259,cg23999170	GSM665813	1.77e-01
0.639	3.29e-01	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg08035323,cg17061862	GSM665838	1.00e+00
1.365	1.57e-01	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg14476101	GSM701499	1.00e+00
2.376	4.17e-02	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg08035323,cg17061862,cg23999170	GSM701540	2.89e-01
2.905	2.09e-02	CD14	Blood	DHS	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig.gz	cg02711608,cg08035323,cg10601624,cg17061862,cg18120259	GSM701503	1.55e-01
4.562	1.50e-03	CD14	Blood	DHS	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig.gz	cg02711608,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259	GSM701541	1.66e-02
1.120	2.16e-01	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg14476101,cg17061862	GSM701492	1.00e+00
0.379	4.37e-01	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg17061862	GSM701493	1.00e+00
1.202	1.92e-01	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg10601624,cg17061862	GSM701507	1.00e+00
4.838	7.80e-05	CD20	Blood	DHS	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031	GSM701500	2.58e-03
