Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.512	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00061031,cg00277397,cg00417304,cg00455327,cg00759699,cg00980649,cg01414882,cg01597398,cg01936839,cg01940273,cg02291556,cg02505871,cg02650017,cg02716826,cg02946885,cg03143849,cg03395898,cg03560879,cg04100595,cg04203238,cg04610187,cg05068428,cg05417607,cg05559445,cg05575921,cg05668853,cg05991009,cg06630241,cg06647928,cg06778853,cg07244253,cg07507251,cg08210629,cg08262220,cg08822075,cg08879470,cg09360041,cg09823288,cg10508317,cg11152384,cg11752250,cg12526474,cg13028930,cg13409704,cg13505393,cg13823169,cg14044057,cg14145338,cg14179389,cg14363114,cg14476101,cg14542583,cg14575950,cg15672022,cg16292768,cg16463460,cg16723994,cg17439093,cg17467525,cg17822325,cg17849569,cg18157896,cg18394552,cg19755007,cg20660989,cg20811755,cg20945853,cg21815220,cg21901395,cg22141389,cg22459204,cg24109116,cg24739326,cg26581729	E029	1.00e+00
-4.242	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00220721,cg00277397,cg00433709,cg00455327,cg00548098,cg01015663,cg01414882,cg01438090,cg01597398,cg01936839,cg01940273,cg02291556,cg02505871,cg02607915,cg02650017,cg02716826,cg02734358,cg02905900,cg02913194,cg02946885,cg03143849,cg03257930,cg03281335,cg03354554,cg03536289,cg03560879,cg03638795,cg04080353,cg04100595,cg04203238,cg04444771,cg04610187,cg04949225,cg05068428,cg05242244,cg05575921,cg05668853,cg05991009,cg06630241,cg06647928,cg06778853,cg06976025,cg07021906,cg07037944,cg07217499,cg07452306,cg07507251,cg08210629,cg08262220,cg08299521,cg08666707,cg08822075,cg08879470,cg09249494,cg09646173,cg09701700,cg09823288,cg10493166,cg10508317,cg10520672,cg10864794,cg11152384,cg11376147,cg11494773,cg11752250,cg11796313,cg11926473,cg12526474,cg13028930,cg13428066,cg13505393,cg14024458,cg14179389,cg14290576,cg14363114,cg14476101,cg14542583,cg15672022,cg15696506,cg16292768,cg16463460,cg16723994,cg17214023,cg17439093,cg17501210,cg17737835,cg17849569,cg18105735,cg18157896,cg18394552,cg19755007,cg20660989,cg20698421,cg20811755,cg20945853,cg21052932,cg21346154,cg21901395,cg21932231,cg22141389,cg22370057,cg22706883,cg23002590,cg23646614,cg23683012,cg24109116,cg24739326,cg26361436,cg26361533,cg26581729,cg26680127,cg27093918,cg27115863,cg27470213	E032	1.00e+00
-6.711	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg00277397,cg00455327,cg01414882,cg01936839,cg01940273,cg02505871,cg03143849,cg03536289,cg04203238,cg04610187,cg05068428,cg06647928,cg07244253,cg08210629,cg08666707,cg09823288,cg10493166,cg13028930,cg13745346,cg14024458,cg14290576,cg14363114,cg16292768,cg16463460,cg17439093,cg17822325,cg18105735,cg18394552,cg19755007,cg21382392,cg21901395,cg22141389,cg24739326,cg26581729	E033	1.00e+00
-1.943	9.93e-01	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg00135056,cg00159243,cg00220721,cg00277397,cg00417304,cg00433709,cg00455327,cg00463562,cg00509772,cg00548098,cg00759699,cg00780810,cg00783916,cg00930606,cg00980649,cg01015663,cg01243823,cg01414882,cg01456243,cg01597398,cg01936839,cg01940273,cg01973676,cg01993413,cg02003183,cg02291556,cg02345399,cg02359132,cg02504211,cg02505871,cg02607915,cg02650017,cg02805822,cg02905900,cg03043406,cg03143849,cg03257930,cg03354554,cg03395898,cg03536289,cg03560879,cg03707168,cg03721978,cg03940776,cg04011474,cg04080353,cg04203238,cg04444771,cg04486382,cg04610187,cg04882003,cg04913803,cg04927537,cg04949225,cg04952446,cg05068428,cg05151185,cg05246110,cg05492306,cg05559445,cg05575921,cg05668853,cg05760053,cg05845319,cg05991009,cg06211255,cg06294803,cg06321376,cg06442723,cg06630241,cg06647928,cg06778853,cg06976025,cg07021906,cg07037944,cg07217499,cg07244253,cg07507251,cg07719604,cg07742396,cg07901253,cg07960624,cg08198483,cg08210629,cg08262220,cg08299521,cg08666707,cg08822075,cg08879470,cg09155575,cg09249494,cg09360041,cg09415366,cg09646173,cg09701700,cg10468373,cg10493166,cg10508317,cg10520672,cg10864794,cg10922280,cg10970776,cg11152384,cg11313708,cg11366934,cg11376147,cg11394644,cg11468085,cg11690884,cg11796313,cg12018809,cg12770539,cg12848614,cg13028930,cg13149245,cg13409704,cg13505393,cg13518625,cg13519902,cg13583535,cg13745346,cg13823169,cg14024458,cg14093936,cg14145338,cg14179389,cg14363114,cg14476101,cg14542583,cg14853734,cg15298486,cg15696506,cg16041806,cg16292768,cg16306654,cg16463460,cg17066943,cg17214023,cg17217654,cg17439093,cg17467525,cg17501210,cg17602444,cg17737835,cg17749033,cg17822325,cg17849569,cg17877220,cg18105735,cg18157896,cg18394552,cg18755191,cg19501423,cg19554257,cg19629631,cg19755007,cg20322832,cg20554312,cg20560182,cg20660989,cg20698421,cg20805367,cg20811755,cg20945853,cg21052932,cg21346154,cg21486834,cg21643860,cg21815220,cg21901395,cg21910821,cg22045288,cg22141389,cg22370057,cg22396498,cg22435785,cg22459204,cg22479546,cg22949637,cg23384027,cg23542902,cg23646614,cg23889047,cg24109116,cg24230340,cg24663255,cg24691964,cg24739326,cg24760467,cg24859433,cg24965617,cg25114611,cg25221975,cg25368647,cg25817701,cg25832796,cg26189283,cg26361436,cg26361533,cg26421286,cg26581729,cg26615176,cg26680127,cg26728422,cg26955383,cg27093918,cg27115863,cg27470213,cg27610250	E034	1.00e+00
-4.610	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg00061031,cg00277397,cg00433709,cg00455327,cg00780810,cg01414882,cg01438090,cg01597398,cg01936839,cg01940273,cg02505871,cg02607915,cg02946885,cg03143849,cg03257930,cg03536289,cg03560879,cg04080353,cg04100595,cg04203238,cg04610187,cg05068428,cg05417607,cg05575921,cg05668853,cg05991009,cg06630241,cg06647928,cg07507251,cg07901253,cg08210629,cg08262220,cg08299521,cg08666707,cg08822075,cg09360041,cg09646173,cg09823288,cg10493166,cg10520672,cg11152384,cg13028930,cg13505393,cg13745346,cg14145338,cg14179389,cg14290576,cg14363114,cg14476101,cg16292768,cg16463460,cg17439093,cg17501210,cg17822325,cg17849569,cg18157896,cg18394552,cg19629631,cg19755007,cg20660989,cg20698421,cg20945853,cg21052932,cg21901395,cg22141389,cg22370057,cg22459204,cg24739326,cg25368824,cg26581729,cg26728422,cg27115863	E046	1.00e+00
-9.020	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg00134210,cg00417304,cg01936839,cg01940273,cg02505871,cg02650017,cg02716826,cg03143849,cg03257930,cg03536289,cg04621728,cg05068428,cg05417607,cg06647928,cg08003402,cg08210629,cg08666707,cg08822075,cg08879470,cg09360041,cg10520672,cg11152384,cg12526474,cg13028930,cg13525276,cg14179389,cg14290576,cg14363114,cg14476101,cg14542583,cg15672022,cg16463460,cg16723994,cg17439093,cg17822325,cg17877220,cg19755007,cg20660989,cg20698421,cg21901395,cg22141389,cg24691964,cg24739326,cg26581729,cg26955383,cg27115863	E050	1.00e+00
-8.739	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E051-H3K27me3.broadPeak.gz	cg00134210,cg01597398,cg01940273,cg02505871,cg02650017,cg05068428,cg06647928,cg08210629,cg10520672,cg13028930,cg14179389,cg14290576,cg14542583,cg16463460,cg16723994,cg17439093,cg17822325,cg17849569,cg20660989,cg21901395,cg22141389,cg23002590,cg24109116,cg24691964,cg24739326	E051	1.00e+00
-4.128	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K27me3	E028-H3K27me3.broadPeak.gz	cg00159243,cg00210249,cg00277397,cg00417304,cg00472277,cg00509772,cg00759699,cg00780810,cg00930606,cg00980649,cg01127300,cg01414882,cg01597398,cg01932734,cg01936839,cg01940273,cg01993413,cg02003183,cg02240622,cg02249930,cg02291556,cg02336827,cg02504211,cg02505871,cg02650017,cg02734358,cg03043406,cg03143849,cg03536289,cg03560879,cg03638795,cg03721978,cg04073039,cg04203238,cg04424621,cg04610187,cg04882003,cg04927537,cg05068428,cg05151185,cg05242244,cg05380808,cg05559445,cg05575921,cg05668853,cg06422693,cg06976025,cg06983052,cg07021906,cg07037944,cg07199619,cg07217499,cg07244253,cg07507251,cg07719604,cg07742396,cg07820214,cg07979752,cg08198483,cg08210629,cg08262220,cg08299521,cg08666707,cg08879470,cg09182678,cg09249494,cg09701700,cg09823288,cg10468373,cg10493166,cg10508317,cg10520672,cg10922280,cg10970776,cg11152384,cg11313708,cg11376147,cg11468085,cg11680158,cg12018809,cg12571570,cg12770539,cg13028930,cg13246468,cg13409704,cg13505393,cg13583535,cg13745346,cg14024458,cg14044057,cg14145338,cg14179389,cg14363114,cg14715778,cg15387943,cg16292768,cg16306654,cg16463460,cg16723994,cg17066943,cg17088014,cg17214023,cg17217654,cg17327067,cg17439093,cg17467525,cg17602444,cg17737835,cg17749033,cg17822325,cg17849569,cg18157896,cg19629631,cg20010135,cg20322832,cg20491726,cg20660989,cg20698421,cg20945853,cg21052932,cg21486834,cg21815220,cg21901395,cg22045288,cg22141389,cg22370057,cg22396498,cg22435785,cg23683012,cg23889047,cg23919111,cg24691964,cg24739326,cg24760467,cg25165932,cg25221975,cg25230327,cg25539011,cg25817701,cg25832796,cg26581729,cg26680127,cg26728422,cg26955383,cg27610250	E028	1.00e+00
0.267	4.08e-01	E003 H1 Cells	ES Cell	H3K27me3	E003-H3K27me3.broadPeak.gz	cg00061031,cg00134210,cg00277397,cg00417304,cg00455327,cg00548098,cg00657871,cg00759699,cg00907204,cg01015663,cg01243823,cg01414882,cg01597398,cg01932734,cg01936839,cg01940273,cg02232751,cg02240622,cg02249930,cg02291556,cg02345399,cg02359132,cg02505871,cg02650017,cg02651400,cg02716826,cg02734358,cg02913194,cg03029127,cg03143849,cg03257930,cg03354554,cg03359362,cg03395898,cg03484180,cg03536289,cg03560879,cg03638795,cg04011474,cg04203238,cg04444771,cg04557677,cg04913803,cg04973995,cg05068428,cg05151185,cg05242244,cg05559445,cg05575921,cg05760053,cg05845319,cg06211255,cg06285727,cg06294803,cg06442723,cg06630241,cg06647068,cg06826457,cg06976025,cg07156249,cg07199619,cg07217499,cg07244253,cg07422880,cg07452306,cg07901253,cg07960624,cg08003402,cg08099136,cg08198483,cg08210629,cg08262220,cg08879470,cg09182678,cg09249494,cg09340403,cg09351636,cg09360041,cg09449988,cg09701700,cg09823288,cg10493166,cg10508317,cg10520672,cg10575219,cg10919522,cg10922280,cg11366934,cg11376147,cg11690884,cg11796313,cg11975718,cg12018809,cg12571570,cg12590902,cg12848614,cg12992827,cg13028930,cg13167816,cg13246468,cg13409704,cg13428066,cg13525276,cg13583535,cg13613748,cg13709639,cg14024458,cg14044057,cg14093936,cg14179389,cg14277403,cg14363114,cg14476101,cg14542583,cg14853734,cg15672022,cg15717558,cg15989436,cg16041806,cg16463460,cg16595484,cg16656852,cg16723994,cg17066943,cg17217654,cg17298279,cg17439093,cg17467525,cg17877220,cg17877600,cg18062281,cg18157896,cg18394552,cg18826637,cg19168338,cg19213703,cg19220272,cg19501423,cg19589396,cg19755007,cg20155035,cg20322832,cg20660989,cg20698421,cg20805367,cg20811755,cg20945853,cg21052932,cg21346154,cg21486834,cg21815220,cg21901395,cg22141389,cg22370057,cg22396498,cg22459204,cg22695339,cg22706883,cg22800273,cg22949637,cg23002590,cg23384027,cg23547429,cg23683012,cg23756264,cg23919111,cg24109116,cg24230340,cg24663255,cg24711224,cg25114611,cg25230327,cg26161057,cg26170244,cg26221105,cg26315985,cg26361436,cg26581729,cg26728422,cg26955383,cg27545615,cg27610250	E003	1.00e+00
-1.625	9.68e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K27me3	E004-H3K27me3.broadPeak.gz	cg00061031,cg00220721,cg00657871,cg00759699,cg00780810,cg01178099,cg01243823,cg01414882,cg01438090,cg01597398,cg01932734,cg01936839,cg01940273,cg01993413,cg02240622,cg02650017,cg02716826,cg02734358,cg02932780,cg03029127,cg03143849,cg03257930,cg03281335,cg03560879,cg03638795,cg04011474,cg04080353,cg04100595,cg04203238,cg04557677,cg04913803,cg05068428,cg05559445,cg05575921,cg06285727,cg06647068,cg06677416,cg06778853,cg06826457,cg06976025,cg06983052,cg07156249,cg07199619,cg07244253,cg08099136,cg08210629,cg08262220,cg08879470,cg09340403,cg09449988,cg09701700,cg09823288,cg09978077,cg10493166,cg10520672,cg10575219,cg10636246,cg11002698,cg11394644,cg11588903,cg11752250,cg12054453,cg12571570,cg12770539,cg12848614,cg13028930,cg13409704,cg13428066,cg13518625,cg14044057,cg14093936,cg14179389,cg14223444,cg14277403,cg16463460,cg16595484,cg16723994,cg17439093,cg17467525,cg17849569,cg18394552,cg18763536,cg19168338,cg19554257,cg19755007,cg20554312,cg20660989,cg20698421,cg20811755,cg20842915,cg21052932,cg21901395,cg22370057,cg22459204,cg22706883,cg23683012,cg23919111,cg24109116,cg24304210,cg24496021,cg24663255,cg24739326,cg25114611,cg25230327,cg25368824,cg25594736,cg25747190,cg26315985,cg26581729,cg27115863,cg27610250	E004	1.00e+00
