Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.505	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg02088996,cg18650626,cg22914762,cg25220990,cg26101890	E029	1.00e+00
-2.780	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg22914762,cg25220990	E032	1.00e+00
-2.010	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz		E033	1.00e+00
-2.570	9.98e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg02088996,cg02346442,cg03055021,cg06837325,cg08669096,cg12728588,cg13823169,cg13924998,cg19805160,cg22959742,cg25132241,cg25220990,cg26250129	E034	1.00e+00
-3.127	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg03055021,cg06837325,cg08669096,cg09481056,cg09586924,cg13924998,cg13984040,cg17394978,cg17803993,cg19417526,cg22914762,cg23547429,cg23599026,cg25220990,cg26227957,cg26250129	E046	1.00e+00
-2.655	9.99e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg02088996,cg04162032,cg05554494,cg07333021,cg07467649,cg17446956,cg22221575,cg22914762,cg24836822,cg25132241,cg26227957	E050	1.00e+00
-2.839	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg02088996,cg05554494,cg13924998,cg22914762,cg26101890	E051	1.00e+00
-2.330	9.97e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg02088996,cg03055021,cg04162032,cg07948085,cg16824319,cg22914762,cg26101890	E028	1.00e+00
-0.228	6.29e-01	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg00218406,cg00340855,cg00490406,cg01517384,cg01649611,cg02088996,cg02346442,cg02750743,cg03055021,cg03124318,cg03370752,cg04162032,cg05400196,cg05554494,cg06837325,cg07839457,cg08507178,cg08894588,cg09018739,cg09245302,cg12483947,cg13028635,cg14016418,cg16824319,cg18181703,cg20316440,cg22129276,cg23876292,cg25364972,cg26101890,cg26250129,cg26508465,cg26607897,cg27067618	E003	1.00e+00
2.104	3.34e-02	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg01309328,cg01357892,cg01595951,cg01904393,cg02656560,cg03055021,cg03290827,cg04162032,cg05554494,cg06362313,cg12054453,cg16824319,cg17446956,cg23876292,cg26101890,cg27067618	E004	1.00e+00
