Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.808	3.71e-06	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03957124,cg06192883,cg07094298,cg08548559,cg10636246,cg12269535,cg13585930,cg15020801,cg15551881,cg18608055,cg18663307,cg24174557,cg25392060,cg26470501,cg27023597	GSM701525	2.90e-04
3.563	2.00e-03	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg00851028,cg02003183,cg02650017,cg03957124,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg21429551,cg27050612	GSM701526	4.53e-02
6.473	1.82e-07	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03957124,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg18608055,cg18663307,cg21429551,cg24174557,cg25325512,cg25392060,cg26470501,cg27023597,cg27184903	GSM665837	4.30e-05
6.295	2.00e-07	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03128029,cg03957124,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg18181703,cg18608055,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg24174557,cg25325512,cg25392060,cg26470501,cg27023597	GSM701516	4.30e-05
5.246	5.89e-06	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03957124,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg21429551,cg24174557,cg25325512,cg25392060,cg26470501,cg26846781,cg27023597	GSM701489	3.63e-04
6.400	1.29e-07	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03957124,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg20995564,cg21429551,cg23761815,cg24174557,cg25325512,cg25392060,cg27023597	GSM701491	4.05e-05
5.994	1.32e-06	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03957124,cg04523589,cg06126421,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg13585930,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg20995564,cg26470501,cg27023597	GSM665812	1.37e-04
6.879	4.31e-08	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03128029,cg03957124,cg06192883,cg07094298,cg08548559,cg10636246,cg12269535,cg13585930,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg20995564,cg21429551,cg24174557,cg25392060,cg27023597	GSM665839	2.02e-05
6.160	4.08e-07	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03128029,cg03957124,cg05575921,cg06126421,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15310871,cg15551881,cg18181703,cg18608055,cg18663307,cg20995564,cg21429551,cg23761815,cg24174557,cg25325512,cg26470501,cg27023597	GSM817166	7.13e-05
5.803	9.95e-07	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00159243,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03957124,cg05575921,cg06126421,cg06192883,cg07094298,cg08548559,cg10636246,cg12269535,cg13585930,cg15020801,cg15551881,cg18181703,cg18608055,cg19769147,cg20995564,cg21429551,cg24174557,cg27023597,cg27050612	GSM701539	1.16e-04
