Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.179	2.51e-04	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03725309,cg04286697,cg04927537,cg06192883,cg06500161,cg07094298,cg07504977,cg08548559,cg09664445,cg10508317,cg10919522,cg12593793,cg13708645,cg16611584,cg17641710,cg17738521,cg17782974,cg19017142,cg23172671,cg25392060,cg26470501,cg26894079	GSM701525	3.51e-03
4.524	5.31e-05	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00108715,cg00574958,cg01243823,cg01798813,cg03078551,cg03500056,cg03725309,cg04286697,cg04816311,cg06192883,cg06946797,cg07021906,cg07094298,cg07730360,cg08548559,cg09182678,cg10717869,cg10919522,cg12593793,cg13708645,cg17738521,cg17782974,cg19017142,cg21429551,cg22875823,cg24678869,cg25649826,cg26894079,cg27470213	GSM701526	1.09e-03
6.419	4.92e-08	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03725309,cg04927537,cg06192883,cg06500161,cg06876354,cg07021906,cg07037944,cg07094298,cg07504977,cg07814318,cg08548559,cg09182678,cg09664445,cg10508317,cg10717869,cg10919522,cg12593793,cg13708645,cg14017402,cg17738521,cg17782974,cg19017142,cg21429551,cg23172671,cg24678869,cg25392060,cg25649826,cg26403843,cg26470501,cg26894079,cg26955383	GSM665837	9.24e-06
5.142	6.27e-06	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg01243823,cg01798813,cg02711608,cg03078551,cg03725309,cg04816311,cg04927537,cg06192883,cg06500161,cg06946797,cg07021906,cg07094298,cg07504977,cg08548559,cg09182678,cg09664445,cg10508317,cg10919522,cg12593793,cg13708645,cg14352682,cg14476101,cg17641710,cg17738521,cg17782974,cg19017142,cg21429551,cg23172671,cg24531955,cg24678869,cg25392060,cg25649826,cg26403843,cg26470501,cg26894079,cg27470213	GSM701516	2.58e-04
5.502	8.95e-07	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03725309,cg04286697,cg04927537,cg06192883,cg06500161,cg06946797,cg07037944,cg07094298,cg07504977,cg07730360,cg08548559,cg09182678,cg09664445,cg10508317,cg10717869,cg10919522,cg12593793,cg13708645,cg14352682,cg17641710,cg17738521,cg17782974,cg19017142,cg21429551,cg23172671,cg24531955,cg24678869,cg25392060,cg25649826,cg26403843,cg26470501,cg26894079,cg26955383,cg27115863,cg27470213	GSM701489	7.00e-05
5.286	3.13e-06	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg01130991,cg01243823,cg03078551,cg03725309,cg04816311,cg04927537,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg08548559,cg09182678,cg10508317,cg10717869,cg10919522,cg12593793,cg13708645,cg14352682,cg17641710,cg17738521,cg17782974,cg19017142,cg21429551,cg23172671,cg24531955,cg24678869,cg25392060,cg25649826,cg26403843,cg26894079,cg26955383,cg27470213	GSM701491	1.54e-04
3.808	6.95e-04	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03725309,cg04927537,cg06192883,cg07021906,cg07094298,cg07504977,cg08548559,cg09182678,cg10508317,cg10717869,cg10919522,cg12593793,cg13708645,cg17641710,cg17738521,cg17782974,cg19017142,cg23172671,cg24678869,cg25649826,cg26403843,cg26470501,cg26894079,cg27470213	GSM665812	7.17e-03
5.604	1.18e-06	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00574958,cg01130991,cg01243823,cg02711608,cg03078551,cg03725309,cg04816311,cg04927537,cg06192883,cg06946797,cg07037944,cg07094298,cg07504977,cg08548559,cg08857797,cg10508317,cg10717869,cg10919522,cg12593793,cg13708645,cg17641710,cg17738521,cg17782974,cg19017142,cg21429551,cg23172671,cg24531955,cg24678869,cg25392060,cg25649826,cg26403843,cg26894079,cg27115863,cg27470213	GSM665839	8.55e-05
5.597	6.47e-07	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00108715,cg00574958,cg01130991,cg01243823,cg01751802,cg01798813,cg02711608,cg03078551,cg03725309,cg04927537,cg06192883,cg06500161,cg06946797,cg07021906,cg07037944,cg07094298,cg07504977,cg07730360,cg08548559,cg09182678,cg10508317,cg10919522,cg12593793,cg13123009,cg13708645,cg14017402,cg14352682,cg17641710,cg17738521,cg17782974,cg19017142,cg21429551,cg23172671,cg24678869,cg25649826,cg26403843,cg26470501,cg26894079,cg27470213	GSM817166	5.93e-05
4.380	8.53e-05	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00108715,cg00574958,cg01243823,cg02711608,cg03078551,cg03725309,cg04927537,cg06192883,cg07021906,cg07037944,cg07094298,cg07504977,cg07730360,cg08548559,cg08857797,cg09664445,cg10508317,cg10717869,cg10919522,cg12593793,cg13708645,cg17738521,cg17782974,cg19017142,cg21429551,cg23172671,cg24678869,cg26403843,cg26894079,cg26955383,cg27115863,cg27470213	GSM701539	1.63e-03
