Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.122	5.73e-04	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg19693031,cg23999170	E029	8.65e-03
2.503	2.23e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg19693031	E032	1.32e-01
3.141	8.82e-03	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg14476101,cg17061862,cg19693031,cg23999170	E033	6.49e-02
2.171	3.82e-02	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E034	1.98e-01
1.625	1.20e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg14476101,cg19693031,cg23999170	E046	5.38e-01
4.041	1.01e-04	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E050	5.59e-03
4.519	2.68e-05	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E051	4.44e-03
3.326	1.78e-03	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E028	1.64e-02
3.297	1.51e-03	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E003	1.56e-02
3.971	9.49e-04	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me1	E004-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg10601624,cg14476101,cg17061862,cg18120259,cg23999170	E004	1.21e-02
1.901	4.90e-02	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K4me1	E005-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg18120259,cg23999170	E005	2.46e-01
1.650	8.99e-02	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K4me1	E006-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg18120259,cg23999170	E006	4.26e-01
2.567	9.00e-03	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K4me1	E007-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg23999170	E007	6.49e-02
3.350	3.63e-03	E008 H9 Cells	ES Cell	H3K4me1	E008-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg10601624,cg17061862,cg18120259,cg19693031,cg23999170	E008	3.01e-02
3.608	3.45e-04	E085 Fetal Intestine Small	Feta Intestine Small	H3K4me1	E085-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E085	7.49e-03
3.731	1.96e-04	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K4me1	E080-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E080	6.52e-03
2.565	1.54e-02	E081 Fetal Brain Male	Fetal Brain	H3K4me1	E081-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg14476101,cg18120259,cg19693031,cg23999170	E081	1.06e-01
2.485	1.91e-02	E082 Fetal Brain Female	Fetal Brain	H3K4me1	E082-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg08035323,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E082	1.22e-01
3.414	1.30e-03	E083 Fetal Heart	Fetal Heart	H3K4me1	E083-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E083	1.44e-02
3.852	1.40e-04	E084 Fetal Intestine Large	Fetal Intestine Large	H3K4me1	E084-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E084	5.79e-03
3.956	4.45e-04	E086 Fetal Kidney	Fetal Kidney	H3K4me1	E086-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E086	8.21e-03
3.650	3.32e-04	E088 Fetal Lung	Fetal Lung	H3K4me1	E088-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E088	7.49e-03
3.206	8.34e-04	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K4me1	E090-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E090	1.15e-02
2.169	2.74e-02	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K4me1	E089-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E089	1.57e-01
3.086	1.67e-03	E092 Fetal Stomach	Fetal Stomach	H3K4me1	E092-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E092	1.63e-02
3.355	5.16e-04	E093 Fetal Thymus	Fetal Thymus	H3K4me1	E093-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E093	8.57e-03
2.345	1.71e-02	E094 Gastric	Gastric	H3K4me1	E094-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg18120259,cg19693031,cg23999170	E094	1.13e-01
0.899	2.83e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K4me1	E021-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg10601624,cg14476101,cg17061862	E021	1.00e+00
1.059	2.40e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K4me1	E022-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg08035323,cg10601624,cg14476101,cg18120259,cg23999170	E022	1.00e+00
3.470	1.06e-03	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K4me1	E017-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031,cg23999170	E017	1.26e-02
2.155	3.21e-02	E097 Ovary	Ovary	H3K4me1	E097-H3K4me1.broadPeak.gz	cg00533891,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg18120259,cg23999170	E097	1.72e-01
2.218	2.13e-02	E098 Pancreas	Pancreas	H3K4me1	E098-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg18120259,cg19693031,cg23999170	E098	1.31e-01
2.915	3.62e-03	E091 Placenta	Placenta	H3K4me1	E091-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031	E091	3.01e-02
3.700	3.61e-04	E100 Psoas Muscle	Psoas Muscle	H3K4me1	E100-H3K4me1.broadPeak.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg19693031,cg23999170	E100	7.49e-03
