Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-5.244	1.00e+00	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00205605,cg00222799,cg00492070,cg00567854,cg00944421,cg01105418,cg01205935,cg01293485,cg01342115,cg01456368,cg01817364,cg02228675,cg02486855,cg02647265,cg02705163,cg02772663,cg02903680,cg03070187,cg03123541,cg03217115,cg03534375,cg03575602,cg03962527,cg04498198,cg04848686,cg04869006,cg04889800,cg05045598,cg05050592,cg05232215,cg05254747,cg05308656,cg05589489,cg06430387,cg06489606,cg07292773,cg07348535,cg07421287,cg07464674,cg07827420,cg08090164,cg08217285,cg08240539,cg08498747,cg09083345,cg09477758,cg09687907,cg09747445,cg10163955,cg10512203,cg10554624,cg10775991,cg11027707,cg11200656,cg11380327,cg11709405,cg12000995,cg12067421,cg12559119,cg12731773,cg12836958,cg13204699,cg13318241,cg13491563,cg13646480,cg13691108,cg13708645,cg13754720,cg13934236,cg14016875,cg14192542,cg14230238,cg14348967,cg14424963,cg14485097,cg15091747,cg15175162,cg15302379,cg16116203,cg16302655,cg16508883,cg16990174,cg17058475,cg17220161,cg17231677,cg17445812,cg17493885,cg17665699,cg18346398,cg18449062,cg19481355,cg19506623,cg19628934,cg19782271,cg20430773,cg20505728,cg20653375,cg21124375,cg21481950,cg21577356,cg21692620,cg21869046,cg22128896,cg22778981,cg22784595,cg23225147,cg24185628,cg24361265,cg24729928,cg24859236,cg25581090,cg25821785,cg25835351,cg25966016,cg26376346,cg26422656,cg27331665,cg27438980,cg27646484	GSM701525	1.00e+00
-4.113	1.00e+00	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00079023,cg00129811,cg00156995,cg00205605,cg00492070,cg00567854,cg00594129,cg00756943,cg00864684,cg00964751,cg00994804,cg01205935,cg01456368,cg01713950,cg02228675,cg02294302,cg02345146,cg02452639,cg02486855,cg02647265,cg02757970,cg02849695,cg03070187,cg03098721,cg03123541,cg03146625,cg03162823,cg03173827,cg03222066,cg03295417,cg03329019,cg03575602,cg03800939,cg03840467,cg03879180,cg03962527,cg04140525,cg04259752,cg04498198,cg04558175,cg04605287,cg04848686,cg04859826,cg04869006,cg04889800,cg05050592,cg05134847,cg05232215,cg05254747,cg05308656,cg05589489,cg05812266,cg06137072,cg06489606,cg06744585,cg06766541,cg06913600,cg07262247,cg07292773,cg07348535,cg07464674,cg08217910,cg08240539,cg09113483,cg09477758,cg09484541,cg09687907,cg09692695,cg09747445,cg09898695,cg10213875,cg10512203,cg10554624,cg10636490,cg10717869,cg10775991,cg10816169,cg11106117,cg11200656,cg11380327,cg12000995,cg12065616,cg12150256,cg12233232,cg12836958,cg12899423,cg13078421,cg13318241,cg13422804,cg13428213,cg13518442,cg13708645,cg13754720,cg13882377,cg13934236,cg13943068,cg14016875,cg14699112,cg15091747,cg15127250,cg15302379,cg15925365,cg16137147,cg16302655,cg16508883,cg16537676,cg16854876,cg16990174,cg17058475,cg17220161,cg17231677,cg17445812,cg17740093,cg18149394,cg18280057,cg18449062,cg19127638,cg19478539,cg19481355,cg19628934,cg19741660,cg20125920,cg20364512,cg20430773,cg20653375,cg20722590,cg20951444,cg21124375,cg21481950,cg21577356,cg21644740,cg21869046,cg22000727,cg22952142,cg23225147,cg23261715,cg23373640,cg24030449,cg24220031,cg24361265,cg24404630,cg24859236,cg24903893,cg25001102,cg25783099,cg25821785,cg27020362,cg27438980,cg27478242	GSM701526	1.00e+00
-4.551	1.00e+00	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00056066,cg00079023,cg00156995,cg00205605,cg00492070,cg00567854,cg00944421,cg00994804,cg01105418,cg01205935,cg01293485,cg01456368,cg01481251,cg01754713,cg01817364,cg01827781,cg02228675,cg02452639,cg02486855,cg02647265,cg02757970,cg02849695,cg02903680,cg02956248,cg03070187,cg03098721,cg03162823,cg03173827,cg03222066,cg03575602,cg03785076,cg03879180,cg03962527,cg04498198,cg04500896,cg04605287,cg04848686,cg04869006,cg04889800,cg05045598,cg05050592,cg05232215,cg05308656,cg05487507,cg06241901,cg06430387,cg06489606,cg06913600,cg07292773,cg07348535,cg07379741,cg07421287,cg07571928,cg07604700,cg07733851,cg07839313,cg08217285,cg08731696,cg09113483,cg09484541,cg09687907,cg09747445,cg09871637,cg10163955,cg10512203,cg10717869,cg10775991,cg10816169,cg10825471,cg10843343,cg11200656,cg11380327,cg11709405,cg11980800,cg12000995,cg12067421,cg13204699,cg13318241,cg13428213,cg13691108,cg13708645,cg13754720,cg13934236,cg14016875,cg14230238,cg14348967,cg14389669,cg14424963,cg14485097,cg14623715,cg15127250,cg15175162,cg16116203,cg16302655,cg16508883,cg16537292,cg16537676,cg16652937,cg16820615,cg16990174,cg17058475,cg17166288,cg17220161,cg17231677,cg17385483,cg17445812,cg17493885,cg17641566,cg17665699,cg18136963,cg18342462,cg19401033,cg19495650,cg19628934,cg20430773,cg20653375,cg21124375,cg21481950,cg21577356,cg22795769,cg23261715,cg23513600,cg23629935,cg23743554,cg23790219,cg24119717,cg24361265,cg24378227,cg24574963,cg24603028,cg24729928,cg24859236,cg25821785,cg25835351,cg25966016,cg26257411,cg26853787,cg27020362,cg27300028,cg27331665,cg27438980,cg27478242,cg27646484	GSM665837	1.00e+00
-2.277	9.96e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00040575,cg00049729,cg00056066,cg00079023,cg00205605,cg00222799,cg00428382,cg00492070,cg00756943,cg00944421,cg00964751,cg00994804,cg01105418,cg01205935,cg01323777,cg01342115,cg01456368,cg01681525,cg01817364,cg01827781,cg01946191,cg02228675,cg02294302,cg02452639,cg02486855,cg02647265,cg02723291,cg02757970,cg02849695,cg02903680,cg02956248,cg02992639,cg02996583,cg03070187,cg03123541,cg03162823,cg03173827,cg03217115,cg03222066,cg03416628,cg03534375,cg03575602,cg03613822,cg03760191,cg03785076,cg03800939,cg03840467,cg03879180,cg03962527,cg04013159,cg04064050,cg04140525,cg04259752,cg04498198,cg04558175,cg04605287,cg04715503,cg04848686,cg04869006,cg04889800,cg04959634,cg05045598,cg05050592,cg05134847,cg05232215,cg05308656,cg05310240,cg05487507,cg05812266,cg06241901,cg06430387,cg06489606,cg07051221,cg07262247,cg07292773,cg07348535,cg07379741,cg07421287,cg07464674,cg07567308,cg07604700,cg07733851,cg07827420,cg07839313,cg08012287,cg08090164,cg08217285,cg08240539,cg08498747,cg09113483,cg09477758,cg09484541,cg09584358,cg09687907,cg09747445,cg09871637,cg09898695,cg10163955,cg10213875,cg10401489,cg10456541,cg10512203,cg10554624,cg10764196,cg10775991,cg10816169,cg10825471,cg10843343,cg11027707,cg11200656,cg11291003,cg11354105,cg11380327,cg11709405,cg11980800,cg12000995,cg12067421,cg12125332,cg12233232,cg12559119,cg12836958,cg12845268,cg13204699,cg13318241,cg13428213,cg13491563,cg13518442,cg13621396,cg13622265,cg13691108,cg13708645,cg13754720,cg13934236,cg14016875,cg14192542,cg14230238,cg14348967,cg14389669,cg14623715,cg15091747,cg15127250,cg15175162,cg15302379,cg15789095,cg15869022,cg15895197,cg16116203,cg16246545,cg16263848,cg16302655,cg16508883,cg16537676,cg16990174,cg17058475,cg17166288,cg17220161,cg17231677,cg17362900,cg17385483,cg17445812,cg17527422,cg17551891,cg17665699,cg18149394,cg18183624,cg18280057,cg18346398,cg18449062,cg18559799,cg18869061,cg19197440,cg19478539,cg19481355,cg19495650,cg19513876,cg19628934,cg19695978,cg19717060,cg19782271,cg20125920,cg20430773,cg20441135,cg20653375,cg20951444,cg21124375,cg21481950,cg21577356,cg21644740,cg21692620,cg21811021,cg21869046,cg22128896,cg22795769,cg23225147,cg23373640,cg23513600,cg23522915,cg23579062,cg23629935,cg23652484,cg23743554,cg24119717,cg24220031,cg24361265,cg24404630,cg24603028,cg24729928,cg24859236,cg25581090,cg25607643,cg25821785,cg25835351,cg25966016,cg26291519,cg26376346,cg26422656,cg26465389,cg26773791,cg26853787,cg27020362,cg27203184,cg27300028,cg27331665,cg27438980,cg27478242,cg27646484	GSM701516	1.00e+00
-1.576	9.64e-01	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00056066,cg00079023,cg00205605,cg00222799,cg00428382,cg00492070,cg00567854,cg00594129,cg00864684,cg00944421,cg00964751,cg00994804,cg01105418,cg01205935,cg01293485,cg01323777,cg01456368,cg01713950,cg01754713,cg01817364,cg01827781,cg01887374,cg02228675,cg02294302,cg02345146,cg02486855,cg02647265,cg02705163,cg02723291,cg02757970,cg02903680,cg02952809,cg02996583,cg03070187,cg03123541,cg03123759,cg03162823,cg03173827,cg03217115,cg03222066,cg03274456,cg03416628,cg03534375,cg03575602,cg03613822,cg03704673,cg03760191,cg03785076,cg03840467,cg03879180,cg03962527,cg04013159,cg04140525,cg04279801,cg04498198,cg04605287,cg04848686,cg04869006,cg04889800,cg04959634,cg05045598,cg05050592,cg05168015,cg05232215,cg05308656,cg05589489,cg05812266,cg06137072,cg06241901,cg06397322,cg06430387,cg06489606,cg06744585,cg06913600,cg07138399,cg07292773,cg07348535,cg07379741,cg07421287,cg07567308,cg07571928,cg07604700,cg07733851,cg07827420,cg07839313,cg08012287,cg08077071,cg08090164,cg08217285,cg08240539,cg09113483,cg09473282,cg09477758,cg09687907,cg09747445,cg09871637,cg10163955,cg10213875,cg10322443,cg10512203,cg10554624,cg10636490,cg10717869,cg10775991,cg10799440,cg10816169,cg10825471,cg10843343,cg10885338,cg11027707,cg11106117,cg11200656,cg11327659,cg11354105,cg11380327,cg11709405,cg11960677,cg11980800,cg12000995,cg12067421,cg12125332,cg12131208,cg12150256,cg12233232,cg12292060,cg12559119,cg12845268,cg13078421,cg13204699,cg13318241,cg13428213,cg13491563,cg13523576,cg13558810,cg13646480,cg13691108,cg13708645,cg13754720,cg13882377,cg13934236,cg13943068,cg14016875,cg14192542,cg14230238,cg14348967,cg14389669,cg14424963,cg14485097,cg14623715,cg14846292,cg15091747,cg15127250,cg15175162,cg15302379,cg15789095,cg15869022,cg15895197,cg15925365,cg16116203,cg16263848,cg16302655,cg16508883,cg16537676,cg16990174,cg17058475,cg17072519,cg17166288,cg17220161,cg17231677,cg17385483,cg17445812,cg17493885,cg17527422,cg17665699,cg18149394,cg18183624,cg18342462,cg18346398,cg18449062,cg18559799,cg19401033,cg19478539,cg19481355,cg19506623,cg19628934,cg19695978,cg19717060,cg19741660,cg20125920,cg20265748,cg20430773,cg20653375,cg20806427,cg20951444,cg21124375,cg21481950,cg21577356,cg21811021,cg21903286,cg22113926,cg22128896,cg22952142,cg23225147,cg23261715,cg23373640,cg23579062,cg23629935,cg23733845,cg23743554,cg24119717,cg24123198,cg24185628,cg24220031,cg24361265,cg24404630,cg24522254,cg24569831,cg24574963,cg24603028,cg24729928,cg24859236,cg24903893,cg25581090,cg25607643,cg25783099,cg25821785,cg25966016,cg26117521,cg26257411,cg26376346,cg26410133,cg26773791,cg26853787,cg27140633,cg27203184,cg27300028,cg27331665,cg27438980,cg27478242	GSM701489	1.00e+00
-4.728	1.00e+00	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00156995,cg00205605,cg00222799,cg00492070,cg00567854,cg00964751,cg01105418,cg01205935,cg01293485,cg01342115,cg01456368,cg01681525,cg01713950,cg01754713,cg01817364,cg01827781,cg01946191,cg02228675,cg02486855,cg02647265,cg02723291,cg02849695,cg02903680,cg02956248,cg03070187,cg03098721,cg03123541,cg03162823,cg03173827,cg03416628,cg03510528,cg03534375,cg03575602,cg03840467,cg03879180,cg03962527,cg04013159,cg04140525,cg04236334,cg04498198,cg04605287,cg04848686,cg04869006,cg04889800,cg05045598,cg05050592,cg05254747,cg05308656,cg05487507,cg05589489,cg06430387,cg06489606,cg07292773,cg07348535,cg07604700,cg07653800,cg07733851,cg07827420,cg07839313,cg08217285,cg08240539,cg08731696,cg09477758,cg09484541,cg09687907,cg09692695,cg09747445,cg09871637,cg10163955,cg10213875,cg10512203,cg10554624,cg10636490,cg10717869,cg10775991,cg10816169,cg10825471,cg10885338,cg10928544,cg11025974,cg11106117,cg11200656,cg11380327,cg11960677,cg12125332,cg12131208,cg12845268,cg13204699,cg13318241,cg13422804,cg13491563,cg13518442,cg13523576,cg13691108,cg13708645,cg13847322,cg13934236,cg13943068,cg14016875,cg14230238,cg15006681,cg15127250,cg15175162,cg15302379,cg15789095,cg16263848,cg16302655,cg16508883,cg16779251,cg16990174,cg17058475,cg17072519,cg17166288,cg17220161,cg17231677,cg17445812,cg17641566,cg17768691,cg18149394,cg18449062,cg19481355,cg19495650,cg19506623,cg19628934,cg19782271,cg19851563,cg20430773,cg20653375,cg21109038,cg21481950,cg21692620,cg21811021,cg22128896,cg22795769,cg23225147,cg23261715,cg23373640,cg23629935,cg23652484,cg23743554,cg24119717,cg24185628,cg24361265,cg24404630,cg24859236,cg25581090,cg25783099,cg25821785,cg25966016,cg26376346,cg26465389,cg26773791,cg27203184,cg27331665,cg27438980,cg27478242	GSM701491	1.00e+00
-4.354	1.00e+00	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00054210,cg00056066,cg00079023,cg00156995,cg00205605,cg00222799,cg00492070,cg00567854,cg00594129,cg00944421,cg01105418,cg01205935,cg01293485,cg01323777,cg01456368,cg01681525,cg01803461,cg01817364,cg01827781,cg02228675,cg02486855,cg02647265,cg02757970,cg02799880,cg02903680,cg02956248,cg03070187,cg03123541,cg03162823,cg03173827,cg03534375,cg03575602,cg03785076,cg03879180,cg03945400,cg03962527,cg04140525,cg04498198,cg04500896,cg04605287,cg04848686,cg04869006,cg04889800,cg04959634,cg05050592,cg05232215,cg05308656,cg05797770,cg06171329,cg06430387,cg06489606,cg07138399,cg07292773,cg07348535,cg07421287,cg07571928,cg07604700,cg07733851,cg07827420,cg08090164,cg08217285,cg08240539,cg08657654,cg09477758,cg09584358,cg09687907,cg09747445,cg09871637,cg10163955,cg10213875,cg10512203,cg10554624,cg10717869,cg10775991,cg10816169,cg10825471,cg10843343,cg10928544,cg11027707,cg11200656,cg11354105,cg11380327,cg11980800,cg11985480,cg12000995,cg12067421,cg12836958,cg12845268,cg13204699,cg13318241,cg13428213,cg13491563,cg13518442,cg13523576,cg13691108,cg13708645,cg13882377,cg13934236,cg14016875,cg14192542,cg14230238,cg14348967,cg15091747,cg15127250,cg15175162,cg15302379,cg15789095,cg16302655,cg16508883,cg16537676,cg16652937,cg16990174,cg17058475,cg17166288,cg17220161,cg17231677,cg17385483,cg17445812,cg17551891,cg18136963,cg18280057,cg19401033,cg19481355,cg19495650,cg19506623,cg19628934,cg19782271,cg19851563,cg20125920,cg20430773,cg20653375,cg21481950,cg21692620,cg21869046,cg22128896,cg22833618,cg22965943,cg23225147,cg23373640,cg23513600,cg23629935,cg23743554,cg24030449,cg24119717,cg24123198,cg24220031,cg24361265,cg24378227,cg24404630,cg24574963,cg24603028,cg24729928,cg25607643,cg25821785,cg25966016,cg26010218,cg26376346,cg26410133,cg27331665,cg27438980,cg27475169	GSM665812	1.00e+00
-4.690	1.00e+00	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00056066,cg00079023,cg00129811,cg00156995,cg00205605,cg00222799,cg00492070,cg00567854,cg00594129,cg00944421,cg00994804,cg01105418,cg01205935,cg01293485,cg01456368,cg01713950,cg01754713,cg01817364,cg01827781,cg02228675,cg02345146,cg02486855,cg02723291,cg02849695,cg02903680,cg02956248,cg03070187,cg03123541,cg03162823,cg03173827,cg03217115,cg03575602,cg03704673,cg03785076,cg03879180,cg03962527,cg04013159,cg04140525,cg04498198,cg04500896,cg04605287,cg04848686,cg04869006,cg04889800,cg05045598,cg05050592,cg05766948,cg05812266,cg06397322,cg06430387,cg06489606,cg06602723,cg07292773,cg07348535,cg07421287,cg07827420,cg07839313,cg08217285,cg09477758,cg09687907,cg09747445,cg09871637,cg10163955,cg10512203,cg10554624,cg10636490,cg10717869,cg10775991,cg10816169,cg10904740,cg10928544,cg11106117,cg11200656,cg11354105,cg11380327,cg11980800,cg11985480,cg12000995,cg12067421,cg12664119,cg12836958,cg13204699,cg13318241,cg13491563,cg13691108,cg13708645,cg13934236,cg13943068,cg14016875,cg14192542,cg14230238,cg14348967,cg14424963,cg14623715,cg15127250,cg15175162,cg15302379,cg15789095,cg15925365,cg16116203,cg16302655,cg16508883,cg16537676,cg16652937,cg16990174,cg17058475,cg17149103,cg17166288,cg17220161,cg17231677,cg17284119,cg17445812,cg17493885,cg17641566,cg17665699,cg18183624,cg18342462,cg18346398,cg19197440,cg19495650,cg19506623,cg19628934,cg19851563,cg20595752,cg20653375,cg20806427,cg21124375,cg21481950,cg21577356,cg21644740,cg21869046,cg22128896,cg23225147,cg23261715,cg23373640,cg23629935,cg23743554,cg24185628,cg24361265,cg24404630,cg24729928,cg25299676,cg25783099,cg25821785,cg25966016,cg26257411,cg26376346,cg26422656,cg27300028,cg27331665,cg27438980	GSM665839	1.00e+00
-2.176	9.94e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00056066,cg00079023,cg00205605,cg00222799,cg00492070,cg00567854,cg00597876,cg00756943,cg00944421,cg00994804,cg01001533,cg01105418,cg01205935,cg01342115,cg01456368,cg01466133,cg01681525,cg01754713,cg01790353,cg01827781,cg01946191,cg02228675,cg02345146,cg02452639,cg02486415,cg02486855,cg02723291,cg02757970,cg02903680,cg02931685,cg02952809,cg02956248,cg03070187,cg03123541,cg03162823,cg03173827,cg03217115,cg03416628,cg03534375,cg03575602,cg03704673,cg03760191,cg03840467,cg03879180,cg03962527,cg04013159,cg04140525,cg04149978,cg04236334,cg04498198,cg04605287,cg04848686,cg04869006,cg04889800,cg04959634,cg05045598,cg05050592,cg05168015,cg05232215,cg05308656,cg05389174,cg05460571,cg05812266,cg06117153,cg06137072,cg06143732,cg06241901,cg06430387,cg06489606,cg06766016,cg06766541,cg06893273,cg07051221,cg07292773,cg07348535,cg07379741,cg07421287,cg07464674,cg07604700,cg07733851,cg07839313,cg08217285,cg08240539,cg08731696,cg08781728,cg09113483,cg09386376,cg09477758,cg09584358,cg09687907,cg09692695,cg09747445,cg09871637,cg09898695,cg10163955,cg10213875,cg10401489,cg10512203,cg10554624,cg10636490,cg10775991,cg10816169,cg10825471,cg10885338,cg10928544,cg11027707,cg11064966,cg11200656,cg11380327,cg11709405,cg11960677,cg11980800,cg11985480,cg12000995,cg12067421,cg12125332,cg12150256,cg12731773,cg12836958,cg12845268,cg13058819,cg13078421,cg13204699,cg13318241,cg13422817,cg13428213,cg13491563,cg13518442,cg13523576,cg13621396,cg13646480,cg13691108,cg13708645,cg13754720,cg13934236,cg13943068,cg14016875,cg14192542,cg14230238,cg14389669,cg15006681,cg15091747,cg15175162,cg15302379,cg15789095,cg15869022,cg15925365,cg16029875,cg16116203,cg16263848,cg16302655,cg16508883,cg16537676,cg16779251,cg16990174,cg17058475,cg17220161,cg17231677,cg17445812,cg17493885,cg17527422,cg17551891,cg17665699,cg17930194,cg18136963,cg18149394,cg18346398,cg18449062,cg18534077,cg18559799,cg19473656,cg19506623,cg19628934,cg19695978,cg19741660,cg20265748,cg20430773,cg20653375,cg20951444,cg21109038,cg21117965,cg21124375,cg21193577,cg21481950,cg21510189,cg21577356,cg21644740,cg21692620,cg21869046,cg22128896,cg22795769,cg22952142,cg23225147,cg23261715,cg23373640,cg23579062,cg23629935,cg23669081,cg23743554,cg24119717,cg24185628,cg24361265,cg24404630,cg24522254,cg24569831,cg24603028,cg24729928,cg24859236,cg24903893,cg24980413,cg25152404,cg25581090,cg25607643,cg25783099,cg25821785,cg25929589,cg25966016,cg26257411,cg26291519,cg26376346,cg26422656,cg26773791,cg26853787,cg27140633,cg27203184,cg27300028,cg27331665,cg27438980,cg27475169,cg27478242,cg27646484	GSM817166	1.00e+00
-2.637	9.99e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00049729,cg00056066,cg00079023,cg00156995,cg00222799,cg00239563,cg00492070,cg00567854,cg00594129,cg00741945,cg00756943,cg00944421,cg00964751,cg00994804,cg01105418,cg01205935,cg01293485,cg01342115,cg01456368,cg01466133,cg01713950,cg01754713,cg01817364,cg01827781,cg01887374,cg02018681,cg02228675,cg02329835,cg02486415,cg02486855,cg02649698,cg02723291,cg02757970,cg02849695,cg02903680,cg02947450,cg02992639,cg02996583,cg03070187,cg03123541,cg03123759,cg03173827,cg03222066,cg03575602,cg03610228,cg03704673,cg03840467,cg03962527,cg04140525,cg04498198,cg04558175,cg04715503,cg04848686,cg04869006,cg04889800,cg04959634,cg05045598,cg05050592,cg05308656,cg05589489,cg05797770,cg05812266,cg05865340,cg06137072,cg06241901,cg06396119,cg06397322,cg06430387,cg06489606,cg06626847,cg06766016,cg06925984,cg07051221,cg07292773,cg07348535,cg07421287,cg07464674,cg07567308,cg07604700,cg07839313,cg08060857,cg08106887,cg08217285,cg08240539,cg08784911,cg09113483,cg09477758,cg09584358,cg09687907,cg09692695,cg09747445,cg09871637,cg10163955,cg10213875,cg10512203,cg10554624,cg10717869,cg10816169,cg10825471,cg10928544,cg11200656,cg11380327,cg11709405,cg11960677,cg11980800,cg12000995,cg12067421,cg12125332,cg12150256,cg12234455,cg13058819,cg13204699,cg13318241,cg13491563,cg13691108,cg13708645,cg13847322,cg13934236,cg13943068,cg14016875,cg14192542,cg14230238,cg14389669,cg14424963,cg14485097,cg15091747,cg15127250,cg15175162,cg15302379,cg15645660,cg15789095,cg16029875,cg16044109,cg16116203,cg16302655,cg16508883,cg16537676,cg16641055,cg16990174,cg17058475,cg17220161,cg17445812,cg17493885,cg17551891,cg17641566,cg17986992,cg18136963,cg18149394,cg18449062,cg18869061,cg19197440,cg19473656,cg19478539,cg19506623,cg19628934,cg19695978,cg19717060,cg19741660,cg19782271,cg19851563,cg20430773,cg20653375,cg21124375,cg21481950,cg21811021,cg21869046,cg22128896,cg22216643,cg22277296,cg22795769,cg22833618,cg22874989,cg22952142,cg23225147,cg23373640,cg23579062,cg23629935,cg23743554,cg23907108,cg24119717,cg24185628,cg24220031,cg24330456,cg24361265,cg24404630,cg24574963,cg24603028,cg24729928,cg24859236,cg25299676,cg25783099,cg25821785,cg25835351,cg25966016,cg26132737,cg26242687,cg26465389,cg26773791,cg26927427,cg27098804,cg27331665,cg27438980,cg27478242,cg27646484	GSM701539	1.00e+00
