Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
18.732	4.15e-74	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00033450,cg00112952,cg00212275,cg00394026,cg00597623,cg00789427,cg00789535,cg00817464,cg00923880,cg00928596,cg00989806,cg01073521,cg01093851,cg01132696,cg01201279,cg01229787,cg01239499,cg01297684,cg01384410,cg01521397,cg01863006,cg01878805,cg01889448,cg01895398,cg01942558,cg01990863,cg02109585,cg02111865,cg02190353,cg02243157,cg02290262,cg02302574,cg02353916,cg02453013,cg02485174,cg02498886,cg02567750,cg02630646,cg02662417,cg02712700,cg02761839,cg02763933,cg02833739,cg02874930,cg02902672,cg02919082,cg02942158,cg03181300,cg03211711,cg03418002,cg03428193,cg03445932,cg03465320,cg03546163,cg03580065,cg03706086,cg03751915,cg03936701,cg03964681,cg03974400,cg04107129,cg04165922,cg04204465,cg04259027,cg04283041,cg04403684,cg04489053,cg04645556,cg04675844,cg04736673,cg04739200,cg04781916,cg04790775,cg04864877,cg04936213,cg05000446,cg05059108,cg05062694,cg05141485,cg05194426,cg05196796,cg05206633,cg05247190,cg05442797,cg05475858,cg05537706,cg05636896,cg05750782,cg05874443,cg05890727,cg05986449,cg06113552,cg06203243,cg06331585,cg06394653,cg06418013,cg06441457,cg06444433,cg06496041,cg06501832,cg06524923,cg06570358,cg06577638,cg06636551,cg06726406,cg06815311,cg06824443,cg07033722,cg07149033,cg07305485,cg07322196,cg07347128,cg07349477,cg07382347,cg07464716,cg07564261,cg07569918,cg07704771,cg07721756,cg07814932,cg07861448,cg07935482,cg08042254,cg08279189,cg08287940,cg08298852,cg08303418,cg08382737,cg08482536,cg08853920,cg08859787,cg08998950,cg09025741,cg09166556,cg09245350,cg09366951,cg09417038,cg09467433,cg09574909,cg09606588,cg09659072,cg10056106,cg10277044,cg10283362,cg10456459,cg10507445,cg10548102,cg10557174,cg10703154,cg10785929,cg10827754,cg10834070,cg10871684,cg10997258,cg11047325,cg11182146,cg11216153,cg11260662,cg11340328,cg11462267,cg11557478,cg12013451,cg12168509,cg12172984,cg12228627,cg12331776,cg12439472,cg12650153,cg12866960,cg12870052,cg13051245,cg13217238,cg13256716,cg13338814,cg13441156,cg13448633,cg13574411,cg13622450,cg13682317,cg13691353,cg13962111,cg13996193,cg14095963,cg14154784,cg14155265,cg14187466,cg14209730,cg14306650,cg14339738,cg14419159,cg14509133,cg14540162,cg14541992,cg14573371,cg14690837,cg14730017,cg14764203,cg14799809,cg14856222,cg14864966,cg15014361,cg15137734,cg15233651,cg15263617,cg15612945,cg15725873,cg15734589,cg15955909,cg15980656,cg16041412,cg16125725,cg16152137,cg16280551,cg16354404,cg16422316,cg16423305,cg16695102,cg16733809,cg16810724,cg16836311,cg16972032,cg17090611,cg17160906,cg17301248,cg17419815,cg17520907,cg17566325,cg17714232,cg17828921,cg17884069,cg17941843,cg17970043,cg18030306,cg18263335,cg18537222,cg18586585,cg18784409,cg18848366,cg18893685,cg18958185,cg19023589,cg19039140,cg19055828,cg19097407,cg19142181,cg19149957,cg19237150,cg19429405,cg19555973,cg19707454,cg19743666,cg19787543,cg19803593,cg19806151,cg19927678,cg20130571,cg20385971,cg20518446,cg20588986,cg20698781,cg20708537,cg20732787,cg20786422,cg20810558,cg20877250,cg20896049,cg21004565,cg21250898,cg21379113,cg21485602,cg21515958,cg21603178,cg21769463,cg21814550,cg21854538,cg21860329,cg21887193,cg21941547,cg21964148,cg22062450,cg22108311,cg22117893,cg22412298,cg22455501,cg22481695,cg22697477,cg22774340,cg22846250,cg22990971,cg23097878,cg23137881,cg23195763,cg23220897,cg23289236,cg23372523,cg23403192,cg23445957,cg23512567,cg23538648,cg23625388,cg23730027,cg23745290,cg23965049,cg24012708,cg24312537,cg24333621,cg24392753,cg24496021,cg24527044,cg24833027,cg24880665,cg25053141,cg25084479,cg25104558,cg25279747,cg25407979,cg25430089,cg25569341,cg25634041,cg25824218,cg26006714,cg26010015,cg26173962,cg26300092,cg26413855,cg26434859,cg26521143,cg26624021,cg26649551,cg26849382,cg27083089,cg27159720,cg27256074,cg27272679,cg27596169,cg27605677	E029	4.74e-71
4.811	2.55e-05	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00789427,cg01201279,cg01942558,cg02243157,cg02290262,cg02353916,cg02498886,cg02763933,cg02874930,cg02919082,cg03181300,cg03211711,cg03465320,cg03546163,cg03580065,cg03964681,cg04739200,cg04781916,cg04790775,cg05194426,cg05196796,cg05206633,cg05874443,cg05986449,cg06570358,cg06636551,cg06645335,cg07305485,cg07322196,cg07569918,cg07721756,cg08998950,cg09025741,cg09245350,cg09366951,cg09417038,cg10456459,cg10507445,cg10997258,cg11047325,cg12439472,cg12866960,cg13691353,cg14426688,cg14509133,cg14764203,cg15612945,cg15884546,cg16152137,cg16354404,cg16733809,cg16836311,cg17566325,cg17828921,cg18263335,cg18586585,cg18958185,cg19097407,cg19142181,cg19429405,cg19707454,cg19743666,cg20518446,cg20708537,cg20786422,cg20810558,cg20896049,cg21004565,cg21887193,cg21964148,cg22412298,cg22455501,cg23403192,cg23730027,cg24312537,cg25053141,cg25407979,cg25824218,cg26010015,cg26413855,cg27083089,cg27256074	E029	2.01e-03
-3.211	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00636942,cg00928596,cg01297684,cg01895398,cg02352685,cg02942158,cg03090145,cg03428193,cg03977382,cg04361678,cg05194426,cg05206633,cg06501832,cg07149121,cg07382347,cg07464716,cg07721756,cg07861448,cg07863268,cg08634229,cg08642068,cg09417038,cg11047325,cg11182146,cg11839596,cg13622450,cg13896699,cg14061069,cg14121816,cg14209730,cg14419159,cg14764203,cg14931884,cg15138245,cg15981071,cg16021939,cg16972032,cg17221856,cg18683292,cg19850149,cg20187011,cg21004565,cg21950155,cg22157099,cg23124182,cg23403192,cg23445957,cg26083180,cg27272679	E029	1.00e+00
-4.441	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00263425,cg00923880,cg00928596,cg01054652,cg01761703,cg02498886,cg02699612,cg03272903,cg05062694,cg05194426,cg05475858,cg05812200,cg06360841,cg06441457,cg06449191,cg06501832,cg06636551,cg07347128,cg07382347,cg07464716,cg07814932,cg07861448,cg08230059,cg08382737,cg09147516,cg09394134,cg09417038,cg10283362,cg11047325,cg11123440,cg12451061,cg12621411,cg13496421,cg13622450,cg13682317,cg13929323,cg14061069,cg14286363,cg14764203,cg15044533,cg15981071,cg16473184,cg17107388,cg17857094,cg17970043,cg19142181,cg19618634,cg20073962,cg20187011,cg20518446,cg21950155,cg22083892,cg22481695,cg22774340,cg23538648,cg23730027,cg23969005,cg25104558,cg25771369,cg26083180,cg27272679	E029	1.00e+00
0.440	3.48e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00305108,cg00394026,cg00817464,cg00949332,cg00989806,cg01132696,cg01521397,cg01609691,cg01741372,cg01893721,cg01898560,cg01899759,cg02111865,cg02290262,cg02302574,cg02485174,cg02942158,cg03090145,cg03279442,cg04051206,cg04283041,cg04489053,cg04553038,cg04664516,cg05000446,cg05196796,cg05500904,cg05750782,cg05890727,cg06113552,cg06411521,cg06449191,cg06815311,cg07033722,cg07125981,cg07149033,cg07372938,cg07787637,cg07910010,cg07935482,cg08042254,cg08122070,cg08279189,cg08482536,cg08736630,cg08869748,cg08998950,cg09166556,cg09342997,cg09694051,cg09743906,cg10006828,cg10028625,cg10379517,cg10934870,cg11167160,cg11182146,cg11216153,cg11260662,cg11557478,cg11965692,cg12008478,cg12168509,cg12228627,cg12329916,cg12578084,cg12650153,cg13338814,cg13468144,cg13846195,cg13917614,cg13962111,cg14044685,cg14634918,cg14730017,cg14864966,cg15014361,cg15044453,cg15233651,cg15263617,cg15276228,cg15884546,cg15955909,cg16695102,cg17301248,cg17385708,cg17638213,cg17781418,cg18029737,cg18157364,cg18926797,cg19039140,cg19055828,cg19097407,cg19197556,cg19429405,cg19689387,cg19743666,cg20022454,cg20400045,cg20732787,cg20773479,cg20877250,cg20965748,cg21232401,cg21829166,cg21860329,cg22062450,cg22190299,cg22253960,cg22443212,cg22697477,cg22846250,cg23097878,cg23195763,cg23372523,cg23512567,cg24265600,cg24343007,cg24527044,cg24638099,cg25040934,cg25069157,cg25430089,cg25569341,cg25634041,cg26006714,cg26033510,cg26300092,cg26934362,cg27083089,cg27611767	E029	1.00e+00
3.426	2.06e-04	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00033450,cg00394026,cg00789427,cg00789535,cg00817464,cg00923880,cg00928596,cg01073521,cg01132696,cg01201279,cg01229787,cg01239499,cg01384410,cg01399826,cg01609691,cg01761703,cg01878805,cg01889448,cg01990863,cg02048733,cg02109585,cg02111865,cg02290262,cg02498886,cg02630646,cg02662417,cg02761839,cg02763933,cg02833739,cg02874930,cg02902672,cg02942158,cg03181300,cg03211711,cg03418002,cg03465320,cg03546163,cg03751915,cg03974400,cg04204465,cg04283041,cg04553038,cg04736673,cg04739200,cg04781916,cg05000446,cg05062694,cg05194426,cg05196796,cg05636896,cg05750782,cg05890727,cg06203243,cg06418013,cg06501832,cg06636551,cg06645335,cg06815311,cg07322196,cg07347128,cg07349477,cg07382347,cg07464716,cg07569918,cg07721756,cg07861448,cg07959070,cg08042254,cg08122070,cg08247564,cg08298852,cg08303418,cg08382737,cg08482536,cg08859787,cg09025741,cg09147516,cg09166556,cg09417038,cg09574909,cg10006828,cg10283362,cg10379517,cg10785929,cg10934870,cg10997258,cg11047325,cg11182146,cg12008478,cg12013451,cg12168509,cg12172984,cg12228627,cg12439472,cg12451061,cg12621411,cg12771178,cg12918445,cg13256716,cg13441156,cg13448633,cg13574411,cg13691353,cg13917614,cg13996193,cg14061069,cg14095963,cg14154784,cg14286363,cg14509133,cg14540162,cg14541992,cg14730017,cg14799809,cg14856222,cg14931884,cg14966648,cg15014361,cg15233651,cg15263617,cg15276228,cg15421338,cg15725873,cg15734589,cg15884546,cg15955909,cg16152137,cg16422316,cg16695102,cg16733809,cg16810724,cg16836311,cg16972032,cg17107388,cg17301248,cg17419815,cg17566325,cg17781418,cg17857094,cg17970043,cg18029737,cg18030306,cg18263335,cg18586585,cg18784409,cg18814941,cg18848366,cg18893685,cg18958185,cg18961703,cg19023589,cg19039140,cg19097407,cg19142181,cg19149957,cg19429405,cg19689387,cg19707454,cg19743666,cg19787543,cg19803593,cg19927678,cg20518446,cg20698781,cg20732787,cg20786422,cg20810558,cg20896049,cg21004565,cg21854538,cg21887193,cg21941547,cg21950155,cg21964148,cg22062450,cg22108311,cg22117893,cg22238209,cg22481695,cg22749642,cg22774340,cg22990971,cg23097878,cg23195763,cg23403192,cg23625388,cg23730027,cg24012708,cg24289952,cg24312537,cg24343007,cg24496021,cg24527044,cg24638099,cg24833027,cg24880665,cg25053141,cg25084479,cg25279747,cg25407979,cg25430089,cg25569341,cg25824218,cg26006714,cg26010015,cg26083180,cg26413855,cg26649551,cg26934362,cg27083089,cg27256074,cg27272679	E032	1.23e-02
-0.572	7.42e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00789427,cg00923880,cg00928596,cg01132696,cg01201279,cg01761703,cg01889448,cg02111865,cg02630646,cg02662417,cg02833739,cg02902672,cg02919082,cg03181300,cg03377528,cg03418002,cg03465320,cg04489053,cg04798314,cg05000446,cg05196796,cg05956380,cg06636551,cg07397757,cg07464716,cg07569918,cg07721756,cg07910010,cg07935482,cg08859787,cg09417038,cg09467433,cg09574909,cg10703154,cg10934870,cg11047325,cg12168509,cg12213414,cg12439472,cg13441156,cg14061069,cg14426688,cg14509133,cg14799809,cg14931884,cg15014361,cg15233651,cg15263617,cg15884546,cg16422316,cg16810724,cg16836311,cg17301248,cg17566325,cg17781418,cg17941843,cg17970043,cg18263335,cg18586585,cg18608151,cg19039140,cg19097407,cg19142181,cg19707454,cg19743666,cg19803593,cg19806151,cg20518446,cg21004565,cg21515958,cg21887193,cg21964148,cg22117893,cg22774340,cg23195763,cg23403192,cg23730027,cg24392753,cg24638099,cg25084479,cg25407979,cg26010015,cg26173962,cg26816476,cg26849382,cg27083089,cg27256074,cg27272679	E032	1.00e+00
-0.722	8.01e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00263425,cg00305108,cg01609691,cg01895398,cg02567750,cg02630646,cg03751915,cg03977382,cg05812200,cg06331585,cg06501832,cg07349477,cg07464716,cg07861448,cg07863268,cg08446860,cg08634229,cg10507445,cg10548102,cg12771178,cg13256716,cg13574411,cg13896699,cg15981071,cg16423305,cg16972032,cg17941843,cg18586585,cg18961703,cg19070118,cg20187011,cg21517022,cg22083892,cg22412298,cg25705167,cg26083180,cg27272679	E032	1.00e+00
-2.975	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00033450,cg00212275,cg00928596,cg01054652,cg01073521,cg01093851,cg01399826,cg01863006,cg01895398,cg01942558,cg01990863,cg02243157,cg02498886,cg02630646,cg02636380,cg02699612,cg02763933,cg03272903,cg03418002,cg03428193,cg03706086,cg03955252,cg03964681,cg04107129,cg04489053,cg04790775,cg05059108,cg05062694,cg05187965,cg05194426,cg05206633,cg05247190,cg05475858,cg05537706,cg05812200,cg06331585,cg06360841,cg06418013,cg06441457,cg06444433,cg06496041,cg06501832,cg06570358,cg06845829,cg07347128,cg07382347,cg07564261,cg07704771,cg07814932,cg07861448,cg08230059,cg08247564,cg08634229,cg08642068,cg08815306,cg08853920,cg09394134,cg09417038,cg09467433,cg09606588,cg09610020,cg09659072,cg10056106,cg10133369,cg10277044,cg10283362,cg10507445,cg10548102,cg10557174,cg10997258,cg11047325,cg11123440,cg12621411,cg12771178,cg12777182,cg12866960,cg12918445,cg13256716,cg13496421,cg13622450,cg13846195,cg13896699,cg13929323,cg13962111,cg14095963,cg14154784,cg14209730,cg14458563,cg14764203,cg14966648,cg15131258,cg15137734,cg15138245,cg15276228,cg15444831,cg15715903,cg15981071,cg16125725,cg16397001,cg16423305,cg16836311,cg16846991,cg17107388,cg17520907,cg17828921,cg17857094,cg17884069,cg17941843,cg17970043,cg18537222,cg18586585,cg19555973,cg19806151,cg20073962,cg20092399,cg20187011,cg20363450,cg20400045,cg20518446,cg20698781,cg20896049,cg21250898,cg21515958,cg21517022,cg21769463,cg21814550,cg21829166,cg21887193,cg21950155,cg22083892,cg22157099,cg22253960,cg22455501,cg22663503,cg22749642,cg22774340,cg22990971,cg23137881,cg23344769,cg23538648,cg23944405,cg23969005,cg24833027,cg25279747,cg25407979,cg25569341,cg25705167,cg25771369,cg25824218,cg26035071,cg26083180,cg26237810,cg26413855,cg26521143,cg26585354,cg27272679,cg27596169	E032	1.00e+00
4.466	3.37e-06	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00305108,cg00394026,cg00789427,cg00817464,cg00949332,cg00989806,cg01132696,cg01384410,cg01521397,cg01609691,cg01741372,cg01820962,cg01878805,cg01898560,cg01899759,cg01990863,cg02109585,cg02111865,cg02190353,cg02290262,cg02302574,cg02353916,cg02485174,cg02662417,cg02761839,cg02902672,cg02919082,cg02942158,cg03090145,cg03181300,cg03279442,cg03445932,cg03465320,cg03580065,cg04051206,cg04107129,cg04204465,cg04259027,cg04283041,cg04489053,cg04553038,cg04664516,cg04675844,cg04736673,cg04781916,cg04936213,cg05000446,cg05141485,cg05196796,cg05442797,cg05500904,cg05636896,cg05890727,cg05956380,cg06113552,cg06203243,cg06411521,cg06418013,cg06449191,cg06726406,cg06815311,cg07033722,cg07125981,cg07149033,cg07149121,cg07305485,cg07322196,cg07349477,cg07372938,cg07397757,cg07464716,cg07787637,cg07910010,cg07935482,cg07959070,cg08042254,cg08122070,cg08247564,cg08279189,cg08298852,cg08482536,cg08736630,cg08859787,cg08869748,cg08998950,cg09166556,cg09342997,cg09694051,cg09743906,cg10006828,cg10379517,cg10834070,cg10934870,cg11167160,cg11182146,cg11260662,cg11601463,cg11965692,cg12008478,cg12168509,cg12228627,cg12329916,cg12331776,cg12578084,cg12650153,cg12870052,cg13338814,cg13468144,cg13691353,cg13917614,cg13996193,cg14154784,cg14306650,cg14339738,cg14634918,cg14799809,cg14864966,cg14966648,cg15014361,cg15044453,cg15131258,cg15233651,cg15263617,cg15276228,cg15725873,cg16152137,cg16280551,cg16354404,cg16423305,cg16473184,cg16695102,cg16846991,cg17301248,cg17385708,cg17419815,cg17566325,cg17638213,cg17781418,cg17941843,cg18029737,cg18157364,cg18263335,cg18677212,cg18848366,cg18893685,cg18926797,cg18958185,cg19023589,cg19039140,cg19055828,cg19097407,cg19142181,cg19149957,cg19197556,cg19689387,cg19743666,cg19927678,cg20022454,cg20400045,cg20518446,cg20698781,cg20708537,cg20732787,cg20773479,cg20810558,cg20877250,cg20965748,cg21232401,cg21603178,cg21854538,cg21860329,cg22062450,cg22108311,cg22176018,cg22190299,cg22412298,cg22443212,cg22455501,cg22697477,cg22846250,cg23097878,cg23124182,cg23195763,cg23372523,cg23445957,cg23512567,cg23625388,cg23745290,cg23965049,cg24265600,cg24312537,cg24333621,cg24343007,cg24496021,cg24527044,cg24638099,cg25040934,cg25053141,cg25069157,cg25084479,cg25634041,cg26006714,cg26033510,cg26173962,cg26300092,cg26413855,cg26849382,cg26934362,cg27083089,cg27611767	E032	3.21e-04
