Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
6.509	1.31e-08	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00483030,cg00620733,cg00932104,cg01142676,cg01152073,cg01542693,cg01662869,cg02069619,cg02371119,cg02394698,cg02802072,cg03120555,cg03378003,cg03607951,cg04045089,cg04099543,cg04127455,cg04347477,cg04478251,cg04686354,cg05142272,cg05904013,cg05936516,cg06005892,cg06219660,cg06365898,cg06627532,cg07126783,cg07258167,cg07564563,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08368934,cg09447811,cg09868035,cg10317164,cg10568066,cg11226328,cg11884933,cg11925488,cg12049875,cg12485428,cg12978800,cg13335567,cg13396713,cg13652008,cg14020320,cg14131038,cg14402591,cg14421700,cg14480116,cg14724918,cg15892280,cg16223079,cg16823105,cg16967583,cg17187521,cg17232357,cg17315426,cg18854765,cg19060895,cg19069360,cg19389293,cg20418394,cg21019522,cg21320567,cg21875274,cg22396850,cg22821930,cg23085846,cg23202722,cg23599820,cg23687466,cg24312520,cg24585377,cg24628744,cg24866363,cg25664034,cg25851425,cg26331625,cg26684776,cg26862175,cg26898932	NA	2.36e-07
-0.302	6.41e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00483030,cg01152073,cg02025573,cg02069619,cg02394698,cg04045089,cg05685023,cg08053935,cg08098128,cg08135234,cg08961793,cg11226328,cg11925488,cg13912027,cg14480116,cg14724918,cg16223079,cg16823105,cg17315426,cg17330838,cg19069360,cg21320567,cg21875274,cg22659356,cg22821930,cg23599820,cg23687466,cg24585377,cg26331625,cg26684776	NA	1.00e+00
-1.978	9.79e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg01152073,cg02025573,cg03607951,cg04045089,cg05685023,cg08053935,cg08961793,cg10568066,cg11226328,cg13912027,cg14724918,cg16223079,cg16823105,cg17315426,cg21320567,cg22659356,cg22821930,cg24866363,cg25851425	NA	1.00e+00
-2.095	9.80e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00483030,cg01152073,cg02025573,cg02069619,cg03378003,cg04045089,cg04127455,cg08053935,cg08135234,cg09281154,cg11226328,cg13630493,cg13912027,cg14480116,cg14648237,cg14724918,cg16223079,cg16823105,cg17315426,cg20418394,cg21320567,cg21875274,cg22821930,cg23599820,cg25851425	NA	1.00e+00
0.490	3.60e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00219816,cg00483030,cg01152073,cg01542693,cg01910727,cg02025573,cg02069619,cg03607951,cg04045089,cg04099543,cg04127455,cg05904013,cg06365898,cg07258167,cg07905054,cg08053935,cg08098128,cg08598221,cg09281154,cg11226328,cg11925488,cg12049875,cg13335567,cg13346655,cg13630493,cg13652008,cg13912027,cg14131038,cg14402591,cg14724918,cg16223079,cg16730908,cg16823105,cg17187521,cg17315426,cg17330838,cg19069360,cg21320567,cg21875274,cg22396850,cg22659356,cg22821930,cg23599820,cg24585377,cg24738611,cg24866363,cg25851425,cg26331625,cg26684776,cg26688911	NA	1.00e+00
-1.548	9.38e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00483030,cg01152073,cg01542693,cg02025573,cg02069619,cg03378003,cg04045089,cg04127455,cg05904013,cg07126783,cg07258167,cg07824422,cg07905054,cg08053935,cg08135234,cg11226328,cg11925488,cg12049875,cg12978800,cg13346655,cg13912027,cg14020320,cg14402591,cg14724918,cg16223079,cg16823105,cg17315426,cg17330838,cg19509988,cg21320567,cg22396850,cg22821930,cg23599820,cg24376214,cg24585377,cg24866363,cg26331625,cg26684776	NA	1.00e+00
2.841	8.64e-03	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00483030,cg00841141,cg01152073,cg01626885,cg01662869,cg02025573,cg02371119,cg02802072,cg04099543,cg04478251,cg05685023,cg06005892,cg06365898,cg06547715,cg06627532,cg07564563,cg08053935,cg08098128,cg08135234,cg08368934,cg09868035,cg10317164,cg11226328,cg11884933,cg12049875,cg13912027,cg14020320,cg14131038,cg14480116,cg14724918,cg16223079,cg16558770,cg16823105,cg17330838,cg19069360,cg21019522,cg21320567,cg22821930,cg23202722,cg25851425,cg26331625,cg26684776	NA	4.70e-02
-0.607	7.49e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00841141,cg02025573,cg02371119,cg05685023,cg06611426,cg07565956,cg08098128,cg08135234,cg11226328,cg11884933,cg13396713,cg13652008,cg13912027,cg14020320,cg14414903,cg14724918,cg16223079,cg16823105,cg17187521,cg17315426,cg18854765,cg19069360,cg22821930,cg24585377,cg25851425,cg26688911	NA	1.00e+00
6.853	3.91e-09	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00483030,cg00620733,cg00932104,cg01152073,cg01462353,cg01626885,cg01662869,cg01686739,cg01704698,cg01910727,cg02069619,cg02268192,cg02371119,cg02394698,cg02802072,cg04099543,cg04478251,cg04686354,cg05057534,cg05685023,cg05904013,cg06005892,cg06219660,cg06547715,cg06627532,cg07126783,cg07564563,cg07565956,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08368934,cg08864944,cg08961793,cg09281154,cg09447811,cg09802818,cg09868035,cg10118167,cg10317164,cg11226328,cg11884933,cg12049875,cg12485428,cg13396713,cg13630493,cg13912027,cg14020320,cg14402591,cg14414903,cg14480116,cg14724918,cg15892280,cg16223079,cg16558770,cg16823105,cg17080697,cg17187521,cg17330838,cg17925829,cg19069360,cg19389293,cg20418394,cg21019522,cg21875274,cg22821930,cg23004174,cg23202722,cg23599820,cg23687466,cg24312520,cg24376214,cg24585377,cg26331625,cg26684776,cg26776551	NA	1.17e-07
6.085	2.56e-07	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00483030,cg00620733,cg00841141,cg01142676,cg01152073,cg01462353,cg01626885,cg01662869,cg01704698,cg01910727,cg02025573,cg02268192,cg02371119,cg02394698,cg02802072,cg03607951,cg04045089,cg04099543,cg04127455,cg04478251,cg05057534,cg05904013,cg06005892,cg06365898,cg06627532,cg07052231,cg07564563,cg07565956,cg07824422,cg07905054,cg08053935,cg08135234,cg08368934,cg08961793,cg09447811,cg09802818,cg09868035,cg10317164,cg11226328,cg11884933,cg11925488,cg12049875,cg12485428,cg13630493,cg13912027,cg14020320,cg14131038,cg14402591,cg14480116,cg14724918,cg16223079,cg16558770,cg16730908,cg17315426,cg17330838,cg17925829,cg18854765,cg19069360,cg21019522,cg21320567,cg22659356,cg22821930,cg23599820,cg23687466,cg24376214,cg24585377,cg24628744,cg26331625,cg26684776,cg26776551	NA	3.07e-06
6.838	8.95e-09	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00483030,cg01142676,cg01152073,cg01462353,cg01626885,cg01662869,cg01704698,cg01910727,cg02025573,cg02268192,cg02371119,cg02394698,cg02802072,cg03607951,cg04045089,cg04099543,cg04127455,cg04478251,cg05057534,cg05685023,cg05904013,cg06005892,cg06219660,cg06627532,cg07126783,cg07302959,cg07564563,cg07565956,cg07905054,cg08053935,cg08098128,cg08368934,cg08864944,cg08961793,cg09281154,cg09447811,cg09802818,cg09868035,cg10118167,cg10317164,cg11226328,cg11884933,cg11925488,cg12049875,cg12485428,cg13396713,cg13630493,cg13912027,cg14020320,cg14402591,cg14480116,cg14724918,cg16223079,cg16558770,cg16823105,cg17187521,cg17315426,cg17330838,cg17925829,cg18854765,cg19069360,cg19389293,cg21019522,cg21320567,cg21875274,cg22659356,cg22821930,cg23004174,cg23202722,cg23599820,cg23687466,cg24312520,cg24585377,cg26331625,cg26684776	NA	2.15e-07
4.576	5.43e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00483030,cg01152073,cg01462353,cg01626885,cg01662869,cg01910727,cg02394698,cg02802072,cg04045089,cg04099543,cg04127455,cg04478251,cg04686354,cg05057534,cg05685023,cg06005892,cg07564563,cg07565956,cg07905054,cg08053935,cg08368934,cg09447811,cg09868035,cg10317164,cg11226328,cg11884933,cg12049875,cg12485428,cg12978800,cg13396713,cg13912027,cg14020320,cg14414903,cg14480116,cg14724918,cg16223079,cg16558770,cg17187521,cg17330838,cg17925829,cg19069360,cg20418394,cg21019522,cg22659356,cg22821930,cg23599820,cg23687466,cg24312520,cg24585377,cg26331625,cg26684776	NA	4.65e-04
8.752	4.31e-14	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg00005390,cg00218914,cg00219816,cg00483030,cg00620733,cg00841141,cg00932104,cg01142676,cg01152073,cg01462353,cg01626885,cg01662869,cg01686739,cg01704698,cg01910727,cg02025573,cg02069619,cg02268192,cg02371119,cg02394698,cg02802072,cg03450829,cg03607951,cg04045089,cg04099543,cg04127455,cg04478251,cg04656424,cg04686354,cg05057534,cg05573550,cg05599723,cg05685023,cg05904013,cg05936516,cg06005892,cg06219660,cg06365898,cg06611426,cg06627532,cg07052231,cg07126783,cg07258167,cg07564563,cg07565956,cg07824422,cg07905054,cg08053935,cg08135234,cg08368934,cg08961793,cg09281154,cg09447811,cg09802818,cg09868035,cg10118167,cg10317164,cg11036936,cg11226328,cg11670060,cg11884933,cg11925488,cg12049875,cg12485428,cg13346655,cg13396713,cg13630493,cg13912027,cg14020320,cg14131038,cg14402591,cg14414903,cg14480116,cg14518948,cg14724918,cg16223079,cg16558770,cg16730908,cg17080697,cg17187521,cg17315426,cg17330838,cg17925829,cg18313182,cg18854765,cg19060895,cg19069360,cg19389293,cg19696103,cg20418394,cg21019522,cg21320567,cg21875274,cg22396850,cg22659356,cg22821930,cg23004174,cg23085846,cg23202722,cg23599820,cg23687466,cg24312520,cg24534743,cg24585377,cg24628744,cg25851425,cg26331625,cg26688911,cg26776551,cg26898932	NA	5.16e-12
6.476	1.38e-08	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg00005390,cg00218914,cg00219816,cg00483030,cg00841141,cg01142676,cg01152073,cg01462353,cg01542693,cg01626885,cg01662869,cg01704698,cg02025573,cg02069619,cg02268192,cg02371119,cg02394698,cg02802072,cg03607951,cg04045089,cg04099543,cg04127455,cg04478251,cg04656424,cg04686354,cg05057534,cg05573550,cg05904013,cg06005892,cg06219660,cg06611426,cg06627532,cg07052231,cg07126783,cg07258167,cg07564563,cg07565956,cg07905054,cg08053935,cg08098128,cg08135234,cg08368934,cg09281154,cg09416908,cg09447811,cg09802818,cg09868035,cg10118167,cg10317164,cg11036936,cg11226328,cg11884933,cg11925488,cg12049875,cg12485428,cg13346655,cg13396713,cg13630493,cg13912027,cg14020320,cg14131038,cg14402591,cg14414903,cg14480116,cg14724918,cg16223079,cg16558770,cg16730908,cg16823105,cg17080697,cg17315426,cg17330838,cg17925829,cg18313182,cg18854765,cg19069360,cg19696103,cg20418394,cg21019522,cg21320567,cg22821930,cg23004174,cg23202722,cg23599820,cg23687466,cg24585377,cg24628744,cg25851425,cg26331625,cg26688911,cg26776551	NA	2.36e-07
