Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.997	5.08e-02	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg01409343,cg02003183,cg03957124,cg06192883,cg07094298,cg07573872,cg10636246,cg12269535,cg15551881,cg17501210,cg19821297,cg21429551	NA	2.43e-01
2.303	3.25e-02	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg01409343,cg02003183,cg06192883,cg06690548,cg07094298,cg12269535,cg15551881,cg21429551,cg27050612	NA	1.62e-01
1.893	6.93e-02	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg02003183,cg04523589,cg06192883,cg07094298,cg08548559,cg12269535,cg15551881	NA	2.86e-01
1.931	5.81e-02	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg01409343,cg03957124,cg06690548,cg07094298,cg08548559,cg10636246,cg12269535,cg21429551,cg27050612	NA	2.67e-01
1.860	6.18e-02	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg02003183,cg02734358,cg03957124,cg06192883,cg06690548,cg07094298,cg10636246,cg12269535,cg21429551,cg26804423,cg27023597,cg27050612	NA	2.67e-01
4.353	1.73e-04	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg01409343,cg02003183,cg02481950,cg03957124,cg06192883,cg06690548,cg07094298,cg09182678,cg10636246,cg12269535,cg18608055,cg21429551,cg23761815,cg24174557,cg27023597,cg27050612,cg27184903	NA	1.09e-03
4.718	2.38e-04	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg02734358,cg03128029,cg03957124,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg13585930,cg15551881,cg19769147,cg25392060	NA	1.43e-03
1.930	6.23e-02	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg02341197,cg05575921,cg06192883,cg07094298,cg12269535,cg21429551,cg26804423	NA	2.67e-01
7.507	1.34e-09	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00159243,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03128029,cg03957124,cg04523589,cg05316065,cg06126421,cg06192883,cg07094298,cg09182678,cg10636246,cg12269535,cg13585930,cg15020801,cg15551881,cg19769147,cg19821297,cg20995564,cg25392060,cg27050612	NA	3.21e-08
4.749	7.09e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00159243,cg01409343,cg02481950,cg03957124,cg04523589,cg06126421,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg13585930,cg15551881,cg18663307,cg19769147,cg25392060,cg27050612	NA	5.31e-04
6.763	4.69e-08	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00159243,cg01059398,cg01409343,cg02003183,cg02481950,cg02734358,cg03128029,cg03957124,cg04523589,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg13585930,cg15020801,cg15551881,cg19769147,cg20995564,cg25392060,cg27050612	NA	7.02e-07
6.720	3.72e-07	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00159243,cg01409343,cg02003183,cg02481950,cg02734358,cg03957124,cg06192883,cg07094298,cg09182678,cg10636246,cg13585930,cg15551881,cg19769147,cg20995564,cg23761815,cg25392060,cg26804423,cg27050612	NA	4.46e-06
8.728	8.19e-14	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg01059398,cg01409343,cg02481950,cg02734358,cg03128029,cg03957124,cg04523589,cg05316065,cg06126421,cg06192883,cg07094298,cg07573872,cg08548559,cg09182678,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg15721584,cg18608055,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg23761815,cg25392060,cg26470501,cg26804423,cg27023597,cg27050612,cg27184903,cg27469606	NA	2.45e-12
9.853	4.47e-16	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg01059398,cg01409343,cg02481950,cg02734358,cg03128029,cg03957124,cg04523589,cg05316065,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg09182678,cg10636246,cg12053291,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg15721584,cg17501210,cg18608055,cg18663307,cg19821297,cg20995564,cg21429551,cg23761815,cg24174557,cg25392060,cg26804423,cg27023597,cg27050612,cg27184903	NA	5.36e-14
6.278	2.43e-07	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00CTZ41.DNase.hotspot_v3.20141014.bed.gz	cg00159243,cg01059398,cg01409343,cg02481950,cg02734358,cg03128029,cg03957124,cg04523589,cg06126421,cg06192883,cg07094298,cg09182678,cg10636246,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg19769147,cg20995564,cg21429551,cg23761815,cg25392060	NA	3.24e-06
9.775	3.71e-15	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00C0J41.DNase.hotspot_v3.20141014.bed.gz	cg00159243,cg01059398,cg01409343,cg02481950,cg02734358,cg03128029,cg03957124,cg04523589,cg05316065,cg06126421,cg06192883,cg06690548,cg07094298,cg08548559,cg10636246,cg12053291,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg15721584,cg17501210,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg23761815,cg25392060,cg26804423,cg27023597,cg27050612,cg27184903	NA	2.22e-13
5.644	2.47e-05	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00HTF41.DNase.hotspot_v3.20141014.bed.gz	cg01409343,cg02734358,cg03128029,cg03957124,cg06192883,cg06690548,cg07094298,cg15020801,cg15310871,cg15551881,cg19769147,cg20995564,cg25392060,cg27023597	NA	1.97e-04
5.766	4.55e-06	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00JS941.DNase.hotspot_v3.20141014.bed.gz	cg01059398,cg01409343,cg02481950,cg02734358,cg03128029,cg04523589,cg06192883,cg06690548,cg07094298,cg08548559,cg10636246,cg15310871,cg20995564,cg23761815,cg25392060,cg27023597,cg27050612	NA	4.19e-05
4.799	1.00e-04	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00BYT41.DNase.hotspot_v3.20141014.bed.gz	cg01409343,cg02734358,cg04523589,cg06126421,cg06192883,cg07094298,cg10636246,cg12269535,cg13585930,cg15310871,cg15551881,cg19769147,cg20995564,cg25392060,cg27023597	NA	7.06e-04
7.585	3.30e-09	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00CS041.DNase.hotspot_v3.20141014.bed.gz	cg00159243,cg01409343,cg02481950,cg02734358,cg03957124,cg04523589,cg05316065,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg08548559,cg10636246,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg19769147,cg20995564,cg25392060,cg27023597,cg27050612	NA	6.60e-08
6.196	3.39e-06	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00HSH41.DNase.hotspot_v3.20141014.bed.gz	cg01409343,cg02734358,cg03957124,cg04523589,cg06126421,cg06192883,cg06690548,cg07094298,cg08548559,cg10636246,cg13585930,cg20995564,cg25392060,cg27023597,cg27050612	NA	3.39e-05
4.210	8.89e-04	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00JRB41.DNase.hotspot_v3.20141014.bed.gz	cg01409343,cg03957124,cg06126421,cg06690548,cg07094298,cg10636246,cg12269535,cg19769147,cg20995564,cg25392060,cg27023597	NA	5.07e-03
5.409	1.37e-05	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00BXV41.DNase.hotspot_v3.20141014.bed.gz	cg01409343,cg02481950,cg02650017,cg02734358,cg03957124,cg06126421,cg06192883,cg07094298,cg10636246,cg12269535,cg15020801,cg15310871,cg19769147,cg20995564,cg25392060,cg26804423,cg27023597,cg27184903	NA	1.18e-04
6.958	2.47e-08	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00CR241.DNase.hotspot_v3.20141014.bed.gz	cg00159243,cg01409343,cg02481950,cg02734358,cg03128029,cg03957124,cg04523589,cg05316065,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg08548559,cg10636246,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg19769147,cg20995564,cg25392060,cg27023597	NA	4.24e-07
1.359	1.42e-01	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00HRJ41.DNase.hotspot_v3.20141014.bed.gz	cg01409343,cg06126421,cg07094298,cg10636246,cg25392060	NA	5.67e-01
2.608	2.30e-02	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00JQD41.DNase.hotspot_v3.20141014.bed.gz	cg01409343,cg02481950,cg03957124,cg06126421,cg07094298,cg19769147,cg20995564,cg25392060	NA	1.20e-01
5.551	1.18e-04	macrophage	Venous Blood	DHS	C005VG45.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg02481950,cg02734358,cg06192883,cg07094298,cg08548559,cg15020801,cg20995564,cg25392060,cg27050612	NA	7.88e-04
9.432	5.66e-15	macrophage	Venous Blood	DHS	C006UE47.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg01059398,cg01409343,cg02481950,cg02734358,cg03128029,cg03957124,cg04523589,cg05316065,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg10636246,cg12053291,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg15721584,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg23761815,cg25392060,cg26804423,cg27023597,cg27050612,cg27184903	NA	2.26e-13
