Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.813	1.24e-05	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00501876,cg01207684,cg03358636,cg03636183,cg03707168,cg04535902,cg04885881,cg04956244,cg05194346,cg05221370,cg05284742,cg05304393,cg05460226,cg05570258,cg05655806,cg05673882,cg05875421,cg05957567,cg05969150,cg07090714,cg07251887,cg07339236,cg07381806,cg07986378,cg08035323,cg10520740,cg10717312,cg11902777,cg12075928,cg12147622,cg12547807,cg13184736,cg14120703,cg14316231,cg14712058,cg15159987,cg15542713,cg16547579,cg17907003,cg18642234,cg19325791,cg19427338,cg19719391,cg20059928,cg20543544,cg22499893,cg23079012,cg24134897,cg24540678,cg24556382,cg24996979,cg25305703,cg25809905,cg26337070,cg27332104,cg27537125	NA	1.48e-03
0.556	3.27e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg01208318,cg02583484,cg03707168,cg04551776,cg05673882,cg05875421,cg05957567,cg10420527,cg10581837,cg10717312,cg11902777,cg12547807,cg13525276,cg16547579,cg16611234,cg19719391,cg20059928,cg20543544,cg22499893,cg23090529	NA	1.00e+00
-0.242	6.32e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg01208318,cg03358636,cg03707168,cg04359840,cg05875421,cg05957567,cg10420527,cg10717312,cg13038618,cg13525276,cg19719391,cg20059928,cg20543544,cg24540678,cg24556382	NA	1.00e+00
0.915	2.23e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00310412,cg00501876,cg01208318,cg03707168,cg04359840,cg05673882,cg05875421,cg05957567,cg10581837,cg12147622,cg12547807,cg13525276,cg15474579,cg16547579,cg16611234,cg19719391,cg20059928,cg20543544,cg21393163,cg22499893,cg23090529,cg24540678,cg24556382,cg24996979,cg27537125	NA	1.00e+00
2.049	3.82e-02	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00501876,cg01442064,cg01692968,cg02583484,cg03109660,cg03358636,cg03707168,cg04551776,cg04885881,cg05221370,cg05570258,cg05875421,cg05957567,cg06635952,cg07251887,cg08035323,cg10420527,cg11902777,cg12147622,cg12547807,cg13525276,cg13641317,cg14712058,cg15542713,cg15554421,cg16547579,cg16556677,cg16611234,cg18369990,cg19572487,cg19719391,cg20059928,cg20543544,cg21322436,cg22499893,cg24134897,cg24556382,cg24996979,cg26271591,cg26337070,cg27537125	NA	2.70e-01
1.708	6.11e-02	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00871610,cg01208318,cg02583484,cg03109660,cg03707168,cg04551776,cg04956244,cg05221370,cg05570258,cg05673882,cg05875421,cg05957567,cg06635952,cg09109520,cg10420527,cg10581837,cg10717312,cg11902777,cg12075928,cg12147622,cg12547807,cg13039251,cg13525276,cg15159987,cg15474579,cg16547579,cg16556677,cg16937168,cg18642234,cg19719391,cg20059928,cg22499893,cg23090529,cg24134897,cg24540678,cg24556382,cg24996979,cg27537125	NA	4.07e-01
2.394	1.84e-02	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00501876,cg01207684,cg03358636,cg03707168,cg05673882,cg05875421,cg07090714,cg08035323,cg10420527,cg11902777,cg14120703,cg14316231,cg15542713,cg16047567,cg16547579,cg17907003,cg19572487,cg20543544,cg21121843,cg21393163,cg22499893,cg24090911,cg24540678,cg24556382,cg24996979,cg27537125	NA	1.69e-01
3.516	7.11e-04	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00336149,cg01692968,cg03636183,cg03707168,cg03999941,cg05575921,cg05673882,cg07090714,cg07339236,cg07986378,cg08972170,cg11660018,cg11902777,cg13038618,cg13916835,cg14712058,cg14977938,cg16547579,cg16611234,cg16744741,cg17372101,cg20244340,cg21322436,cg22499893,cg23079012,cg24540678,cg24556382,cg24996979,cg25809905,cg27405731,cg27537125	NA	2.13e-02
3.373	1.13e-03	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00073090,cg00501876,cg01097768,cg01207684,cg03358636,cg03707168,cg04359840,cg04956244,cg05284742,cg05570258,cg05673882,cg05875421,cg07339236,cg07381806,cg07986378,cg08035323,cg10420527,cg11902777,cg12075928,cg12147622,cg13525276,cg14120703,cg14316231,cg14580211,cg14753356,cg15542713,cg15554421,cg16047567,cg16547579,cg17907003,cg18642234,cg19572487,cg19719391,cg20543544,cg21121843,cg21393163,cg22499893,cg24134897,cg24540678,cg24556382,cg24996979,cg25305703,cg25648203,cg27537125	NA	2.55e-02
1.229	1.36e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00073090,cg00871610,cg03358636,cg03707168,cg04956244,cg05284742,cg05673882,cg05875421,cg07090714,cg07339236,cg07381806,cg07986378,cg08035323,cg10420527,cg10691866,cg11902777,cg13525276,cg14120703,cg14316231,cg14580211,cg14712058,cg14753356,cg15554421,cg16047567,cg16547579,cg17907003,cg20543544,cg21393163,cg24540678,cg24996979,cg27537125	NA	7.42e-01
