Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
n/a	1	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E029	1
n/a	1	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E032	1
2.089	5.86e-02	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E033	1
n/a	1	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E034	1
n/a	1	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E046	1
n/a	1	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E050	1
n/a	1	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E051	1
n/a	1	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E028	1
n/a	0.000599	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00012522,cg00169167,cg00316839,cg02751123,cg03038003,cg03078043,cg03114255,cg05543049,cg05886418,cg06349546,cg06733794,cg07803006,cg07889284,cg07951301,cg08269394,cg09478665,cg09503780,cg09885505,cg10852177,cg11183632,cg12250896,cg12345672,cg13827212,cg14051544,cg14451926,cg14632002,cg14762316,cg15343119,cg16208136,cg17114283,cg17166262,cg17324198,cg17855264,cg18020955,cg18131537,cg18275321,cg18529845,cg18532190,cg18722847,cg18778433,cg19301058,cg19602920,cg20597117,cg21001198,cg22124136,cg22608128,cg24051276,cg24057176,cg24082680,cg24783211,cg26251069,cg26972058	E003	0.0248
n/a	1	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E004	1
n/a	1	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E005	1
n/a	1	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	n/a	E006	1
n/a	0.000484	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg00012522,cg00316839,cg02251027,cg02751123,cg03038003,cg03078043,cg05543049,cg05886418,cg06349546,cg06480265,cg06733794,cg07803006,cg07889284,cg07951301,cg08269394,cg09478665,cg09503780,cg09885505,cg10852177,cg11183632,cg11478320,cg12250896,cg12345672,cg13827212,cg14051544,cg14451926,cg14632002,cg14762316,cg15343119,cg16208136,cg17114283,cg17166262,cg17324198,cg17855264,cg18131537,cg18275321,cg18529845,cg18532190,cg18722847,cg18778433,cg19301058,cg19602920,cg19638398,cg20597117,cg21001198,cg22124136,cg22608128,cg23974418,cg24051276,cg24057176,cg24783211,cg26251069,cg26972058	E007	0.0248
