Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.248	3.65e-03	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00071950,cg00574958,cg01243823,cg02711608,cg03068497,cg03082813,cg03339609,cg03519879,cg03935116,cg06023661,cg06178669,cg07022048,cg07626482,cg08257009,cg09646173,cg09929238,cg11028923,cg11068337,cg11376147,cg12554573,cg16375541,cg16541026,cg17061862,cg18120259,cg18125510,cg19939077,cg20479063,cg20520115,cg20813374,cg22197830,cg22821355,cg24058132,cg24332710,cg26043149,cg26841068	NA	5.47e-02
4.676	5.28e-05	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00716257,cg02583484,cg02711608,cg03068497,cg03339609,cg03725309,cg03935116,cg05288253,cg05603985,cg06178669,cg06599169,cg06690548,cg06983052,cg07626482,cg11376147,cg13409704,cg14476101,cg18125510,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg24332710,cg26043149	NA	1.27e-03
0.923	2.34e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00071950,cg00422488,cg00574958,cg03339609,cg03725309,cg03935116,cg07626482,cg11028923,cg16541026,cg17061862,cg20520115,cg22103219,cg22197830,cg24058132,cg24332710,cg26841068	NA	1.00e+00
2.752	1.16e-02	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00422488,cg00574412,cg00574958,cg03068497,cg03339609,cg03387723,cg03725309,cg03935116,cg06023661,cg06178669,cg06690548,cg06983052,cg07626482,cg11376147,cg12554573,cg13409704,cg14476101,cg18125510,cg18302606,cg18405341,cg19939077,cg22103219,cg22197830,cg24332710,cg26043149,cg26841068	NA	1.39e-01
6.820	9.92e-10	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00422488,cg00574412,cg00574958,cg00622166,cg01243823,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05288253,cg05603985,cg06178669,cg06599169,cg06690548,cg06983052,cg07626482,cg08255475,cg08257009,cg10589813,cg11068337,cg11376147,cg12340144,cg12554573,cg12825509,cg13409704,cg14476101,cg16541026,cg17061862,cg18125510,cg18159646,cg18405341,cg18660898,cg20479063,cg20520115,cg20813374,cg21626848,cg22103219,cg22197830,cg22821355,cg23913963,cg24332710,cg24711224,cg24848615,cg26043149,cg26841068	NA	1.19e-07
5.617	1.24e-06	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg01243823,cg01881899,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05288253,cg05603985,cg06178669,cg06690548,cg07626482,cg08257009,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg13409704,cg14476101,cg17061862,cg18125510,cg18159646,cg18405341,cg19939077,cg20479063,cg20520115,cg20813374,cg22103219,cg22197830,cg24058132,cg24332710,cg26043149,cg26841068	NA	3.73e-05
1.204	1.70e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00071950,cg00422488,cg01055562,cg03082813,cg03339609,cg03935116,cg06178669,cg07626482,cg12554573,cg17061862,cg18125510,cg18660898,cg24058132,cg24332710,cg26043149,cg26669717,cg26841068	NA	1.00e+00
1.564	1.03e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00071950,cg00422488,cg00574958,cg02711608,cg03068497,cg03725309,cg03935116,cg06178669,cg07626482,cg09646173,cg12554573,cg18120259,cg18125510,cg18660898,cg24058132,cg24332710,cg26043149,cg26841068	NA	7.26e-01
2.988	5.70e-03	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00071950,cg00622166,cg01243823,cg02711608,cg03339609,cg03519879,cg03725309,cg03935116,cg05603985,cg06023661,cg06178669,cg07022048,cg07626482,cg08257009,cg11376147,cg12554573,cg18120259,cg18125510,cg18302606,cg18660898,cg19939077,cg20520115,cg20813374,cg22197830,cg22821355,cg24058132,cg24332710,cg24848615,cg26043149,cg26841068	NA	7.59e-02
2.514	1.54e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00071950,cg00574958,cg01055562,cg01243823,cg02711608,cg03339609,cg03387723,cg03725309,cg03935116,cg05603985,cg06023661,cg06178669,cg07626482,cg08257009,cg11028923,cg12554573,cg12825509,cg18033416,cg18125510,cg18302606,cg19939077,cg20520115,cg22197830,cg24058132,cg24332710,cg26043149,cg26841068	NA	1.68e-01
