Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.509	3.29e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00305108,cg00394026,cg00817464,cg00949332,cg00989806,cg01132696,cg01521397,cg01609691,cg01741372,cg01893721,cg01898560,cg01899759,cg02111865,cg02290262,cg02302574,cg02485174,cg02942158,cg03090145,cg03279442,cg04051206,cg04283041,cg04489053,cg04553038,cg04664516,cg05000446,cg05196796,cg05500904,cg05750782,cg05890727,cg06113552,cg06411521,cg06449191,cg06815311,cg07033722,cg07125981,cg07149033,cg07372938,cg07787637,cg07910010,cg07935482,cg08042254,cg08122070,cg08279189,cg08482536,cg08736630,cg08869748,cg08998950,cg09166556,cg09342997,cg09694051,cg09743906,cg10006828,cg10028625,cg10379517,cg10934870,cg11167160,cg11182146,cg11216153,cg11260662,cg11557478,cg11965692,cg12008478,cg12168509,cg12228627,cg12329916,cg12578084,cg12650153,cg13338814,cg13468144,cg13846195,cg13917614,cg13962111,cg14044685,cg14634918,cg14730017,cg14864966,cg15014361,cg15044453,cg15233651,cg15263617,cg15276228,cg15884546,cg15955909,cg16695102,cg17301248,cg17385708,cg17638213,cg17781418,cg18029737,cg18157364,cg18926797,cg19039140,cg19055828,cg19097407,cg19197556,cg19429405,cg19689387,cg19743666,cg20022454,cg20400045,cg20732787,cg20773479,cg20877250,cg20965748,cg21232401,cg21829166,cg21860329,cg22062450,cg22190299,cg22253960,cg22443212,cg22697477,cg22846250,cg23097878,cg23195763,cg23372523,cg23512567,cg24265600,cg24343007,cg24527044,cg24638099,cg25040934,cg25069157,cg25430089,cg25569341,cg25634041,cg26006714,cg26033510,cg26300092,cg26934362,cg27083089,cg27611767	E029	1.00e+00
4.637	2.32e-06	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00305108,cg00394026,cg00789427,cg00817464,cg00949332,cg00989806,cg01132696,cg01384410,cg01521397,cg01609691,cg01741372,cg01820962,cg01878805,cg01898560,cg01899759,cg01990863,cg02109585,cg02111865,cg02190353,cg02290262,cg02302574,cg02353916,cg02485174,cg02662417,cg02761839,cg02902672,cg02919082,cg02942158,cg03090145,cg03181300,cg03279442,cg03445932,cg03465320,cg03580065,cg04051206,cg04107129,cg04204465,cg04259027,cg04283041,cg04489053,cg04553038,cg04664516,cg04675844,cg04736673,cg04781916,cg04936213,cg05000446,cg05141485,cg05196796,cg05442797,cg05500904,cg05636896,cg05890727,cg05956380,cg06113552,cg06203243,cg06411521,cg06418013,cg06449191,cg06726406,cg06815311,cg07033722,cg07125981,cg07149033,cg07149121,cg07305485,cg07322196,cg07349477,cg07372938,cg07397757,cg07464716,cg07787637,cg07910010,cg07935482,cg07959070,cg08042254,cg08122070,cg08247564,cg08279189,cg08298852,cg08482536,cg08736630,cg08859787,cg08869748,cg08998950,cg09166556,cg09342997,cg09694051,cg09743906,cg10006828,cg10379517,cg10834070,cg10934870,cg11167160,cg11182146,cg11260662,cg11601463,cg11965692,cg12008478,cg12168509,cg12228627,cg12329916,cg12331776,cg12578084,cg12650153,cg12870052,cg13338814,cg13468144,cg13691353,cg13917614,cg13996193,cg14154784,cg14306650,cg14339738,cg14634918,cg14799809,cg14864966,cg14966648,cg15014361,cg15044453,cg15131258,cg15233651,cg15263617,cg15276228,cg15725873,cg16152137,cg16280551,cg16354404,cg16423305,cg16473184,cg16695102,cg16846991,cg17301248,cg17385708,cg17419815,cg17566325,cg17638213,cg17781418,cg17941843,cg18029737,cg18157364,cg18263335,cg18677212,cg18848366,cg18893685,cg18926797,cg18958185,cg19023589,cg19039140,cg19055828,cg19097407,cg19142181,cg19149957,cg19197556,cg19689387,cg19743666,cg19927678,cg20022454,cg20400045,cg20518446,cg20698781,cg20708537,cg20732787,cg20773479,cg20810558,cg20877250,cg20965748,cg21232401,cg21603178,cg21854538,cg21860329,cg22062450,cg22108311,cg22176018,cg22190299,cg22412298,cg22443212,cg22455501,cg22697477,cg22846250,cg23097878,cg23124182,cg23195763,cg23372523,cg23445957,cg23512567,cg23625388,cg23745290,cg23965049,cg24265600,cg24312537,cg24333621,cg24343007,cg24496021,cg24527044,cg24638099,cg25040934,cg25053141,cg25069157,cg25084479,cg25634041,cg26006714,cg26033510,cg26173962,cg26300092,cg26413855,cg26849382,cg26934362,cg27083089,cg27611767	E032	9.60e-05
5.147	3.86e-07	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00305108,cg00394026,cg00789427,cg00817464,cg00949332,cg00989806,cg01521397,cg01609691,cg01741372,cg01820962,cg01878805,cg01893721,cg01898560,cg01899759,cg02109585,cg02111865,cg02190353,cg02302574,cg02353916,cg02485174,cg02662417,cg02761839,cg02942158,cg03090145,cg03279442,cg03343190,cg03445932,cg03465320,cg03580065,cg03964681,cg04051206,cg04107129,cg04283041,cg04489053,cg04553038,cg04664516,cg04675844,cg04736673,cg04739200,cg04781916,cg04864877,cg04936213,cg05000446,cg05141485,cg05196796,cg05442797,cg05636896,cg06113552,cg06203243,cg06360841,cg06411521,cg06449191,cg06524923,cg06577638,cg06726406,cg06815311,cg07033722,cg07125981,cg07149033,cg07149121,cg07322196,cg07372938,cg07397757,cg07721756,cg07787637,cg07863268,cg07910010,cg07935482,cg08042254,cg08122070,cg08247564,cg08279189,cg08287940,cg08482536,cg08736630,cg08869748,cg08998950,cg09166556,cg09342997,cg09467433,cg09610020,cg09694051,cg09743906,cg10006828,cg10028625,cg10379517,cg10934870,cg11047325,cg11167160,cg11182146,cg11216153,cg11260662,cg11557478,cg11601463,cg11965692,cg12008478,cg12228627,cg12329916,cg12331776,cg12578084,cg12870052,cg13338814,cg13441156,cg13468144,cg13691353,cg13917614,cg13996193,cg14187466,cg14541992,cg14573371,cg14634918,cg14730017,cg14864966,cg15044453,cg15233651,cg15276228,cg15725873,cg15955909,cg16152137,cg16280551,cg16473184,cg16695102,cg16846991,cg16972032,cg17301248,cg17385708,cg17638213,cg17714232,cg17781418,cg17884069,cg17941843,cg18157364,cg18263335,cg18608151,cg18677212,cg18893685,cg18926797,cg18958185,cg18961703,cg19023589,cg19039140,cg19055828,cg19097407,cg19197556,cg19689387,cg19743666,cg19787543,cg20022454,cg20708537,cg20732787,cg20773479,cg20810558,cg20877250,cg20965748,cg21232401,cg21860329,cg21941547,cg22062450,cg22190299,cg22443212,cg22697477,cg22846250,cg23097878,cg23372523,cg23445957,cg23512567,cg23745290,cg23965049,cg24265600,cg24312537,cg24333621,cg24343007,cg24392753,cg24496021,cg24880665,cg25040934,cg25053141,cg25069157,cg25084479,cg25430089,cg25569341,cg25634041,cg25757820,cg26006714,cg26033510,cg26173962,cg26413855,cg26434859,cg26849382,cg26934362,cg27083089,cg27159720,cg27611767	E033	6.40e-05
4.432	5.15e-06	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg00112952,cg00305108,cg00394026,cg00789427,cg00789535,cg00817464,cg00949332,cg00989806,cg01132696,cg01521397,cg01609691,cg01741372,cg01820962,cg01878805,cg01898560,cg01899759,cg02048733,cg02109585,cg02111865,cg02290262,cg02302574,cg02353916,cg02485174,cg02662417,cg02761839,cg02763933,cg02942158,cg03090145,cg03262473,cg03272903,cg03279442,cg03343190,cg03445932,cg03580065,cg03964681,cg04051206,cg04204465,cg04259027,cg04283041,cg04489053,cg04553038,cg04664516,cg04675844,cg04739200,cg04781916,cg04798314,cg04864877,cg05062694,cg05141485,cg05196796,cg05442797,cg05475858,cg05636896,cg05750782,cg05890727,cg05986449,cg06113552,cg06360841,cg06394653,cg06411521,cg06524923,cg06577638,cg06726406,cg06815311,cg07033722,cg07125981,cg07149033,cg07322196,cg07372938,cg07382347,cg07397757,cg07464716,cg07704771,cg07787637,cg07910010,cg07935482,cg07959070,cg08042254,cg08122070,cg08247564,cg08279189,cg08482536,cg08736630,cg08859787,cg08869748,cg08998950,cg09166556,cg09342997,cg09574909,cg09694051,cg09743906,cg10006828,cg10379517,cg10834070,cg10934870,cg11047325,cg11167160,cg11182146,cg11216153,cg11260662,cg11557478,cg11601463,cg11965692,cg12008478,cg12168509,cg12228627,cg12329916,cg12578084,cg12650153,cg12870052,cg13338814,cg13441156,cg13448633,cg13468144,cg13574411,cg13691353,cg13846195,cg13917614,cg14061069,cg14339738,cg14541992,cg14573371,cg14634918,cg14730017,cg14864966,cg15044453,cg15233651,cg15263617,cg15276228,cg15444831,cg15725873,cg15955909,cg16152137,cg16280551,cg16695102,cg16846991,cg16972032,cg17090611,cg17301248,cg17385708,cg17638213,cg17781418,cg18157364,cg18263335,cg18677212,cg18848366,cg18893685,cg18926797,cg18958185,cg18961703,cg19023589,cg19039140,cg19055828,cg19097407,cg19197556,cg19689387,cg19743666,cg19787543,cg19803593,cg20022454,cg20518446,cg20708537,cg20732787,cg20773479,cg20786422,cg20877250,cg20965748,cg21232401,cg21829166,cg21860329,cg21941547,cg22062450,cg22108311,cg22176018,cg22190299,cg22412298,cg22443212,cg22697477,cg22846250,cg23097878,cg23195763,cg23372523,cg23403192,cg23445957,cg23512567,cg23625388,cg23745290,cg23965049,cg24012708,cg24265600,cg24312537,cg24333621,cg24343007,cg24496021,cg24527044,cg24880665,cg25040934,cg25053141,cg25069157,cg25084479,cg25569341,cg25634041,cg26006714,cg26033510,cg26173962,cg26300092,cg26413855,cg26849382,cg26934362,cg27083089,cg27611767	E034	1.71e-04
4.902	1.46e-06	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00305108,cg00789427,cg00817464,cg00949332,cg00989806,cg01132696,cg01609691,cg01741372,cg01820962,cg01878805,cg01898560,cg01899759,cg02109585,cg02111865,cg02290262,cg02302574,cg02353916,cg02485174,cg02763933,cg02942158,cg03090145,cg03279442,cg03445932,cg03465320,cg03511624,cg04051206,cg04107129,cg04204465,cg04259027,cg04283041,cg04403684,cg04489053,cg04553038,cg04645556,cg04664516,cg04675844,cg04736673,cg04936213,cg05000446,cg05196796,cg05442797,cg05500904,cg05986449,cg06113552,cg06331585,cg06394653,cg06411521,cg06524923,cg06726406,cg06815311,cg07033722,cg07125981,cg07149033,cg07149121,cg07305485,cg07322196,cg07372938,cg07397757,cg07787637,cg07863268,cg07910010,cg07935482,cg07959070,cg08042254,cg08122070,cg08279189,cg08482536,cg08736630,cg08869748,cg08998950,cg09166556,cg09342997,cg09694051,cg09743906,cg10006828,cg10028625,cg10379517,cg10456459,cg10834070,cg10934870,cg11167160,cg11182146,cg11260662,cg11340328,cg11557478,cg11965692,cg12168509,cg12228627,cg12329916,cg12578084,cg12650153,cg12870052,cg13338814,cg13441156,cg13448633,cg13468144,cg13846195,cg13917614,cg14154784,cg14573371,cg14634918,cg14730017,cg14864966,cg15044453,cg15263617,cg15276228,cg15612945,cg15725873,cg15734589,cg15884546,cg15955909,cg16152137,cg16280551,cg16354404,cg16695102,cg16846991,cg17090611,cg17301248,cg17385708,cg17419815,cg17638213,cg17781418,cg17884069,cg18157364,cg18677212,cg18893685,cg18926797,cg18958185,cg18961703,cg19023589,cg19055828,cg19097407,cg19197556,cg19689387,cg19927678,cg20022454,cg20187011,cg20400045,cg20708537,cg20732787,cg20773479,cg20877250,cg20965748,cg21232401,cg21829166,cg21860329,cg21887193,cg21941547,cg22062450,cg22190299,cg22412298,cg22443212,cg22697477,cg22846250,cg23097878,cg23124182,cg23195763,cg23372523,cg23445957,cg23512567,cg23745290,cg24265600,cg24289952,cg24312537,cg24343007,cg24496021,cg24880665,cg25040934,cg25053141,cg25069157,cg25084479,cg25634041,cg26006714,cg26033510,cg26300092,cg26849382,cg26934362,cg27083089,cg27611767	E046	9.60e-05
3.542	3.81e-04	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg00305108,cg00394026,cg00817464,cg00949332,cg00989806,cg01132696,cg01239499,cg01521397,cg01609691,cg01741372,cg01898560,cg01899759,cg02111865,cg02190353,cg02302574,cg02485174,cg02662417,cg03181300,cg03262473,cg03279442,cg03418002,cg03445932,cg03580065,cg03964681,cg03974400,cg04051206,cg04204465,cg04259027,cg04283041,cg04489053,cg04553038,cg04645556,cg04675844,cg04736673,cg04739200,cg04781916,cg04798314,cg05000446,cg05141485,cg05196796,cg05442797,cg05500904,cg05636896,cg05890727,cg06203243,cg06331585,cg06394653,cg06411521,cg06444433,cg06449191,cg06496041,cg06726406,cg06815311,cg07033722,cg07125981,cg07149033,cg07149121,cg07322196,cg07397757,cg07787637,cg07910010,cg07935482,cg07959070,cg08042254,cg08122070,cg08247564,cg08279189,cg08482536,cg08869748,cg08998950,cg09166556,cg09342997,cg09574909,cg09694051,cg09743906,cg10006828,cg10028625,cg10379517,cg10834070,cg10934870,cg11047325,cg11167160,cg11182146,cg11216153,cg11260662,cg11965692,cg12008478,cg12168509,cg12329916,cg12578084,cg12650153,cg12866960,cg12870052,cg13338814,cg13468144,cg13917614,cg14044685,cg14573371,cg14634918,cg14730017,cg14864966,cg15014361,cg15044453,cg15138245,cg15263617,cg15276228,cg15725873,cg15734589,cg15884546,cg15955909,cg16041412,cg16152137,cg16280551,cg16354404,cg16695102,cg16972032,cg17301248,cg17385708,cg17638213,cg17781418,cg17828921,cg18029737,cg18157364,cg18608151,cg18677212,cg18926797,cg19023589,cg19039140,cg19055828,cg19142181,cg19149957,cg19197556,cg19689387,cg19743666,cg20022454,cg20187011,cg20400045,cg20708537,cg20732787,cg20773479,cg20810558,cg20877250,cg20965748,cg21232401,cg21829166,cg21860329,cg21941547,cg21950155,cg22062450,cg22176018,cg22190299,cg22253960,cg22412298,cg22443212,cg22697477,cg22846250,cg23097878,cg23124182,cg23195763,cg23372523,cg23445957,cg23512567,cg23745290,cg23944405,cg24256039,cg24265600,cg24312537,cg24343007,cg24496021,cg24527044,cg24880665,cg25040934,cg25634041,cg26006714,cg26033510,cg26173962,cg26300092,cg26849382,cg26934362,cg27083089,cg27611767	E050	1.05e-02
2.771	3.74e-03	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg00305108,cg00817464,cg00949332,cg00989806,cg01132696,cg01239499,cg01384410,cg01521397,cg01609691,cg01741372,cg01898560,cg01899759,cg02111865,cg02190353,cg02302574,cg02485174,cg02662417,cg03090145,cg03181300,cg03262473,cg03279442,cg03445932,cg03538296,cg03580065,cg03964681,cg04051206,cg04204465,cg04259027,cg04283041,cg04489053,cg04553038,cg04645556,cg04739200,cg04798314,cg05000446,cg05141485,cg05196796,cg05442797,cg05500904,cg05636896,cg05750782,cg06113552,cg06331585,cg06360841,cg06411521,cg06449191,cg06496041,cg06726406,cg06815311,cg07033722,cg07125981,cg07149033,cg07149121,cg07349477,cg07397757,cg07787637,cg07935482,cg07959070,cg08042254,cg08122070,cg08279189,cg08482536,cg08736630,cg08869748,cg08998950,cg09342997,cg09574909,cg09659072,cg09694051,cg09743906,cg10006828,cg10028625,cg10379517,cg10456459,cg10834070,cg10934870,cg11047325,cg11167160,cg11182146,cg11216153,cg11260662,cg11839596,cg11965692,cg12168509,cg12329916,cg12578084,cg12650153,cg12866960,cg12870052,cg13338814,cg13468144,cg13917614,cg14044685,cg14634918,cg14730017,cg14799809,cg14864966,cg15014361,cg15044453,cg15138245,cg15233651,cg15276228,cg15884546,cg15955909,cg16152137,cg16280551,cg16354404,cg16695102,cg16972032,cg17301248,cg17385708,cg17638213,cg17781418,cg17941843,cg18029737,cg18157364,cg18677212,cg18893685,cg18926797,cg18961703,cg19055828,cg19142181,cg19197556,cg19689387,cg19743666,cg19787543,cg19927678,cg20022454,cg20187011,cg20363450,cg20400045,cg20708537,cg20732787,cg20773479,cg20877250,cg20965748,cg21232401,cg21379113,cg21860329,cg21941547,cg21950155,cg22062450,cg22176018,cg22190299,cg22253960,cg22412298,cg22443212,cg22697477,cg22846250,cg23097878,cg23195763,cg23372523,cg23445957,cg23512567,cg23745290,cg23944405,cg23965049,cg24312537,cg24343007,cg24496021,cg24527044,cg25040934,cg25634041,cg26006714,cg26033510,cg26849382,cg26934362,cg27083089,cg27611767	E051	6.89e-02
3.280	7.80e-04	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00305108,cg00817464,cg00949332,cg01239499,cg01609691,cg01820962,cg01878805,cg01898560,cg01899759,cg02111865,cg02190353,cg02498886,cg02662417,cg02761839,cg03445932,cg03538296,cg03936701,cg03974400,cg04259027,cg04283041,cg04489053,cg04553038,cg04664516,cg04736673,cg04781916,cg04790775,cg04798314,cg05196796,cg05442797,cg05500904,cg05636896,cg05890727,cg06113552,cg06394653,cg06411521,cg06441457,cg06444433,cg06449191,cg06577638,cg06726406,cg06815311,cg06824443,cg07033722,cg07149033,cg07149121,cg07322196,cg07863268,cg07910010,cg07935482,cg08279189,cg08298852,cg08482536,cg08736630,cg08869748,cg08998950,cg09166556,cg09574909,cg09694051,cg10006828,cg10028625,cg10379517,cg10456459,cg10934870,cg11167160,cg11216153,cg11260662,cg11557478,cg11965692,cg12329916,cg12578084,cg12650153,cg12870052,cg13051245,cg13217238,cg13338814,cg13441156,cg13448633,cg13468144,cg13496421,cg13917614,cg14154784,cg14155265,cg14541992,cg14573371,cg14634918,cg14730017,cg14864966,cg14966648,cg15044453,cg15044533,cg15138245,cg15233651,cg15263617,cg15276228,cg15444831,cg15612945,cg15725873,cg15734589,cg15955909,cg16152137,cg16473184,cg16695102,cg16846991,cg16972032,cg17301248,cg17385708,cg17638213,cg17781418,cg17828921,cg17941843,cg18029737,cg18157364,cg18677212,cg18848366,cg18926797,cg18958185,cg18961703,cg19039140,cg19055828,cg19689387,cg19743666,cg19927678,cg20022454,cg20187011,cg20400045,cg20773479,cg20877250,cg20965748,cg21232401,cg21379113,cg21769463,cg21829166,cg21860329,cg21941547,cg22062450,cg22108311,cg22190299,cg22253960,cg22697477,cg22846250,cg22990971,cg23097878,cg23372523,cg23445957,cg23512567,cg23745290,cg23965049,cg24265600,cg24312537,cg24333621,cg24343007,cg24392753,cg24496021,cg24833027,cg25040934,cg25053141,cg25069157,cg25084479,cg25430089,cg25634041,cg26006714,cg26300092,cg26585354,cg26934362,cg27083089,cg27611767	E028	1.85e-02
2.328	8.54e-03	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg00263425,cg00305108,cg00636942,cg00789427,cg00928596,cg00949332,cg00989806,cg01521397,cg01609691,cg01820962,cg01878805,cg01893721,cg01898560,cg01899759,cg01990863,cg02190353,cg02272576,cg02353916,cg02636380,cg02662417,cg02699612,cg02763933,cg03090145,cg03181300,cg03418002,cg03445932,cg03538296,cg04204465,cg04259027,cg04283041,cg04489053,cg04553038,cg04664516,cg04675844,cg04739200,cg04790775,cg04798314,cg05000446,cg05062694,cg05141485,cg05196796,cg05247190,cg05442797,cg05500904,cg05636896,cg05750782,cg05890727,cg06113552,cg06411521,cg06444433,cg06449191,cg06726406,cg06815311,cg07033722,cg07104639,cg07149033,cg07322196,cg07349477,cg07372938,cg07382347,cg07397757,cg07464716,cg07564261,cg07569918,cg07910010,cg08042254,cg08122070,cg08247564,cg08279189,cg08482536,cg08634229,cg08736630,cg08869748,cg09166556,cg09342997,cg09417038,cg09574909,cg09610020,cg09694051,cg09743906,cg10028625,cg10379517,cg10456459,cg10934870,cg11047325,cg11167160,cg11182146,cg11216153,cg11260662,cg11557478,cg11839596,cg11965692,cg12213414,cg12228627,cg12329916,cg12578084,cg12650153,cg12870052,cg12918445,cg12992827,cg13217238,cg13338814,cg13441156,cg13448633,cg13468144,cg13574411,cg13917614,cg13962111,cg14044685,cg14068721,cg14121816,cg14154784,cg14187466,cg14306650,cg14339738,cg14540162,cg14541992,cg14634918,cg14730017,cg14864966,cg14931884,cg15044453,cg15233651,cg15263617,cg15276228,cg15734589,cg15955909,cg16152137,cg16695102,cg16846991,cg16972032,cg17221856,cg17301248,cg17385708,cg17638213,cg17828921,cg17941843,cg18157364,cg18263335,cg18586585,cg18677212,cg18784409,cg18848366,cg18893685,cg18958185,cg18961703,cg19023589,cg19039140,cg19055828,cg19142181,cg19689387,cg19787543,cg19850149,cg19927678,cg20022454,cg20187011,cg20732787,cg20773479,cg20786422,cg20810558,cg20877250,cg20965748,cg21004565,cg21232401,cg21860329,cg21887193,cg21950155,cg22062450,cg22108311,cg22412298,cg23445957,cg23512567,cg23745290,cg23965049,cg24265600,cg24343007,cg24392753,cg24833027,cg25053141,cg25069157,cg25084479,cg25569341,cg25634041,cg25705167,cg26006714,cg26033510,cg26173962,cg26237810,cg26816476,cg26849382,cg26934362,cg27083089,cg27605677,cg27611767	E003	1.42e-01
1.357	9.90e-02	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg00305108,cg00817464,cg00923880,cg01399826,cg01609691,cg01898560,cg01899759,cg02111865,cg02302574,cg03090145,cg03377528,cg03418002,cg03580065,cg03974400,cg04489053,cg04736673,cg04781916,cg04790775,cg05196796,cg05475858,cg05500904,cg05904180,cg06331585,cg06570358,cg06726406,cg07033722,cg07863268,cg07935482,cg08042254,cg08230059,cg08279189,cg08482536,cg08869748,cg10507445,cg11260662,cg11462267,cg12918445,cg13051245,cg13441156,cg13962111,cg14155265,cg14339738,cg14541992,cg14634918,cg14690837,cg15014361,cg15137734,cg15421338,cg15725873,cg16152137,cg16733809,cg17301248,cg17520907,cg18893685,cg18958185,cg19237150,cg19689387,cg20896049,cg20965748,cg21232401,cg21769463,cg21860329,cg21941547,cg22062450,cg22663503,cg22697477,cg23512567,cg23745290,cg24343007,cg24392753,cg25084479,cg25705167,cg27083089	E004	1.00e+00
