Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.844	1.29e-05	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00501876,cg02679745,cg03358636,cg03636183,cg03707168,cg03877174,cg04545963,cg04772644,cg04885881,cg05284742,cg05460226,cg05546863,cg05616969,cg05673882,cg05875421,cg06285727,cg06484123,cg07251887,cg07339236,cg07599366,cg07986378,cg07996594,cg08170787,cg08271031,cg08956463,cg09502149,cg10025200,cg10139742,cg11630411,cg11902777,cg12075928,cg12929983,cg13184736,cg13203394,cg13579607,cg14316231,cg14454127,cg14712058,cg15159987,cg15228441,cg16329896,cg18337963,cg19314352,cg20059012,cg20059928,cg20692268,cg21443659,cg21586223,cg21674153,cg22801799,cg23079012,cg24480695,cg24633390,cg24637035,cg24807547,cg24996979,cg24999105,cg25305703,cg25500196,cg25749254,cg26856289,cg27209729,cg27537125,cg27637521	NA	3.09e-04
1.620	8.15e-02	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg02583484,cg03707168,cg03877174,cg04545963,cg05603985,cg05673882,cg05875421,cg06285727,cg07483304,cg08956463,cg10025200,cg11902777,cg12929983,cg13579607,cg13709639,cg14389122,cg14480046,cg16329896,cg17287155,cg18337963,cg18625627,cg20059928,cg20692268,cg21411490,cg21604136,cg24633390,cg24637035,cg24999105,cg26856289	NA	4.44e-01
-0.206	6.10e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg03358636,cg03707168,cg05875421,cg06285727,cg08534147,cg10025200,cg13038618,cg13203394,cg13709639,cg14099685,cg14480046,cg18337963,cg18625627,cg20059928,cg20692268,cg21604136,cg21611682,cg22801799,cg25500196	NA	1.00e+00
2.529	1.74e-02	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00310412,cg00474696,cg00501876,cg01937809,cg03033176,cg03707168,cg03877174,cg04772644,cg05673882,cg05875421,cg06285727,cg07007621,cg08956463,cg10025200,cg10139742,cg12929983,cg13203394,cg13579607,cg13709639,cg14099685,cg14480046,cg16794579,cg18337963,cg18625627,cg18826637,cg20059928,cg20692268,cg21393163,cg21411490,cg21604136,cg21674153,cg22801799,cg24637035,cg24996979,cg25500196,cg26856289,cg27537125	NA	1.23e-01
3.501	8.66e-04	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00300637,cg00474696,cg00501876,cg01692968,cg01937809,cg02104648,cg02583484,cg03033176,cg03358636,cg03707168,cg03877174,cg04772644,cg04885881,cg05603985,cg05875421,cg06188083,cg06285727,cg07007621,cg07251887,cg07483304,cg08170787,cg08534147,cg08956463,cg10025200,cg10139742,cg11630411,cg11902777,cg12929983,cg13203394,cg13543355,cg13579607,cg13709639,cg14389122,cg14480046,cg14712058,cg16174106,cg16329896,cg17287155,cg17809595,cg18337963,cg18625627,cg18826637,cg19137417,cg19572487,cg20059012,cg20059928,cg20692268,cg21322436,cg21411490,cg21604136,cg21611682,cg24633390,cg24996979,cg25749254,cg26856289,cg27537125	NA	8.65e-03
2.939	6.31e-03	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg02583484,cg02679745,cg03033176,cg03149958,cg03707168,cg03877174,cg04545963,cg04772644,cg05488681,cg05603985,cg05673882,cg05875421,cg06188083,cg06285727,cg07007621,cg08170787,cg08956463,cg09996284,cg10025200,cg11800635,cg11902777,cg12075928,cg12929983,cg13203394,cg13579607,cg13709639,cg14099685,cg14389122,cg14454127,cg14480046,cg15159987,cg16329896,cg17287155,cg18337963,cg18625627,cg18826637,cg19137417,cg19614811,cg20059928,cg20692268,cg21411490,cg21604136,cg21611682,cg22801799,cg24633390,cg24996979,cg24999105,cg25500196,cg26856289,cg27537125	NA	5.04e-02
1.752	6.59e-02	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00501876,cg02679745,cg03358636,cg03707168,cg03877174,cg05673882,cg05875421,cg08170787,cg08271031,cg08956463,cg09502149,cg10025200,cg11324953,cg11800635,cg11902777,cg12929983,cg13579607,cg14316231,cg16329896,cg19572487,cg20692268,cg21393163,cg21586223,cg24996979,cg24999105,cg25749254,cg26856289,cg27537125	NA	3.95e-01
3.234	3.56e-03	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg01692968,cg03636183,cg03707168,cg04772644,cg05575921,cg05673882,cg06285727,cg07339236,cg07986378,cg08170787,cg08956463,cg09996284,cg11660018,cg11902777,cg12929983,cg13038618,cg13709639,cg14389122,cg14712058,cg16329896,cg18337963,cg20059012,cg20692268,cg21322436,cg21411490,cg22801799,cg23079012,cg23949925,cg24633390,cg24996979,cg24999105,cg26856289,cg27537125,cg27637521	NA	3.05e-02
4.342	6.42e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00073090,cg00501876,cg01936839,cg02679745,cg03033176,cg03358636,cg03707168,cg04545963,cg04772644,cg05284742,cg05603985,cg05673882,cg05875421,cg07339236,cg07986378,cg08170787,cg08271031,cg08956463,cg09502149,cg10025200,cg10749994,cg11147309,cg11630411,cg11800635,cg11902777,cg12075928,cg12333160,cg12929983,cg13203394,cg13579607,cg14099685,cg14316231,cg14580211,cg14753356,cg16329896,cg18337963,cg18625627,cg18826637,cg19572487,cg20059012,cg20692268,cg21393163,cg21586223,cg21611682,cg22801799,cg24633390,cg24637035,cg24996979,cg24999105,cg25305703,cg25648203,cg25748521,cg25749254,cg26856289,cg27537125	NA	7.70e-04
3.262	2.28e-03	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00073090,cg01936839,cg02679745,cg03358636,cg03707168,cg04273763,cg04545963,cg04772644,cg05284742,cg05603985,cg05673882,cg05875421,cg06285727,cg06836480,cg07339236,cg07986378,cg08170787,cg08271031,cg10025200,cg10691866,cg11800635,cg11902777,cg12333160,cg12929983,cg13579607,cg13709639,cg14099685,cg14316231,cg14580211,cg14712058,cg14753356,cg16329896,cg18337963,cg18625627,cg20059012,cg21393163,cg21586223,cg21611682,cg21674153,cg22801799,cg24633390,cg24996979,cg24999105,cg25749254,cg26740249,cg27537125	NA	2.10e-02
