Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.564	1.76e-03	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00622166,cg01243823,cg03339609,cg03519879,cg03725309,cg03935116,cg05784862,cg06023661,cg06178669,cg07022048,cg07626482,cg08257009,cg09646173,cg10589813,cg11068337,cg11376147,cg12554573,cg17061862,cg18120259,cg18125510,cg18660898,cg19939077,cg20520115,cg22197830,cg22821355,cg24058132,cg24332710,cg26043149,cg26669717,cg26841068	E029	8.86e-03
5.760	2.04e-07	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01055562,cg01243823,cg01881899,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg06983052,cg07626482,cg08257009,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg13823169,cg17061862,cg18033416,cg18125510,cg18159646,cg18302606,cg18405341,cg18660898,cg19939077,cg20479063,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26470501,cg26841068,cg27637303	E032	2.21e-05
4.846	1.42e-05	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01055562,cg01243823,cg01881899,cg02583484,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05603985,cg05784862,cg06023661,cg06178669,cg06983052,cg07626482,cg08257009,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg17061862,cg18125510,cg18159646,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg26043149,cg26669717,cg26841068	E033	2.63e-04
5.205	2.36e-06	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05603985,cg05784862,cg06023661,cg06178669,cg07626482,cg08257009,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg13823169,cg14348967,cg14476101,cg16541026,cg18159646,cg18302606,cg18405341,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg26043149,cg26470501,cg26669717,cg26841068,cg27637303	E034	9.79e-05
3.572	1.22e-03	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01055562,cg01243823,cg01881899,cg02711608,cg03339609,cg03519879,cg03725309,cg03935116,cg05784862,cg06023661,cg06178669,cg07626482,cg08257009,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg13823169,cg17061862,cg18125510,cg18405341,cg18660898,cg19939077,cg20813374,cg22103219,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg26043149,cg26841068	E046	6.76e-03
4.608	2.61e-05	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00574958,cg00716257,cg01055562,cg01243823,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03519879,cg03725309,cg03935116,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg07022048,cg07626482,cg08257009,cg09646173,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg14476101,cg16541026,cg17061862,cg18125510,cg18405341,cg18660898,cg19939077,cg20479063,cg20520115,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg26043149,cg26669717,cg26841068	E050	3.94e-04
2.098	3.72e-02	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00574958,cg00716257,cg01055562,cg01243823,cg02711608,cg03387723,cg03935116,cg05784862,cg06023661,cg06178669,cg06599169,cg07022048,cg07626482,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg16541026,cg17061862,cg18125510,cg19939077,cg20479063,cg20520115,cg20813374,cg22197830,cg24058132,cg24332710,cg26043149,cg26841068	E051	1.72e-01
5.222	8.79e-06	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00622166,cg01243823,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03725309,cg03935116,cg05603985,cg05784862,cg06178669,cg06690548,cg07626482,cg08257009,cg09646173,cg10589813,cg11068337,cg11376147,cg12554573,cg13823169,cg14348967,cg14476101,cg16541026,cg17061862,cg18120259,cg18125510,cg18302606,cg18660898,cg19939077,cg20479063,cg20520115,cg21626848,cg21795255,cg22197830,cg22821355,cg24332710,cg24711224,cg24848615,cg26043149,cg26841068	E028	1.95e-04
3.840	3.37e-04	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg01055562,cg02711608,cg03082813,cg03339609,cg03387723,cg03725309,cg03935116,cg04367503,cg04625615,cg05603985,cg06023661,cg06178669,cg06983052,cg07626482,cg09684846,cg11028923,cg11376147,cg12340144,cg12554573,cg13409704,cg14476101,cg16541026,cg17061862,cg18033416,cg18120259,cg18125510,cg18302606,cg19939077,cg20479063,cg20520115,cg20813374,cg21626848,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26103104,cg26841068,cg27637303	E003	2.16e-03
4.105	1.01e-04	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg01055562,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04625615,cg05603985,cg06178669,cg06690548,cg06983052,cg07626482,cg10589813,cg11028923,cg11068337,cg11376147,cg13409704,cg14476101,cg16541026,cg17061862,cg18033416,cg18120259,cg18125510,cg18302606,cg18660898,cg19939077,cg20479063,cg20520115,cg20813374,cg21626848,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26103104,cg26841068,cg27637303	E004	1.04e-03
