Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
N/A	N/A	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	N/A	E029	1.00E+00
N/A	0.00000941	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	"cg00012522,cg00169167,cg00316839,cg02251027,cg02751123,cg03038003,cg03078043,cg03114255,cg04254242,cg05543049,cg05886418,cg06480265,cg06733794,cg07803006,cg07889284,cg07951301,cg09478665,cg09503780,cg09885505,cg10852177,cg11170810,cg11183632,cg11478320,cg12250896,cg13004587,cg13827212,cg14051544,cg14451926,cg14632002,cg14762316,cg15343119,cg15445000,cg16208136,cg17114283,cg17166262,cg17324198,cg17855264,cg18020955,cg18131537,cg18275321,cg18532190,cg18722847,cg19602920,cg19638398,cg20901246,cg21001198,cg22124136,cg22439241,cg22608128,cg23290482,cg23974418,cg24051276,cg24057176,cg24082680,cg24783211,cg26251069,cg26972058"	E032	0.00119
N/A	N/A	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	N/A	E033	1.00E+00
N/A	0.000556	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	"cg00012522,cg00169167,cg00316839,cg01681847,cg02251027,cg02751123,cg03038003,cg03078043,cg03114255,cg04254242,cg05543049,cg05886418,cg06480265,cg06733794,cg07803006,cg07889284,cg07951301,cg08269394,cg09478665,cg09503780,cg09885505,cg11170810,cg11183632,cg12250896,cg12345672,cg13004587,cg13827212,cg14051544,cg14451926,cg14632002,cg14762316,cg15343119,cg15445000,cg16208136,cg17114283,cg17166262,cg17324198,cg17518965,cg17855264,cg18020955,cg18131537,cg18275321,cg18529845,cg18532190,cg18722847,cg18778433,cg19602920,cg19638398,cg20901246,cg21001198,cg22124136,cg22439241,cg22608128,cg23290482,cg23974418,cg24051276,cg24057176,cg24082680,cg24783211,cg26251069,cg26972058"	E034	0.0212
N/A	0.000358	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	"cg00012522,cg00169167,cg00316839,cg02251027,cg02751123,cg03038003,cg03078043,cg03114255,cg04254242,cg05543049,cg05886418,cg06480265,cg06733794,cg07803006,cg07889284,cg07951301,cg08269394,cg09478665,cg09503780,cg09885505,cg10852177,cg11170810,cg11478320,cg12250896,cg12345672,cg13004587,cg13827212,cg14451926,cg14632002,cg14762316,cg15343119,cg15445000,cg16208136,cg17114283,cg17166262,cg17324198,cg17518965,cg18020955,cg18131537,cg18275321,cg18532190,cg18722847,cg18778433,cg19602920,cg19638398,cg20901246,cg21001198,cg22439241,cg22608128,cg23290482,cg23974418,cg24051276,cg24057176,cg24082680,cg24783211,cg26251069,cg26972058"	E046	0.0151
N/A	8.70E-07	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	"cg00012522,cg00169167,cg00316839,cg01681847,cg02251027,cg02751123,cg03038003,cg03078043,cg03114255,cg05543049,cg06349546,cg06480265,cg06733794,cg07803006,cg07889284,cg07951301,cg08269394,cg09478665,cg09503780,cg09885505,cg10852177,cg11170810,cg11183632,cg11478320,cg12250896,cg12345672,cg13004587,cg13827212,cg14051544,cg14451926,cg14632002,cg14762316,cg15343119,cg15445000,cg16208136,cg17114283,cg17166262,cg17324198,cg17518965,cg17855264,cg18020955,cg18131537,cg18275321,cg18529845,cg18532190,cg18722847,cg18778433,cg19301058,cg19602920,cg19638398,cg20597117,cg20901246,cg21001198,cg22124136,cg22439241,cg22608128,cg23290482,cg23974418,cg24051276,cg24057176,cg24082680,cg24783211,cg26251069,cg26972058"	E050	0.000339
N/A	0.000296	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	"cg00169167,cg00316839,cg02251027,cg02751123,cg03078043,cg03114255,cg05543049,cg06480265,cg06733794,cg07803006,cg07889284,cg07951301,cg08269394,cg09478665,cg09503780,cg09885505,cg10852177,cg11170810,cg11183632,cg11478320,cg12250896,cg12345672,cg13004587,cg13827212,cg14051544,cg14451926,cg14632002,cg14762316,cg15343119,cg15445000,cg16208136,cg17114283,cg17324198,cg17518965,cg18020955,cg18131537,cg18275321,cg18529845,cg18532190,cg18722847,cg18778433,cg19301058,cg19602920,cg19638398,cg20901246,cg21001198,cg22124136,cg22439241,cg22608128,cg23290482,cg23974418,cg24051276,cg24057176,cg24082680,cg24783211,cg26251069,cg26972058"	E051	0.0135
N/A	N/A	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	N/A	E028	1.00E+00
N/A	N/A	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	N/A	E003	1.00E+00
N/A	N/A	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me1	E004-H3K4me1.broadPeak.gz	N/A	E004	1.00E+00
N/A	N/A	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K4me1	E005-H3K4me1.broadPeak.gz	N/A	E005	1.00E+00
N/A	N/A	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K4me1	E006-H3K4me1.broadPeak.gz	N/A	E006	1.00E+00
