Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-3.349	9.99e-01	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00213123,cg00320288,cg00675133,cg00994804,cg02019125,cg02196294,cg02343823,cg02463253,cg02532700,cg02763617,cg03338220,cg03662049,cg04905201,cg05927068,cg06179765,cg06981386,cg08464824,cg09837361,cg10078511,cg10136560,cg10234985,cg10312186,cg10599571,cg10830889,cg11029191,cg11902777,cg12630461,cg13431464,cg13838969,cg14157435,cg14485097,cg15271616,cg15809578,cg17140307,cg18449062,cg20059928,cg20065768,cg23277376,cg24435571,cg24449302,cg24500683,cg24626003,cg24915511,cg25311764	E029	1.00e+00
-2.924	9.98e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00123478,cg00320288,cg00675133,cg00994804,cg02196294,cg02227813,cg02343823,cg02532700,cg02763617,cg03338220,cg04358214,cg04561804,cg04979435,cg05927068,cg06391982,cg06981386,cg07211044,cg07964538,cg08026735,cg08463485,cg08464824,cg08511651,cg08764927,cg09457469,cg09721659,cg09837361,cg10312186,cg10387769,cg10599571,cg10830889,cg11029191,cg11637005,cg11642681,cg11898431,cg11902777,cg12125332,cg12630461,cg13431464,cg13838969,cg14157435,cg15809578,cg16548362,cg17140307,cg17165695,cg18449062,cg20059928,cg20065768,cg20441135,cg20708516,cg21120678,cg21574675,cg22488352,cg22703520,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25257677,cg25311764,cg25881170,cg25955817,cg26783428	E032	1.00e+00
-3.488	1.00e+00	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00123478,cg00675133,cg00994804,cg02196294,cg02343823,cg02532700,cg02763617,cg03338220,cg04358214,cg04561804,cg04979435,cg05927068,cg06391982,cg06981386,cg07964538,cg08026735,cg08464824,cg09721659,cg09837361,cg10312186,cg10599571,cg10830889,cg11898431,cg11902777,cg12125332,cg12630461,cg13431464,cg13838969,cg14157435,cg15016771,cg15091747,cg15726169,cg15809578,cg16071219,cg16548362,cg17140307,cg18449062,cg20059928,cg20065768,cg21120678,cg21574675,cg22488352,cg22703520,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg25311764,cg25881170,cg26783428	E033	1.00e+00
-4.007	1.00e+00	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00123478,cg00213123,cg00675133,cg00994804,cg02196294,cg02343823,cg02532700,cg02763617,cg03338220,cg04358214,cg04396550,cg04561804,cg04979435,cg05927068,cg06391982,cg06981386,cg07964538,cg08464824,cg08511651,cg08764927,cg09457469,cg09721659,cg09837361,cg09860781,cg10312186,cg10599571,cg10830889,cg11642681,cg11898431,cg11902777,cg12630461,cg13431464,cg13838969,cg14157435,cg14179389,cg15016771,cg15091747,cg15726169,cg15809578,cg16071219,cg17140307,cg17165695,cg17403609,cg20065768,cg20708516,cg21120678,cg21209395,cg21574675,cg22488352,cg22703520,cg24449302,cg24500683,cg24626003,cg25881170,cg26783428	E034	1.00e+00
-3.966	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00213123,cg00320288,cg00675133,cg00994804,cg02196294,cg02343823,cg02491878,cg02532700,cg02763617,cg03338220,cg04358214,cg04561804,cg04979435,cg05927068,cg06391982,cg06981386,cg07964538,cg08464824,cg08764927,cg09837361,cg10234985,cg10312186,cg10599571,cg10830889,cg11898431,cg11902777,cg12630461,cg13431464,cg13838969,cg14157435,cg14179389,cg15016771,cg15091747,cg15726169,cg15809578,cg16071219,cg17745339,cg20708516,cg21120678,cg21209395,cg22488352,cg24435571,cg24449302,cg24500683,cg24626003,cg24915511,cg25311764,cg25881170,cg26783428	E046	1.00e+00
-2.343	9.87e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00213123,cg00320288,cg00675133,cg00994804,cg01571001,cg02019125,cg02185666,cg02196294,cg02343823,cg02463253,cg02532700,cg02564134,cg02763617,cg02938205,cg03338220,cg04358214,cg04396550,cg04561804,cg04979435,cg05065239,cg05575921,cg05927068,cg06391982,cg06411551,cg06981386,cg07211044,cg07350977,cg07964538,cg08067721,cg08311343,cg08464824,cg08511651,cg09721659,cg09837361,cg09860781,cg10068437,cg10136560,cg10312186,cg10599571,cg10830889,cg11642681,cg11902777,cg12630461,cg13838969,cg14157435,cg14485097,cg15091747,cg15271616,cg15439725,cg15726169,cg15809578,cg17140307,cg17165695,cg17745339,cg20059928,cg20785560,cg21120678,cg21209395,cg21574675,cg22488352,cg23277376,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25311764,cg25602536,cg26783428,cg26889659,cg27454064	E050	1.00e+00
-1.864	9.64e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00123478,cg00213123,cg00675133,cg00994804,cg02019125,cg02185666,cg02196294,cg02343823,cg02463253,cg02532700,cg02763617,cg03338220,cg04396550,cg04561804,cg04979435,cg05065239,cg05575921,cg05697249,cg05927068,cg06391982,cg06411551,cg06732241,cg06981386,cg07211044,cg07350977,cg07964538,cg08067721,cg08311343,cg08464824,cg08511651,cg09837361,cg10136560,cg10312186,cg10599571,cg10830889,cg11642681,cg11902777,cg12630461,cg13431464,cg14157435,cg14485097,cg15091747,cg15271616,cg15439725,cg15726169,cg15809578,cg17140307,cg17165695,cg17745339,cg20059928,cg21120678,cg21209395,cg21574675,cg22488352,cg23277376,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25311764,cg25602536,cg25881170,cg26416971,cg26783428,cg26889659,cg27454064	E051	1.00e+00
-0.412	6.80e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00057231,cg00452133,cg00675133,cg00994804,cg01101380,cg01876548,cg02196294,cg02343823,cg02564134,cg02763617,cg03338220,cg03362840,cg03449398,cg03662049,cg03906115,cg04177244,cg04979435,cg05697249,cg05927068,cg06194982,cg06391982,cg06511312,cg06813382,cg06981386,cg07042914,cg07720188,cg07964538,cg08026735,cg08311343,cg08464824,cg08511651,cg09837361,cg10078511,cg10387769,cg10765212,cg10830889,cg11025974,cg11204974,cg11642681,cg12125332,cg12630461,cg12680719,cg13496596,cg13626863,cg14086013,cg14157435,cg14485097,cg15016771,cg15091747,cg15271616,cg15439725,cg15726169,cg16548362,cg17140307,cg17745339,cg18789929,cg20059928,cg20441135,cg20708516,cg21120678,cg21144928,cg21211730,cg22488352,cg23277376,cg23450038,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24915511,cg25311764,cg25881170,cg26783428,cg27508620	E028	1.00e+00
8.854	1.23e-16	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00001099,cg00057231,cg00091633,cg00123478,cg00253658,cg00306311,cg00479240,cg00536792,cg00675133,cg00755980,cg00831726,cg00937681,cg00994804,cg01101380,cg01571001,cg01856384,cg02019125,cg02185666,cg02196294,cg02227813,cg02343823,cg02463253,cg02564134,cg02763617,cg02938205,cg03102841,cg03125400,cg03274456,cg03278643,cg03287658,cg03338220,cg03354508,cg03362840,cg03449398,cg03453374,cg03662049,cg03687532,cg03906115,cg03909983,cg04048634,cg04177244,cg04180046,cg04358214,cg04359418,cg04396550,cg04561804,cg04598670,cg04907595,cg04979435,cg05065239,cg05065879,cg05697249,cg05755354,cg05927068,cg06179765,cg06194982,cg06391982,cg06411551,cg06686742,cg06732241,cg06813382,cg06981386,cg07042914,cg07211044,cg07250758,cg07350977,cg07720188,cg07964538,cg08026735,cg08067721,cg08265933,cg08311343,cg08463485,cg08464824,cg08764927,cg08916461,cg09321403,cg09368188,cg09457469,cg09648727,cg09721659,cg09760963,cg09837361,cg09860781,cg10068437,cg10078511,cg10136560,cg10234985,cg10239860,cg10599571,cg10765212,cg10830889,cg11025974,cg11144555,cg11204974,cg11205636,cg11591485,cg11637005,cg11642681,cg11672277,cg11731596,cg11898431,cg12125332,cg12630461,cg13496596,cg13626863,cg13989852,cg14086013,cg14157435,cg14179389,cg14207589,cg14213394,cg14331765,cg14485097,cg14565151,cg14736365,cg15016771,cg15091747,cg15271616,cg15325070,cg15439725,cg15578140,cg15726169,cg15945287,cg16832407,cg17140307,cg17165695,cg17403609,cg17470251,cg17599609,cg18449062,cg18493761,cg18592365,cg18680834,cg18789929,cg20059928,cg20065768,cg20615848,cg20708516,cg20714328,cg21120678,cg21144928,cg21209395,cg21211730,cg21574675,cg21700511,cg22456178,cg22488352,cg22703520,cg23277376,cg23450038,cg23458168,cg23790219,cg24449302,cg24500683,cg24612707,cg24626003,cg24657523,cg24915511,cg25257677,cg25602536,cg25881170,cg26001902,cg26416971,cg26876647,cg26889659,cg27383418,cg27508620	E003	2.05e-14
6.619	4.92e-10	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00001099,cg00091633,cg00123478,cg00253658,cg00536792,cg00675133,cg00755980,cg00831726,cg00937681,cg00994804,cg01340163,cg01571001,cg01735082,cg01856384,cg02019125,cg02196294,cg02227813,cg02343823,cg02463253,cg02491878,cg02564134,cg02611770,cg02763617,cg03125400,cg03274456,cg03278643,cg03287658,cg03338220,cg03354508,cg03362840,cg03449398,cg03662049,cg03687532,cg04048634,cg04177244,cg04358214,cg04396550,cg04561804,cg04598670,cg04907595,cg04979435,cg05065239,cg05065879,cg05697249,cg05927068,cg06194982,cg06391982,cg06411551,cg06511312,cg06686742,cg06732241,cg06813382,cg06832339,cg06981386,cg07042914,cg07211044,cg07250758,cg07720188,cg07964538,cg08026735,cg08067721,cg08311343,cg08464824,cg08511651,cg09368188,cg09457469,cg09760963,cg09837361,cg09860781,cg10068437,cg10078511,cg10136560,cg10234985,cg10599571,cg10765212,cg10830889,cg11025974,cg11144555,cg11205636,cg11591485,cg11637005,cg11642681,cg11898431,cg12125332,cg12630461,cg12680719,cg13496596,cg13626863,cg13989852,cg14086013,cg14157435,cg14179389,cg14207589,cg14331765,cg14485097,cg14565151,cg14736365,cg15016771,cg15091747,cg15271616,cg15439725,cg15726169,cg15809578,cg15945287,cg16071219,cg16832407,cg17140307,cg17165695,cg17470251,cg17599609,cg17858880,cg18449062,cg18493761,cg18592365,cg18789929,cg20059928,cg20065768,cg20441135,cg20615848,cg20708516,cg20785560,cg21120678,cg21144928,cg21209395,cg21574675,cg22456178,cg22488352,cg22703520,cg23277376,cg23450038,cg23790219,cg24435571,cg24449302,cg24500683,cg24612707,cg24626003,cg24657523,cg24915511,cg25257677,cg25602536,cg25949550,cg26416971,cg26876647,cg26889659,cg27383418,cg27508620	E004	1.02e-08
