Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
6.550	4.81e-10	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00027232,cg00066351,cg00157962,cg00427604,cg00578437,cg00638845,cg00813162,cg01201215,cg01204911,cg01205058,cg01514075,cg01582066,cg01637169,cg01893068,cg01910727,cg01970336,cg01991967,cg02137956,cg02364826,cg02659854,cg02688118,cg02847588,cg02974085,cg03022510,cg03074946,cg03113867,cg03152353,cg03321813,cg03676485,cg03919488,cg03919650,cg03981685,cg04057956,cg04067249,cg04075726,cg04204452,cg04523589,cg04813697,cg04903759,cg05206633,cg05296619,cg05380759,cg05523603,cg05720226,cg05875421,cg05986288,cg06333800,cg06419268,cg06496803,cg06536806,cg06974428,cg07081759,cg07272654,cg07377178,cg07456681,cg07472373,cg07527324,cg07568841,cg07651316,cg08086385,cg08088511,cg08393937,cg08442088,cg08473752,cg08491668,cg08708079,cg08830502,cg09031958,cg09262197,cg09395612,cg09446896,cg09470754,cg09667606,cg09668964,cg09849319,cg10081994,cg10092231,cg10097651,cg10264529,cg10342963,cg10511985,cg10575547,cg10718809,cg10769201,cg10818566,cg10876767,cg10914815,cg11046602,cg11130692,cg11153071,cg11276093,cg11588903,cg11626175,cg11931463,cg12081267,cg12147622,cg12167564,cg12389611,cg12402318,cg12743031,cg13241751,cg13464573,cg13692972,cg13821176,cg13831136,cg13876325,cg14012546,cg14016418,cg14109551,cg14378231,cg14459059,cg14499387,cg14525310,cg14674856,cg14781394,cg15042302,cg15070897,cg15241074,cg15349559,cg15407058,cg15418499,cg15458222,cg15535471,cg15867698,cg16160637,cg16267322,cg16303353,cg16505891,cg16565031,cg16638092,cg16651347,cg16785938,cg16951074,cg17173896,cg17218270,cg17647904,cg17843665,cg18332229,cg18455616,cg18460107,cg18599081,cg18777299,cg18854666,cg19215266,cg19268453,cg19311375,cg19502671,cg19546057,cg19733736,cg19904905,cg20063095,cg20472746,cg20700740,cg20981184,cg21187669,cg21221712,cg21370522,cg21515785,cg22328837,cg22356061,cg22386583,cg22396498,cg22460173,cg22996170,cg23275644,cg23327334,cg23358740,cg23514211,cg24139720,cg24182798,cg24279017,cg24517501,cg25003924,cg25004840,cg25105522,cg25211705,cg25392995,cg25587233,cg25646029,cg25705508,cg25727853,cg26118358,cg26196087,cg26298914,cg26419676,cg26446803,cg26470175,cg26501007,cg26538164,cg26608667,cg26689077,cg27128761,cg27178772,cg27278668,cg27345946,cg27640064	NA	9.60e-09
-3.164	9.99e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00157962,cg00390484,cg01865484,cg01953317,cg02459569,cg02469356,cg02847674,cg02859042,cg03611551,cg04266607,cg04341806,cg04741118,cg05875421,cg06958535,cg06974428,cg07298431,cg07337598,cg07571951,cg07795928,cg09411597,cg09569850,cg10526841,cg11589287,cg11690983,cg11931463,cg12098228,cg13464573,cg14307853,cg14852276,cg15070897,cg16303353,cg16306654,cg16962557,cg17218270,cg18777299,cg19393677,cg19696679,cg19904905,cg20189937,cg20405697,cg21049825,cg21193744,cg21422623,cg21882356,cg22460173,cg22996170,cg23327334,cg23358740,cg23705113,cg24139720,cg25392995,cg25727853,cg25900943,cg26369382,cg26689077	NA	1.00e+00
2.400	1.13e-02	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00115639,cg00157962,cg00259404,cg00427604,cg00483217,cg01204911,cg01991967,cg02688118,cg02847588,cg02974085,cg03022510,cg03113867,cg03919650,cg04057956,cg04067249,cg04075726,cg04204452,cg04657183,cg04903759,cg05125809,cg05296619,cg05523603,cg05875421,cg05986288,cg06333800,cg06496803,cg07272654,cg07377178,cg07456681,cg07651316,cg08830502,cg09470754,cg09667606,cg09668964,cg09849319,cg10045881,cg10092231,cg10264529,cg10342963,cg10511985,cg10575547,cg10818566,cg10914815,cg11276093,cg11554335,cg11576424,cg11608958,cg11931463,cg12081267,cg12167564,cg13831136,cg13876325,cg14016418,cg14109551,cg15042302,cg15070897,cg15418499,cg16267322,cg16281534,cg16306654,cg16565031,cg16951074,cg17173896,cg17218270,cg17886959,cg18599081,cg18790856,cg18854666,cg19268453,cg19546057,cg19904905,cg20063095,cg20472746,cg20700740,cg21187669,cg21346154,cg21370522,cg21882356,cg22328837,cg22396498,cg22460173,cg23275644,cg23327334,cg23536675,cg23716690,cg24139720,cg25003924,cg25004840,cg25105522,cg25705508,cg25727853,cg26118358,cg26298914,cg26446803,cg26501007,cg26837399,cg27278668	NA	7.56e-02
0.193	4.48e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00259404,cg00427604,cg01204911,cg02659854,cg02974085,cg03022510,cg03113867,cg03321813,cg04057956,cg04075726,cg04204452,cg05206633,cg05523603,cg05875421,cg05986288,cg06333800,cg06496803,cg07272654,cg07377178,cg08830502,cg08840010,cg09395612,cg09470754,cg09667606,cg09668964,cg09849319,cg10092231,cg10097651,cg10511985,cg10575547,cg10818566,cg11588903,cg11608958,cg11931463,cg12167564,cg13692972,cg13831136,cg13876325,cg15070897,cg16306654,cg16565031,cg16951074,cg17173896,cg17218270,cg17886959,cg18455616,cg18599081,cg18777299,cg18854666,cg19268453,cg19546057,cg19733736,cg20063095,cg20472746,cg21370522,cg22328837,cg23387863,cg23716690,cg24139720,cg24182798,cg25445707,cg25727853,cg26298914,cg26419676,cg26446803,cg26501007,cg26689077,cg26837399,cg27640064	NA	1.00e+00
-1.933	9.79e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00157962,cg00946598,cg01637169,cg01692018,cg01865484,cg01953317,cg02000275,cg02246992,cg02402423,cg02927618,cg03332546,cg04057956,cg04341806,cg04741118,cg04920630,cg04986899,cg05125809,cg05523603,cg05875421,cg06710259,cg06958535,cg06974428,cg07158065,cg07298431,cg07545306,cg07795928,cg08122652,cg08166362,cg08393937,cg09411597,cg09424308,cg09569850,cg11576424,cg11690983,cg11931463,cg12147622,cg13666648,cg13804478,cg13821176,cg13876325,cg14307853,cg14468280,cg15241074,cg15279832,cg16303353,cg16576811,cg16770549,cg16962557,cg18777299,cg19393677,cg19696679,cg19827511,cg20044443,cg20114528,cg20378687,cg20405697,cg20472746,cg21049825,cg21370522,cg22460173,cg23358740,cg23426156,cg23536830,cg24174608,cg24517501,cg25003924,cg25112590,cg25211705,cg25709050,cg25758167,cg25900943,cg26369382,cg26529864,cg26689077,cg26851984,cg27175380	NA	1.00e+00
-0.812	8.10e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00066351,cg00157962,cg00231361,cg00390484,cg01201215,cg01205058,cg01442843,cg01865484,cg02000275,cg02255510,cg02736280,cg02847674,cg02941852,cg03022510,cg03130816,cg03611551,cg03769939,cg04266607,cg04341806,cg04536704,cg04664309,cg04977528,cg04986899,cg05125809,cg05209514,cg05296619,cg05523603,cg05524458,cg05875421,cg06151744,cg06483820,cg06536806,cg06607384,cg06710259,cg07298431,cg07337598,cg07545306,cg07568841,cg07571951,cg07691624,cg08127369,cg08393937,cg08491668,cg08708079,cg08813944,cg09013655,cg09411597,cg09569850,cg10097651,cg10183965,cg10264529,cg10526841,cg10755077,cg10818566,cg10866623,cg11130692,cg11566441,cg11690983,cg11931463,cg12098228,cg12147622,cg12402318,cg12669088,cg13666648,cg13876325,cg14307853,cg14525310,cg14643001,cg14781394,cg14852276,cg14917706,cg15070897,cg15279832,cg15458222,cg15642209,cg15889057,cg16306654,cg16456087,cg16638092,cg17173896,cg17218270,cg17843665,cg18399451,cg18446472,cg18460107,cg18777299,cg19205064,cg19215266,cg19393677,cg19696679,cg19827511,cg19861623,cg19904905,cg20114528,cg20189937,cg20405697,cg20472746,cg20715953,cg21049825,cg22396498,cg22460173,cg22938901,cg22996170,cg23032421,cg23387863,cg23426156,cg23452957,cg23536675,cg23716690,cg24095374,cg24139720,cg24174608,cg24197477,cg24517501,cg25003924,cg25004840,cg25112590,cg25211705,cg25392995,cg25727853,cg25758167,cg26109393,cg26341831,cg26369382,cg26501007,cg26607897,cg26689077,cg26851984,cg26873338,cg27000590,cg27054084,cg27156259,cg27175380,cg27640064	NA	1.00e+00
10.578	7.18e-26	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00027232,cg00157962,cg00259404,cg00355656,cg00357971,cg00427604,cg00483217,cg00578437,cg00638845,cg00673191,cg00813162,cg00844155,cg00852924,cg00864012,cg01093786,cg01201215,cg01204911,cg01205058,cg01442843,cg01455178,cg01514075,cg01582066,cg01620379,cg01637169,cg01770296,cg01893068,cg01910727,cg01991967,cg02000275,cg02033302,cg02102075,cg02137956,cg02246992,cg02402423,cg02459569,cg02659854,cg02688118,cg02847588,cg02859042,cg02909097,cg02927618,cg02930951,cg02947253,cg02974085,cg02991727,cg03022510,cg03054529,cg03074946,cg03113867,cg03130816,cg03147185,cg03152353,cg03321813,cg03676485,cg03738384,cg03919488,cg03919650,cg03981685,cg04057956,cg04067249,cg04075726,cg04147969,cg04204452,cg04341806,cg04357789,cg04389533,cg04523589,cg04657183,cg04748546,cg04813697,cg04814352,cg04903759,cg04988978,cg05027554,cg05125809,cg05206633,cg05209514,cg05296619,cg05380759,cg05465955,cg05474943,cg05499338,cg05503887,cg05523603,cg05599723,cg05624954,cg05720226,cg05753799,cg05875421,cg05878073,cg05986288,cg06333800,cg06419268,cg06496803,cg06607384,cg06768361,cg07081759,cg07092805,cg07158065,cg07272654,cg07377178,cg07443710,cg07456681,cg07472373,cg07527324,cg07571951,cg07651316,cg07691624,cg07721901,cg07795928,cg07800658,cg07809831,cg08088511,cg08393937,cg08442088,cg08491668,cg08608126,cg08782002,cg08830502,cg08840010,cg09010707,cg09031958,cg09187107,cg09255910,cg09387914,cg09395612,cg09446896,cg09470754,cg09553839,cg09667606,cg09668964,cg09841788,cg09849319,cg09912552,cg10045881,cg10081994,cg10092231,cg10097651,cg10219223,cg10264529,cg10342963,cg10511985,cg10526841,cg10575547,cg10675058,cg10718809,cg10755077,cg10815420,cg10818566,cg10827767,cg10876767,cg10914815,cg11046602,cg11130692,cg11153071,cg11276093,cg11554335,cg11588903,cg11608958,cg11671363,cg11690983,cg11736228,cg12081267,cg12147622,cg12167564,cg12201988,cg12402318,cg12743031,cg12776287,cg13008492,cg13185218,cg13222915,cg13241751,cg13380995,cg13464573,cg13466180,cg13567986,cg13638867,cg13666648,cg13692972,cg13821176,cg13831136,cg13872812,cg13876325,cg14012546,cg14086364,cg14090647,cg14109551,cg14195115,cg14307853,cg14378231,cg14422240,cg14459059,cg14499387,cg14525310,cg14634136,cg14674856,cg14774440,cg14781394,cg14852276,cg15042302,cg15070897,cg15241074,cg15349559,cg15382302,cg15418499,cg15457217,cg15889057,cg16101213,cg16160637,cg16267322,cg16281534,cg16303353,cg16306654,cg16378015,cg16463452,cg16565031,cg16638092,cg16651347,cg16702362,cg16770549,cg16785938,cg16951074,cg17173896,cg17218270,cg17554464,cg17843665,cg17886959,cg17962756,cg18332229,cg18455616,cg18599081,cg18777299,cg18790856,cg18854666,cg18915156,cg18981338,cg19081101,cg19139092,cg19205064,cg19268453,cg19311375,cg19393677,cg19445588,cg19546057,cg19718359,cg19733736,cg19827511,cg19861623,cg19904905,cg20063095,cg20378687,cg20405697,cg20472746,cg20519581,cg20686403,cg20700740,cg20715953,cg20802392,cg20981184,cg21049825,cg21187669,cg21221712,cg21370522,cg21442881,cg21654359,cg21678736,cg21882356,cg22328837,cg22372849,cg22396498,cg22400420,cg22460173,cg22848646,cg22858210,cg22996170,cg23205629,cg23275644,cg23327334,cg23358740,cg23387863,cg23452957,cg23514211,cg23536675,cg23642826,cg23716690,cg24085426,cg24095374,cg24139720,cg24174608,cg24197477,cg24517501,cg24751551,cg24797501,cg24830898,cg24882332,cg24902842,cg24913825,cg25003924,cg25004840,cg25119415,cg25132536,cg25211705,cg25305879,cg25318579,cg25392995,cg25445707,cg25587233,cg25646029,cg25705508,cg25727853,cg25757820,cg25758167,cg25900943,cg26118358,cg26196087,cg26234644,cg26284483,cg26298914,cg26313511,cg26369382,cg26419676,cg26446803,cg26470175,cg26501007,cg26538164,cg26546155,cg26607897,cg26608667,cg26689077,cg26776551,cg26793227,cg26837399,cg27000590,cg27128761,cg27156259,cg27230009,cg27278668,cg27345946,cg27640064	NA	8.60e-24
8.722	5.06e-17	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00027232,cg00066351,cg00115639,cg00157962,cg00231361,cg00259404,cg00355656,cg00427604,cg00483217,cg00578437,cg00638845,cg00673191,cg00813162,cg00852924,cg00864012,cg01093786,cg01201215,cg01204911,cg01205058,cg01442843,cg01582066,cg01637169,cg01910727,cg01991967,cg02102075,cg02137956,cg02364826,cg02659854,cg02688118,cg02909097,cg02930951,cg02947253,cg02974085,cg03022510,cg03074946,cg03113867,cg03130816,cg03152353,cg03321813,cg03663120,cg03676485,cg03919488,cg03919650,cg03981685,cg04057956,cg04067249,cg04075726,cg04111761,cg04204452,cg04341806,cg04357789,cg04523589,cg04657183,cg04813697,cg04903759,cg04988978,cg05027554,cg05206633,cg05209514,cg05296619,cg05380759,cg05446414,cg05474943,cg05503887,cg05523603,cg05599723,cg05720226,cg05875421,cg05986288,cg06333800,cg06419268,cg06496803,cg07092805,cg07272654,cg07377178,cg07456681,cg07472373,cg07571951,cg07651316,cg07691624,cg07809831,cg08088511,cg08182171,cg08377000,cg08393937,cg08442088,cg08491668,cg08608126,cg08726667,cg08782002,cg08830502,cg09010707,cg09031958,cg09255910,cg09262197,cg09306188,cg09395612,cg09446896,cg09470754,cg09667606,cg09668964,cg09841788,cg09849319,cg09912552,cg10045881,cg10081994,cg10092231,cg10097651,cg10264529,cg10342963,cg10511985,cg10526841,cg10575547,cg10675058,cg10718809,cg10755077,cg10818566,cg10827767,cg10876767,cg10914815,cg11046602,cg11130692,cg11276093,cg11554335,cg11576424,cg11588903,cg11608958,cg11626175,cg11690983,cg11931463,cg12167564,cg12201988,cg12776287,cg13235761,cg13241751,cg13464573,cg13638867,cg13666648,cg13692972,cg13804478,cg13821176,cg13831136,cg13876325,cg14012546,cg14016418,cg14086364,cg14109551,cg14195115,cg14378231,cg14525310,cg14634136,cg14674856,cg14774440,cg14781394,cg14852276,cg15042302,cg15070897,cg15241074,cg15279832,cg15349559,cg15382302,cg15407058,cg15418499,cg15457217,cg15458222,cg15535471,cg15889057,cg16160637,cg16267322,cg16281534,cg16306654,cg16463452,cg16565031,cg16638092,cg16651347,cg16702362,cg16785938,cg16951074,cg17173896,cg17218270,cg17843665,cg17886959,cg17962756,cg18332229,cg18455616,cg18599081,cg18777299,cg18790856,cg18854666,cg18915156,cg19081101,cg19215266,cg19268453,cg19311375,cg19393677,cg19445588,cg19502671,cg19546057,cg19718359,cg19733736,cg19904905,cg20063095,cg20338754,cg20378687,cg20472746,cg20686403,cg20700740,cg20981184,cg21049825,cg21187669,cg21221712,cg21346154,cg21370522,cg21442881,cg21678736,cg21882356,cg22328837,cg22400420,cg22848646,cg22858210,cg22996170,cg23032421,cg23205629,cg23275644,cg23280999,cg23327334,cg23358740,cg23387863,cg23452957,cg23514211,cg23536675,cg23716690,cg24085426,cg24095374,cg24139720,cg24174608,cg24197477,cg24279017,cg24517501,cg24751551,cg24847366,cg24882332,cg25003924,cg25004840,cg25105522,cg25211705,cg25318579,cg25381253,cg25445707,cg25646029,cg25705508,cg25727853,cg25757820,cg26118358,cg26196087,cg26234644,cg26298914,cg26313511,cg26419676,cg26426690,cg26446803,cg26501007,cg26607897,cg26689077,cg26776551,cg26793227,cg26837399,cg27000590,cg27128761,cg27178772,cg27278668,cg27345946,cg27640064	NA	1.52e-15
3.704	3.24e-04	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00259404,cg00483217,cg00852924,cg02974085,cg03113867,cg03321813,cg04057956,cg04204452,cg04657183,cg04903759,cg05296619,cg05474943,cg05875421,cg05986288,cg06333800,cg06419268,cg06496803,cg07092805,cg07472373,cg07571951,cg08830502,cg09470754,cg09668964,cg10045881,cg10081994,cg10097651,cg10511985,cg10575547,cg10818566,cg11276093,cg11554335,cg11608958,cg12167564,cg13638867,cg13821176,cg13831136,cg14016418,cg14109551,cg14378231,cg14781394,cg15042302,cg15070897,cg15241074,cg15418499,cg16267322,cg16565031,cg16651347,cg17218270,cg18455616,cg18599081,cg18790856,cg18854666,cg19081101,cg19268453,cg19311375,cg19445588,cg19546057,cg19733736,cg20063095,cg20472746,cg21187669,cg21333406,cg21346154,cg21370522,cg23275644,cg23716690,cg25004840,cg25705508,cg25757820,cg25900943,cg26298914,cg26446803,cg26689077,cg26776551,cg26837399	NA	2.99e-03
4.636	6.06e-06	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00066351,cg00259404,cg00357971,cg00427604,cg00483217,cg00638845,cg00813162,cg00852924,cg01204911,cg01205058,cg01582066,cg01620379,cg01893068,cg01910727,cg01991967,cg02102075,cg02137956,cg02178957,cg02659854,cg02688118,cg02847588,cg02947253,cg03022510,cg03113867,cg03321813,cg03529189,cg03663120,cg03676485,cg03919488,cg03919650,cg03981685,cg04057956,cg04067249,cg04075726,cg04204452,cg04523589,cg04657183,cg04813697,cg04814352,cg04903759,cg05206633,cg05209514,cg05261759,cg05380759,cg05875421,cg05986288,cg06333800,cg06419268,cg06496803,cg07081759,cg07272654,cg07377178,cg07456681,cg07527324,cg07651316,cg07809831,cg08442088,cg08708079,cg08782002,cg08830502,cg09187107,cg09255910,cg09306188,cg09395612,cg09470754,cg09667606,cg09668964,cg09849319,cg10045881,cg10092231,cg10097651,cg10264529,cg10342963,cg10511985,cg10526841,cg10575547,cg10718809,cg10876767,cg11130692,cg11153071,cg11276093,cg11554335,cg11588903,cg11931463,cg12147622,cg12167564,cg12349832,cg13222915,cg13464573,cg13666648,cg13692972,cg13821176,cg13831136,cg13876325,cg14012546,cg14109551,cg14378231,cg14499387,cg14525310,cg14609407,cg14674856,cg14781394,cg14852276,cg15042302,cg15070897,cg15418499,cg16296417,cg16303353,cg16565031,cg16638092,cg16651347,cg16785938,cg16951074,cg17173896,cg17218270,cg17886959,cg18332229,cg18455616,cg18599081,cg18790856,cg18915156,cg19268453,cg19311375,cg19502671,cg19546057,cg19733736,cg20063095,cg20472746,cg20981184,cg21049825,cg21187669,cg21370522,cg22396498,cg23207054,cg23275644,cg23327334,cg23514211,cg24095374,cg24139720,cg24182798,cg24517501,cg25003924,cg25004840,cg25105522,cg25211705,cg25305879,cg25381253,cg25392995,cg25587233,cg25646029,cg25705508,cg25727853,cg25767870,cg26118358,cg26234644,cg26298914,cg26419676,cg26446803,cg26470175,cg26501007,cg26538164,cg26546155,cg26689077,cg26837399,cg27178772,cg27278668,cg27640064	NA	6.60e-05
