Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.430	3.69e-08	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00214171,cg00237876,cg00263619,cg00285294,cg00423486,cg00501876,cg00531137,cg00605777,cg00607627,cg00770316,cg01185080,cg01204844,cg01233392,cg01252023,cg01394781,cg01431482,cg01687189,cg01772439,cg01801603,cg01871427,cg01885635,cg01890836,cg01911077,cg01966117,cg02046475,cg02361903,cg02453726,cg02538248,cg02597894,cg02699834,cg02710860,cg02767093,cg02919122,cg02946885,cg02988730,cg03295852,cg03403093,cg03443360,cg03526142,cg03561416,cg03605542,cg03613618,cg03693099,cg03772384,cg04223924,cg04276536,cg04324276,cg04419883,cg04427651,cg04486382,cg04492228,cg04728789,cg04751761,cg04875062,cg04956471,cg05361273,cg05504759,cg05557932,cg05699921,cg05708512,cg05721476,cg05779272,cg05813673,cg05844798,cg05969378,cg06346335,cg06526741,cg06647928,cg06855485,cg06996423,cg07188523,cg07209244,cg07262457,cg07338715,cg07342322,cg07470570,cg07615364,cg07623567,cg07658646,cg07705835,cg07969918,cg08298946,cg08477768,cg08553950,cg08640824,cg09109383,cg09113070,cg09147140,cg09325164,cg09624551,cg09728487,cg09747445,cg09888330,cg09906145,cg10288525,cg10301695,cg10427868,cg10456541,cg10482356,cg10501360,cg10529555,cg10582860,cg10817916,cg10922280,cg11269166,cg11405200,cg11414202,cg11466832,cg11481968,cg11800117,cg11844856,cg11950754,cg11998307,cg12013713,cg12076102,cg12133962,cg12403162,cg12430029,cg12441066,cg12449049,cg12573289,cg12800962,cg12829455,cg12894984,cg12950829,cg13371740,cg13468041,cg13472584,cg13545717,cg13606889,cg13691108,cg13987674,cg14069287,cg14179401,cg14258501,cg14377059,cg14505174,cg14553895,cg14611112,cg14708360,cg14875081,cg14876117,cg15033653,cg15056348,cg15269394,cg15338967,cg15677434,cg15684702,cg15697019,cg15773539,cg15892280,cg16014412,cg16037711,cg16239296,cg16417374,cg16598679,cg16612806,cg16678564,cg16723994,cg17004733,cg17260706,cg17327331,cg17457912,cg17459387,cg17460386,cg17652998,cg18101225,cg18112681,cg18282388,cg18389639,cg18771737,cg18877271,cg19126615,cg19184688,cg19226017,cg19689330,cg19695041,cg19726712,cg20277282,cg20372666,cg20379593,cg20382047,cg20692268,cg20822990,cg20910008,cg20951444,cg20981219,cg21185271,cg21422605,cg21633059,cg21656246,cg22494725,cg22506548,cg22825202,cg22964469,cg22999864,cg23242489,cg23251798,cg23551720,cg23999170,cg24002003,cg24113496,cg24215776,cg24310786,cg24332002,cg24590708,cg24650940,cg25105522,cg25157472,cg25305703,cg25463688,cg25481160,cg25580656,cg25684105,cg25725418,cg25966016,cg26221111,cg26474043,cg26757820,cg26864395,cg26953469,cg27020362,cg27064708,cg27155939,cg27554551,cg27589594,cg27646484	NA	4.42e-06
-3.967	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00423486,cg00531137,cg01196858,cg01525376,cg01801603,cg01824466,cg02710860,cg02870946,cg03561416,cg04718050,cg04728789,cg05288253,cg05361273,cg05557932,cg05779272,cg06855485,cg06996423,cg07621224,cg07623567,cg07990556,cg08462055,cg08763102,cg09325164,cg11269166,cg11481968,cg12371924,cg13472584,cg13606889,cg14161821,cg14505174,cg14875081,cg15677434,cg16014412,cg16254946,cg18101225,cg18643093,cg19226017,cg20124610,cg20379593,cg20692268,cg20792833,cg20910008,cg21387281,cg21393124,cg22136098,cg22825202,cg24002003,cg24113496,cg24310786,cg24590708,cg25642234,cg25725418,cg26204079,cg26757820,cg27155939,cg27646484	NA	1.00e+00
-3.042	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00040575,cg00423486,cg00519063,cg00770316,cg00911776,cg01196858,cg01525376,cg01801603,cg01885635,cg02710860,cg02988730,cg03613618,cg03724640,cg04718050,cg05557932,cg05721476,cg05945608,cg06996423,cg07568588,cg07623567,cg08462055,cg08553950,cg08679180,cg09704401,cg09728487,cg10053779,cg10179300,cg10582860,cg10922280,cg11481968,cg11915444,cg12371924,cg13038618,cg13551754,cg13606889,cg14099685,cg14505174,cg14750778,cg15393490,cg16014412,cg17460386,cg17516571,cg18643093,cg19226017,cg19443920,cg20124610,cg20692268,cg20792833,cg21387281,cg22825202,cg23786209,cg24171689,cg24650940,cg26757820	NA	1.00e+00
-1.933	9.83e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00423486,cg00501876,cg00519063,cg00770316,cg01196858,cg01525376,cg01560422,cg01687189,cg01801603,cg01824466,cg01956154,cg02538248,cg02710860,cg02988730,cg03014427,cg03561416,cg03724640,cg04035392,cg04223924,cg04276536,cg04500377,cg04718050,cg05504759,cg05721476,cg05779272,cg05945608,cg06526741,cg06996423,cg07262457,cg07342322,cg07470570,cg07568588,cg07623567,cg07891911,cg08420066,cg09325164,cg09624551,cg09725874,cg10179300,cg10529555,cg10922280,cg11481968,cg11915444,cg12082089,cg12256705,cg12371924,cg12635790,cg13472584,cg13551754,cg13606889,cg14099685,cg14468090,cg14601444,cg14875081,cg15393490,cg16014412,cg16254946,cg16295156,cg17004733,cg17390562,cg17439800,cg18643093,cg19226017,cg19638572,cg20153322,cg20379593,cg20692268,cg20792833,cg20910008,cg20981219,cg21387281,cg21393124,cg22277154,cg22964469,cg23336702,cg23786209,cg23896514,cg24002003,cg24113496,cg24150385,cg24310786,cg24650940,cg25268718,cg26120842,cg26801613,cg27020362,cg27155939	NA	1.00e+00
1.769	4.31e-02	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00040575,cg00124095,cg00395063,cg00501876,cg00519063,cg00531137,cg00605777,cg00607627,cg00770316,cg00839844,cg00920254,cg01196858,cg01218206,cg01525376,cg01713950,cg01729066,cg01744331,cg01824466,cg01856529,cg01885635,cg01956154,cg02029665,cg02046475,cg02447879,cg02710860,cg02724490,cg02767093,cg02870946,cg03125341,cg03259212,cg03526142,cg03561416,cg03693099,cg03699074,cg04035392,cg04223924,cg04324276,cg04427651,cg04492228,cg04561731,cg04718050,cg04728789,cg04774505,cg04956471,cg05288253,cg05361273,cg05504759,cg05557932,cg05699921,cg05721476,cg05779272,cg05945608,cg05957749,cg06372654,cg06388350,cg06466839,cg06526741,cg06785429,cg06855485,cg06996423,cg07262457,cg07342322,cg07470570,cg07568588,cg07615364,cg07623567,cg07631435,cg07705835,cg07990556,cg08449164,cg08462055,cg08606497,cg08640824,cg09063663,cg09317239,cg09325164,cg09725874,cg09747445,cg09906145,cg10529555,cg10535500,cg10603592,cg10754794,cg11093760,cg11146034,cg11269166,cg11274172,cg11481968,cg12013713,cg12635790,cg13279476,cg13298859,cg13442969,cg13443911,cg13472584,cg13551754,cg13606889,cg13657200,cg13853141,cg13906362,cg13987674,cg14069287,cg14085840,cg14161821,cg14541011,cg14601444,cg14875081,cg14975206,cg15016701,cg15033653,cg15056348,cg15393490,cg15408889,cg15763258,cg15919066,cg16014412,cg16037711,cg16239296,cg16248287,cg16295156,cg16417374,cg17254383,cg17330252,cg17390562,cg17648076,cg17907520,cg18101225,cg18112681,cg18115658,cg18597411,cg18643093,cg18828619,cg19137417,cg19578183,cg19638572,cg19726712,cg20124610,cg20303561,cg20379593,cg20505728,cg20627046,cg20686828,cg20692268,cg20792833,cg20822990,cg20910008,cg21387281,cg21393124,cg21829328,cg22158648,cg22277154,cg22451412,cg22494725,cg22825202,cg23242489,cg23336702,cg23336905,cg23478124,cg23786209,cg23839159,cg23896514,cg24002003,cg24113496,cg24212268,cg24215776,cg24310786,cg24590708,cg25268718,cg25580581,cg25684105,cg25966016,cg26002437,cg26120842,cg26204079,cg26757820,cg26803969,cg27020362,cg27155939	NA	1.00e+00
1.122	1.33e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00124095,cg00192882,cg00423486,cg00839844,cg00871371,cg01185080,cg01204844,cg01206410,cg01218206,cg01340991,cg01395351,cg01525376,cg01744331,cg01801603,cg01824466,cg01856529,cg01885635,cg01911077,cg02127172,cg02453726,cg02538248,cg02646515,cg02710860,cg02724490,cg02870946,cg02988730,cg03125341,cg03149958,cg03561416,cg03699074,cg03785076,cg04035392,cg04223924,cg04324276,cg04718050,cg04728789,cg04890480,cg04956471,cg05106502,cg05288253,cg05361273,cg05504759,cg05557932,cg05721476,cg05779272,cg05945608,cg06084210,cg06526741,cg06647928,cg06855485,cg06996423,cg07262457,cg07342322,cg07470570,cg07623567,cg07631435,cg07990556,cg08449164,cg08571362,cg08763102,cg09063663,cg09317239,cg09325164,cg09624551,cg10529555,cg10535500,cg10582860,cg10603592,cg10773745,cg10922280,cg11205173,cg11269166,cg11274172,cg11466832,cg11481968,cg11915444,cg12371924,cg12635790,cg12699156,cg12779520,cg12866859,cg12950829,cg13276502,cg13371740,cg13442969,cg13472584,cg13551754,cg13657200,cg13987674,cg14099685,cg14161821,cg14179401,cg14293323,cg14468090,cg14505174,cg14541011,cg14601444,cg14875081,cg15033653,cg15038286,cg15056348,cg15393490,cg15705813,cg16014412,cg16037711,cg16047471,cg16295156,cg16417374,cg16598679,cg16723994,cg17330252,cg17439800,cg17460386,cg17648076,cg18096388,cg18101225,cg18115658,cg18389639,cg18412721,cg18597411,cg18643093,cg19137417,cg19184688,cg19226017,cg19443920,cg19578183,cg19638572,cg19869037,cg19903805,cg20153322,cg20277282,cg20372666,cg20692268,cg20792833,cg20822990,cg20910008,cg20951444,cg21160357,cg21387281,cg21393124,cg22032961,cg22093121,cg22158648,cg22277154,cg22451412,cg22825202,cg23242489,cg23371208,cg23786209,cg23895495,cg23896514,cg24002003,cg24113496,cg24310786,cg24590708,cg25268718,cg25580581,cg25725418,cg25966016,cg26120842,cg26204079,cg26757820,cg26864395,cg26878947,cg27020362,cg27054084,cg27155939	NA	1.00e+00
-6.353	1.00e+00	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00501876,cg00607627,cg01206410,cg01801603,cg01871427,cg01885635,cg02538248,cg02646515,cg03403093,cg05779272,cg06996423,cg07586285,cg08376310,cg10104487,cg11466832,cg11481968,cg13606889,cg14541011,cg14875081,cg16014412,cg17260706,cg17390562,cg18771737,cg20153322,cg20692268,cg21656246,cg22825202,cg23434428,cg24310786,cg26864395	NA	1.00e+00
1.805	3.88e-02	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00263619,cg00395063,cg00460983,cg00607627,cg01394781,cg01772439,cg01885635,cg02046475,cg02379533,cg02453726,cg02538248,cg02767093,cg02870946,cg02923856,cg03509898,cg03699074,cg03785076,cg04044203,cg04177945,cg04242898,cg04718050,cg05557932,cg05708512,cg06663317,cg07178877,cg07209244,cg07262457,cg07470570,cg07631435,cg07810884,cg08298946,cg08633665,cg09113070,cg10001186,cg10020890,cg10301695,cg10529613,cg10582860,cg10773745,cg11269166,cg11481968,cg11660018,cg11844856,cg12013713,cg12076102,cg12403162,cg12829455,cg12929160,cg13038618,cg13424229,cg13468041,cg13545717,cg13606889,cg13657200,cg14161821,cg14468090,cg14699112,cg14708360,cg15016701,cg15338967,cg15359093,cg15697019,cg16598679,cg16612806,cg16678564,cg17041511,cg17260706,cg17390562,cg17423650,cg18101225,cg18214661,cg18771737,cg18796027,cg19184688,cg19361800,cg19374752,cg19689330,cg19726712,cg19795292,cg20179907,cg20309640,cg20382047,cg20692268,cg20981219,cg21160357,cg21415060,cg21422605,cg21552014,cg21606956,cg21633059,cg21689902,cg22825202,cg22964469,cg23434428,cg24113496,cg24215776,cg24586978,cg24590708,cg25580656,cg25930644,cg25966016,cg26090940,cg26204079,cg26474043,cg26757820,cg27646484	NA	1.00e+00
-3.593	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00153395,cg00494183,cg00501876,cg00605777,cg00607627,cg00770316,cg01185080,cg01243072,cg01801603,cg01824466,cg01871427,cg01885635,cg01890836,cg01936839,cg02646515,cg02699834,cg02710860,cg02767093,cg02870946,cg02988730,cg03403093,cg03613618,cg03699074,cg03729092,cg03857453,cg04324276,cg04728789,cg04890480,cg05779272,cg06526741,cg06647928,cg06663317,cg06763375,cg06996423,cg07573937,cg07586285,cg07944862,cg08241465,cg08553950,cg08640824,cg08643824,cg09113070,cg09325164,cg09461545,cg10104487,cg11146034,cg11481968,cg12212103,cg12449049,cg12635790,cg13298859,cg13371740,cg13606889,cg14069287,cg14099685,cg14258501,cg14526039,cg14541011,cg14553895,cg14708360,cg14875081,cg15393490,cg15677434,cg15892280,cg16014412,cg16598679,cg17260706,cg17460386,cg18101225,cg18112681,cg18560092,cg18597411,cg18796027,cg18828619,cg19039673,cg19135406,cg19230867,cg20153322,cg20692268,cg20910008,cg20981219,cg21160357,cg21656246,cg21822187,cg22032961,cg22451412,cg22825202,cg22964469,cg23371208,cg23434428,cg24310786,cg25305703,cg25481160,cg25580581,cg25642234,cg26757820,cg26953469	NA	1.00e+00
-3.857	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00423486,cg00605777,cg00607627,cg00770316,cg01196858,cg01206410,cg01801603,cg01824466,cg01871427,cg01885635,cg01890836,cg01936839,cg02159996,cg02311364,cg02538248,cg02710860,cg02870946,cg03613618,cg03772384,cg03857453,cg04035392,cg04324276,cg04718050,cg04786592,cg05969378,cg06647928,cg06763375,cg06996423,cg07573937,cg07586285,cg08241465,cg08420066,cg08643824,cg08679180,cg08973950,cg10104487,cg10773745,cg10922280,cg11481968,cg12212103,cg12449049,cg12635790,cg13298859,cg13371740,cg13499923,cg13606889,cg13987674,cg14069287,cg14099685,cg14258501,cg14505174,cg14708360,cg14875081,cg15677434,cg15705813,cg16014412,cg17004733,cg17260706,cg18597411,cg19578183,cg20131596,cg20153322,cg20379593,cg20910008,cg20981219,cg21160357,cg21656246,cg21822187,cg22136098,cg22825202,cg22907189,cg23371208,cg23434428,cg24171689,cg24310786,cg24650940,cg25481160,cg25580581,cg25725418,cg25966016,cg26864395,cg26953469,cg27611263	NA	1.00e+00
