Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.454	7.39e-01	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg05951221,cg09006487,cg17574812	NA	1.00e+00
-1.100	8.77e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg13458803	NA	1.00e+00
0.141	4.52e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg04402828,cg18030943	NA	1.00e+00
-0.254	6.33e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg04402828,cg13458803	NA	1.00e+00
-0.909	8.70e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg05337681,cg06961313	NA	1.00e+00
-0.300	6.87e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg04402828,cg05337681,cg18030943	NA	1.00e+00
-1.041	8.63e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg17574812	NA	1.00e+00
0.684	2.96e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00506299,cg01668352,cg17574812	NA	1.00e+00
2.999	1.12e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00506299,cg02341139,cg07650681,cg09374353,cg17574812,cg18030943,cg25648203,cg27229484	NA	1.12e-01
2.087	5.78e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00506299,cg06961313,cg07457727,cg07650681,cg17574812,cg18030943	NA	4.62e-01
0.662	3.30e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg07650681,cg09374353,cg17574812,cg18030943	NA	1.00e+00
0.470	3.71e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg07650681,cg09374353,cg17574812	NA	1.00e+00
9.466	1.56e-14	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg00506299,cg00738897,cg01432692,cg02233197,cg02341139,cg04402828,cg05317600,cg05337681,cg06634140,cg06961313,cg07457727,cg07650681,cg09006487,cg09127592,cg09374353,cg13610455,cg14310198,cg17574812,cg17576603,cg18030943,cg21418854,cg25466245,cg25648203,cg27229484	NA	9.38e-13
