Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.960	2.87e-07	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg03489069,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09432792,cg12896170,cg15002347,cg15135194,cg15848159,cg15920942,cg17555274,cg20292908,cg20361768,cg22885409,cg27167895,cg27459630	E029	3.28e-04
0.775	2.81e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg09432792,cg12896170,cg15920942	E029	1.00e+00
-1.183	9.37e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg05790772,cg08370869	E029	1.00e+00
-1.564	9.78e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg08552853,cg09432792	E029	1.00e+00
-0.080	5.97e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg01680062,cg02534167,cg03361294,cg03574890,cg07475825,cg12547959,cg13132442,cg27459630	E029	1.00e+00
1.431	1.07e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg03361294,cg03574890,cg09432792,cg09541576,cg12896170,cg15135194,cg15920942,cg20292908,cg22885409,cg27459630	E032	1.00e+00
0.342	4.40e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg09432792,cg12896170,cg15848159,cg15920942,cg20292908	E032	1.00e+00
0.147	4.86e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg05790772,cg07475825,cg15848159	E032	1.00e+00
-0.516	7.61e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00052684,cg08370869,cg08552853,cg09432792,cg15848159,cg17555274,cg20361768,cg22885409,cg24346915,cg27167895	E032	1.00e+00
1.105	2.01e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg02936755,cg03361294,cg03574890,cg07475825,cg12547959,cg12896170,cg13132442,cg15135194,cg25238420,cg27459630	E032	1.00e+00
3.355	2.47e-03	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg00052684,cg02534167,cg03361294,cg04175911,cg08552853,cg09432792,cg12896170,cg15002347,cg15920942,cg16222694,cg20292908,cg27167895,cg27459630	E033	9.39e-01
-0.410	7.17e-01	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg07475825,cg09432792,cg12896170	E033	1.00e+00
1.859	6.74e-02	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg05790772,cg07475825,cg25238420	E033	1.00e+00
-1.728	9.89e-01	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg09412707	E033	1.00e+00
1.205	1.82e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg01680062,cg02534167,cg02936755,cg03574890,cg07475825,cg09541576,cg12547959,cg12896170,cg13132442,cg15135194,cg25238420,cg27459630	E033	1.00e+00
