Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.960	4.41e-07	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049440,cg00218406,cg00290023,cg00381391,cg00501876,cg00563348,cg00802237,cg00813162,cg01211396,cg01403010,cg01419539,cg01439754,cg01885635,cg02028663,cg02145310,cg02183564,cg02203067,cg02239377,cg02304370,cg02402423,cg02541658,cg02647929,cg02977524,cg03052004,cg03066323,cg03165378,cg03217337,cg03281139,cg03297731,cg03507593,cg03519879,cg03721291,cg03919488,cg03919650,cg04006520,cg04011474,cg04189320,cg04428662,cg04864179,cg05201300,cg05261759,cg05339037,cg05439368,cg05503062,cg05670953,cg05822017,cg05915362,cg05986288,cg06017697,cg06559575,cg06560379,cg06638529,cg06773488,cg06792126,cg07248223,cg07440264,cg07551060,cg07714319,cg07888884,cg08352115,cg08409361,cg08529529,cg08692676,cg08960830,cg08998950,cg09010791,cg09182678,cg09264489,cg09479650,cg09797463,cg09802688,cg10031769,cg10276404,cg10371155,cg10755077,cg10811945,cg10960375,cg11314827,cg11405200,cg11534593,cg11555067,cg11935041,cg11997536,cg12244013,cg12303084,cg12486287,cg12491115,cg12498580,cg12644285,cg12756527,cg12853742,cg12993663,cg13091627,cg13126206,cg13408344,cg13551141,cg13726456,cg13819552,cg13832201,cg14120703,cg14145185,cg14195992,cg14239983,cg14369329,cg14439774,cg14550066,cg14959425,cg14976569,cg15467116,cg15763670,cg15804598,cg16113254,cg16151960,cg16389345,cg16407699,cg16618493,cg16734795,cg16855355,cg17183174,cg17540192,cg18352516,cg18642234,cg18651578,cg18655522,cg18771737,cg19136673,cg19267205,cg19358608,cg19458497,cg19837174,cg19908768,cg20004659,cg20138067,cg20146909,cg20331980,cg20674658,cg20945261,cg21483092,cg21507987,cg21586223,cg21960364,cg22023664,cg22534374,cg22593432,cg22755445,cg22825202,cg23048494,cg23051123,cg23304647,cg23509869,cg23533285,cg23597162,cg23659289,cg24163210,cg24207616,cg24260327,cg24375627,cg24497361,cg24819835,cg24902842,cg24935598,cg24996979,cg25020550,cg25423174,cg25700432,cg25711239,cg25720264,cg25799109,cg25941075,cg26009832,cg26257082,cg26417912,cg26432350,cg27118035,cg27128761,cg27312626,cg27493411,cg27577907,cg27653384	E029	2.44e-05
0.027	5.16e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049440,cg00094412,cg00218406,cg00346446,cg00350296,cg00501876,cg00563348,cg00930606,cg01403010,cg01419539,cg01465769,cg01844235,cg01885635,cg01901101,cg01933228,cg02003183,cg02145310,cg02203067,cg02215171,cg02239377,cg02314339,cg02358653,cg02402423,cg02968508,cg02977524,cg03214715,cg03217337,cg03297731,cg03413355,cg03485667,cg03507593,cg03517919,cg03519879,cg03721291,cg03877174,cg04011474,cg04070976,cg04085571,cg04113258,cg04428662,cg04583842,cg04682133,cg04816311,cg04864179,cg05089897,cg05257275,cg05261759,cg05339037,cg05439368,cg05516004,cg05527044,cg05670953,cg05915362,cg05927789,cg06017697,cg06141561,cg06158227,cg06560379,cg06638529,cg06644515,cg06653796,cg06975311,cg06983052,cg07211476,cg07248223,cg07248440,cg07615364,cg07815238,cg08237401,cg08529529,cg08604596,cg08763102,cg08929103,cg09182678,cg09478591,cg09802688,cg10031769,cg10072464,cg10276404,cg10755077,cg10779317,cg10955164,cg10960375,cg11143953,cg11405200,cg11466832,cg11498582,cg11555067,cg12137220,cg12259792,cg12303084,cg12486287,cg12491115,cg12498580,cg12728588,cg12756527,cg12836643,cg13091627,cg13408344,cg13442969,cg13641778,cg13726456,cg13832201,cg13981001,cg14145185,cg14239983,cg14897188,cg15260921,cg15432711,cg15536947,cg15872079,cg15903956,cg16061953,cg16151960,cg16407699,cg16734795,cg16855355,cg17097293,cg17117243,cg17378803,cg17822325,cg18352516,cg18398753,cg18505752,cg18590502,cg18642234,cg18702971,cg19018709,cg19136673,cg19267205,cg19458497,cg19837174,cg19910679,cg20674658,cg20722088,cg20822884,cg20945261,cg21483092,cg21898299,cg22007809,cg22025064,cg22039458,cg22164298,cg22460173,cg22801913,cg22825202,cg23051123,cg23198334,cg23205886,cg23304647,cg23509869,cg23533285,cg23599026,cg23659289,cg24136700,cg24497361,cg24819835,cg24935598,cg25020550,cg25317746,cg25711239,cg25799109,cg26234885,cg26252592,cg26257082,cg26432350,cg26547506,cg26718213,cg26912602,cg26916780,cg27366007,cg27653384	E032	1.00e+00
1.767	4.04e-02	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049440,cg00218406,cg00346446,cg00350296,cg00501876,cg00563348,cg00729699,cg00930606,cg01419539,cg01465769,cg01844235,cg01885635,cg01901101,cg02003183,cg02049979,cg02145310,cg02203067,cg02239377,cg02304370,cg02314339,cg02358653,cg02541658,cg02647929,cg02714303,cg02977524,cg03214715,cg03297731,cg03413355,cg03485667,cg03507593,cg03517919,cg03519879,cg03721291,cg03877174,cg04011474,cg04070976,cg04085571,cg04299274,cg04428662,cg04583842,cg04682133,cg04754652,cg04816311,cg04864179,cg05261759,cg05339037,cg05439368,cg05503062,cg05516004,cg05670953,cg05915362,cg05927789,cg06017697,cg06024215,cg06141561,cg06560379,cg06653796,cg06975311,cg06983052,cg07211476,cg07248223,cg07520810,cg07551060,cg07615364,cg07697428,cg07815238,cg08062273,cg08529529,cg08604596,cg08763102,cg09802688,cg10031769,cg10755077,cg10779317,cg10811945,cg10955164,cg11314827,cg11405200,cg11466832,cg11555067,cg11701312,cg11924638,cg12303084,cg12486287,cg12498580,cg12728588,cg12756527,cg12836643,cg13091627,cg13408344,cg13726456,cg14145185,cg14239983,cg14531564,cg14656043,cg14897188,cg15260921,cg15536947,cg15763670,cg15804598,cg15903956,cg16061953,cg16151960,cg16407699,cg16618493,cg16734795,cg17117243,cg17378803,cg17822325,cg18352516,cg18376497,cg18398753,cg18505752,cg18590502,cg18642234,cg18702971,cg19018709,cg19136673,cg19267205,cg19352832,cg19458497,cg19837174,cg20331980,cg20674658,cg20945261,cg21898299,cg21960364,cg22007809,cg22039458,cg22164298,cg22460173,cg22801913,cg22825202,cg23048494,cg23051123,cg23198334,cg23205886,cg23304647,cg23509869,cg23533285,cg23599026,cg23659289,cg24136700,cg24163210,cg24497361,cg24819835,cg24860589,cg24935598,cg24996979,cg25020550,cg25474070,cg25711239,cg25799109,cg26099045,cg26234885,cg26257082,cg26340968,cg26432350,cg26547506,cg26577252,cg26718213,cg26912602,cg26916780,cg27118035,cg27366007,cg27370104,cg27653384	E033	3.79e-01
1.467	7.83e-02	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049440,cg00218406,cg00346446,cg00350296,cg00501876,cg00563348,cg00729699,cg00930606,cg01360720,cg01419539,cg01844235,cg01885635,cg01901101,cg01933228,cg02003183,cg02049979,cg02239377,cg02304370,cg02314339,cg02358653,cg02402423,cg02647929,cg02714303,cg02977524,cg03214715,cg03217337,cg03297731,cg03413355,cg03485667,cg03507593,cg03517919,cg03519879,cg03721291,cg03877174,cg04011474,cg04070976,cg04085571,cg04189320,cg04299274,cg04428662,cg04682133,cg04754652,cg04816311,cg04864179,cg05261759,cg05339037,cg05439368,cg05516004,cg05527044,cg05670953,cg05915362,cg05927789,cg05949667,cg06017697,cg06141561,cg06158227,cg06560379,cg06638529,cg06653796,cg06975311,cg07248223,cg07520810,cg07551060,cg07615364,cg07697428,cg07904865,cg08062273,cg08511818,cg08529529,cg08604596,cg08937734,cg09802688,cg10031769,cg10371155,cg10779317,cg10811945,cg10955164,cg11143953,cg11314827,cg11405200,cg11498582,cg11555067,cg11701312,cg11789371,cg12303084,cg12486287,cg12498580,cg12728588,cg12756527,cg12836643,cg12853742,cg13091627,cg13126206,cg13408344,cg13641778,cg13726456,cg13762464,cg13832201,cg14145185,cg14239983,cg14531564,cg14550066,cg14656043,cg14728380,cg14750778,cg14897188,cg15260921,cg15536947,cg15763670,cg15804598,cg15872079,cg15903956,cg16052901,cg16061953,cg16100721,cg16151960,cg16407699,cg16428517,cg16618493,cg16702313,cg16734795,cg17117243,cg17378803,cg18352516,cg18376497,cg18398753,cg18505752,cg18590502,cg18642234,cg19018709,cg19051213,cg19136673,cg19267205,cg19352832,cg19458497,cg19837174,cg19893929,cg19910679,cg20331980,cg20674658,cg20945261,cg21483092,cg21586223,cg21698310,cg21960364,cg22007809,cg22039458,cg22164298,cg22221831,cg22460173,cg22801913,cg23048494,cg23051123,cg23198334,cg23509869,cg23533285,cg23599026,cg23659289,cg24136700,cg24163210,cg24375627,cg24405951,cg24497361,cg24819835,cg24935598,cg24996979,cg25020550,cg25474070,cg25711239,cg25720264,cg26033520,cg26099045,cg26234885,cg26257082,cg26340968,cg26432350,cg26488978,cg26547506,cg26577252,cg26718213,cg26916780,cg27118035,cg27278843,cg27370104,cg27653384	E034	6.83e-01
1.755	4.04e-02	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049440,cg00218406,cg00350296,cg00501876,cg00563348,cg00634542,cg00729699,cg00930606,cg01403010,cg01419539,cg01447828,cg01844235,cg01885635,cg01901101,cg02003183,cg02203067,cg02239377,cg02304370,cg02314339,cg02541658,cg02647929,cg02977524,cg03214715,cg03217337,cg03297731,cg03507593,cg03517919,cg03519879,cg03721291,cg03877174,cg03919650,cg04011474,cg04070976,cg04085571,cg04094640,cg04189320,cg04299274,cg04583842,cg04682133,cg04754652,cg04864179,cg05261759,cg05339037,cg05439368,cg05670953,cg05822017,cg05915362,cg05927789,cg05987787,cg06017697,cg06024215,cg06560379,cg06638529,cg06644515,cg06653796,cg06975311,cg07248223,cg07520810,cg07551060,cg07615364,cg07697428,cg07815238,cg08511818,cg08529529,cg08604596,cg08763102,cg09010791,cg09182678,cg09478591,cg09797463,cg09802688,cg10031769,cg10276404,cg10811945,cg10955164,cg10960375,cg11095027,cg11143953,cg11405200,cg11555067,cg12303084,cg12486287,cg12498580,cg12756527,cg12836643,cg12853742,cg12993663,cg13091627,cg13408344,cg13442969,cg13561409,cg13726456,cg14120703,cg14145185,cg14195992,cg14239983,cg14550066,cg14897188,cg15260921,cg15536947,cg15763670,cg15903956,cg16061953,cg16151960,cg16407699,cg16544989,cg16618493,cg16734795,cg17117243,cg17183174,cg17378803,cg17974684,cg18352516,cg18376497,cg18398753,cg18590502,cg18702971,cg19051213,cg19136673,cg19267205,cg19358608,cg19458497,cg19837174,cg19910679,cg20138067,cg20331980,cg20674658,cg20945261,cg21698310,cg22007809,cg22039458,cg22164298,cg22460173,cg22720761,cg22801913,cg22825202,cg23051123,cg23227726,cg23304647,cg23509869,cg23533285,cg23599026,cg23659289,cg24136700,cg24163210,cg24375627,cg24497361,cg24714606,cg24819835,cg24935598,cg24996979,cg25020550,cg25247177,cg25474070,cg25711239,cg25720264,cg25799109,cg25941075,cg26033520,cg26191447,cg26257082,cg26340968,cg26420795,cg26432350,cg26488978,cg26718213,cg26916780,cg27118035,cg27653384	E046	3.79e-01
0.535	3.10e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049440,cg00290023,cg00346446,cg00350296,cg00357551,cg00501876,cg00563348,cg00729699,cg00930606,cg01403010,cg01419539,cg01431482,cg01447828,cg01799015,cg01844235,cg01885635,cg01901101,cg02003183,cg02028663,cg02086839,cg02145310,cg02215171,cg02239377,cg02647929,cg02712949,cg02714303,cg02977524,cg03214715,cg03297731,cg03450635,cg03485667,cg03517919,cg03519879,cg03721291,cg03877174,cg03919488,cg04011474,cg04070976,cg04094640,cg04514392,cg04583842,cg04754652,cg04983687,cg05261759,cg05339037,cg05417607,cg05439368,cg05527044,cg05575921,cg05670953,cg05915362,cg05969150,cg05987787,cg06017697,cg06024215,cg06141561,cg06560379,cg06638529,cg06653796,cg06930757,cg06975311,cg06997767,cg07248223,cg07551060,cg07615364,cg08237401,cg08529529,cg08763102,cg08998950,cg09147843,cg09182678,cg09264489,cg09478591,cg10031769,cg10276404,cg10557584,cg10632966,cg10955164,cg10960375,cg11143953,cg11466832,cg11555067,cg12013713,cg12065228,cg12303084,cg12486287,cg12498580,cg12756527,cg12801791,cg12836643,cg12993663,cg13091627,cg13126206,cg13544027,cg13561409,cg13669080,cg13726456,cg13819552,cg14120703,cg14145185,cg14195992,cg14239983,cg14550066,cg15260921,cg15536947,cg15903956,cg16061953,cg16151960,cg16407699,cg16410171,cg16544989,cg16734795,cg16739178,cg16886828,cg17183174,cg17378803,cg17822325,cg17974684,cg18376497,cg18398753,cg18509466,cg18702971,cg18771737,cg19136673,cg19267205,cg19458497,cg19570155,cg19610615,cg19837174,cg19893929,cg19908768,cg19910679,cg20146909,cg20331980,cg20674658,cg20676788,cg20782117,cg20945261,cg20965527,cg21029167,cg21586223,cg21898299,cg22025064,cg22039458,cg22164298,cg22460173,cg22801913,cg22825202,cg22860172,cg23198334,cg23258188,cg23304647,cg23533285,cg23599026,cg23659289,cg23889047,cg24136700,cg24260327,cg24714606,cg24819835,cg24935598,cg24996979,cg25020550,cg25364972,cg25711239,cg25799109,cg25941075,cg26099045,cg26257082,cg26340968,cg26420795,cg26432350,cg26488978,cg26577252,cg26718213,cg26916780,cg27118035,cg27128761,cg27246129,cg27589594,cg27653384	E050	1.00e+00
0.198	4.44e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049440,cg00346446,cg00350296,cg00357551,cg00501876,cg00563348,cg00729699,cg00930606,cg01419539,cg01431482,cg01447828,cg01844235,cg01885635,cg01901101,cg01966117,cg02003183,cg02145310,cg02203067,cg02239377,cg02647929,cg02714303,cg02968508,cg02977524,cg03096954,cg03156547,cg03297731,cg03485667,cg03517919,cg03721291,cg03877174,cg04070976,cg04094640,cg04173586,cg04428662,cg04514392,cg04583842,cg04754652,cg04983687,cg05261759,cg05339037,cg05575921,cg05670953,cg05915362,cg05969150,cg05987787,cg06017697,cg06024215,cg06560379,cg06638529,cg06653796,cg06930757,cg06975311,cg06997767,cg07248223,cg07551060,cg07589342,cg08237401,cg08529529,cg08998950,cg09182678,cg09802688,cg10031769,cg10072464,cg10427868,cg10557584,cg10755077,cg10779317,cg10960375,cg11143953,cg11405200,cg11466832,cg11555067,cg12065228,cg12137220,cg12303084,cg12486287,cg12498580,cg12728588,cg12836643,cg12853742,cg12993663,cg13091627,cg13408344,cg13544027,cg13669080,cg13726456,cg13819552,cg14145185,cg14239983,cg15260921,cg15536947,cg15804598,cg16544989,cg16734795,cg17097293,cg17183174,cg17378803,cg17822325,cg18376497,cg18398753,cg18642234,cg18702971,cg18771737,cg19018709,cg19136673,cg19267205,cg19458497,cg19610615,cg19908768,cg20387706,cg20674658,cg20676788,cg20782117,cg20965527,cg21586223,cg21898299,cg22025064,cg22164298,cg22460173,cg22801913,cg22825202,cg22860172,cg23048494,cg23198334,cg23258188,cg23304647,cg23509869,cg23599026,cg23659289,cg23889047,cg24136700,cg24163210,cg24497361,cg24714606,cg24819835,cg24935598,cg24996979,cg25020550,cg25364972,cg25711239,cg25799109,cg25941075,cg26090045,cg26234885,cg26257082,cg26340968,cg26420795,cg26432350,cg26488978,cg26718213,cg26916780,cg27118035,cg27246129,cg27366007,cg27577907,cg27589594,cg27653384	E051	1.00e+00
1.735	4.11e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049440,cg00247963,cg00346446,cg00357551,cg00381391,cg00409844,cg00501876,cg00563348,cg00799984,cg00813162,cg01097897,cg01219553,cg01231543,cg01300684,cg01419539,cg01439754,cg01695994,cg01731783,cg01799015,cg01811583,cg01817897,cg01844235,cg01885635,cg02049979,cg02239377,cg02314339,cg02642117,cg02714303,cg02833588,cg02913882,cg02977524,cg03052004,cg03096954,cg03165378,cg03281139,cg03297731,cg03485667,cg03546163,cg03885055,cg03919488,cg03919650,cg03958883,cg04011474,cg04173586,cg04189320,cg04299274,cg04487720,cg04514392,cg04578362,cg04609499,cg05201300,cg05235344,cg05339037,cg05503062,cg05516004,cg05670953,cg05681757,cg05915362,cg05986288,cg06008406,cg06017697,cg06024215,cg06048102,cg06141561,cg06559575,cg06560379,cg06690548,cg06792126,cg07054804,cg07242931,cg07440264,cg07443529,cg07520810,cg07551060,cg07615364,cg08476055,cg08692676,cg08727202,cg08796240,cg08937734,cg09147843,cg09264489,cg09478591,cg09530438,cg09581226,cg10005565,cg10163377,cg10295552,cg10371155,cg10632966,cg10755077,cg10955164,cg10960375,cg11314827,cg11701312,cg12303084,cg12474798,cg12486287,cg12498580,cg12559925,cg12836643,cg12893030,cg13001142,cg13091627,cg13126206,cg13408344,cg13442969,cg13461821,cg13551141,cg13724550,cg13726456,cg13824500,cg13832201,cg14145185,cg14195992,cg14239983,cg14382215,cg14439774,cg14690467,cg14959425,cg15648041,cg15701612,cg15763670,cg15804598,cg15903956,cg16061953,cg16113254,cg16407699,cg16410171,cg16702313,cg16735495,cg16988611,cg17237804,cg17823346,cg18352516,cg18427091,cg18428542,cg18844163,cg19018709,cg19190762,cg19267205,cg19358608,cg19862899,cg20331980,cg20505728,cg20674658,cg20777437,cg20782117,cg20898283,cg21507987,cg21807262,cg21960364,cg22039458,cg22164298,cg22221831,cg22266072,cg22580512,cg22825202,cg23205886,cg23597162,cg23599026,cg23659289,cg23679992,cg24207616,cg24405951,cg24429533,cg24746938,cg24860589,cg24996979,cg25364972,cg25423174,cg25720264,cg25799109,cg26033520,cg26099045,cg26191447,cg26257082,cg26413708,cg26488978,cg26577252,cg26718213,cg27118035,cg27652459,cg27653384,cg27660627	E028	3.79e-01
-1.909	9.85e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00094412,cg00313685,cg00346446,cg00357551,cg00408773,cg00501876,cg00563348,cg00930606,cg00944304,cg01097897,cg01231543,cg01419539,cg01431482,cg01447828,cg01811583,cg01844235,cg01885635,cg01966117,cg02028663,cg02049979,cg02170577,cg02239377,cg02557933,cg02712949,cg02968508,cg02977524,cg03297731,cg03413355,cg03485667,cg03517919,cg03721291,cg03877174,cg03917803,cg03958883,cg04173586,cg04260584,cg04425005,cg04514392,cg04682133,cg05089897,cg05132782,cg05175964,cg05201300,cg05527044,cg05544807,cg05670953,cg05681757,cg05874806,cg05915362,cg05986288,cg06017697,cg06024215,cg06141561,cg06559575,cg06638529,cg06699555,cg06983052,cg07134252,cg07242931,cg07520810,cg07551060,cg08142848,cg08352115,cg08476055,cg08604596,cg09147843,cg09182678,cg09183671,cg09264489,cg09407967,cg09478591,cg10163377,cg10173620,cg10254082,cg10632966,cg10779317,cg10955164,cg10960375,cg11405200,cg11466832,cg11498582,cg11795488,cg11820913,cg11924638,cg12137220,cg12303084,cg12474798,cg12485386,cg12486287,cg12498580,cg12559925,cg12647283,cg12836643,cg13235761,cg13344587,cg13391675,cg13408344,cg13544027,cg13656831,cg13726456,cg14029001,cg14195992,cg14239983,cg14369329,cg14382215,cg14550066,cg15112747,cg15260921,cg15432711,cg15648041,cg15701612,cg15763670,cg15962267,cg16061953,cg16113254,cg16230626,cg16407699,cg16544989,cg16639691,cg16735495,cg16739178,cg16855355,cg16988611,cg17117243,cg17378803,cg17915189,cg17974684,cg18376497,cg18398753,cg18509466,cg18590502,cg18702971,cg18844163,cg19018709,cg19136673,cg19138865,cg19267205,cg19458497,cg19893929,cg19908768,cg19910679,cg20505728,cg20674658,cg20732160,cg20777437,cg20898283,cg20965527,cg21680729,cg21898299,cg22025064,cg22799757,cg22825202,cg23048494,cg23205886,cg23509869,cg23597162,cg23599026,cg23659289,cg23679992,cg23903708,cg23944572,cg24136700,cg24163210,cg24375627,cg24429533,cg24819835,cg24913794,cg24935598,cg25389328,cg25423174,cg25711239,cg25839744,cg26090045,cg26099045,cg26144734,cg26252592,cg26257082,cg26432350,cg26718213,cg26912602,cg26916780,cg26921611,cg26924825,cg27128761,cg27246129,cg27278843,cg27370104,cg27423692,cg27653384	E003	1.00e+00
-1.322	9.32e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00094412,cg00313685,cg00346446,cg00350296,cg00357551,cg00409844,cg00501876,cg00563348,cg00944304,cg00958412,cg01097897,cg01231543,cg01419539,cg01447828,cg01811583,cg01844235,cg01885635,cg02028663,cg02049979,cg02314339,cg02541658,cg02642117,cg02719954,cg02977524,cg03074946,cg03096954,cg03297731,cg03413355,cg03517919,cg03519879,cg03721291,cg03877174,cg03919488,cg03958883,cg04006520,cg04260584,cg04487720,cg04514392,cg04682133,cg04852339,cg05132782,cg05175964,cg05201300,cg05255330,cg05261759,cg05503062,cg05516004,cg05518050,cg05544807,cg05670953,cg05681757,cg05822017,cg05915362,cg05986288,cg05987787,cg06017697,cg06024215,cg06141561,cg06559575,cg06560379,cg06638529,cg06690548,cg06699555,cg06983052,cg06997767,cg07211476,cg07242931,cg07440264,cg07520810,cg07551060,cg07988171,cg08142848,cg08476055,cg08537847,cg08684991,cg08998950,cg09022230,cg09132790,cg09147843,cg09183671,cg09264489,cg09407967,cg09478591,cg10031769,cg10632966,cg10755077,cg10779317,cg10955164,cg10960375,cg11314827,cg11405200,cg11466832,cg11498582,cg11555067,cg11701312,cg11935041,cg12087627,cg12137220,cg12303084,cg12474798,cg12485386,cg12486287,cg12498580,cg12559925,cg13235761,cg13391675,cg13544027,cg13551141,cg13724550,cg13726456,cg13832201,cg13981001,cg14029001,cg14195992,cg14239983,cg14382215,cg14469436,cg14690467,cg14897188,cg14959425,cg15112747,cg15432711,cg15648041,cg15701612,cg15804598,cg15962267,cg16095551,cg16113254,cg16230626,cg16407699,cg16544989,cg16639691,cg16702313,cg16735495,cg16739178,cg16988611,cg17378803,cg18376497,cg18398753,cg18427091,cg18428542,cg18509466,cg18590502,cg18702971,cg18844163,cg19138865,cg19190762,cg19267205,cg19458497,cg19837174,cg19908768,cg20056076,cg20146909,cg20331980,cg20505728,cg20674658,cg20777437,cg20782117,cg20898283,cg21029167,cg21680729,cg21898299,cg22164298,cg22266072,cg22753611,cg22825202,cg23048494,cg23198334,cg23205886,cg23509869,cg23597162,cg23599026,cg23659289,cg23712594,cg23903708,cg24136700,cg24163210,cg24260327,cg24375627,cg24405951,cg24429533,cg24714606,cg24819835,cg24913794,cg25364972,cg25423174,cg25711239,cg26099045,cg26144734,cg26252592,cg26432350,cg26912602,cg26916780,cg26921611,cg27055365,cg27118035,cg27128761,cg27246129,cg27370104,cg27493411,cg27577907,cg27653384	E004	1.00e+00
