Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.448	9.96e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00911794,cg01692968,cg02517189,cg02532700,cg03140521,cg06096336,cg08266095,cg10965178,cg14371731,cg14796406,cg15160624,cg15387619,cg16611234,cg20174472,cg23110422,cg25094008,cg27405731	E063	1.00e+00
7.763	2.62e-11	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00073090,cg00324097,cg00501876,cg01207684,cg01435643,cg01442064,cg01764256,cg01839993,cg01944380,cg02657160,cg02738868,cg02743070,cg02806824,cg02964434,cg02968508,cg03028088,cg03109660,cg03636183,cg03786093,cg04159302,cg04359840,cg04481318,cg04636576,cg04890576,cg05438152,cg05603985,cg05659611,cg05677062,cg05816188,cg05824218,cg05886626,cg06053307,cg06299644,cg06421013,cg06446365,cg06635952,cg07069636,cg07090714,cg07278718,cg07737038,cg07803149,cg07812250,cg07954423,cg07995927,cg08282118,cg08331284,cg08940075,cg09084200,cg09156714,cg09279763,cg09338136,cg09469355,cg09578155,cg10062919,cg10190813,cg10255761,cg10726445,cg10788371,cg10919522,cg11063902,cg11229399,cg11533519,cg11621113,cg11660018,cg11807314,cg11931220,cg12619810,cg12939236,cg13038618,cg13039251,cg13429998,cg13832201,cg13916835,cg13937905,cg14096828,cg14218885,cg14335029,cg14377032,cg14391737,cg14491800,cg14580211,cg14585799,cg15020502,cg15474579,cg15885703,cg16033864,cg16646054,cg16702313,cg16794579,cg16859352,cg17416793,cg17419818,cg17631924,cg17739917,cg17805294,cg18410341,cg18581972,cg18642234,cg18660898,cg18667929,cg18880190,cg19266329,cg19572487,cg19713429,cg19719391,cg20059012,cg20650823,cg21140898,cg21163477,cg21575225,cg21698310,cg22260008,cg22441770,cg22499893,cg22976567,cg23351584,cg23931381,cg24134897,cg24540678,cg24838345,cg24996979,cg25211022,cg25845814,cg26768182,cg26992381,cg26996569	E063	2.55e-09
2.287	4.50e-02	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg02042026,cg02583484,cg03707168,cg04858631,cg12407708	E063	1.00e+00
-5.578	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00202479,cg00205076,cg00308065,cg01994049,cg02008229,cg03381973,cg03440944,cg03636488,cg03995933,cg05304393,cg05661533,cg05901971,cg06819357,cg07097487,cg07411111,cg09197783,cg10717312,cg10843276,cg11185844,cg13318355,cg15228441,cg15431537,cg15441416,cg15482893,cg15963913,cg16860551,cg17381396,cg18463452,cg18581607,cg18754985,cg19089328,cg20355257,cg20691469,cg21774980,cg23198793,cg24486784,cg27516795	E063	1.00e+00
-2.300	9.94e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00232092,cg00448292,cg00475490,cg00717494,cg00819417,cg01094982,cg01247535,cg01447828,cg02423587,cg02644405,cg02793162,cg03051767,cg03715305,cg04455670,cg04673446,cg04885881,cg05157376,cg05207730,cg05221370,cg05396397,cg05957567,cg06394460,cg06595162,cg07155243,cg07251887,cg07907474,cg08189186,cg08595501,cg08763102,cg08772028,cg08899667,cg09006487,cg09123897,cg09251068,cg09338374,cg09785483,cg09948374,cg10143064,cg10189850,cg10711136,cg10974463,cg11556164,cg11640529,cg11960913,cg12118986,cg12465805,cg12466556,cg12609247,cg12710546,cg12778716,cg12804716,cg12856965,cg13025388,cg13177778,cg13505271,cg13751113,cg14162418,cg14257621,cg14262884,cg14466441,cg14551458,cg14853432,cg15131146,cg15159987,cg15167367,cg15180656,cg15394081,cg15526732,cg15964874,cg16116321,cg16146513,cg16459171,cg16712581,cg16727193,cg16731493,cg17547179,cg17936567,cg19175202,cg19427338,cg19578936,cg19701538,cg19716264,cg20178893,cg21121843,cg21411014,cg22585799,cg22675726,cg22744280,cg23149770,cg23583523,cg24155515,cg24207603,cg25089400,cg25212025,cg25421530,cg25429619,cg25730803,cg25984701,cg26031947,cg26138250,cg27372654,cg27444020	E063	1.00e+00
2.576	8.41e-03	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg03384915,cg04956244,cg06805218,cg11308227,cg12103569,cg13849276,cg13882251,cg14120703,cg14201874,cg14712058,cg14977938,cg16047567,cg16102363,cg16178855,cg16470128,cg16734637,cg17038235,cg19665316,cg19956914,cg20396110,cg23580639,cg24227782,cg24616450,cg27312979,cg27460040	E063	3.44e-01
12.883	7.43e-32	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00162361,cg00199799,cg00210249,cg00259070,cg00295485,cg00446839,cg00542975,cg00592949,cg00827939,cg00871610,cg00950497,cg01010073,cg01272202,cg01651583,cg01731783,cg01744331,cg01765406,cg01832549,cg01836137,cg01844491,cg01868616,cg01882991,cg01901332,cg02013841,cg02104900,cg02186444,cg02417427,cg02548323,cg02710230,cg02732789,cg02734052,cg02775989,cg03052614,cg03244470,cg03253449,cg03295554,cg03305963,cg03358636,cg03399879,cg03450842,cg03530002,cg03547355,cg03595784,cg03757296,cg03785076,cg03936075,cg03999941,cg04132263,cg04258133,cg04517079,cg04560781,cg04700809,cg04717644,cg04858539,cg05086879,cg05284742,cg05480247,cg05613192,cg05620847,cg05673882,cg05952163,cg05966255,cg05969150,cg06049452,cg06362176,cg06521527,cg06584448,cg06671242,cg06672250,cg07242524,cg07339236,cg07381806,cg07390844,cg07429188,cg07663850,cg07815896,cg07978331,cg08258230,cg08343624,cg08445278,cg08472795,cg08726900,cg08872577,cg08882265,cg08972170,cg09022230,cg09224452,cg09445979,cg09465516,cg09537006,cg09560590,cg09656629,cg09747182,cg09932507,cg09977126,cg09981964,cg10041129,cg10179300,cg10302347,cg10380221,cg10420527,cg10465514,cg10531355,cg10553969,cg10691866,cg10692136,cg10750182,cg10765427,cg10825315,cg11225089,cg11242444,cg11253886,cg11307144,cg11307857,cg11320225,cg11555067,cg11709495,cg11902777,cg12009405,cg12075928,cg12147622,cg12169251,cg12547807,cg12600265,cg13518625,cg13531599,cg13772414,cg13784607,cg14051805,cg14128479,cg14153041,cg14241868,cg14316231,cg14389122,cg14486033,cg14513685,cg14624207,cg14689167,cg14753356,cg14818621,cg14868760,cg15102575,cg15396830,cg15415882,cg15851905,cg16398761,cg16464329,cg16495683,cg16503724,cg16522223,cg16571141,cg16922732,cg16924930,cg17120035,cg17250929,cg17320698,cg17342080,cg17588460,cg17738628,cg17907003,cg18110140,cg18268027,cg18734657,cg18826637,cg18955199,cg19104050,cg19136686,cg19372602,cg19885130,cg20059928,cg20146909,cg20184330,cg20293888,cg20303561,cg20430809,cg20540629,cg21026639,cg21322436,cg21380990,cg21404557,cg21473814,cg21682295,cg21863544,cg21911711,cg21913886,cg22486366,cg22490254,cg22539182,cg22548335,cg22551157,cg22692692,cg22702259,cg22721423,cg22851561,cg22891595,cg23162201,cg23233742,cg23407476,cg23510258,cg23681440,cg23954423,cg24021808,cg24149237,cg24665265,cg24797066,cg24947681,cg25061445,cg25290553,cg25433915,cg25748521,cg25953130,cg26271591,cg26337070,cg26361535,cg26547816,cg26701785,cg27262054,cg27332104,cg27467282,cg27626216	E063	3.03e-29
-1.923	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.535	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg02238229,cg27086356	E063	1.00e+00
-0.502	7.11e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg02920129,cg20066188	E063	1.00e+00
1.820	6.05e-02	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg04180046,cg04535902,cg04931655,cg06644428,cg08709672,cg11554391,cg11718989,cg14179389,cg16254309,cg17580614,cg22014359,cg22904711,cg23161492,cg25942611,cg26987759	E063	1.00e+00
0.020	5.37e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg00310412,cg01899089,cg01940273,cg03329539,cg04902004,cg05875421,cg08822075,cg10951873,cg12876356,cg25197654	E063	1.00e+00
-0.311	6.52e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg00835193,cg01952185,cg02451831,cg03686998,cg04414766,cg04716530,cg05575921,cg06338710,cg07178945,cg08959878,cg09303399,cg10399789,cg10841124,cg11902728,cg12828729,cg12956751,cg13185177,cg14455466,cg14973055,cg15693572,cg15806304,cg16092017,cg16207944,cg16255816,cg17112727,cg17651613,cg20286560,cg20385913,cg23667432,cg24577031,cg24688690,cg26954197	E063	1.00e+00
-2.130	9.90e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00336149,cg00512459,cg00592995,cg00731338,cg01062937,cg01208318,cg01307360,cg01541424,cg01593408,cg02159157,cg02327909,cg02787737,cg03340878,cg03409300,cg03479985,cg04010861,cg04344422,cg04487595,cg04507642,cg04551776,cg04573702,cg04879308,cg05194346,cg05371159,cg05460226,cg05726450,cg05940455,cg06972908,cg07180646,cg07830813,cg07943658,cg08036104,cg08151621,cg08216829,cg08371497,cg08902828,cg08936253,cg09568833,cg09842685,cg10358466,cg10520740,cg10619342,cg11557553,cg11591924,cg11885285,cg12423733,cg12739216,cg13641317,cg13734658,cg14721232,cg14811849,cg15352568,cg16219322,cg16260976,cg16499829,cg16758086,cg17318719,cg17351876,cg17565444,cg17625893,cg18236066,cg18369990,cg18522582,cg19325791,cg19696491,cg20295214,cg20433154,cg20606301,cg21545147,cg21733098,cg21901790,cg21915904,cg23025288,cg23409325,cg23491443,cg24087280,cg24488469,cg24597159,cg24617344,cg25001882,cg25648203,cg26157453,cg26703534,cg26747079,cg26850624,cg27215690,cg27241845,cg27339954,cg27537125,cg27650500	E063	1.00e+00
-5.406	1.00e+00	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg00010201,cg00045592,cg00541303,cg00956549,cg00977926,cg01097768,cg01756827,cg01925253,cg02560069,cg02693701,cg02714303,cg02978227,cg03252902,cg03352182,cg03461577,cg03695678,cg03823477,cg04003530,cg04039397,cg04039799,cg04061293,cg04136748,cg04180924,cg04182427,cg04213565,cg04243090,cg04388124,cg04460609,cg05113537,cg05198378,cg05218021,cg05452432,cg05508862,cg05533761,cg05547483,cg05570258,cg05723029,cg05753553,cg05762054,cg05812200,cg05866990,cg05954228,cg06161566,cg06563667,cg06568562,cg06708913,cg07465627,cg07898952,cg07948323,cg07986378,cg08035323,cg08036772,cg08203231,cg08215583,cg08252882,cg08444340,cg08792700,cg08946781,cg09010260,cg09322513,cg09477886,cg09509819,cg09709426,cg09764276,cg09848445,cg09945032,cg10080808,cg10174146,cg10413305,cg10513595,cg10587886,cg10745039,cg10816760,cg10947348,cg11116464,cg11207515,cg11412468,cg11735008,cg12329529,cg12426771,cg12464134,cg12678834,cg13518852,cg13628881,cg13682152,cg13787850,cg14410487,cg14768892,cg14988493,cg15133043,cg15212295,cg15277721,cg15378061,cg15480998,cg15485809,cg15562617,cg15801526,cg16143121,cg16200531,cg16220933,cg16237191,cg16508202,cg16615151,cg16720061,cg16744741,cg16841325,cg17290454,cg17307655,cg17679916,cg17750024,cg17769389,cg17872672,cg18158149,cg18387338,cg18515426,cg19254163,cg19859270,cg20328799,cg20469744,cg20534846,cg21323941,cg21379099,cg21393163,cg22124000,cg22178367,cg22232492,cg22311669,cg22440155,cg22748944,cg23079012,cg23508991,cg23535194,cg23973532,cg24023489,cg24120297,cg24525238,cg24556382,cg24567851,cg24688401,cg24735226,cg24741609,cg25305703,cg25614265,cg25635022,cg25809905,cg25964299,cg26237233,cg26332838,cg26673040,cg27191786,cg27363347,cg27537214	E063	1.00e+00
-5.526	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed	cg03140521,cg13937905,cg14096828,cg25094008	E080	1.00e+00
1.445	9.71e-02	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg00073090,cg00324097,cg00501876,cg01447828,cg01764256,cg02657160,cg02920129,cg02964434,cg02968508,cg03786093,cg05603985,cg05659611,cg06446365,cg06635952,cg07180646,cg07954423,cg08936253,cg09084200,cg09469355,cg10190813,cg10919522,cg11621113,cg11660018,cg11931220,cg12619810,cg14585799,cg14796406,cg15160624,cg16254309,cg16646054,cg16794579,cg16922732,cg18660898,cg19266329,cg19719391,cg21322436,cg22490254,cg23351584,cg24540678	E080	1.00e+00
8.516	1.06e-07	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed	cg01839993,cg02583484,cg03707168,cg04858631,cg05677062,cg07069636,cg10255761,cg12407708,cg13832201,cg14377032,cg15020502,cg18642234,cg19713429,cg21698310	E080	8.37e-06
-4.288	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg00162361,cg00202479,cg00205076,cg00308065,cg00448292,cg01994049,cg03381973,cg03384915,cg03440944,cg03636488,cg03995933,cg04885881,cg05157376,cg05304393,cg05396397,cg05661533,cg05901971,cg06394460,cg06805218,cg06819357,cg07097487,cg07411111,cg09197783,cg09747182,cg10843276,cg10974463,cg11308227,cg12103569,cg12804716,cg12856965,cg13318355,cg13505271,cg13849276,cg14241868,cg14389122,cg15212295,cg15228441,cg15482893,cg15963913,cg16734637,cg17381396,cg17547179,cg18463452,cg18754985,cg20355257,cg20396110,cg20691469,cg21121843,cg21774980,cg23407476,cg23510258,cg23580639,cg27516795	E080	1.00e+00
-2.731	9.99e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg00336149,cg00475490,cg00819417,cg01010073,cg01097768,cg01692968,cg02417427,cg02548323,cg02710230,cg02734052,cg02793162,cg03051767,cg03253449,cg03305963,cg03595784,cg04136748,cg04388124,cg04455670,cg04673446,cg04700809,cg05207730,cg05613192,cg05952163,cg07155243,cg07251887,cg07986378,cg08763102,cg08899667,cg09006487,cg09123897,cg09338374,cg09537006,cg10189850,cg10711136,cg11063902,cg11116464,cg11307857,cg11556164,cg12609247,cg13882251,cg14128479,cg14316231,cg14391737,cg14466441,cg14551458,cg14853432,cg15387619,cg16459171,cg16503724,cg16712581,cg16727193,cg17120035,cg18110140,cg18522582,cg18880190,cg19578936,cg19716264,cg21411014,cg21682295,cg22744280,cg24616450,cg24735226,cg25212025,cg25421530,cg25635022,cg25730803,cg25809905,cg25964299,cg25984701,cg26747079,cg26850624,cg27372654,cg27444020	E080	1.00e+00
4.052	1.95e-04	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg00210249,cg00232092,cg01832549,cg01868616,cg01901332,cg02042026,cg02806824,cg03715305,cg04132263,cg04956244,cg07381806,cg08472795,cg09022230,cg10062919,cg10143064,cg10380221,cg10420527,cg11718989,cg12169251,cg12710546,cg14153041,cg14201874,cg14712058,cg14977938,cg15431537,cg15441416,cg16102363,cg17038235,cg17907003,cg18268027,cg18581607,cg18667929,cg19089328,cg19427338,cg19665316,cg19956914,cg20430809,cg22539182,cg22702259,cg22851561,cg23110422,cg23198793,cg24227782,cg24486784,cg25845814,cg26361535,cg27312979,cg27460040	E080	1.11e-02
13.664	1.20e-36	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg00259070,cg00295485,cg00446839,cg00542975,cg00592949,cg00717494,cg00950497,cg00956549,cg01094982,cg01435643,cg01731783,cg01744331,cg01844491,cg01882991,cg01944380,cg02013841,cg02104900,cg02186444,cg02423587,cg02693701,cg02732789,cg02738868,cg02743070,cg03028088,cg03109660,cg03399879,cg03450842,cg03530002,cg03547355,cg03757296,cg03785076,cg03936075,cg04039799,cg04061293,cg04159302,cg04460609,cg04481318,cg04517079,cg04560781,cg04573702,cg04636576,cg04858539,cg04879308,cg04890576,cg05086879,cg05221370,cg05284742,cg05508862,cg05620847,cg05673882,cg05816188,cg05957567,cg05969150,cg06049452,cg06053307,cg06096336,cg06299644,cg06362176,cg06521527,cg06584448,cg06595162,cg06671242,cg07090714,cg07390844,cg07663850,cg07737038,cg07815896,cg07978331,cg08035323,cg08036104,cg08203231,cg08258230,cg08266095,cg08282118,cg08331284,cg08371497,cg08595501,cg08726900,cg08872577,cg08882265,cg08940075,cg09279763,cg09445979,cg09465516,cg09477886,cg09568833,cg09578155,cg09981964,cg10041129,cg10179300,cg10302347,cg10465514,cg10513595,cg10531355,cg10553969,cg10691866,cg10692136,cg10750182,cg10765427,cg10841124,cg11320225,cg11533519,cg11555067,cg11640529,cg11709495,cg11807314,cg11960913,cg12009405,cg12075928,cg12147622,cg12547807,cg12600265,cg12939236,cg13039251,cg13429998,cg13518625,cg13682152,cg13772414,cg13784607,cg13787850,cg13916835,cg14051805,cg14262884,cg14335029,cg14486033,cg14491800,cg14513685,cg14580211,cg14624207,cg14689167,cg14753356,cg14868760,cg15159987,cg15167367,cg15352568,cg15394081,cg15415882,cg15474579,cg15526732,cg15801526,cg15851905,cg16033864,cg16047567,cg16146513,cg16200531,cg16398761,cg16464329,cg16495683,cg16522223,cg16571141,cg16702313,cg16720061,cg16731493,cg16859352,cg16924930,cg17307655,cg17320698,cg17342080,cg17419818,cg17565444,cg17631924,cg17739917,cg17936567,cg18158149,cg18410341,cg18734657,cg18826637,cg18955199,cg19136686,cg19175202,cg19572487,cg19701538,cg19885130,cg20059928,cg20174472,cg20178893,cg20184330,cg20293888,cg20303561,cg20328799,cg20540629,cg20650823,cg21026639,cg21163477,cg21380990,cg21575225,cg21863544,cg21901790,cg21911711,cg21913886,cg22124000,cg22441770,cg22499893,cg22548335,cg22551157,cg22721423,cg22891595,cg22976567,cg23025288,cg23149770,cg23233742,cg23954423,cg24021808,cg24149237,cg24155515,cg24797066,cg24838345,cg24947681,cg24996979,cg25001882,cg25061445,cg25211022,cg25433915,cg25748521,cg25953130,cg26237233,cg26271591,cg26547816,cg26673040,cg26768182,cg27191786,cg27215690,cg27262054,cg27332104,cg27405731,cg27626216	E080	6.43e-34
-0.184	6.31e-01	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed	cg01208318,cg03686998,cg09303399,cg16207944	E080	1.00e+00
-2.787	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed	cg02238229,cg17625893	E080	1.00e+00
0.464	3.79e-01	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed	cg05886626,cg10788371,cg10965178,cg14371731,cg20059012,cg25942611	E080	1.00e+00
