Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.029	7.33e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00427086,cg01496720,cg01993413,cg02249930,cg02505871,cg02641675,cg02734358,cg03019460,cg03143849,cg03411579,cg03725309,cg03912013,cg04073039,cg04080353,cg04882003,cg04952446,cg05654980,cg05845319,cg06294803,cg06422693,cg07633499,cg07979752,cg08098457,cg08879470,cg09138671,cg09351636,cg10970776,cg11680158,cg11877577,cg11975718,cg12054453,cg14387360,cg14795047,cg15208284,cg15666066,cg16362983,cg16656852,cg16723994,cg17197981,cg17443080,cg17877220,cg18062281,cg18696027,cg18755191,cg18931895,cg19478983,cg19857457,cg20554312,cg20560182,cg20908993,cg21643860,cg21910821,cg21930443,cg22435785,cg22949637,cg23550355,cg23655939,cg24965617,cg25539011,cg26421286,cg26728422,cg27287791,cg27506889	E063	1.00e+00
16.554	2.76e-42	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00008629,cg00134210,cg00135056,cg00207731,cg00252813,cg00285394,cg00455327,cg00463562,cg00472277,cg00574958,cg00622166,cg00657871,cg00759699,cg00783916,cg00901982,cg00907204,cg01020987,cg01170099,cg01234420,cg01243823,cg01406381,cg01414882,cg01428071,cg01456243,cg01464985,cg01932734,cg02010481,cg02025827,cg02232751,cg02336827,cg02345399,cg02359132,cg02424179,cg02560388,cg02651400,cg02716826,cg02743070,cg02805822,cg02905900,cg02932780,cg03014427,cg03043406,cg03068497,cg03354554,cg03359362,cg03395898,cg03450635,cg03484180,cg03560879,cg03636183,cg03647927,cg03655330,cg03672272,cg03698343,cg03721978,cg03929796,cg03945538,cg04009456,cg04017672,cg04424621,cg04608933,cg04927537,cg04949225,cg05068428,cg05151185,cg05316627,cg05339037,cg05492306,cg05559445,cg05603985,cg05760053,cg06007201,cg06211255,cg06226150,cg06285727,cg06321376,cg06361161,cg06630241,cg06778853,cg06826457,cg06933384,cg06976025,cg07026107,cg07069636,cg07092212,cg07156249,cg07199619,cg07310671,cg07422880,cg07452306,cg07507251,cg07708487,cg07820214,cg07955474,cg08099136,cg08548559,cg08876103,cg08880817,cg08889930,cg08899105,cg09041527,cg09091424,cg09155575,cg09182189,cg09182678,cg09249494,cg09284772,cg09395195,cg09480855,cg09703123,cg09978077,cg10025462,cg10106091,cg10255761,cg10381071,cg10418289,cg10421247,cg10468373,cg10670430,cg10884953,cg10919522,cg11002698,cg11068337,cg11213898,cg11366934,cg11394644,cg11419931,cg11489251,cg11494773,cg11649376,cg11870042,cg11926473,cg12133952,cg12269535,cg12516875,cg12526474,cg12627844,cg12773030,cg12848614,cg13505393,cg13519902,cg13613748,cg13630493,cg13668129,cg13709639,cg14044057,cg14093936,cg14097568,cg14223444,cg14254419,cg14290576,cg14428590,cg14476101,cg14603886,cg14741228,cg14853734,cg15033269,cg15298486,cg15387943,cg15416179,cg15717558,cg16041806,cg16129132,cg16270399,cg16363586,cg17066943,cg17214023,cg17215278,cg17217654,cg17298279,cg17327067,cg17386185,cg17567838,cg17724175,cg17901584,cg17916418,cg17971578,cg18204321,cg18262201,cg18262993,cg18316386,cg19168338,cg19266329,cg19284277,cg19501423,cg19572487,cg19713429,cg19755007,cg19816445,cg20014974,cg20199836,cg20248822,cg20322832,cg20594304,cg20698421,cg20805367,cg20811755,cg20813374,cg20842915,cg21241823,cg21291385,cg21691367,cg21990700,cg22017309,cg22178392,cg22370057,cg22395807,cg22407942,cg22479546,cg22507639,cg22695339,cg22706883,cg22800273,cg22940798,cg23090046,cg23683012,cg23756264,cg23919111,cg24046474,cg24109116,cg24230340,cg24332710,cg24461171,cg24663255,cg24711224,cg24733384,cg24760467,cg24848615,cg24935121,cg25139649,cg25900943,cg26189283,cg26221105,cg26467528,cg26615176,cg27315497,cg27563174,cg27610250	E063	1.64e-39
4.069	5.00e-03	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg01180628,cg03707168,cg04444771,cg05232694,cg08198483,cg10508317,cg26034658	E063	1.95e-01
-6.121	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg03963853,cg07134632,cg08362785,cg10025586,cg13876222,cg19240637	E063	1.00e+00
-4.536	1.00e+00	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00780810,cg01973676,cg02504211,cg02909097,cg03940776,cg04075184,cg05242244,cg05555337,cg06012428,cg06568490,cg07217499,cg07793033,cg07901253,cg09130674,cg10167235,cg10520790,cg11376147,cg12587954,cg14321269,cg14715778,cg21346154,cg23510415,cg24496021,cg25817701	E063	1.00e+00
1.260	1.93e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00711496,cg00741986,cg02003183,cg02297838,cg04735908,cg07719604,cg11344744,cg12644285,cg14977938,cg17749033,cg21932231,cg25221975	E063	1.00e+00
13.712	4.48e-25	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00058291,cg00061031,cg00159243,cg00210249,cg00259742,cg00509772,cg00611192,cg01015663,cg01127300,cg01178099,cg01437204,cg01656750,cg01858712,cg01983725,cg02291556,cg02415661,cg02790691,cg02893429,cg02990302,cg03162492,cg03183540,cg03257930,cg03514843,cg03594078,cg04084354,cg04100595,cg04389058,cg04730825,cg04913803,cg04973995,cg05201300,cg05207583,cg05438378,cg05568549,cg05673882,cg05991009,cg06465011,cg06500161,cg06690548,cg06946797,cg07266431,cg07698196,cg07742396,cg07862235,cg08176258,cg08309687,cg08355863,cg08549335,cg08580308,cg08761535,cg08782002,cg08877322,cg09022230,cg09340403,cg09449988,cg10287970,cg10575219,cg10753966,cg10864794,cg10922280,cg10938393,cg11481582,cg11752250,cg11793449,cg12018809,cg12571570,cg12674975,cg12770539,cg13167816,cg13518625,cg13583535,cg13770461,cg13948857,cg14127947,cg14277403,cg14520947,cg15672022,cg15696506,cg15697257,cg16001689,cg16263152,cg16292768,cg16306654,cg16398761,cg16522412,cg16671360,cg16694480,cg16771652,cg16969872,cg17088014,cg17602444,cg19213703,cg19220272,cg19589396,cg19821297,cg19914919,cg20155035,cg20438687,cg20660989,cg20782117,cg21829328,cg21913886,cg22396498,cg22594214,cg23002590,cg23172671,cg23327334,cg23353000,cg23542902,cg23547429,cg23645210,cg23831876,cg23900712,cg23924737,cg24304210,cg24859433,cg25114611,cg25165932,cg25832796,cg25983901,cg26170244,cg26253134,cg26315985,cg26361436,cg26686150,cg27093918,cg27431877,cg27470213,cg27494897	E063	6.13e-23
-1.141	9.28e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg13428066	E063	1.00e+00
-2.263	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-1.539	9.85e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg17849569	E063	1.00e+00
