Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-8.258	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00567854,cg00756943,cg00994804,cg01342115,cg01456368,cg01827781,cg02228675,cg02849695,cg02996583,cg03070187,cg03329019,cg03534375,cg03800939,cg03879180,cg04140525,cg04498198,cg04869006,cg04889800,cg05766948,cg06137072,cg06626847,cg07348535,cg07421287,cg09477758,cg09593860,cg09687907,cg10213875,cg10512203,cg10764196,cg10775991,cg10843343,cg10928544,cg11380327,cg12131208,cg12845268,cg13708645,cg13847322,cg13882377,cg14230238,cg14485097,cg15127250,cg16302655,cg16990174,cg17149103,cg17220161,cg17445812,cg17641566,cg17768691,cg18449062,cg19628934,cg19851563,cg20012601,cg20806427,cg21124375,cg22128896,cg22374525,cg22833618,cg24404630,cg25966016,cg26465389	E029	1.00e+00
-3.318	1.00e+00	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00040575,cg00049729,cg00056066,cg00079023,cg00113225,cg00129811,cg00156995,cg00205605,cg00492070,cg00567854,cg00594129,cg00944421,cg00994804,cg01105418,cg01342115,cg01456368,cg01713950,cg01754713,cg01827781,cg02228675,cg02345146,cg02452639,cg02486855,cg02647265,cg02723291,cg02757970,cg02849695,cg02903680,cg03070187,cg03098721,cg03123541,cg03162823,cg03217115,cg03222066,cg03329019,cg03534375,cg03575602,cg03613822,cg03800939,cg03840467,cg03879180,cg03945400,cg03962527,cg04064050,cg04140525,cg04236334,cg04498198,cg04558175,cg04605287,cg04848686,cg04859826,cg04869006,cg04889800,cg04959634,cg04981619,cg05050592,cg05232215,cg05589489,cg05766948,cg06114987,cg06241901,cg06430387,cg06489606,cg06602723,cg06913600,cg07138399,cg07348535,cg07421287,cg07604700,cg07733851,cg08090164,cg08217285,cg08217910,cg08240539,cg08657654,cg09113483,cg09477758,cg09687907,cg09747445,cg09871637,cg10213875,cg10322443,cg10512203,cg10554624,cg10717869,cg10775991,cg10825471,cg10904740,cg11027707,cg11106117,cg11200656,cg11380327,cg11709405,cg11980800,cg12000995,cg12065616,cg12125332,cg12131208,cg12233232,cg12836958,cg12845268,cg13078421,cg13204699,cg13318241,cg13491563,cg13518442,cg13691108,cg13708645,cg13754720,cg13934236,cg13943068,cg14016875,cg15006681,cg15127250,cg15175162,cg15302379,cg15789095,cg15925365,cg16302655,cg16508883,cg16537676,cg16854876,cg16990174,cg17058475,cg17220161,cg17231677,cg17445812,cg17493885,cg17527422,cg17930194,cg18280057,cg18342462,cg18346398,cg18449062,cg18559799,cg19401033,cg19506623,cg19628934,cg19741660,cg19782271,cg20430773,cg20441135,cg20951444,cg21124375,cg21481950,cg21577356,cg21692620,cg21903286,cg22128896,cg23225147,cg23373640,cg23579062,cg23629935,cg23743554,cg23907108,cg24119717,cg24148304,cg24185628,cg24220031,cg24361265,cg24378227,cg24404630,cg24522254,cg24729928,cg24859236,cg25299676,cg25449315,cg25581090,cg25607643,cg25783099,cg25821785,cg26291519,cg26376346,cg26773791,cg27020362,cg27438980,cg27478242	E032	1.00e+00
-6.352	1.00e+00	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049729,cg00129811,cg00205605,cg00492070,cg00944421,cg00994804,cg01205935,cg01342115,cg01456368,cg01817364,cg01827781,cg02228675,cg02647265,cg02723291,cg02757970,cg02849695,cg02903680,cg03070187,cg03575602,cg03800939,cg03879180,cg03962527,cg04140525,cg04498198,cg04605287,cg04848686,cg04859826,cg04869006,cg04889800,cg05050592,cg05232215,cg05308656,cg05589489,cg05766948,cg06241901,cg06430387,cg06489606,cg07292773,cg07348535,cg07421287,cg07464674,cg08217910,cg09113483,cg09477758,cg09484541,cg09687907,cg09747445,cg10163955,cg10512203,cg10554624,cg10775991,cg10816169,cg11027707,cg11200656,cg11380327,cg11709405,cg12000995,cg12065616,cg12125332,cg12836958,cg13078421,cg13318241,cg13518442,cg13621396,cg13691108,cg13708645,cg13754720,cg13934236,cg13943068,cg14016875,cg14192542,cg14230238,cg15091747,cg15127250,cg15789095,cg16302655,cg16508883,cg16537676,cg16990174,cg17058475,cg17166288,cg17220161,cg17231677,cg17362900,cg17445812,cg18280057,cg18449062,cg19628934,cg19741660,cg20430773,cg20653375,cg21124375,cg21481950,cg21577356,cg21869046,cg22128896,cg23225147,cg23261715,cg23629935,cg23743554,cg24185628,cg24361265,cg24404630,cg24859236,cg25783099,cg25821785,cg25966016,cg27020362,cg27438980,cg27478242	E033	1.00e+00
-5.580	1.00e+00	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049729,cg00056066,cg00156995,cg00205605,cg00222799,cg00492070,cg00944421,cg00994804,cg01105418,cg01205935,cg01323777,cg01342115,cg01456368,cg01817364,cg01827781,cg02228675,cg02486855,cg02647265,cg02723291,cg02849695,cg02903680,cg03070187,cg03123541,cg03162823,cg03217115,cg03222066,cg03534375,cg03575602,cg03613822,cg03760191,cg03785076,cg03879180,cg03962527,cg04140525,cg04498198,cg04605287,cg04848686,cg04869006,cg04889800,cg04959634,cg05045598,cg05050592,cg05232215,cg05308656,cg05589489,cg05812266,cg06241901,cg06430387,cg06489606,cg07292773,cg07348535,cg07421287,cg07571928,cg07604700,cg08090164,cg08217285,cg08240539,cg09113483,cg09477758,cg09484541,cg09687907,cg09747445,cg09871637,cg10163955,cg10512203,cg10554624,cg10775991,cg10816169,cg10825471,cg10843343,cg11027707,cg11200656,cg11380327,cg11709405,cg11980800,cg12000995,cg12233232,cg12836958,cg13204699,cg13318241,cg13518442,cg13691108,cg13708645,cg13754720,cg13934236,cg14016875,cg14192542,cg14230238,cg14348967,cg14389669,cg14623715,cg15006681,cg15091747,cg15127250,cg15175162,cg15302379,cg15789095,cg16246545,cg16302655,cg16508883,cg16537676,cg16990174,cg17058475,cg17220161,cg17231677,cg17445812,cg17665699,cg18136963,cg18280057,cg18559799,cg19401033,cg19478539,cg19481355,cg19628934,cg19695978,cg20430773,cg20653375,cg20951444,cg21124375,cg21481950,cg21577356,cg22128896,cg22795769,cg23225147,cg23629935,cg23652484,cg23743554,cg24119717,cg24361265,cg24404630,cg24603028,cg24729928,cg24859236,cg25821785,cg25835351,cg25966016,cg26773791,cg27300028,cg27331665,cg27438980	E034	1.00e+00
-8.998	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049729,cg00205605,cg00492070,cg00567854,cg00994804,cg01447828,cg01456368,cg01817364,cg01827781,cg02228675,cg02647265,cg02723291,cg02849695,cg02903680,cg02996583,cg03070187,cg03613822,cg03879180,cg03962527,cg04498198,cg04558175,cg04605287,cg04848686,cg04869006,cg04889800,cg05045598,cg05050592,cg05308656,cg05589489,cg05766948,cg06137072,cg06489606,cg07348535,cg07571928,cg07733851,cg09477758,cg09687907,cg09747445,cg10512203,cg10775991,cg10825471,cg10928544,cg11106117,cg11380327,cg11526630,cg11709405,cg11980800,cg13518442,cg13691108,cg13708645,cg14016875,cg14230238,cg15091747,cg15127250,cg15175162,cg15302379,cg15789095,cg16302655,cg16990174,cg17058475,cg17220161,cg17231677,cg17445812,cg18280057,cg19628934,cg19851563,cg20430773,cg21124375,cg22128896,cg22874989,cg23225147,cg23373640,cg24361265,cg24404630,cg24729928,cg25821785,cg25966016,cg27331665,cg27438980	E046	1.00e+00
-5.056	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00054210,cg00113225,cg00116430,cg00205605,cg00263619,cg00428382,cg00492070,cg00630991,cg00756943,cg00994804,cg01342115,cg01447828,cg01456368,cg01471372,cg01754713,cg01827781,cg02228675,cg02449166,cg02647265,cg02705163,cg02757970,cg02849695,cg03070187,cg03098721,cg03162823,cg03173827,cg03258665,cg03287111,cg03534375,cg03610228,cg03879180,cg03962527,cg04140525,cg04498198,cg04605287,cg04848686,cg04869006,cg04889800,cg04959634,cg05045598,cg05134847,cg05168015,cg05232215,cg05308656,cg05589489,cg05593411,cg05766948,cg05812266,cg06137072,cg06430387,cg06489606,cg06626847,cg06634862,cg07348535,cg07464674,cg07839313,cg07871442,cg08005165,cg08217285,cg08240539,cg08498747,cg08537783,cg08657654,cg08915171,cg09477758,cg09484541,cg09593860,cg09687907,cg09747445,cg09871637,cg10213875,cg10512203,cg10708898,cg10755899,cg10764196,cg10775991,cg10843343,cg11027707,cg11106117,cg11327659,cg11380327,cg11709405,cg12000995,cg12065616,cg12405265,cg12664119,cg12899423,cg13078421,cg13181164,cg13318241,cg13468961,cg13491563,cg13518442,cg13558810,cg13691108,cg13708645,cg13934236,cg14230238,cg14389669,cg14424963,cg14485097,cg15091747,cg15127250,cg15175162,cg15302379,cg15869022,cg15925365,cg16029875,cg16246545,cg16263848,cg16302655,cg16467811,cg16508883,cg16537292,cg16990174,cg17058475,cg17220161,cg17295878,cg17296589,cg17445812,cg17641566,cg17665699,cg18136963,cg18280057,cg18342462,cg18346398,cg19628934,cg19717060,cg19741660,cg20012601,cg20806427,cg21124375,cg21692620,cg22128896,cg23225147,cg23261715,cg23373640,cg23743554,cg23790219,cg24030449,cg24148304,cg24404630,cg24569831,cg24603028,cg24859236,cg25821785,cg25966016,cg26242687,cg26291519,cg26465389,cg27020362,cg27219972,cg27331665,cg27438980,cg27478242,cg27646484	E050	1.00e+00
-6.387	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00049729,cg00054210,cg00055341,cg00205605,cg00492070,cg00756943,cg00994804,cg01342115,cg01447828,cg01456368,cg01471372,cg01754713,cg01827781,cg02228675,cg02705163,cg02757970,cg02849695,cg02996583,cg03070187,cg03098721,cg03173827,cg03534375,cg03575602,cg03610228,cg03879180,cg03962527,cg04140525,cg04498198,cg04605287,cg04848686,cg04889800,cg04959634,cg05045598,cg05168015,cg05527113,cg05593411,cg05766948,cg05815196,cg06137072,cg06489606,cg06626847,cg06634862,cg07464674,cg07839313,cg07871442,cg07943780,cg08217285,cg08240539,cg08498747,cg09477758,cg09687907,cg09747445,cg09871637,cg10512203,cg10764196,cg10816169,cg10843343,cg11027707,cg12000995,cg12065616,cg12405265,cg12664119,cg12731773,cg12845268,cg13078421,cg13491563,cg13518442,cg13558810,cg13647973,cg13691108,cg13708645,cg13934236,cg13943068,cg14230238,cg14389669,cg14485097,cg15091747,cg15127250,cg15175162,cg15302379,cg15478483,cg15789095,cg16029875,cg16137147,cg16302655,cg16467811,cg16508883,cg16990174,cg17058475,cg17220161,cg17445812,cg17641566,cg17665699,cg17930194,cg18280057,cg18342462,cg18559799,cg19628934,cg19717060,cg20201270,cg20806427,cg21124375,cg21692620,cg22128896,cg22952142,cg23225147,cg23373640,cg23790219,cg23907108,cg23948843,cg24119717,cg24361265,cg24404630,cg24841257,cg24980413,cg25966016,cg26465389,cg27438980,cg27478242,cg27646484	E051	1.00e+00
-1.293	9.24e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00040575,cg00056066,cg00082939,cg00944421,cg00994804,cg01209984,cg01251360,cg01456368,cg01471372,cg01520588,cg01827781,cg01874730,cg02153814,cg02228675,cg02647265,cg02705163,cg02723291,cg02799880,cg02803819,cg02849695,cg02903680,cg03070187,cg03123541,cg03228449,cg03258665,cg03295417,cg03534375,cg03822639,cg03840467,cg03879180,cg03945400,cg03962527,cg04017036,cg04064050,cg04289036,cg04334496,cg04337944,cg04664126,cg04859826,cg04981619,cg05045598,cg05168015,cg05232215,cg05349837,cg05589489,cg05797770,cg06000144,cg06137072,cg06143732,cg06223926,cg06397322,cg06430387,cg06489606,cg06717905,cg06744585,cg07249684,cg07262247,cg07310671,cg07348535,cg07571928,cg07733851,cg07871442,cg08106887,cg08217285,cg08240539,cg08498747,cg08657654,cg08731696,cg08820801,cg08855938,cg09337852,cg09477758,cg09484541,cg09565002,cg09687907,cg09692695,cg09898695,cg10163955,cg10213875,cg10322443,cg10512203,cg10636490,cg10764196,cg10775991,cg10843343,cg10928544,cg11025974,cg11027707,cg11182874,cg11256956,cg11669516,cg11709405,cg11980800,cg12065616,cg12125332,cg12845268,cg13030332,cg13058819,cg13318241,cg13523576,cg13558810,cg13680337,cg14134256,cg14181528,cg14192542,cg14201634,cg14230238,cg14348967,cg14485097,cg14519997,cg14521421,cg14883961,cg14992524,cg15091747,cg15175162,cg15657704,cg15925365,cg16049246,cg16116203,cg16246545,cg16302655,cg16467811,cg16508883,cg16537676,cg16779251,cg16912563,cg16990174,cg17220161,cg17296589,cg18136963,cg18209323,cg18280057,cg18869061,cg19272540,cg19401033,cg19473656,cg19478539,cg19495650,cg19506623,cg19628934,cg19695978,cg20012601,cg20265748,cg20441135,cg20505728,cg20653375,cg20899625,cg21117965,cg21124375,cg21139046,cg21481950,cg21510189,cg21644740,cg21869046,cg22128896,cg22778981,cg22952142,cg23373640,cg23579062,cg23790219,cg23948843,cg24119717,cg24148304,cg24361265,cg24601030,cg24841257,cg24859236,cg25254074,cg25299676,cg25835351,cg25929589,cg26175343,cg26257411,cg26376346,cg26773791,cg27438980,cg27508620	E028	1.00e+00
16.592	1.43e-69	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00003625,cg00031973,cg00040575,cg00049729,cg00054210,cg00055341,cg00056066,cg00079023,cg00082939,cg00091633,cg00115747,cg00116430,cg00222799,cg00239563,cg00259472,cg00361017,cg00405069,cg00424169,cg00428382,cg00492070,cg00582562,cg00594129,cg00597876,cg00602416,cg00741945,cg00823843,cg00868766,cg00944421,cg00964751,cg00970752,cg00994804,cg01105418,cg01135546,cg01205935,cg01209984,cg01251360,cg01293485,cg01323777,cg01394847,cg01447828,cg01456368,cg01466133,cg01471372,cg01481251,cg01520588,cg01681525,cg01693598,cg01708636,cg01754713,cg01795955,cg01803461,cg01817364,cg01827781,cg01874730,cg02007567,cg02018681,cg02153814,cg02228675,cg02254407,cg02273436,cg02276831,cg02294302,cg02329835,cg02449166,cg02483701,cg02486415,cg02486855,cg02623200,cg02630477,cg02649698,cg02705163,cg02723291,cg02757970,cg02772663,cg02799880,cg02803819,cg02849695,cg02931685,cg02947450,cg02952809,cg02992639,cg03070187,cg03098721,cg03123541,cg03162823,cg03173827,cg03217115,cg03258665,cg03274456,cg03284879,cg03287111,cg03295417,cg03325667,cg03329019,cg03416628,cg03510528,cg03520644,cg03534375,cg03538499,cg03610228,cg03613822,cg03679544,cg03704673,cg03755115,cg03760191,cg03800939,cg03840467,cg03871267,cg03879180,cg03888223,cg03945400,cg03962527,cg04013159,cg04015962,cg04017036,cg04064050,cg04140525,cg04149978,cg04236334,cg04259752,cg04279801,cg04289036,cg04312620,cg04337944,cg04359418,cg04459939,cg04498198,cg04500896,cg04558175,cg04605287,cg04715503,cg04848686,cg04859826,cg04981619,cg05050592,cg05134847,cg05168015,cg05232215,cg05254747,cg05265607,cg05308656,cg05376267,cg05453820,cg05487507,cg05499367,cg05527113,cg05568941,cg05593411,cg05644462,cg05766948,cg05815196,cg05865340,cg05940146,cg05965387,cg05985317,cg06000144,cg06114987,cg06117153,cg06137072,cg06143732,cg06171329,cg06223926,cg06260709,cg06396119,cg06397322,cg06430387,cg06489606,cg06626847,cg06634862,cg06744585,cg06766016,cg06766541,cg06767142,cg06769918,cg06893273,cg06906952,cg06913600,cg06925984,cg07037725,cg07051221,cg07138399,cg07223180,cg07262247,cg07264048,cg07292773,cg07310671,cg07312357,cg07348535,cg07399928,cg07412254,cg07421287,cg07429038,cg07429284,cg07464674,cg07515565,cg07567308,cg07571337,cg07604700,cg07653800,cg07839313,cg07871442,cg07943780,cg08005165,cg08012287,cg08060857,cg08077071,cg08090164,cg08106887,cg08202399,cg08217285,cg08217910,cg08224569,cg08234689,cg08240539,cg08498747,cg08537783,cg08571918,cg08657654,cg08731696,cg08781728,cg08820801,cg08855938,cg09113483,cg09168805,cg09187007,cg09265392,cg09337852,cg09386376,cg09473282,cg09477758,cg09484541,cg09512548,cg09565002,cg09584358,cg09593860,cg09687907,cg09692695,cg09871637,cg09898695,cg10095777,cg10163955,cg10198479,cg10213875,cg10322443,cg10397819,cg10456121,cg10502244,cg10512203,cg10554624,cg10593400,cg10613381,cg10636490,cg10708898,cg10775991,cg10799440,cg10816169,cg10825471,cg10843343,cg10866062,cg10885338,cg10928544,cg10962524,cg11025974,cg11027707,cg11106117,cg11117637,cg11182874,cg11200656,cg11291003,cg11327659,cg11327857,cg11354105,cg11412129,cg11580525,cg11631063,cg11669516,cg11709405,cg11914795,cg11945297,cg11960677,cg11980800,cg12000995,cg12065616,cg12125332,cg12131208,cg12150256,cg12234455,cg12405048,cg12559119,cg12582654,cg12664119,cg12836958,cg12845268,cg12899423,cg13030332,cg13058819,cg13078421,cg13181164,cg13204699,cg13308964,cg13318241,cg13422817,cg13428213,cg13438032,cg13491563,cg13497903,cg13518442,cg13558810,cg13583664,cg13647973,cg13680337,cg13691108,cg13708645,cg13754720,cg13833596,cg13924715,cg13934236,cg13943068,cg13985132,cg14016875,cg14181528,cg14201634,cg14230238,cg14301024,cg14354168,cg14389669,cg14485097,cg14485744,cg14519997,cg14521421,cg14659930,cg14883961,cg15006681,cg15091747,cg15127250,cg15175162,cg15302379,cg15467577,cg15478483,cg15555017,cg15657704,cg15789095,cg15895197,cg15925365,cg16029875,cg16137147,cg16182936,cg16263848,cg16302655,cg16442587,cg16508883,cg16537676,cg16701167,cg16779251,cg16820615,cg16820616,cg16837557,cg16854876,cg16876823,cg16912563,cg16990174,cg17058475,cg17072519,cg17149103,cg17186388,cg17205324,cg17220161,cg17223809,cg17284119,cg17295878,cg17296589,cg17362900,cg17445812,cg17461600,cg17493885,cg17507667,cg17527422,cg17611235,cg17641566,cg17665699,cg17768691,cg17802213,cg17900689,cg17930194,cg17976121,cg18136963,cg18149394,cg18209323,cg18280057,cg18342462,cg18449062,cg18534077,cg18559799,cg18869061,cg19051015,cg19127638,cg19214097,cg19264571,cg19272540,cg19390244,cg19401033,cg19414967,cg19473656,cg19478539,cg19506623,cg19628934,cg19695978,cg19717060,cg19741660,cg19782271,cg19851563,cg20012601,cg20030820,cg20118840,cg20201270,cg20265748,cg20286956,cg20430773,cg20505728,cg20524889,cg20595752,cg20653375,cg20722590,cg20806427,cg20899625,cg20951444,cg20982735,cg21048168,cg21109038,cg21117965,cg21124375,cg21139046,cg21212881,cg21228424,cg21363811,cg21481950,cg21510189,cg21519058,cg21577356,cg21631918,cg21644740,cg21692620,cg21869046,cg22000727,cg22113926,cg22128896,cg22216643,cg22277296,cg22374525,cg22778981,cg22795769,cg22810790,cg22952142,cg22957360,cg22965943,cg23052055,cg23058037,cg23210521,cg23225147,cg23373640,cg23513600,cg23579062,cg23652484,cg23733845,cg23743554,cg23790219,cg23895076,cg23907108,cg23948843,cg24030449,cg24119717,cg24148304,cg24185628,cg24220031,cg24280832,cg24330456,cg24361265,cg24404630,cg24522254,cg24574963,cg24601030,cg24859236,cg24903893,cg25042226,cg25152404,cg25254074,cg25292638,cg25299676,cg25449315,cg25607643,cg25783099,cg25821785,cg25822369,cg25929589,cg26010218,cg26132737,cg26138978,cg26160218,cg26175343,cg26242687,cg26465389,cg26773791,cg26853787,cg26927427,cg27098804,cg27140633,cg27203184,cg27300028,cg27438980,cg27475169,cg27478242,cg27508620	E003	2.37e-67
13.789	2.92e-48	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00031973,cg00040575,cg00049729,cg00054210,cg00055341,cg00056066,cg00079023,cg00091633,cg00115747,cg00116430,cg00239563,cg00259472,cg00405069,cg00424169,cg00428382,cg00492070,cg00594129,cg00597876,cg00602416,cg00823843,cg00864684,cg00944421,cg00964751,cg00994804,cg01105418,cg01205935,cg01209984,cg01227744,cg01293485,cg01342115,cg01447828,cg01456368,cg01466133,cg01471372,cg01520588,cg01693598,cg01708636,cg01713950,cg01754713,cg01795955,cg01803461,cg01817364,cg01827781,cg01874730,cg02018681,cg02150077,cg02153814,cg02228675,cg02254407,cg02273436,cg02276831,cg02294302,cg02329835,cg02449166,cg02483701,cg02486855,cg02566861,cg02623200,cg02630477,cg02647265,cg02649698,cg02705163,cg02723291,cg02772663,cg02803819,cg02849695,cg02903680,cg02931685,cg02947450,cg02952809,cg02956248,cg02984184,cg02992639,cg03070187,cg03098721,cg03123541,cg03162823,cg03173827,cg03217115,cg03222066,cg03228449,cg03258665,cg03274456,cg03287111,cg03289906,cg03295417,cg03325667,cg03329019,cg03416628,cg03520644,cg03534375,cg03538499,cg03610228,cg03679544,cg03704673,cg03760191,cg03800939,cg03822639,cg03840467,cg03871267,cg03879180,cg03962527,cg04017036,cg04064050,cg04140525,cg04149978,cg04236334,cg04259752,cg04279801,cg04289036,cg04312620,cg04334496,cg04337944,cg04459939,cg04498198,cg04664126,cg04715503,cg04848686,cg04859826,cg04869006,cg04889800,cg04959634,cg04981619,cg05050592,cg05168015,cg05254747,cg05265607,cg05308656,cg05310240,cg05453820,cg05460571,cg05487507,cg05589489,cg05593411,cg05644462,cg05766948,cg05815196,cg05837435,cg05940146,cg05965387,cg06000144,cg06026545,cg06137072,cg06143732,cg06171329,cg06223926,cg06396119,cg06397322,cg06430387,cg06489606,cg06626847,cg06634862,cg06744585,cg06767142,cg06769918,cg06814654,cg06893273,cg06906952,cg06913600,cg06925984,cg07051221,cg07118895,cg07138399,cg07264048,cg07348535,cg07412254,cg07421287,cg07429038,cg07429284,cg07464674,cg07567308,cg07604700,cg07733851,cg07839313,cg07871442,cg08005165,cg08060857,cg08077071,cg08090164,cg08106887,cg08202399,cg08217285,cg08217910,cg08240539,cg08571918,cg08731696,cg08781728,cg08820801,cg08855938,cg09113483,cg09168805,cg09265392,cg09337852,cg09386376,cg09473282,cg09477758,cg09484541,cg09512548,cg09565002,cg09584358,cg09593860,cg09639133,cg09687907,cg09692695,cg09871637,cg09898695,cg10095777,cg10198479,cg10213875,cg10322443,cg10397819,cg10456121,cg10512203,cg10554624,cg10593400,cg10636490,cg10708898,cg10717869,cg10775991,cg10799440,cg10816169,cg10825471,cg10843343,cg10866060,cg10885338,cg10928544,cg10962524,cg11025974,cg11027707,cg11106117,cg11182874,cg11200656,cg11327857,cg11354105,cg11380327,cg11412129,cg11631063,cg11669516,cg11709405,cg11914795,cg11945297,cg11960677,cg11980800,cg12000995,cg12065616,cg12125332,cg12150256,cg12405048,cg12559119,cg12582654,cg12664119,cg12836958,cg12845268,cg12899423,cg13030332,cg13058819,cg13078421,cg13181164,cg13204699,cg13308964,cg13318241,cg13422817,cg13428213,cg13438032,cg13468961,cg13491563,cg13497903,cg13504055,cg13647973,cg13680337,cg13691108,cg13708645,cg13754720,cg13833596,cg13924715,cg13985132,cg14016875,cg14181528,cg14192542,cg14201634,cg14230238,cg14389669,cg14485097,cg14485744,cg14521421,cg14560430,cg14883961,cg15006681,cg15091747,cg15127250,cg15175162,cg15302379,cg15467577,cg15478483,cg15555017,cg15789095,cg15925365,cg16029875,cg16116203,cg16137147,cg16182936,cg16246545,cg16263848,cg16302655,cg16442587,cg16467811,cg16508883,cg16537676,cg16701167,cg16779251,cg16820615,cg16820616,cg16854876,cg16912563,cg16990174,cg17058475,cg17149103,cg17186388,cg17205324,cg17220161,cg17223809,cg17231677,cg17284119,cg17295878,cg17296589,cg17362900,cg17445812,cg17493885,cg17516571,cg17611235,cg17641566,cg17665699,cg17768691,cg17802213,cg17900689,cg17930194,cg17976121,cg18136963,cg18149394,cg18183624,cg18209323,cg18280057,cg18342462,cg18346398,cg18449062,cg18534077,cg18559799,cg18786420,cg18869061,cg19051015,cg19127638,cg19214097,cg19264571,cg19272540,cg19390244,cg19401033,cg19414967,cg19473656,cg19506623,cg19628934,cg19695978,cg19717060,cg19782271,cg19795793,cg19851563,cg20012601,cg20118840,cg20165545,cg20201270,cg20265748,cg20430773,cg20441135,cg20505728,cg20524889,cg20595752,cg20653375,cg20722590,cg20806427,cg20899625,cg20951444,cg20982735,cg21048168,cg21109038,cg21117965,cg21124375,cg21139046,cg21212881,cg21228424,cg21481950,cg21510189,cg21519058,cg21631918,cg21644740,cg21692620,cg21869046,cg22216643,cg22374525,cg22547559,cg22778981,cg22795769,cg22810790,cg22952142,cg22957360,cg23109344,cg23210521,cg23225147,cg23373640,cg23411518,cg23513600,cg23579062,cg23629935,cg23652484,cg23743554,cg23790219,cg23895076,cg23948843,cg24030449,cg24119717,cg24148304,cg24185628,cg24220031,cg24280832,cg24361265,cg24378227,cg24404630,cg24522254,cg24601030,cg24779381,cg24859236,cg24903893,cg25001102,cg25152404,cg25254074,cg25292638,cg25299676,cg25449315,cg25783099,cg25821785,cg25822369,cg25835351,cg26010218,cg26132737,cg26138978,cg26160218,cg26175343,cg26242687,cg26291519,cg26773791,cg26853787,cg26927427,cg27140633,cg27179622,cg27331665,cg27438980,cg27475169,cg27478242,cg27508620	E004	9.68e-47
