Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.965	4.89e-02	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg02738868,cg03032247,cg03111156,cg03935432,cg04155830,cg04367699,cg04525491,cg04873548,cg05255305,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E029	1.00e+00
3.231	6.70e-03	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg16188532,cg16273766,cg17279912,cg20264068,cg21760990,cg22511904,cg26184812,cg26886252	E029	4.19e-01
0.785	2.72e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg02034311,cg02575448,cg03032247,cg15229570,cg16661473,cg17279912,cg20264068,cg20822372,cg21158075,cg22058099,cg24643625	E029	1.00e+00
0.832	2.58e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00389547,cg02034311,cg02575448,cg03032247,cg04852443,cg07380563,cg14518545,cg15666308,cg15928188,cg16040219,cg16188532,cg20264068,cg20822372,cg22058099,cg26886252	E029	1.00e+00
-1.768	9.79e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg06216309,cg14518545,cg21158075	E029	1.00e+00
2.363	2.01e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21158075,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E032	6.96e-01
1.962	5.76e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg02575448,cg02738868,cg03032247,cg03299066,cg03935432,cg04155830,cg04367699,cg04815626,cg04873548,cg05255305,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg21760990,cg22511904,cg26184812,cg26427270,cg26886252	E032	1.00e+00
1.104	1.93e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg02034311,cg02575448,cg04525491,cg16040219,cg24643625,cg26886252	E032	1.00e+00
1.071	1.81e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00389547,cg02034311,cg02575448,cg03032247,cg03935432,cg04525491,cg07380563,cg07825799,cg15229570,cg15500907,cg15666308,cg15928188,cg16040219,cg16188532,cg16661473,cg20264068,cg20822372,cg22058099,cg22561992,cg24643625,cg26427270,cg26886252	E032	1.00e+00
-1.120	8.92e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg02738868,cg03111156,cg04367699,cg06216309,cg14518545,cg17128892,cg21158075	E032	1.00e+00
3.438	1.77e-03	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg02738868,cg03032247,cg03111156,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16188532,cg16273766,cg17128892,cg18614779,cg20822372,cg21760990,cg22058099,cg22511904,cg22561992,cg26184812,cg26886252	E033	2.08e-01
3.784	2.85e-03	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg02034311,cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg20822372,cg21760990,cg22058099,cg22511904,cg26184812,cg26886252	E033	2.39e-01
-0.767	6.76e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg02575448	E033	1.00e+00
2.283	2.36e-02	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg00389547,cg02034311,cg02575448,cg03032247,cg04852443,cg12957132,cg15666308,cg15928188,cg16040219,cg16188532,cg20264068,cg20822372,cg21760990,cg22058099,cg24643625,cg26886252	E033	7.48e-01
-0.840	8.39e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg03111156,cg14518545,cg14603358,cg17128892,cg21158075,cg22561992	E033	1.00e+00
2.379	2.31e-02	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07380563,cg12304215,cg12957132,cg14603358,cg15666308,cg15928188,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21158075,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E034	7.48e-01
2.168	4.54e-02	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg14603358,cg16188532,cg16273766,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812,cg26427270,cg26886252	E034	1.00e+00
