Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.616	2.93e-01	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00045753,cg00058708,cg00106609,cg00334056,cg00446925,cg00631329,cg00733150,cg00805867,cg00893242,cg01108370,cg01190171,cg01670430,cg01678292,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02516189,cg02527881,cg02841227,cg03224418,cg03289416,cg03315344,cg03653399,cg03808351,cg03922381,cg03987842,cg04173714,cg04607235,cg05140650,cg05801989,cg06035815,cg06211459,cg06253072,cg06294376,cg06474225,cg06530960,cg06635797,cg06751366,cg07645296,cg07866632,cg07983955,cg08312369,cg08347373,cg08403419,cg08586669,cg08672140,cg08841829,cg09134682,cg09188763,cg09326440,cg09419670,cg09754948,cg09915099,cg10241462,cg10298567,cg10494282,cg10653465,cg10962762,cg11465213,cg13374432,cg13609457,cg13729891,cg13863668,cg13866577,cg14310975,cg14418922,cg14689537,cg14921437,cg15105969,cg15146515,cg15911859,cg16060189,cg16264966,cg16450200,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17652424,cg17765885,cg17908947,cg18180155,cg18334211,cg18461635,cg19023589,cg19799702,cg19875578,cg19945060,cg20592836,cg20814349,cg20962215,cg20985980,cg23691642,cg23762465,cg23886495,cg24221648,cg24900563,cg26339924,cg26899598	E029	1.00e+00
2.553	6.66e-03	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00022866,cg00045753,cg00058708,cg00106609,cg00240767,cg00250711,cg00277334,cg00334056,cg00425431,cg00446925,cg00631329,cg00692279,cg00733150,cg00805867,cg00852675,cg00893242,cg01108370,cg01190171,cg01203766,cg01678292,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02516189,cg02527881,cg02732067,cg02841227,cg02909257,cg03212674,cg03224418,cg03264133,cg03289416,cg03316587,cg03555881,cg03613822,cg03808351,cg03987842,cg04173714,cg04340435,cg04607235,cg04657044,cg04964333,cg05140650,cg05180856,cg05801989,cg06035815,cg06106103,cg06211459,cg06253072,cg06366107,cg06530960,cg06635797,cg06751366,cg06793505,cg06826457,cg07077476,cg07441462,cg07452164,cg07645296,cg07807470,cg07884168,cg07983955,cg08005692,cg08312369,cg08525922,cg08586669,cg08841829,cg08849294,cg09134682,cg09188763,cg09322534,cg09326440,cg09419670,cg09626299,cg09754948,cg09769104,cg09915099,cg10121429,cg10183150,cg10241462,cg10415685,cg10422047,cg10494282,cg10653465,cg10962762,cg11465213,cg11731221,cg11753765,cg11801110,cg11876048,cg12640482,cg12685753,cg12738981,cg13127741,cg13344095,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14310975,cg14689537,cg14823076,cg14853772,cg14921437,cg15035590,cg15105969,cg15146515,cg15273468,cg15911859,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17908947,cg18064631,cg18180155,cg18334211,cg18612461,cg18875496,cg19799702,cg19875578,cg19945060,cg20592836,cg20737812,cg20814349,cg20985980,cg21235334,cg21300072,cg21438252,cg21589273,cg21717724,cg22025263,cg22157087,cg22278106,cg23691642,cg23744638,cg23762465,cg23886495,cg24032393,cg24900563,cg26339924,cg26456563,cg26690915,cg26899598,cg27326026,cg27386529	E032	1.12e-01
2.019	2.58e-02	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00022866,cg00045753,cg00058708,cg00250711,cg00310728,cg00334056,cg00446925,cg00631329,cg00733150,cg00805867,cg00852675,cg00893242,cg01108370,cg01190171,cg01203766,cg01678292,cg01697794,cg01732984,cg01770232,cg02053920,cg02114728,cg02156692,cg02527881,cg02556345,cg02732067,cg02841227,cg02909257,cg03224418,cg03264133,cg03289416,cg03808351,cg03987842,cg04173714,cg04607235,cg04657044,cg04964333,cg05140650,cg05801989,cg06035815,cg06211459,cg06253072,cg06366107,cg06530960,cg06635797,cg06826457,cg07441462,cg07452164,cg07645296,cg07807470,cg07884168,cg07983955,cg08005692,cg08312369,cg08525922,cg08586669,cg08841829,cg09134682,cg09188763,cg09322534,cg09326440,cg09419670,cg09626299,cg09754948,cg09769104,cg09915099,cg10121429,cg10183150,cg10241462,cg10653465,cg10962762,cg11465213,cg11753765,cg12685753,cg12738981,cg13127741,cg13318129,cg13344095,cg13578134,cg13609457,cg13729891,cg13863668,cg14069412,cg14310975,cg14689537,cg14823076,cg14853772,cg14921437,cg15035590,cg15105969,cg15146515,cg15273468,cg15911859,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18180155,cg18183774,cg18334211,cg18461635,cg19799702,cg19863426,cg19875578,cg20592836,cg20737812,cg20814349,cg20985980,cg21300072,cg21589273,cg22025263,cg22157087,cg23691642,cg23744638,cg23762465,cg23886495,cg24900563,cg25457927,cg26188818,cg26339924,cg26690915,cg26899598,cg27204993,cg27326026,cg27386529	E033	2.25e-01
2.642	5.48e-03	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00022866,cg00045753,cg00058708,cg00106609,cg00250711,cg00277334,cg00310728,cg00334056,cg00425431,cg00446925,cg00631329,cg00692279,cg00733150,cg00805867,cg00817464,cg00893242,cg01108370,cg01190171,cg01203766,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02246992,cg02527881,cg02556345,cg02732067,cg02841227,cg02909257,cg03212674,cg03224418,cg03264133,cg03289416,cg03555881,cg03613822,cg03808351,cg03987842,cg04173714,cg04405704,cg04607235,cg04657044,cg04964333,cg05140650,cg05801989,cg06035815,cg06211459,cg06253072,cg06366107,cg06530960,cg06635797,cg06793505,cg06826457,cg07033395,cg07077476,cg07441462,cg07452164,cg07645296,cg07716032,cg07807470,cg07884168,cg07910680,cg07983955,cg08005692,cg08086652,cg08312369,cg08586669,cg09134682,cg09188763,cg09191750,cg09326440,cg09419670,cg09626299,cg09754948,cg09915099,cg10121429,cg10183150,cg10241462,cg10494282,cg10653465,cg10962762,cg11465213,cg11569329,cg11731221,cg11753765,cg12640482,cg12685753,cg12738981,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14310975,cg14689537,cg14853772,cg14921437,cg15029032,cg15105969,cg15146515,cg15273468,cg15911859,cg16009970,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18180155,cg18183774,cg18334211,cg18461635,cg18612461,cg19159011,cg19799702,cg19875578,cg20592836,cg20737812,cg20814349,cg20985980,cg20992439,cg21300072,cg21438252,cg21589273,cg21717724,cg22157087,cg22278106,cg23691642,cg23744638,cg23886495,cg24221648,cg24900563,cg26188818,cg26339924,cg26757229,cg26899598,cg27204993,cg27326026,cg27386529	E034	1.12e-01
1.908	3.46e-02	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00022866,cg00045753,cg00250711,cg00277334,cg00334056,cg00446925,cg00631329,cg00733150,cg00805867,cg00817464,cg00893242,cg01108370,cg01190171,cg01203766,cg01670430,cg01732984,cg01770232,cg02114728,cg02156692,cg02516189,cg02527881,cg02556345,cg02841227,cg02909257,cg03212674,cg03224418,cg03264133,cg03289416,cg03315344,cg03316587,cg03613822,cg03808351,cg03887787,cg03987842,cg04173714,cg04405704,cg04607235,cg04657044,cg04964333,cg05180856,cg05801989,cg06035815,cg06211459,cg06253072,cg06474225,cg06530960,cg06635797,cg06793505,cg06826457,cg07077476,cg07441462,cg07452164,cg07645296,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08525922,cg08586669,cg08841829,cg09134682,cg09326440,cg09419670,cg09626299,cg09754948,cg09915099,cg10121429,cg10183150,cg10241462,cg10378804,cg10494282,cg10653465,cg11465213,cg11731221,cg11753765,cg12057242,cg12685753,cg13127741,cg13344095,cg13367647,cg13374432,cg13578134,cg13729891,cg13863668,cg13866577,cg14069412,cg14310975,cg14689537,cg14823076,cg14921437,cg15035590,cg15105969,cg15146515,cg15273468,cg16060189,cg16264966,cg16327482,cg16450200,cg16586182,cg17030679,cg17247190,cg17342283,cg17475857,cg17554194,cg17589175,cg17908947,cg18180155,cg18183774,cg18334211,cg18461635,cg19159011,cg19799702,cg19875578,cg20592836,cg20814349,cg20985980,cg21300072,cg21438252,cg21589273,cg22278106,cg23093090,cg23691642,cg23762465,cg23886495,cg24900563,cg26188818,cg26339924,cg26899598,cg27204993,cg27326026,cg27386529	E046	2.57e-01
1.343	1.03e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00045753,cg00058708,cg00106609,cg00250711,cg00334056,cg00425431,cg00446925,cg00631329,cg00655913,cg00733150,cg00805867,cg00893242,cg01108370,cg01190171,cg01670430,cg01697794,cg01732984,cg01770232,cg02053920,cg02114728,cg02156692,cg02197387,cg02527881,cg02841227,cg03264133,cg03289416,cg03315344,cg03316587,cg03669282,cg03719642,cg03808351,cg04173714,cg04607235,cg04657044,cg05180856,cg05490983,cg05801989,cg06035815,cg06211459,cg06218344,cg06253072,cg06512918,cg06530960,cg06635797,cg06751366,cg06826457,cg07077476,cg07250222,cg07452164,cg07645296,cg07807470,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08525922,cg08586669,cg08672140,cg08946713,cg09134682,cg09188763,cg09191750,cg09326440,cg09397246,cg09399716,cg09419670,cg09484019,cg09754948,cg09769104,cg09915099,cg10061770,cg10183150,cg10241462,cg10298567,cg10378804,cg10415685,cg10494282,cg10653465,cg10962762,cg11465213,cg11731221,cg11753765,cg12685753,cg12743398,cg13127741,cg13137809,cg13318129,cg13344095,cg13367647,cg13374432,cg13609457,cg13729891,cg13863668,cg13866577,cg14218447,cg14310975,cg14689537,cg14853772,cg14921437,cg15029032,cg15105969,cg15146515,cg15273468,cg15911859,cg16009970,cg16060189,cg16264966,cg16450200,cg17030679,cg17247190,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg18180155,cg18334211,cg18612461,cg19799702,cg19875578,cg20592836,cg20814349,cg20962215,cg20985980,cg21300072,cg21589273,cg21717724,cg21934230,cg22278106,cg23691642,cg23744638,cg23762465,cg23886495,cg24648384,cg24900563,cg25044876,cg25143771,cg26188818,cg26339924,cg26871347,cg26899598,cg27386529	E050	6.11e-01
0.915	2.02e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00022866,cg00045753,cg00058708,cg00106609,cg00250711,cg00446925,cg00601727,cg00631329,cg00733150,cg00805867,cg00893242,cg01108370,cg01190171,cg01697794,cg01732984,cg01770232,cg02053920,cg02114728,cg02197387,cg02841227,cg02909257,cg03224418,cg03264133,cg03289416,cg03669282,cg03719642,cg03808351,cg03887787,cg04173714,cg04607235,cg04657044,cg05180856,cg05801989,cg06035815,cg06211459,cg06218344,cg06253072,cg06530960,cg06635797,cg06826457,cg07077476,cg07250222,cg07441462,cg07452164,cg07645296,cg07716032,cg07884168,cg08005692,cg08086652,cg08312369,cg08525922,cg08586669,cg08672140,cg08946713,cg09134682,cg09188763,cg09191750,cg09326440,cg09419670,cg09754948,cg09769104,cg09886946,cg09915099,cg10183150,cg10241462,cg10298567,cg10378804,cg10415685,cg10494282,cg10653465,cg10962762,cg11465213,cg11731221,cg11753765,cg12685753,cg12743398,cg13127741,cg13344095,cg13367647,cg13374432,cg13729891,cg13863668,cg13866577,cg14310975,cg14689537,cg14823076,cg14853772,cg14921437,cg15035590,cg15105969,cg15146515,cg15273468,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg18180155,cg18334211,cg18612461,cg19799702,cg19875578,cg20592836,cg20814349,cg20962215,cg20985980,cg21300072,cg21589273,cg21934230,cg23691642,cg23886495,cg24221648,cg24648384,cg24900563,cg25044876,cg26188818,cg26339924,cg26456563,cg26899598,cg27386529	E051	1.00e+00
-0.427	6.89e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00045753,cg00334056,cg00446925,cg00733150,cg00805867,cg00893242,cg01108370,cg01190171,cg01732984,cg01745370,cg01770232,cg02053920,cg02114728,cg02197387,cg02527881,cg02732067,cg02841227,cg02909257,cg03003256,cg03017264,cg03224418,cg03315344,cg03316587,cg03665785,cg03808351,cg03922381,cg03987842,cg04173714,cg04340435,cg04607235,cg04964333,cg05508639,cg05636603,cg05801989,cg06035815,cg06211459,cg06253072,cg06474225,cg06530960,cg06635797,cg07178896,cg07250222,cg07356549,cg07452164,cg07807470,cg07884168,cg07983955,cg07991586,cg08312369,cg08403419,cg09134682,cg09188763,cg09191750,cg09326440,cg09419670,cg09490523,cg09612099,cg09626299,cg09754948,cg09915099,cg10121429,cg10183150,cg10241462,cg10494282,cg11465213,cg11753765,cg12241963,cg12640482,cg13084335,cg13127741,cg13313047,cg13374432,cg13609457,cg13729891,cg13863668,cg13866577,cg13983903,cg14310975,cg14343414,cg15105969,cg15696309,cg16322478,cg16450200,cg16586182,cg17030679,cg17342283,cg17475857,cg17554194,cg17589175,cg17652424,cg17862558,cg18180155,cg18334211,cg18405544,cg19875578,cg20231299,cg20592836,cg20737812,cg20814349,cg20962215,cg20985980,cg21300072,cg21497082,cg21589273,cg21934230,cg22278106,cg23202253,cg23259375,cg23378074,cg23691642,cg23722096,cg23744638,cg23886495,cg24648384,cg24900563,cg25462858,cg26188818,cg26339924,cg26663590,cg26841013	E028	1.00e+00
2.040	2.75e-02	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00022866,cg00058708,cg00090674,cg00250711,cg00334056,cg00425431,cg00446925,cg00571021,cg00601727,cg00655913,cg00733150,cg00805867,cg00893242,cg01108370,cg01190171,cg01378222,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02226672,cg02246992,cg02732067,cg02841227,cg02909257,cg02991924,cg03127558,cg03212674,cg03264133,cg03289416,cg03295107,cg03303475,cg03613822,cg03669282,cg03719642,cg03808351,cg04340435,cg04458368,cg04607235,cg04657044,cg04964333,cg05140650,cg05180856,cg05434312,cg05490983,cg05508639,cg05801989,cg05888643,cg05926586,cg06035815,cg06211459,cg06218344,cg06249953,cg06253072,cg06371489,cg06512918,cg06530960,cg06751366,cg06826457,cg07235057,cg07250222,cg07452164,cg07645296,cg07751196,cg07807470,cg07983955,cg08086652,cg08312369,cg08525922,cg08772003,cg08841829,cg09134682,cg09188763,cg09191750,cg09230376,cg09247692,cg09322534,cg09326440,cg09397246,cg09419670,cg09484019,cg09626299,cg09754948,cg09769104,cg09803321,cg09886946,cg09915099,cg09936400,cg10121429,cg10183150,cg10241462,cg10298567,cg10422047,cg10494282,cg10962762,cg11753765,cg12685753,cg12743398,cg13084335,cg13127741,cg13344095,cg13609457,cg13729891,cg13864473,cg13866577,cg14069412,cg14100946,cg14218447,cg14251267,cg14418922,cg14689537,cg14838248,cg14853772,cg14921437,cg14987431,cg15029032,cg15105969,cg15146515,cg15273468,cg15673069,cg15911859,cg16009970,cg16060189,cg16264966,cg16309325,cg16362592,cg16450200,cg17030679,cg17247190,cg17265693,cg17475857,cg17554194,cg17589175,cg17765885,cg18064631,cg18180155,cg18334211,cg18612461,cg18631330,cg19471911,cg19875578,cg20592836,cg20814349,cg20962215,cg20985980,cg21438252,cg21589273,cg21717724,cg21864959,cg22278106,cg22923006,cg23259375,cg23378074,cg23691642,cg23886495,cg24032393,cg24134292,cg24221648,cg24648384,cg25143771,cg25321556,cg25337691,cg25423576,cg26339924,cg26841013,cg26899598,cg27204993,cg27386529	E003	2.28e-01
1.724	4.89e-02	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00022866,cg00045753,cg00058708,cg00200164,cg00250711,cg00277334,cg00334056,cg00425431,cg00446925,cg00571021,cg00598758,cg00601727,cg00631329,cg00733150,cg00805867,cg00893242,cg01108370,cg01140214,cg01190171,cg01203766,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02226672,cg02246992,cg02412616,cg02527881,cg02732067,cg02841227,cg02909257,cg03212674,cg03264133,cg03289416,cg03295107,cg03303475,cg03665785,cg03669282,cg03808351,cg03922381,cg04173714,cg04340435,cg04458368,cg04607235,cg04657044,cg04964333,cg05149537,cg05180856,cg05801989,cg06035815,cg06211459,cg06249953,cg06253072,cg06294376,cg06512918,cg06530960,cg06635797,cg06653140,cg06751366,cg06826457,cg07218647,cg07235057,cg07250222,cg07414487,cg07441462,cg07645296,cg07807470,cg07910680,cg07983955,cg08086652,cg08312369,cg08525922,cg08772003,cg08946713,cg09009770,cg09134682,cg09188763,cg09191750,cg09326440,cg09397246,cg09419670,cg09484019,cg09612099,cg09626299,cg09754948,cg09769104,cg09803321,cg09915099,cg09936400,cg10121429,cg10183150,cg10241462,cg10298567,cg10962762,cg11465213,cg11753765,cg12120741,cg12241963,cg12743398,cg13084335,cg13127741,cg13313047,cg13344095,cg13374432,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14251267,cg14310975,cg14689537,cg14823076,cg14853772,cg14921437,cg15105969,cg15146515,cg15273468,cg15911859,cg16009970,cg16060189,cg16264966,cg16309325,cg16322478,cg16450200,cg16797473,cg17030679,cg17247190,cg17265693,cg17475857,cg17554194,cg17589175,cg17652424,cg17765885,cg18180155,cg18334211,cg19875578,cg20592836,cg20814349,cg20962215,cg20985980,cg21235334,cg21300072,cg21438252,cg21497082,cg21589273,cg21717724,cg21864959,cg22278106,cg22716368,cg22923006,cg23259375,cg23378074,cg23691642,cg23722096,cg23744638,cg23886495,cg24051234,cg24134292,cg24221648,cg24670566,cg25143771,cg25337691,cg25462858,cg26339924,cg26690915,cg26841013,cg26899598,cg27204993,cg27326026	E004	3.12e-01
